ticket_id,event_date,note
4801,03/04/2021,renewal filed
482,07/01/2021,address change accepted
51033,11/09/2021,duplicate claim withdrawn
7712,02/12/2021,invoice reissued after audit
390,05/06/2021,coverage extended one quarter
61204,09/03/2021,broker handover completed
8825,12/07/2021,policy number corrected
1147,01/11/2021,late payment waived
53390,06/02/2021,beneficiary details updated
2264,10/05/2021,claim reopened by request
70918,04/08/2021,inspection report attached
3376,08/10/2021,premium schedule revised
917,12/01/2022,annual statement mailed
44052,05/11/2022,contact preference changed
1288,03/09/2022,rider added to policy
65503,07/04/2022,deductible lowered
2399,11/02/2022,agent commission adjusted
8641,02/06/2022,paperless billing enabled
36725,09/12/2022,vehicle swapped on policy
1450,06/03/2022,household member removed
57836,04/10/2022,claim settled in full
2511,10/07/2022,storm damage assessed
78947,08/05/2022,payment plan restructured
1562,01/08/2022,renewal quote generated
