zip,sku,label
02134,004821,Allston depot
01003,007730,Amherst annex
90210,012045,Beverly outlet
07030,000917,Hoboken locker
60614,048302,Lincoln Park hub
02139,003664,Cambridge lab
33101,090271,Brickell kiosk
98101,015580,Belltown store
10001,000248,Chelsea counter
80202,061193,LoDo warehouse
02446,004077,Brookline shelf
19104,028836,Powelton bay
94110,000559,Mission stall
73301,037920,Travis annexe
02127,006401,Southie berth
30303,059148,Downtown ATL rack
02215,001732,Fenway crate
55401,043265,North Loop bin
06510,000883,Dwight corner
85004,072319,Roosevelt row
02903,005596,Providence slot
48226,038804,Cadillac square
04101,000164,Munjoy nook
97205,067452,Pearl District dock
