ts,device,reading
2024-04-01T06:00:00,north,18.4
2024-04-01T06:05:00,north,18.4
2024-04-01T06:10:00,south,19.2
2024-04-01T06:15:00,south,19.2
2024-04-01T06:20:00,north,20.7
2024-04-01T06:25:00,north,20.7
2024-04-01T06:30:00,south,21.5
2024-04-01T06:35:00,south,21.5
2024-04-01T06:40:00,north,22.3
2024-04-01T06:45:00,north,22.3
2024-04-01T06:50:00,south,23.1
2024-04-01T06:55:00,south,23.1
2024-04-01T07:00:00,north,17.8
2024-04-01T07:05:00,north,17.8
2024-04-01T07:10:00,south,19.9
2024-04-01T07:15:00,south,19.9
2024-04-01T07:20:00,north,20.1
2024-04-01T07:25:00,north,20.1
2024-04-01T07:30:00,south,21.0
2024-04-01T07:35:00,south,21.0
2024-04-01T07:40:00,north,22.9
2024-04-01T07:45:00,north,22.9
2024-04-01T07:50:00,south,23.7
2024-04-01T07:55:00,south,23.7
