station,reading_ts,temperature_c
ridge,2024-05-01,19.4
ridge,2024-05-02,21.7
ridge,2024-05-03,20.2
ridge,2024-05-04,-9999
ridge,2024-05-05,-9999
ridge,2024-05-06,-9999
ridge,2024-05-07,22.8
ridge,2024-05-08,18.9
ridge,2024-05-09,23.1
ridge,2024-05-10,20.6
ridge,2024-05-11,19.8
ridge,2024-05-12,-9999
ridge,2024-05-13,21.3
delta,2024-05-01,22.4
delta,2024-05-02,20.9
delta,2024-05-03,18.5
delta,2024-05-04,23.6
delta,2024-05-05,21.1
delta,2024-05-06,19.2
delta,2024-05-07,22.0
delta,2024-05-08,20.4
delta,2024-05-09,23.9
delta,2024-05-10,18.7
delta,2024-05-11,21.9
delta,2024-05-12,20.1
delta,2024-05-13,22.6
