record_id,country,visits
2003,Iran,3
2006,Iraq,5
2009,Slovakia,2
2012,Slovenia,7
2015,Iran,4
2018,Iraq,6
2021,Slovakia,1
2024,Slovenia,8
2027,Iran,5
2030,Iraq,3
2033,Slovakia,4
2036,Slovenia,2
2039,Iran,6
2042,Iraq,7
2045,Slovakia,5
2048,Slovenia,3
2051,Iran,2
2054,Iraq,4
2057,Slovakia,6
2060,Slovenia,5
2063,Iran,7
2066,Iraq,2
2069,Slovakia,3
2072,Slovenia,6
2075,Iran,4
2078,Iraq,5
2081,Slovakia,7
2084,Slovenia,1
2087,Iran,3
2090,Iraq,6
2093,Slovakia,2
2096,Slovenia,4
2099,Iran,5
2102,Iraq,3
2105,Slovakia,6
2108,Slovenia,7
2111,Iran,2
2114,Iraq,5
2117,Slovakia,4
2120,Slovenia,3
2123,Iran,6
2126,Iraq,4
2129,Slovakia,5
2132,Slovenia,2
2135,Iran,3
2138,Iraq,7
2141,Slovakia,1
2144,Slovenia,6
2147,Iran,4
2150,Iraq,2
2153,Slovakia,3
2156,Slovenia,5
2159,Iran,7
2162,Iraq,6
2165,Slovakia,4
2168,Slovenia,2
2171,Iran,5
2174,Iraq,3
2177,Slovakia,7
2180,Slovenia,4
2183,Iran,2
2186,Iraq,6
2189,Slovakia,5
2192,Slovenia,3
2195,Iran,6
2198,Iraq,4
2201,Slovakia,2
2204,Iran,7
2207,Iraq,5
2210,Slovakia,3
2213,Iran,4
2216,Iraq,6
2219,Slovakia,5
2222,Iran,2
2225,Iraq,3
2228,Slovakia,4
2231,Iran,6
2234,Iraq,7
2237,Slovakia,2
2240,Iran,5
2243,Iraq,4
2246,Slovakia,3
2249,Iran,6
2252,Iraq,2
