date,open,high,low,close,volume
2026-01-01,40.0000,42.9002,40.0000,42.9002,2730600
2026-01-02,42.9002,44.2134,42.9002,44.2134,1914000
2026-01-03,44.2134,45.3871,44.2134,45.3871,3876000
2026-01-04,45.3871,45.3871,44.4838,44.4838,183600
2026-01-05,44.4838,44.4838,44.2512,44.2512,3993300
2026-01-06,44.2512,44.2512,42.0498,42.0498,3452100
2026-01-07,42.0498,44.5207,42.0498,44.5207,700800
2026-01-08,44.5207,45.3954,44.5207,45.3954,1182100
2026-01-09,45.3954,45.3954,43.9157,43.9157,1893800
2026-01-10,43.9157,44.3009,43.9157,44.3009,3698500
2026-01-11,44.3009,46.4021,44.3009,46.4021,962700
2026-01-12,46.4021,46.7612,46.4021,46.7612,3963800
2026-01-13,46.7612,48.4013,46.7612,48.4013,3357000
2026-01-14,48.4013,51.7537,48.4013,51.7537,4381900
2026-01-15,51.7537,54.0800,51.7537,54.0800,3090800
2026-01-16,54.0800,56.3544,54.0800,56.3544,3048200
2026-01-17,56.3544,56.5502,56.3544,56.5502,1059200
2026-01-18,56.5502,56.5502,53.9139,53.9139,3524300
2026-01-19,53.9139,53.9139,51.6030,51.6030,1959300
2026-01-20,51.6030,53.3724,51.6030,53.3724,3989600
2026-01-21,53.3724,53.3724,51.7072,51.7072,1357100
2026-01-22,51.7072,51.7072,50.0106,50.0106,4292300
2026-01-23,50.0106,50.0106,48.2061,48.2061,1694000
2026-01-24,48.2061,48.2061,45.6668,45.6668,4083500
2026-01-25,45.6668,45.6668,45.3151,45.3151,4169700
2026-01-26,45.3151,46.5952,45.3151,46.5952,1462300
2026-01-27,46.5952,48.1871,46.5952,48.1871,2720200
2026-01-28,48.1871,50.5180,48.1871,50.5180,3207800
2026-01-29,50.5180,50.5180,49.8778,49.8778,981200
2026-01-30,49.8778,51.4143,49.8778,51.4143,2893700
2026-01-31,51.4143,51.4143,51.0567,51.0567,3896000
2026-02-01,51.0567,51.6903,51.0567,51.6903,3276200
2026-02-02,51.6903,53.4040,51.6903,53.4040,443200
2026-02-03,53.4040,54.7831,53.4040,54.7831,1540400
2026-02-04,54.7831,56.4253,54.7831,56.4253,4391100
2026-02-05,56.4253,56.4253,54.5166,54.5166,614300
2026-02-06,54.5166,55.9450,54.5166,55.9450,3486200
2026-02-07,55.9450,56.5490,55.9450,56.5490,2242400
2026-02-08,56.5490,57.8312,56.5490,57.8312,1611400
2026-02-09,57.8312,57.8846,57.8312,57.8846,2644700
2026-02-10,57.8846,64.3688,57.8846,64.3688,539900
2026-02-11,64.3688,64.3688,63.4520,63.4520,4100500
2026-02-12,63.4520,63.4520,63.0091,63.0091,4388800
2026-02-13,63.0091,63.0091,61.3210,61.3210,3723000
2026-02-14,61.3210,64.7005,61.3210,64.7005,2329600
