date,open,high,low,close,volume
2026-01-01,40.0000,43.2749,40.0000,43.2749,264500
2026-01-02,43.2749,43.8949,43.2749,43.8949,3777000
2026-01-03,43.8949,45.4878,43.8949,45.4878,261500
2026-01-04,45.4878,45.4878,43.9061,43.9061,4114600
2026-01-05,43.9061,43.9061,43.7071,43.7071,1643500
2026-01-06,43.7071,43.7071,42.1917,42.1917,1732500
2026-01-07,42.1917,43.3765,42.1917,43.3765,1264900
2026-01-08,43.3765,45.0213,43.3765,45.0213,1099100
2026-01-09,45.0213,45.3559,45.0213,45.3559,4404700
2026-01-10,45.3559,47.0348,45.3559,47.0348,3552400
2026-01-11,47.0348,49.0944,47.0348,49.0944,2927600
2026-01-12,49.0944,50.0480,49.0944,50.0480,1266400
2026-01-13,50.0480,50.1212,50.0480,50.1212,3370900
2026-01-14,50.1212,54.3174,50.1212,54.3174,2368000
2026-01-15,54.3174,56.4168,54.3174,56.4168,3331700
2026-01-16,56.4168,58.0681,56.4168,58.0681,1557100
2026-01-17,58.0681,60.3214,58.0681,60.3214,3772500
2026-01-18,60.3214,60.3214,56.7131,56.7131,1421900
2026-01-19,56.7131,56.7131,53.9392,53.9392,912600
2026-01-20,53.9392,55.4590,53.9392,55.4590,2846000
2026-01-21,55.4590,55.4590,52.5878,52.5878,1945500
2026-01-22,52.5878,52.5878,51.3557,51.3557,910400
2026-01-23,51.3557,51.3557,48.7466,48.7466,3038700
2026-01-24,48.7466,48.7466,45.4800,45.4800,4195500
2026-01-25,45.4800,46.2866,45.4800,46.2866,379000
2026-01-26,46.2866,46.9683,46.2866,46.9683,4374500
2026-01-27,46.9683,48.5252,46.9683,48.5252,2937900
2026-01-28,48.5252,49.6371,48.5252,49.6371,270500
2026-01-29,49.6371,51.4238,49.6371,51.4238,493800
2026-01-30,51.4238,52.6727,51.4238,52.6727,4507200
2026-01-31,52.6727,52.6727,52.5956,52.5956,1875000
2026-02-01,52.5956,55.1942,52.5956,55.1942,3952100
2026-02-02,55.1942,55.9473,55.1942,55.9473,2262700
2026-02-03,55.9473,58.1973,55.9473,58.1973,3217700
2026-02-04,58.1973,60.3985,58.1973,60.3985,521100
2026-02-05,60.3985,60.3985,59.5704,59.5704,1835700
