date,open,high,low,close,volume
2026-01-01,40.0000,41.4840,40.0000,41.4840,3256600
2026-01-02,41.4840,43.5769,41.4840,43.5769,1760900
2026-01-03,43.5769,44.1130,43.5769,44.1130,2134600
2026-01-04,44.1130,44.1130,43.6255,43.6255,432500
2026-01-05,43.6255,43.6255,42.5396,42.5396,4403400
2026-01-06,42.5396,42.5396,41.2128,41.2128,2125400
2026-01-07,41.2128,42.8091,41.2128,42.8091,4278900
2026-01-08,42.8091,42.8091,41.9622,41.9622,4408200
2026-01-09,41.9622,41.9622,40.9082,40.9082,271500
2026-01-10,40.9082,40.9082,40.7967,40.7967,4660700
2026-01-11,40.7967,41.8415,40.7967,41.8415,16400
2026-01-12,41.8415,42.9858,41.8415,42.9858,937600
2026-01-13,42.9858,44.0451,42.9858,44.0451,1701200
2026-01-14,44.0451,48.0113,44.0451,48.0113,2650700
2026-01-15,48.0113,50.1903,48.0113,50.1903,2002000
2026-01-16,50.1903,50.1903,49.8971,49.8971,1975300
2026-01-17,49.8971,51.9879,49.8971,51.9879,1860500
2026-01-18,51.9879,51.9879,50.6030,50.6030,1745000
2026-01-19,50.6030,50.6030,49.2712,49.2712,1411600
2026-01-20,49.2712,51.8024,49.2712,51.8024,3843300
2026-01-21,51.8024,51.8024,49.7404,49.7404,818000
2026-01-22,49.7404,49.7404,46.9492,46.9492,2482800
2026-01-23,46.9492,46.9492,45.2748,45.2748,1706600
2026-01-24,45.2748,45.2748,42.9997,42.9997,2832000
2026-01-25,42.9997,42.9997,41.6640,41.6640,2173100
2026-01-26,41.6640,42.5129,41.6640,42.5129,3192900
2026-01-27,42.5129,44.2405,42.5129,44.2405,3784900
2026-01-28,44.2405,44.8556,44.2405,44.8556,194500
2026-01-29,44.8556,44.8556,44.7910,44.7910,321100
2026-01-30,44.7910,47.1015,44.7910,47.1015,689600
2026-01-31,47.1015,47.1015,46.5858,46.5858,4233900
2026-02-01,46.5858,47.0216,46.5858,47.0216,4623100
2026-02-02,47.0216,49.1879,47.0216,49.1879,3976000
2026-02-03,49.1879,50.3614,49.1879,50.3614,3489600
2026-02-04,50.3614,50.5508,50.3614,50.5508,1424400
2026-02-05,50.5508,50.5508,48.4664,48.4664,1512000
2026-02-06,48.4664,49.7374,48.4664,49.7374,1353900
2026-02-07,49.7374,50.9109,49.7374,50.9109,2777900
2026-02-08,50.9109,52.5376,50.9109,52.5376,1641400
2026-02-09,52.5376,52.5376,50.8891,50.8891,2725500
2026-02-10,50.8891,54.8164,50.8891,54.8164,4106900
2026-02-11,54.8164,54.8164,54.4029,54.4029,1705500
2026-02-12,54.4029,54.9287,54.4029,54.9287,313500
2026-02-13,54.9287,54.9287,54.5434,54.5434,4240700
2026-02-14,54.5434,56.4113,54.5434,56.4113,3484000
2026-02-15,56.4113,57.2781,56.4113,57.2781,2583000
2026-02-16,57.2781,57.2781,56.4054,56.4054,2972100
2026-02-17,56.4054,59.6755,56.4054,59.6755,4699400
2026-02-18,59.6755,62.0319,59.6755,62.0319,2771500
2026-02-19,62.0319,62.0319,61.4078,61.4078,4671600
2026-02-20,61.4078,63.6935,61.4078,63.6935,1143400
2026-02-21,63.6935,65.2837,63.6935,65.2837,2627700
2026-02-22,65.2837,67.0634,65.2837,67.0634,574000
2026-02-23,67.0634,67.0634,64.4172,64.4172,3043400
2026-02-24,64.4172,64.4778,64.4172,64.4778,4611600
2026-02-25,64.4778,66.0818,64.4778,66.0818,2733200
2026-02-26,66.0818,66.0818,65.8069,65.8069,1669100
2026-02-27,65.8069,68.0611,65.8069,68.0611,4689400
2026-02-28,68.0611,68.4868,68.0611,68.4868,1058500
2026-03-01,68.4868,68.4868,62.0081,62.0081,2548300
2026-03-02,62.0081,64.5709,62.0081,64.5709,943300
2026-03-03,64.5709,64.9359,64.5709,64.9359,1233300
2026-03-04,64.9359,64.9447,64.9359,64.9447,628700
2026-03-05,64.9447,64.9447,62.7835,62.7835,3994700
2026-03-06,62.7835,62.7835,59.2868,59.2868,4874600
2026-03-07,59.2868,61.0236,59.2868,61.0236,79100
2026-03-08,61.0236,64.2117,61.0236,64.2117,3643200
2026-03-09,64.2117,64.2117,61.0512,61.0512,4201600
2026-03-10,61.0512,61.0512,59.3891,59.3891,1728500
2026-03-11,59.3891,60.5643,59.3891,60.5643,2060400
2026-03-12,60.5643,66.1076,60.5643,66.1076,272000
2026-03-13,66.1076,66.2065,66.1076,66.2065,3599200
2026-03-14,66.2065,69.0664,66.2065,69.0664,1282000
2026-03-15,69.0664,69.0664,67.5422,67.5422,3920100
2026-03-16,67.5422,67.5422,66.4127,66.4127,4852200
2026-03-17,66.4127,66.4127,65.4617,65.4617,1790700
2026-03-18,65.4617,67.6513,65.4617,67.6513,888500
2026-03-19,67.6513,67.6513,62.6823,62.6823,4154000
2026-03-20,62.6823,63.4556,62.6823,63.4556,1699000
2026-03-21,63.4556,64.6676,63.4556,64.6676,2895600
2026-03-22,64.6676,64.6676,64.0707,64.0707,3465400
2026-03-23,64.0707,65.7707,64.0707,65.7707,1440400
2026-03-24,65.7707,65.7707,62.8337,62.8337,1291100
