date,open,high,low,close,volume
2026-01-01,40.0000,41.2153,40.0000,41.2153,2725600
2026-01-02,41.2153,41.6683,41.2153,41.6683,4225500
2026-01-03,41.6683,43.5244,41.6683,43.5244,2330400
2026-01-04,43.5244,43.5244,42.2906,42.2906,4455300
2026-01-05,42.2906,42.2906,41.5427,41.5427,2912500
2026-01-06,41.5427,41.5427,38.8852,38.8852,4732200
2026-01-07,38.8852,40.8454,38.8852,40.8454,1989900
2026-01-08,40.8454,41.3758,40.8454,41.3758,2490900
2026-01-09,41.3758,41.3758,40.0469,40.0469,2827100
2026-01-10,40.0469,42.2912,40.0469,42.2912,2243900
2026-01-11,42.2912,43.2095,42.2912,43.2095,4242200
2026-01-12,43.2095,44.1832,43.2095,44.1832,3347500
2026-01-13,44.1832,45.0687,44.1832,45.0687,2133500
2026-01-14,45.0687,48.9099,45.0687,48.9099,1813100
2026-01-15,48.9099,49.4581,48.9099,49.4581,2536000
2026-01-16,49.4581,50.8318,49.4581,50.8318,1947600
2026-01-17,50.8318,50.8318,50.0810,50.0810,4149200
2026-01-18,50.0810,50.0810,48.3946,48.3946,1087400
2026-01-19,48.3946,48.3946,47.4672,47.4672,3056700
2026-01-20,47.4672,49.8036,47.4672,49.8036,3872700
2026-01-21,49.8036,49.8036,47.4189,47.4189,4820200
2026-01-22,47.4189,47.4189,45.2886,45.2886,3156500
2026-01-23,45.2886,45.2886,43.9034,43.9034,963600
2026-01-24,43.9034,43.9034,42.0844,42.0844,1263800
2026-01-25,42.0844,42.0844,41.9178,41.9178,3197900
2026-01-26,41.9178,41.9178,41.6637,41.6637,3459400
2026-01-27,41.6637,43.2401,41.6637,43.2401,2346000
2026-01-28,43.2401,45.4261,43.2401,45.4261,3943900
2026-01-29,45.4261,45.9610,45.4261,45.9610,850400
2026-01-30,45.9610,47.5724,45.9610,47.5724,1452700
2026-01-31,47.5724,47.5750,47.5724,47.5750,3331500
2026-02-01,47.5750,49.8262,47.5750,49.8262,4794200
2026-02-02,49.8262,53.0608,49.8262,53.0608,4449300
2026-02-03,53.0608,55.2471,53.0608,55.2471,2005700
2026-02-04,55.2471,57.5322,55.2471,57.5322,3790700
2026-02-05,57.5322,57.5322,57.4888,57.4888,1047300
2026-02-06,57.4888,57.4888,57.0331,57.0331,3762200
2026-02-07,57.0331,57.9295,57.0331,57.9295,4835100
2026-02-08,57.9295,59.7634,57.9295,59.7634,2916600
2026-02-09,59.7634,59.7634,57.7438,57.7438,3190900
2026-02-10,57.7438,61.2524,57.7438,61.2524,4396700
2026-02-11,61.2524,61.2524,59.8818,59.8818,4395500
2026-02-12,59.8818,61.0042,59.8818,61.0042,3620700
2026-02-13,61.0042,61.0042,59.5303,59.5303,606800
2026-02-14,59.5303,61.3874,59.5303,61.3874,2836100
2026-02-15,61.3874,61.3874,60.9842,60.9842,4663300
2026-02-16,60.9842,60.9842,60.3519,60.3519,3538200
2026-02-17,60.3519,63.1091,60.3519,63.1091,3494300
2026-02-18,63.1091,65.0773,63.1091,65.0773,1304100
2026-02-19,65.0773,65.0773,63.7934,63.7934,2903300
2026-02-20,63.7934,64.4640,63.7934,64.4640,4117700
2026-02-21,64.4640,67.8885,64.4640,67.8885,300500
2026-02-22,67.8885,70.2164,67.8885,70.2164,4767900
2026-02-23,70.2164,70.2164,68.5621,68.5621,1113700
2026-02-24,68.5621,68.5621,65.3899,65.3899,657600
2026-02-25,65.3899,65.3899,65.0304,65.0304,1753200
2026-02-26,65.0304,68.5679,65.0304,68.5679,4964200
2026-02-27,68.5679,68.5679,67.2080,67.2080,2799900
2026-02-28,67.2080,67.6054,67.2080,67.6054,2782900
2026-03-01,67.6054,67.6054,62.9390,62.9390,170300
2026-03-02,62.9390,64.3039,62.9390,64.3039,1682300
2026-03-03,64.3039,67.1710,64.3039,67.1710,1135600
2026-03-04,67.1710,69.1934,67.1710,69.1934,4879700
2026-03-05,69.1934,69.1934,69.0127,69.0127,163800
2026-03-06,69.0127,69.0127,67.0565,67.0565,3037800
2026-03-07,67.0565,67.6259,67.0565,67.6259,2593400
2026-03-08,67.6259,68.9150,67.6259,68.9150,3250200
2026-03-09,68.9150,68.9150,68.2343,68.2343,1885100
2026-03-10,68.2343,68.2343,66.5954,66.5954,1887600
2026-03-11,66.5954,67.6752,66.5954,67.6752,1206200
2026-03-12,67.6752,73.1417,67.6752,73.1417,3093600
2026-03-13,73.1417,73.2129,73.1417,73.2129,4945800
2026-03-14,73.2129,76.2592,73.2129,76.2592,1506700
2026-03-15,76.2592,76.2592,71.7633,71.7633,1947700
2026-03-16,71.7633,71.7633,69.3686,69.3686,1716300
2026-03-17,69.3686,69.3686,67.6303,67.6303,1188900
2026-03-18,67.6303,68.3405,67.6303,68.3405,4137800
2026-03-19,68.3405,68.3405,66.6709,66.6709,2064100
2026-03-20,66.6709,68.8233,66.6709,68.8233,3266100
2026-03-21,68.8233,70.4713,68.8233,70.4713,3417800
2026-03-22,70.4713,72.1694,70.4713,72.1694,1853900
2026-03-23,72.1694,73.8020,72.1694,73.8020,2599400
2026-03-24,73.8020,73.9364,73.8020,73.9364,3093100
2026-03-25,73.9364,75.8035,73.9364,75.8035,4768500
2026-03-26,75.8035,75.8035,75.6273,75.6273,2275800
2026-03-27,75.6273,75.6273,72.6219,72.6219,791800
2026-03-28,72.6219,77.1028,72.6219,77.1028,1015700
2026-03-29,77.1028,77.1028,76.6564,76.6564,3682300
2026-03-30,76.6564,76.6564,74.9750,74.9750,1711400
2026-03-31,74.9750,76.3056,74.9750,76.3056,2405400
2026-04-01,76.3056,76.3056,74.9917,74.9917,2159100
2026-04-02,74.9917,74.9917,73.5418,73.5418,2299900
2026-04-03,73.5418,75.9277,73.5418,75.9277,856900
2026-04-04,75.9277,75.9277,73.8746,73.8746,4497700
2026-04-05,73.8746,75.2562,73.8746,75.2562,2831100
2026-04-06,75.2562,75.8521,75.2562,75.8521,1896000
2026-04-07,75.8521,75.8521,75.7147,75.7147,1406600
2026-04-08,75.7147,77.2899,75.7147,77.2899,1888900
2026-04-09,77.2899,77.2899,76.9565,76.9565,2718500
2026-04-10,76.9565,80.9298,76.9565,80.9298,2976400
2026-04-11,80.9298,83.7735,80.9298,83.7735,1316000
2026-04-12,83.7735,85.8306,83.7735,85.8306,1909700
2026-04-13,85.8306,88.0556,85.8306,88.0556,3056300
2026-04-14,88.0556,90.0748,88.0556,90.0748,2899300
2026-04-15,90.0748,90.0748,82.8748,82.8748,142700
2026-04-16,82.8748,82.8748,80.9626,80.9626,865300
2026-04-17,80.9626,83.8454,80.9626,83.8454,2609800
2026-04-18,83.8454,86.3161,83.8454,86.3161,3816100
2026-04-19,86.3161,88.8775,86.3161,88.8775,2074600
2026-04-20,88.8775,88.8775,85.3849,85.3849,982700
2026-04-21,85.3849,85.3849,83.8001,83.8001,1455600
2026-04-22,83.8001,83.8001,82.0799,82.0799,55100
2026-04-23,82.0799,86.1926,82.0799,86.1926,1856000
2026-04-24,86.1926,87.6095,86.1926,87.6095,2493500
2026-04-25,87.6095,87.6095,86.3629,86.3629,535100
2026-04-26,86.3629,86.3629,85.5856,85.5856,3543700
2026-04-27,85.5856,86.6328,85.5856,86.6328,4351000
2026-04-28,86.6328,88.3482,86.6328,88.3482,544400
2026-04-29,88.3482,88.3482,85.2758,85.2758,1615200
2026-04-30,85.2758,87.9600,85.2758,87.9600,3829700
2026-05-01,87.9600,87.9600,87.3917,87.3917,4673700
2026-05-02,87.3917,87.3917,86.5731,86.5731,4203700
2026-05-03,86.5731,87.6680,86.5731,87.6680,973100
2026-05-04,87.6680,87.6680,86.0079,86.0079,3744600
2026-05-05,86.0079,86.0079,74.3948,74.3948,852300
2026-05-06,74.3948,74.3948,71.2299,71.2299,2436900
2026-05-07,71.2299,74.7241,71.2299,74.7241,955300
2026-05-08,74.7241,78.6760,74.7241,78.6760,232000
2026-05-09,78.6760,78.6760,75.1760,75.1760,1301100
2026-05-10,75.1760,75.1760,73.8129,73.8129,3138900
2026-05-11,73.8129,74.1668,73.8129,74.1668,3831500
2026-05-12,74.1668,74.5295,74.1668,74.5295,1376500
2026-05-13,74.5295,75.2204,74.5295,75.2204,738600
2026-05-14,75.2204,76.3911,75.2204,76.3911,1294200
2026-05-15,76.3911,80.9469,76.3911,80.9469,2531400
2026-05-16,80.9469,81.9691,80.9469,81.9691,1574800
2026-05-17,81.9691,81.9691,81.4714,81.4714,1420100
2026-05-18,81.4714,81.4714,75.6761,75.6761,3133900
2026-05-19,75.6761,77.2677,75.6761,77.2677,1083800
2026-05-20,77.2677,80.8942,77.2677,80.8942,4354800
2026-05-21,80.8942,80.8942,75.8956,75.8956,4707300
2026-05-22,75.8956,75.8956,70.8016,70.8016,4994500
2026-05-23,70.8016,70.8016,69.5219,69.5219,4326600
2026-05-24,69.5219,69.5219,65.2595,65.2595,2252800
2026-05-25,65.2595,65.2595,64.7143,64.7143,3866900
2026-05-26,64.7143,64.7143,62.8753,62.8753,4415000
2026-05-27,62.8753,62.8753,61.9105,61.9105,2128200
2026-05-28,61.9105,61.9953,61.9105,61.9953,1365300
2026-05-29,61.9953,61.9953,61.0856,61.0856,4765300
2026-05-30,61.0856,61.4104,61.0856,61.4104,3722900
2026-05-31,61.4104,61.4104,57.7675,57.7675,1309400
2026-06-01,57.7675,57.7675,55.8036,55.8036,3739500
2026-06-02,55.8036,55.8036,55.6343,55.6343,3910700
2026-06-03,55.6343,55.6343,53.7918,53.7918,3609200
2026-06-04,53.7918,55.8204,53.7918,55.8204,622200
2026-06-05,55.8204,56.8390,55.8204,56.8390,1672500
2026-06-06,56.8390,56.8390,55.5823,55.5823,1818100
2026-06-07,55.5823,56.2326,55.5823,56.2326,3491900
2026-06-08,56.2326,56.2326,53.4662,53.4662,4216900
2026-06-09,53.4662,53.7782,53.4662,53.7782,3059700
2026-06-10,53.7782,54.0344,53.7782,54.0344,691600
2026-06-11,54.0344,56.4891,54.0344,56.4891,723000
2026-06-12,56.4891,56.5934,56.4891,56.5934,1151700
2026-06-13,56.5934,56.5934,54.7159,54.7159,3429600
2026-06-14,54.7159,55.7414,54.7159,55.7414,73900
2026-06-15,55.7414,55.7414,55.2787,55.2787,3096300
