date,open,high,low,close,volume
2026-01-01,40.0000,42.2121,40.0000,42.2121,289400
2026-01-02,42.2121,42.8844,42.2121,42.8844,2557700
2026-01-03,42.8844,44.3654,42.8844,44.3654,371600
2026-01-04,44.3654,44.3654,42.4869,42.4869,1118400
2026-01-05,42.4869,42.4869,40.9922,40.9922,4636500
2026-01-06,40.9922,40.9922,38.6981,38.6981,697500
2026-01-07,38.6981,40.1917,38.6981,40.1917,48400
2026-01-08,40.1917,40.2524,40.1917,40.2524,1522600
2026-01-09,40.2524,40.6464,40.2524,40.6464,4705300
2026-01-10,40.6464,40.7858,40.6464,40.7858,750300
2026-01-11,40.7858,41.4147,40.7858,41.4147,4660500
2026-01-12,41.4147,42.9421,41.4147,42.9421,1818300
2026-01-13,42.9421,44.0610,42.9421,44.0610,4156600
2026-01-14,44.0610,46.8707,44.0610,46.8707,3509100
2026-01-15,46.8707,46.8707,46.1172,46.1172,1656100
2026-01-16,46.1172,47.4708,46.1172,47.4708,1177000
2026-01-17,47.4708,48.1784,47.4708,48.1784,1277000
2026-01-18,48.1784,48.1784,47.0200,47.0200,1969100
2026-01-19,47.0200,47.0200,44.7325,44.7325,3560400
2026-01-20,44.7325,45.6354,44.7325,45.6354,4051500
2026-01-21,45.6354,45.6354,43.9421,43.9421,2200700
2026-01-22,43.9421,43.9421,43.3089,43.3089,1275200
2026-01-23,43.3089,43.3089,42.2616,42.2616,374700
2026-01-24,42.2616,42.2616,40.1406,40.1406,2726400
2026-01-25,40.1406,40.1406,38.5934,38.5934,3798300
2026-01-26,38.5934,38.7754,38.5934,38.7754,4307000
2026-01-27,38.7754,39.1384,38.7754,39.1384,4186500
2026-01-28,39.1384,40.3666,39.1384,40.3666,2971900
2026-01-29,40.3666,41.1257,40.3666,41.1257,3620300
2026-01-30,41.1257,42.9242,41.1257,42.9242,2204000
2026-01-31,42.9242,43.1882,42.9242,43.1882,1536900
2026-02-01,43.1882,43.6138,43.1882,43.6138,3009900
2026-02-02,43.6138,44.5595,43.6138,44.5595,3362200
2026-02-03,44.5595,45.6939,44.5595,45.6939,2183000
2026-02-04,45.6939,46.0357,45.6939,46.0357,1787600
2026-02-05,46.0357,46.0357,44.2154,44.2154,4132300
2026-02-06,44.2154,44.2154,44.1386,44.1386,1643000
2026-02-07,44.1386,44.8864,44.1386,44.8864,4370100
2026-02-08,44.8864,46.3450,44.8864,46.3450,707200
2026-02-09,46.3450,46.3450,44.9981,44.9981,2586300
2026-02-10,44.9981,49.3329,44.9981,49.3329,3319200
2026-02-11,49.3329,49.3329,49.3310,49.3310,160100
2026-02-12,49.3310,49.3310,49.1375,49.1375,2503100
2026-02-13,49.1375,49.1375,48.6131,48.6131,479200
2026-02-14,48.6131,50.5710,48.6131,50.5710,1178600
2026-02-15,50.5710,50.5710,49.8596,49.8596,2335500
2026-02-16,49.8596,49.8596,48.0619,48.0619,2340200
2026-02-17,48.0619,49.4337,48.0619,49.4337,2551400
2026-02-18,49.4337,50.1289,49.4337,50.1289,4325500
2026-02-19,50.1289,50.1289,50.0160,50.0160,4961600
2026-02-20,50.0160,51.4673,50.0160,51.4673,3861900
2026-02-21,51.4673,54.3570,51.4673,54.3570,4532700
2026-02-22,54.3570,54.8607,54.3570,54.8607,3999600
2026-02-23,54.8607,54.8607,52.0865,52.0865,1059400
2026-02-24,52.0865,52.0865,51.5449,51.5449,1645100
2026-02-25,51.5449,54.2317,51.5449,54.2317,586700
2026-02-26,54.2317,54.8974,54.2317,54.8974,4382000
2026-02-27,54.8974,54.8974,54.1210,54.1210,2651600
2026-02-28,54.1210,55.1473,54.1210,55.1473,1109800
2026-03-01,55.1473,55.1473,50.4982,50.4982,540400
2026-03-02,50.4982,51.9659,50.4982,51.9659,4542500
2026-03-03,51.9659,53.6327,51.9659,53.6327,1617700
2026-03-04,53.6327,55.3519,53.6327,55.3519,3550900
2026-03-05,55.3519,55.3880,55.3519,55.3880,445400
2026-03-06,55.3880,55.3880,53.4799,53.4799,3587900
2026-03-07,53.4799,53.7525,53.4799,53.7525,1074400
2026-03-08,53.7525,55.3797,53.7525,55.3797,540400
2026-03-09,55.3797,55.3797,53.8694,53.8694,1125200
2026-03-10,53.8694,53.8694,51.8640,51.8640,2885400
2026-03-11,51.8640,53.9911,51.8640,53.9911,2625700
2026-03-12,53.9911,57.1247,53.9911,57.1247,233800
2026-03-13,57.1247,57.5540,57.1247,57.5540,1447500
2026-03-14,57.5540,59.4398,57.5540,59.4398,3192000
2026-03-15,59.4398,59.4398,57.8032,57.8032,1255600
2026-03-16,57.8032,57.8032,56.2981,56.2981,109200
2026-03-17,56.2981,56.2981,55.3616,55.3616,3677200
2026-03-18,55.3616,56.9230,55.3616,56.9230,444800
2026-03-19,56.9230,56.9230,55.2905,55.2905,1458300
2026-03-20,55.2905,56.9931,55.2905,56.9931,2401000
2026-03-21,56.9931,58.6091,56.9931,58.6091,1858400
2026-03-22,58.6091,59.7401,58.6091,59.7401,1556300
2026-03-23,59.7401,61.9975,59.7401,61.9975,3708500
2026-03-24,61.9975,61.9975,58.6114,58.6114,1983600
2026-03-25,58.6114,59.0478,58.6114,59.0478,4441100
2026-03-26,59.0478,60.3678,59.0478,60.3678,2952400
2026-03-27,60.3678,60.3678,59.8575,59.8575,3646600
2026-03-28,59.8575,62.7696,59.8575,62.7696,457500
2026-03-29,62.7696,62.7696,61.1308,61.1308,4495700
2026-03-30,61.1308,61.1308,60.2294,60.2294,3324800
2026-03-31,60.2294,60.2294,59.7290,59.7290,401000
2026-04-01,59.7290,61.6162,59.7290,61.6162,4848900
2026-04-02,61.6162,61.9315,61.6162,61.9315,4782500
2026-04-03,61.9315,64.1033,61.9315,64.1033,3427400
2026-04-04,64.1033,64.1033,60.9621,60.9621,1543600
2026-04-05,60.9621,63.7783,60.9621,63.7783,2128300
2026-04-06,63.7783,63.7783,63.2392,63.2392,785600
2026-04-07,63.2392,63.2392,62.0397,62.0397,2005800
2026-04-08,62.0397,62.0397,61.6938,61.6938,4125200
2026-04-09,61.6938,61.6938,61.0224,61.0224,2662400
2026-04-10,61.0224,64.1511,61.0224,64.1511,707500
2026-04-11,64.1511,64.1511,64.0073,64.0073,1732300
2026-04-12,64.0073,64.0073,55.3373,55.3373,2616700
2026-04-13,55.3373,56.2433,55.3373,56.2433,4528000
2026-04-14,56.2433,56.5608,56.2433,56.5608,4473400
2026-04-15,56.5608,56.5608,52.2514,52.2514,3158500
2026-04-16,52.2514,52.2514,49.5242,49.5242,370800
2026-04-17,49.5242,50.4172,49.5242,50.4172,712200
2026-04-18,50.4172,52.6015,50.4172,52.6015,3248800
2026-04-19,52.6015,54.4022,52.6015,54.4022,4862000
2026-04-20,54.4022,54.4022,54.1003,54.1003,137600
2026-04-21,54.1003,54.1003,52.9990,52.9990,4602000
2026-04-22,52.9990,52.9990,52.4777,52.4777,1800100
2026-04-23,52.4777,53.8935,52.4777,53.8935,3890700
2026-04-24,53.8935,53.8935,52.8322,52.8322,3212700
2026-04-25,52.8322,52.8322,50.5591,50.5591,4432300
2026-04-26,50.5591,50.5591,49.2669,49.2669,1007600
2026-04-27,49.2669,50.8320,49.2669,50.8320,248300
2026-04-28,50.8320,51.8001,50.8320,51.8001,1354000
2026-04-29,51.8001,51.8001,50.2947,50.2947,678500
2026-04-30,50.2947,52.3990,50.2947,52.3990,4040100
2026-05-01,52.3990,52.3990,52.0227,52.0227,281300
2026-05-02,52.0227,52.6915,52.0227,52.6915,1650200
2026-05-03,52.6915,54.8561,52.6915,54.8561,2621400
2026-05-04,54.8561,54.8561,53.9609,53.9609,1358300
2026-05-05,53.9609,54.3456,53.9609,54.3456,374000
2026-05-06,54.3456,55.2608,54.3456,55.2608,1518900
2026-05-07,55.2608,57.1876,55.2608,57.1876,4040800
2026-05-08,57.1876,59.9521,57.1876,59.9521,2721900
2026-05-09,59.9521,59.9521,57.9621,57.9621,3801300
2026-05-10,57.9621,58.5041,57.9621,58.5041,4397700
2026-05-11,58.5041,58.5041,58.3174,58.3174,2192000
2026-05-12,58.3174,58.3174,57.8660,57.8660,1031400
2026-05-13,57.8660,57.9342,57.8660,57.9342,4674100
2026-05-14,57.9342,57.9902,57.9342,57.9902,2893500
2026-05-15,57.9902,61.8945,57.9902,61.8945,258200
2026-05-16,61.8945,62.2073,61.8945,62.2073,3259400
2026-05-17,62.2073,62.5596,62.2073,62.5596,3571300
2026-05-18,62.5596,62.5596,58.3161,58.3161,3080400
2026-05-19,58.3161,58.3161,56.3059,56.3059,209000
2026-05-20,56.3059,56.3059,56.2381,56.2381,2236800
2026-05-21,56.2381,56.2381,52.9029,52.9029,1113300
2026-05-22,52.9029,52.9029,51.7677,51.7677,4152000
2026-05-23,51.7677,51.7677,50.8054,50.8054,596500
2026-05-24,50.8054,50.8054,48.5236,48.5236,4559100
2026-05-25,48.5236,48.5236,46.4749,46.4749,2117700
2026-05-26,46.4749,47.0540,46.4749,47.0540,474800
2026-05-27,47.0540,47.0540,47.0283,47.0283,2110700
2026-05-28,47.0283,48.6477,47.0283,48.6477,81300
