date,open,high,low,close,volume
2026-01-01,40.0000,41.2101,40.0000,41.2101,1511600
2026-01-02,41.2101,42.5450,41.2101,42.5450,639700
2026-01-03,42.5450,43.1459,42.5450,43.1459,4288900
2026-01-04,43.1459,43.1459,42.4846,42.4846,4684800
2026-01-05,42.4846,42.4966,42.4846,42.4966,3957200
2026-01-06,42.4966,42.4966,39.9933,39.9933,2344900
2026-01-07,39.9933,42.6002,39.9933,42.6002,4484900
2026-01-08,42.6002,42.9361,42.6002,42.9361,3960800
2026-01-09,42.9361,43.6700,42.9361,43.6700,4587300
2026-01-10,43.6700,44.4883,43.6700,44.4883,3683300
2026-01-11,44.4883,45.2669,44.4883,45.2669,3801700
2026-01-12,45.2669,45.2669,44.4932,44.4932,1417100
2026-01-13,44.4932,45.7633,44.4932,45.7633,761100
2026-01-14,45.7633,47.5161,45.7633,47.5161,4147100
2026-01-15,47.5161,49.9059,47.5161,49.9059,4550500
2026-01-16,49.9059,53.5027,49.9059,53.5027,2668000
2026-01-17,53.5027,54.6442,53.5027,54.6442,4472300
2026-01-18,54.6442,54.6442,53.7616,53.7616,637800
2026-01-19,53.7616,53.7616,52.7179,52.7179,3975000
2026-01-20,52.7179,54.5803,52.7179,54.5803,1713300
2026-01-21,54.5803,54.5803,53.0025,53.0025,3594600
2026-01-22,53.0025,53.0025,51.7502,51.7502,3530400
2026-01-23,51.7502,51.7502,51.4181,51.4181,2979800
2026-01-24,51.4181,51.4181,48.7992,48.7992,1063800
2026-01-25,48.7992,48.7992,48.4511,48.4511,2997900
2026-01-26,48.4511,49.7147,48.4511,49.7147,658100
2026-01-27,49.7147,52.5526,49.7147,52.5526,1171200
2026-01-28,52.5526,54.0444,52.5526,54.0444,2530900
2026-01-29,54.0444,54.4217,54.0444,54.4217,1651700
2026-01-30,54.4217,56.7984,54.4217,56.7984,2542100
2026-01-31,56.7984,57.7578,56.7984,57.7578,4842800
2026-02-01,57.7578,58.5243,57.7578,58.5243,1030700
2026-02-02,58.5243,60.7324,58.5243,60.7324,4623000
2026-02-03,60.7324,62.0907,60.7324,62.0907,4427000
2026-02-04,62.0907,63.0746,62.0907,63.0746,411700
2026-02-05,63.0746,63.0746,61.6164,61.6164,2186500
2026-02-06,61.6164,64.0564,61.6164,64.0564,632300
2026-02-07,64.0564,65.1462,64.0564,65.1462,4251500
2026-02-08,65.1462,67.5761,65.1462,67.5761,1880300
2026-02-09,67.5761,67.5761,65.9553,65.9553,2769900
2026-02-10,65.9553,69.4089,65.9553,69.4089,3335000
2026-02-11,69.4089,69.4089,68.8198,68.8198,1978000
2026-02-12,68.8198,69.3942,68.8198,69.3942,815100
2026-02-13,69.3942,69.3942,66.5864,66.5864,4384600
2026-02-14,66.5864,67.2580,66.5864,67.2580,214300
2026-02-15,67.2580,69.9321,67.2580,69.9321,384300
2026-02-16,69.9321,69.9321,68.8781,68.8781,2431300
2026-02-17,68.8781,71.2258,68.8781,71.2258,981300
2026-02-18,71.2258,73.7802,71.2258,73.7802,3285600
2026-02-19,73.7802,74.2617,73.7802,74.2617,1150000
2026-02-20,74.2617,75.7898,74.2617,75.7898,2724400
2026-02-21,75.7898,79.6200,75.7898,79.6200,3439300
2026-02-22,79.6200,85.0116,79.6200,85.0116,3088900
2026-02-23,85.0116,85.0116,81.1865,81.1865,3424100
2026-02-24,81.1865,81.1865,80.4245,80.4245,3959100
2026-02-25,80.4245,82.7827,80.4245,82.7827,2517700
2026-02-26,82.7827,83.8215,82.7827,83.8215,139300
2026-02-27,83.8215,84.9004,83.8215,84.9004,3870400
2026-02-28,84.9004,85.4505,84.9004,85.4505,4672900
2026-03-01,85.4505,85.4505,79.2673,79.2673,1720800
2026-03-02,79.2673,81.9918,79.2673,81.9918,1166400
2026-03-03,81.9918,84.8324,81.9918,84.8324,1144100
2026-03-04,84.8324,85.3850,84.8324,85.3850,4982500
2026-03-05,85.3850,85.9399,85.3850,85.9399,2776000
2026-03-06,85.9399,85.9399,80.5901,80.5901,3781600
2026-03-07,80.5901,81.3237,80.5901,81.3237,4794000
2026-03-08,81.3237,84.2300,81.3237,84.2300,1988500
2026-03-09,84.2300,84.2300,81.0092,81.0092,840600
2026-03-10,81.0092,81.0092,80.1731,80.1731,3845700
2026-03-11,80.1731,84.9995,80.1731,84.9995,327200
2026-03-12,84.9995,93.1162,84.9995,93.1162,4910300
2026-03-13,93.1162,93.1162,90.9478,90.9478,1345200
2026-03-14,90.9478,92.6159,90.9478,92.6159,1507900
2026-03-15,92.6159,92.6159,87.9228,87.9228,2902100
2026-03-16,87.9228,88.1605,87.9228,88.1605,1286800
2026-03-17,88.1605,88.1605,86.3583,86.3583,1968600
2026-03-18,86.3583,89.5020,86.3583,89.5020,3294500
2026-03-19,89.5020,89.5020,84.9827,84.9827,4579700
2026-03-20,84.9827,88.7853,84.9827,88.7853,59300
2026-03-21,88.7853,90.7462,88.7853,90.7462,3022500
2026-03-22,90.7462,93.4483,90.7462,93.4483,2122800
2026-03-23,93.4483,95.4468,93.4483,95.4468,2396400
2026-03-24,95.4468,95.4468,91.5166,91.5166,4289000
2026-03-25,91.5166,94.3390,91.5166,94.3390,3581900
2026-03-26,94.3390,95.5681,94.3390,95.5681,554000
2026-03-27,95.5681,95.5681,93.7155,93.7155,21500
2026-03-28,93.7155,96.6743,93.7155,96.6743,67800
2026-03-29,96.6743,96.6743,93.6275,93.6275,1966400
2026-03-30,93.6275,93.6275,91.0150,91.0150,3128400
2026-03-31,91.0150,91.0150,89.2310,89.2310,1386500
2026-04-01,89.2310,89.2310,87.9673,87.9673,190500
2026-04-02,87.9673,88.5447,87.9673,88.5447,1488600
2026-04-03,88.5447,90.5614,88.5447,90.5614,1301600
2026-04-04,90.5614,90.5614,87.6133,87.6133,1546300
2026-04-05,87.6133,89.4295,87.6133,89.4295,565300
2026-04-06,89.4295,89.4295,88.5529,88.5529,1571200
2026-04-07,88.5529,88.5529,87.6360,87.6360,2829000
2026-04-08,87.6360,90.9002,87.6360,90.9002,2971700
2026-04-09,90.9002,90.9002,87.8102,87.8102,4236800
2026-04-10,87.8102,92.5480,87.8102,92.5480,1795200
2026-04-11,92.5480,92.5480,91.7351,91.7351,1505000
2026-04-12,91.7351,92.3817,91.7351,92.3817,3388800
2026-04-13,92.3817,93.9009,92.3817,93.9009,2997500
2026-04-14,93.9009,94.9257,93.9009,94.9257,562900
2026-04-15,94.9257,94.9257,86.6254,86.6254,4982600
2026-04-16,86.6254,86.6254,84.0982,84.0982,105200
2026-04-17,84.0982,86.8933,84.0982,86.8933,3237000
