date,open,high,low,close,volume
2026-01-01,40.0000,41.5918,40.0000,41.5918,3185400
2026-01-02,41.5918,44.2224,41.5918,44.2224,3358100
2026-01-03,44.2224,44.5761,44.2224,44.5761,4825700
2026-01-04,44.5761,44.5761,43.3777,43.3777,760100
2026-01-05,43.3777,43.3777,41.5635,41.5635,3368000
2026-01-06,41.5635,41.5635,39.6153,39.6153,3527800
2026-01-07,39.6153,42.2573,39.6153,42.2573,2506600
2026-01-08,42.2573,42.2573,40.3833,40.3833,207900
2026-01-09,40.3833,40.4731,40.3833,40.4731,3667300
2026-01-10,40.4731,41.3118,40.4731,41.3118,2084700
2026-01-11,41.3118,43.3929,41.3118,43.3929,1572900
2026-01-12,43.3929,43.5584,43.3929,43.5584,29400
2026-01-13,43.5584,45.1733,43.5584,45.1733,2244600
2026-01-14,45.1733,48.6765,45.1733,48.6765,1354000
2026-01-15,48.6765,49.6627,48.6765,49.6627,2296900
2026-01-16,49.6627,51.4941,49.6627,51.4941,1299700
2026-01-17,51.4941,54.1697,51.4941,54.1697,4772600
2026-01-18,54.1697,54.1697,53.8810,53.8810,4681400
2026-01-19,53.8810,53.8810,52.0749,52.0749,1987100
2026-01-20,52.0749,54.4407,52.0749,54.4407,388400
2026-01-21,54.4407,54.4407,51.6096,51.6096,4049900
2026-01-22,51.6096,51.6096,49.9587,49.9587,2963600
2026-01-23,49.9587,49.9587,48.4630,48.4630,3054600
2026-01-24,48.4630,48.4630,46.6669,46.6669,4067500
2026-01-25,46.6669,46.6669,45.4389,45.4389,1203700
2026-01-26,45.4389,45.5341,45.4389,45.5341,2737400
2026-01-27,45.5341,47.0645,45.5341,47.0645,3510900
2026-01-28,47.0645,49.3790,47.0645,49.3790,1954900
2026-01-29,49.3790,50.0884,49.3790,50.0884,993000
2026-01-30,50.0884,52.8728,50.0884,52.8728,699400
2026-01-31,52.8728,52.8728,51.6370,51.6370,4822000
2026-02-01,51.6370,53.1370,51.6370,53.1370,376700
2026-02-02,53.1370,55.0894,53.1370,55.0894,4704600
2026-02-03,55.0894,56.7506,55.0894,56.7506,1988000
2026-02-04,56.7506,58.8787,56.7506,58.8787,992600
2026-02-05,58.8787,58.8787,55.1564,55.1564,3249700
2026-02-06,55.1564,55.3430,55.1564,55.3430,3624900
2026-02-07,55.3430,56.9954,55.3430,56.9954,1179400
2026-02-08,56.9954,58.4832,56.9954,58.4832,1381200
2026-02-09,58.4832,58.4832,57.9274,57.9274,1748900
2026-02-10,57.9274,62.3822,57.9274,62.3822,814900
2026-02-11,62.3822,62.3822,59.4359,59.4359,4543400
2026-02-12,59.4359,60.7297,59.4359,60.7297,1084300
2026-02-13,60.7297,60.7297,59.6774,59.6774,3364300
2026-02-14,59.6774,61.0542,59.6774,61.0542,2567400
2026-02-15,61.0542,61.6737,61.0542,61.6737,602700
2026-02-16,61.6737,61.6737,60.8296,60.8296,4758800
2026-02-17,60.8296,63.2831,60.8296,63.2831,324800
2026-02-18,63.2831,64.9777,63.2831,64.9777,3096300
2026-02-19,64.9777,64.9777,64.1433,64.1433,3410000
2026-02-20,64.1433,65.6999,64.1433,65.6999,3694500
2026-02-21,65.6999,66.8911,65.6999,66.8911,1308500
2026-02-22,66.8911,68.3666,66.8911,68.3666,816900
2026-02-23,68.3666,68.3666,65.6492,65.6492,3655700
2026-02-24,65.6492,65.6492,64.7199,64.7199,3235000
2026-02-25,64.7199,67.0615,64.7199,67.0615,2493200
2026-02-26,67.0615,69.0558,67.0615,69.0558,4199300
2026-02-27,69.0558,69.0558,69.0347,69.0347,4658300
2026-02-28,69.0347,69.4245,69.0347,69.4245,768600
2026-03-01,69.4245,69.4245,63.8863,63.8863,3394400
2026-03-02,63.8863,66.4746,63.8863,66.4746,4963100
2026-03-03,66.4746,67.6857,66.4746,67.6857,2025900
2026-03-04,67.6857,69.1510,67.6857,69.1510,3168200
2026-03-05,69.1510,69.1510,66.7028,66.7028,1505400
2026-03-06,66.7028,66.7028,65.5501,65.5501,1974300
2026-03-07,65.5501,68.4899,65.5501,68.4899,1723900
2026-03-08,68.4899,71.5920,68.4899,71.5920,2116600
2026-03-09,71.5920,71.5920,70.0253,70.0253,2507200
2026-03-10,70.0253,70.0253,69.4667,69.4667,364600
2026-03-11,69.4667,71.7493,69.4667,71.7493,547400
2026-03-12,71.7493,76.5323,71.7493,76.5323,2204000
2026-03-13,76.5323,76.5323,75.8447,75.8447,261700
2026-03-14,75.8447,77.2545,75.8447,77.2545,1215900
2026-03-15,77.2545,77.2545,73.1255,73.1255,2784000
2026-03-16,73.1255,73.1255,71.0570,71.0570,55500
2026-03-17,71.0570,71.0570,69.2030,69.2030,1445800
2026-03-18,69.2030,70.7317,69.2030,70.7317,3265300
2026-03-19,70.7317,70.7317,67.7932,67.7932,74900
2026-03-20,67.7932,69.6519,67.7932,69.6519,2461200
2026-03-21,69.6519,72.2145,69.6519,72.2145,408900
2026-03-22,72.2145,73.8165,72.2145,73.8165,4736100
2026-03-23,73.8165,77.4598,73.8165,77.4598,4083100
2026-03-24,77.4598,77.4598,71.9843,71.9843,3214900
2026-03-25,71.9843,72.8888,71.9843,72.8888,2733700
2026-03-26,72.8888,73.3905,72.8888,73.3905,1665400
2026-03-27,73.3905,75.1767,73.3905,75.1767,4033400
2026-03-28,75.1767,77.4327,75.1767,77.4327,4605400
2026-03-29,77.4327,77.4327,76.5804,76.5804,2657900
2026-03-30,76.5804,76.5804,76.2839,76.2839,2994100
2026-03-31,76.2839,76.2839,75.9919,75.9919,336000
2026-04-01,75.9919,75.9919,74.3584,74.3584,91300
2026-04-02,74.3584,74.3584,72.7149,72.7149,4573300
2026-04-03,72.7149,75.8061,72.7149,75.8061,1943600
2026-04-04,75.8061,75.8061,72.3573,72.3573,3502200
2026-04-05,72.3573,75.7633,72.3573,75.7633,1197200
2026-04-06,75.7633,75.7633,74.9557,74.9557,3306700
2026-04-07,74.9557,75.0909,74.9557,75.0909,4908200
2026-04-08,75.0909,76.6229,75.0909,76.6229,3822000
2026-04-09,76.6229,76.6229,75.9833,75.9833,4100200
2026-04-10,75.9833,83.2955,75.9833,83.2955,1462900
2026-04-11,83.2955,83.2955,83.2654,83.2654,3434700
2026-04-12,83.2654,83.6228,83.2654,83.6228,4327800
2026-04-13,83.6228,84.6356,83.6228,84.6356,1829300
2026-04-14,84.6356,86.0521,84.6356,86.0521,1239000
2026-04-15,86.0521,86.0521,80.5826,80.5826,4080800
2026-04-16,80.5826,80.5826,78.6365,78.6365,3679800
2026-04-17,78.6365,80.9550,78.6365,80.9550,3064900
2026-04-18,80.9550,81.5656,80.9550,81.5656,3224500
2026-04-19,81.5656,81.5656,70.4743,70.4743,2665100
2026-04-20,70.4743,70.4743,70.1285,70.1285,1166900
2026-04-21,70.1285,70.1285,67.5246,67.5246,4243200
2026-04-22,67.5246,67.5246,64.6777,64.6777,4753900
2026-04-23,64.6777,66.6900,64.6777,66.6900,4340400
2026-04-24,66.6900,67.9840,66.6900,67.9840,440600
2026-04-25,67.9840,67.9840,64.2317,64.2317,3021200
2026-04-26,64.2317,64.2317,63.5633,63.5633,2708000
2026-04-27,63.5633,64.6031,63.5633,64.6031,3823800
2026-04-28,64.6031,64.8784,64.6031,64.8784,4440400
2026-04-29,64.8784,64.8784,62.9744,62.9744,507900
2026-04-30,62.9744,63.2921,62.9744,63.2921,122900
2026-05-01,63.2921,63.2921,62.8441,62.8441,2859700
2026-05-02,62.8441,62.8441,62.5527,62.5527,4774800
2026-05-03,62.5527,64.9359,62.5527,64.9359,1365700
2026-05-04,64.9359,64.9359,64.4394,64.4394,1889900
2026-05-05,64.4394,66.2966,64.4394,66.2966,4871600
2026-05-06,66.2966,66.2966,65.4678,65.4678,1843700
2026-05-07,65.4678,68.6810,65.4678,68.6810,459100
2026-05-08,68.6810,75.0280,68.6810,75.0280,2861800
2026-05-09,75.0280,75.0280,72.3013,72.3013,690300
2026-05-10,72.3013,72.3133,72.3013,72.3133,3440800
