date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.8524,99.8524,2477100
2026-01-02,99.8524,100.0852,99.8524,100.0852,2570100
2026-01-05,100.0852,100.6519,100.0852,100.6519,3892800
2026-01-06,100.6519,100.7658,100.6519,100.7658,2047400
2026-01-07,100.7658,101.9393,100.7658,101.9393,4174400
2026-01-08,101.9393,102.5917,101.9393,102.5917,2104100
2026-01-09,102.5917,102.5917,100.8747,100.8747,3596300
2026-01-12,100.8747,100.8747,98.8835,98.8835,1825000
2026-01-13,98.8835,100.1411,98.8835,100.1411,4040200
2026-01-14,100.1411,102.8026,100.1411,102.8026,3951200
2026-01-15,102.8026,102.8026,101.1494,101.1494,3847500
2026-01-16,101.1494,102.4092,101.1494,102.4092,4856900
2026-01-19,102.4092,102.4281,102.4092,102.4281,2443500
2026-01-20,102.4281,102.6252,102.4281,102.6252,4785400
2026-01-21,102.6252,103.2770,102.6252,103.2770,893700
2026-01-22,103.2770,103.2770,102.8685,102.8685,2617800
2026-01-23,102.8685,102.8685,101.0535,101.0535,16200
2026-01-26,101.0535,101.0535,100.7999,100.7999,1374300
2026-01-27,100.7999,100.7999,98.2110,98.2110,981700
2026-01-28,98.2110,98.2673,98.2110,98.2673,1278100
2026-01-29,98.2673,98.2673,97.4950,97.4950,4539500
2026-01-30,97.4950,97.5220,97.4950,97.5220,2414400
2026-02-02,97.5220,97.5220,96.5027,96.5027,1949400
2026-02-03,96.5027,96.5027,96.0210,96.0210,483300
2026-02-04,96.0210,96.0210,95.7970,95.7970,4059900
2026-02-05,95.7970,96.6055,95.7970,96.6055,1811400
2026-02-06,96.6055,97.4747,96.6055,97.4747,3372100
2026-02-09,97.4747,99.8790,97.4747,99.8790,1659100
2026-02-10,99.8790,99.9525,99.8790,99.9525,4193800
2026-02-11,99.9525,101.2106,99.9525,101.2106,4474600
2026-02-12,101.2106,101.2106,100.8097,100.8097,4826900
2026-02-13,100.8097,100.8097,98.8401,98.8401,2006800
2026-02-16,98.8401,99.2564,98.8401,99.2564,376400
2026-02-17,99.2564,99.2564,98.3352,98.3352,2127300
2026-02-18,98.3352,98.3352,97.5088,97.5088,4460800
2026-02-19,97.5088,97.5088,97.1074,97.1074,1889400
2026-02-20,97.1074,97.3510,97.1074,97.3510,2370600
2026-02-23,97.3510,97.3510,95.9163,95.9163,3253200
2026-02-24,95.9163,97.2541,95.9163,97.2541,1095600
2026-02-25,97.2541,97.2541,95.7523,95.7523,4340600
2026-02-26,95.7523,95.7523,94.3860,94.3860,1134400
2026-02-27,94.3860,94.3860,93.2045,93.2045,4439200
2026-03-02,93.2045,93.2045,92.3888,92.3888,2118400
2026-03-03,92.3888,93.1180,92.3888,93.1180,1284700
2026-03-04,93.1180,94.0192,93.1180,94.0192,1243400
2026-03-05,94.0192,94.0192,93.0502,93.0502,4344900
2026-03-06,93.0502,93.4778,93.0502,93.4778,2163200
2026-03-09,93.4778,93.4778,91.8008,91.8008,4559700
2026-03-10,91.8008,91.8008,91.0661,91.0661,1398800
2026-03-11,91.0661,91.0661,90.0403,90.0403,2657100
2026-03-12,90.0403,90.0403,89.8468,89.8468,2889100
2026-03-13,89.8468,90.9156,89.8468,90.9156,3737500
2026-03-16,90.9156,90.9156,88.7041,88.7041,884800
2026-03-17,88.7041,88.7041,88.2407,88.2407,541700
2026-03-18,88.2407,89.5719,88.2407,89.5719,334700
2026-03-19,89.5719,90.8751,89.5719,90.8751,342300
2026-03-20,90.8751,90.8751,90.4834,90.4834,2117300
2026-03-23,90.4834,90.4834,88.8654,88.8654,4810100
2026-03-24,88.8654,89.0518,88.8654,89.0518,2869000
