date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.7631,99.7631,1838300
2026-01-02,99.7631,99.7631,99.4208,99.4208,176600
2026-01-05,99.4208,100.1975,99.4208,100.1975,4441100
2026-01-06,100.1975,100.1975,98.8806,98.8806,2567500
2026-01-07,98.8806,100.0768,98.8806,100.0768,682300
2026-01-08,100.0768,100.0768,99.5792,99.5792,395800
2026-01-09,99.5792,99.5792,98.0837,98.0837,371100
2026-01-12,98.0837,98.0837,97.3289,97.3289,28700
2026-01-13,97.3289,97.4609,97.3289,97.4609,746900
2026-01-14,97.4609,99.2559,97.4609,99.2559,4938200
2026-01-15,99.2559,99.2559,97.8751,97.8751,740500
2026-01-16,97.8751,98.9937,97.8751,98.9937,2633300
2026-01-19,98.9937,99.8427,98.9937,99.8427,3151800
2026-01-20,99.8427,99.8427,99.6770,99.6770,612500
2026-01-21,99.6770,99.6770,99.4781,99.4781,2718200
2026-01-22,99.4781,99.4781,97.9694,97.9694,2849900
2026-01-23,97.9694,97.9694,97.3860,97.3860,595900
2026-01-26,97.3860,97.3860,95.4971,95.4971,2891500
2026-01-27,95.4971,95.4971,94.1352,94.1352,4747300
2026-01-28,94.1352,94.4954,94.1352,94.4954,297800
2026-01-29,94.4954,94.4954,93.7806,93.7806,2890100
2026-01-30,93.7806,93.7806,92.8485,92.8485,3769300
2026-02-02,92.8485,92.8485,90.7889,90.7889,309600
2026-02-03,90.7889,90.7889,89.6782,89.6782,2805200
2026-02-04,89.6782,90.5289,89.6782,90.5289,550100
2026-02-05,90.5289,91.0828,90.5289,91.0828,1003200
2026-02-06,91.0828,91.7237,91.0828,91.7237,2197600
2026-02-09,91.7237,92.1872,91.7237,92.1872,1880700
2026-02-10,92.1872,92.1872,92.0669,92.0669,3571300
2026-02-11,92.0669,93.2862,92.0669,93.2862,3803600
2026-02-12,93.2862,93.2862,92.9176,92.9176,2380900
2026-02-13,92.9176,93.6569,92.9176,93.6569,4309100
2026-02-16,93.6569,93.6569,93.4513,93.4513,2897700
2026-02-17,93.4513,93.4513,92.5877,92.5877,1941800
2026-02-18,92.5877,92.5877,92.5831,92.5831,3871700
2026-02-19,92.5831,92.7052,92.5831,92.7052,1134800
2026-02-20,92.7052,92.7052,92.4378,92.4378,4658500
2026-02-23,92.4378,92.4378,92.1037,92.1037,2665700
2026-02-24,92.1037,92.8736,92.1037,92.8736,4913400
2026-02-25,92.8736,92.8736,92.6950,92.6950,3564400
2026-02-26,92.6950,92.6950,92.2405,92.2405,2855100
2026-02-27,92.2405,92.2405,92.1673,92.1673,3689300
2026-03-02,92.1673,92.1673,91.8253,91.8253,4357900
2026-03-03,91.8253,92.9784,91.8253,92.9784,3535300
2026-03-04,92.9784,94.2958,92.9784,94.2958,581200
2026-03-05,94.2958,94.2958,92.7736,92.7736,662200
2026-03-06,92.7736,92.7736,92.1738,92.1738,4028700
2026-03-09,92.1738,92.1738,92.1644,92.1644,1148900
2026-03-10,92.1644,92.1644,91.6652,91.6652,3194100
2026-03-11,91.6652,91.6652,90.1419,90.1419,3181200
2026-03-12,90.1419,90.2495,90.1419,90.2495,1959600
2026-03-13,90.2495,91.3239,90.2495,91.3239,549500
2026-03-16,91.3239,91.3239,89.4604,89.4604,1056000
2026-03-17,89.4604,89.4604,89.3771,89.3771,3526900
2026-03-18,89.3771,90.2837,89.3771,90.2837,237900
2026-03-19,90.2837,90.2837,90.1695,90.1695,2529500
2026-03-20,90.1695,90.1695,89.8661,89.8661,3856300
2026-03-23,89.8661,89.8661,88.5999,88.5999,1686200
2026-03-24,88.5999,89.2745,88.5999,89.2745,2952800
2026-03-25,89.2745,90.1181,89.2745,90.1181,3745700
2026-03-26,90.1181,90.1181,90.0914,90.0914,4289500
2026-03-27,90.0914,90.0914,89.5204,89.5204,2949900
2026-03-30,89.5204,89.5204,88.3322,88.3322,1086700
2026-03-31,88.3322,88.3322,87.9341,87.9341,2432000
2026-04-01,87.9341,87.9341,86.8377,86.8377,3947900
2026-04-02,86.8377,86.8377,85.6881,85.6881,1034000
2026-04-03,85.6881,85.6881,84.6405,84.6405,1522100
2026-04-06,84.6405,84.7867,84.6405,84.7867,1713400
2026-04-07,84.7867,84.7867,84.2326,84.2326,4214900
2026-04-08,84.2326,84.2326,83.3865,83.3865,824100
2026-04-09,83.3865,83.4367,83.3865,83.4367,978200
2026-04-10,83.4367,84.1262,83.4367,84.1262,3119300
2026-04-13,84.1262,84.7101,84.1262,84.7101,303600
2026-04-14,84.7101,84.7101,83.7482,83.7482,1589000
2026-04-15,83.7482,83.7482,82.7392,82.7392,940900
2026-04-16,82.7392,82.7392,82.4556,82.4556,1098500
2026-04-17,82.4556,82.4556,81.9036,81.9036,3989400
2026-04-20,81.9036,81.9036,80.9377,80.9377,1308300
2026-04-21,80.9377,80.9377,80.0384,80.0384,3056400
2026-04-22,80.0384,80.1322,80.0384,80.1322,4009800
2026-04-23,80.1322,80.1322,79.2733,79.2733,233300
2026-04-24,79.2733,79.2733,79.1150,79.1150,474100
2026-04-27,79.1150,79.1150,78.3685,78.3685,4910600
2026-04-28,78.3685,78.3685,77.5749,77.5749,2809200
2026-04-29,77.5749,77.5749,75.6436,75.6436,1599100
2026-04-30,75.6436,75.6436,75.2839,75.2839,4094700
2026-05-01,75.2839,76.1453,75.2839,76.1453,4986100
2026-05-04,76.1453,76.1453,75.7587,75.7587,1096400
2026-05-05,75.7587,75.7587,74.7654,74.7654,2757800
2026-05-06,74.7654,74.7654,74.2358,74.2358,2596400
2026-05-07,74.2358,75.5668,74.2358,75.5668,4685700
2026-05-08,75.5668,75.8165,75.5668,75.8165,2911700
2026-05-11,75.8165,76.4476,75.8165,76.4476,4292200
2026-05-12,76.4476,76.4476,75.4176,75.4176,4902200
2026-05-13,75.4176,75.4176,74.5705,74.5705,1685300
2026-05-14,74.5705,74.7465,74.5705,74.7465,387900
2026-05-15,74.7465,75.1701,74.7465,75.1701,938500
2026-05-18,75.1701,75.1701,74.8228,74.8228,3096500
2026-05-19,74.8228,74.8888,74.8228,74.8888,4620400
2026-05-20,74.8888,74.8888,74.5705,74.5705,4942100
2026-05-21,74.5705,74.5705,72.9958,72.9958,2017200
2026-05-22,72.9958,73.8360,72.9958,73.8360,4920900
2026-05-25,73.8360,75.4106,73.8360,75.4106,914800
2026-05-26,75.4106,75.4106,74.7608,74.7608,3889200
2026-05-27,74.7608,74.7608,73.7766,73.7766,2997000
2026-05-28,73.7766,73.8811,73.7766,73.8811,1937200
2026-05-29,73.8811,73.8811,73.7581,73.7581,2027900
2026-06-01,73.7581,74.3639,73.7581,74.3639,4334400
2026-06-02,74.3639,74.3639,74.2386,74.2386,620600
2026-06-03,74.2386,75.6286,74.2386,75.6286,4584400
2026-06-04,75.6286,75.6286,75.4215,75.4215,3328200
2026-06-05,75.4215,75.4215,74.9223,74.9223,3092600
2026-06-08,74.9223,74.9223,74.6801,74.6801,3633600
2026-06-09,74.6801,75.1866,74.6801,75.1866,1701000
2026-06-10,75.1866,75.6915,75.1866,75.6915,1686100
2026-06-11,75.6915,75.6915,74.0440,74.0440,1634400
2026-06-12,74.0440,74.1076,74.0440,74.1076,2672700
2026-06-15,74.1076,74.1076,73.5476,73.5476,4005400
2026-06-16,73.5476,75.3462,73.5476,75.3462,633400
2026-06-17,75.3462,75.8949,75.3462,75.8949,909200
2026-06-18,75.8949,76.3342,75.8949,76.3342,4779500
2026-06-19,76.3342,76.8782,76.3342,76.8782,2843400
2026-06-22,76.8782,76.8782,76.1573,76.1573,1634400
