date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.8657,99.8657,1391300
2026-01-02,99.8657,99.8657,99.5993,99.5993,4327200
2026-01-05,99.5993,100.4916,99.5993,100.4916,1071600
2026-01-06,100.4916,100.4916,100.3722,100.3722,3941900
2026-01-07,100.3722,101.7032,100.3722,101.7032,4528100
2026-01-08,101.7032,102.7888,101.7032,102.7888,1513100
2026-01-09,102.7888,102.7888,100.8393,100.8393,3843300
2026-01-12,100.8393,100.8393,98.5084,98.5084,1947200
2026-01-13,98.5084,98.8237,98.5084,98.8237,2146900
2026-01-14,98.8237,100.1448,98.8237,100.1448,2279200
2026-01-15,100.1448,100.1448,99.0057,99.0057,4444500
2026-01-16,99.0057,101.3820,99.0057,101.3820,1137100
2026-01-19,101.3820,101.9318,101.3820,101.9318,1059000
2026-01-20,101.9318,101.9318,101.7831,101.7831,4941000
2026-01-21,101.7831,103.7358,101.7831,103.7358,1649600
2026-01-22,103.7358,103.7358,101.6824,101.6824,510000
2026-01-23,101.6824,101.6824,100.9347,100.9347,186600
2026-01-26,100.9347,100.9347,99.8108,99.8108,2969400
2026-01-27,99.8108,99.8108,99.1175,99.1175,4370600
2026-01-28,99.1175,99.1175,97.8752,97.8752,4257900
2026-01-29,97.8752,97.8752,97.4311,97.4311,364500
2026-01-30,97.4311,97.4311,95.6793,95.6793,4026200
2026-02-02,95.6793,95.6793,95.0349,95.0349,4045500
2026-02-03,95.0349,95.0349,94.6151,94.6151,4414000
2026-02-04,94.6151,94.6151,94.5641,94.5641,2780800
2026-02-05,94.5641,96.0899,94.5641,96.0899,3988300
2026-02-06,96.0899,97.2558,96.0899,97.2558,4551200
2026-02-09,97.2558,98.8123,97.2558,98.8123,3816200
2026-02-10,98.8123,98.8123,97.8372,97.8372,1809400
2026-02-11,97.8372,97.9448,97.8372,97.9448,2157000
2026-02-12,97.9448,97.9448,96.4826,96.4826,74100
2026-02-13,96.4826,96.4826,96.3843,96.3843,2099200
2026-02-16,96.3843,97.0086,96.3843,97.0086,564400
2026-02-17,97.0086,97.0086,96.8515,96.8515,1182900
2026-02-18,96.8515,96.8515,95.6244,95.6244,4564600
2026-02-19,95.6244,95.6244,95.2187,95.2187,305900
2026-02-20,95.2187,95.2187,94.0197,94.0197,809300
2026-02-23,94.0197,94.0197,93.2951,93.2951,2531900
2026-02-24,93.2951,94.6584,93.2951,94.6584,1137700
2026-02-25,94.6584,94.6584,93.4373,93.4373,4487300
2026-02-26,93.4373,93.4373,92.0561,92.0561,2105000
2026-02-27,92.0561,92.0561,90.3784,90.3784,425900
2026-03-02,90.3784,90.3784,89.6485,89.6485,1406300
2026-03-03,89.6485,90.0419,89.6485,90.0419,2085500
2026-03-04,90.0419,90.5989,90.0419,90.5989,4712300
2026-03-05,90.5989,90.5989,89.9659,89.9659,1859900
2026-03-06,89.9659,91.1151,89.9659,91.1151,283700
2026-03-09,91.1151,91.6035,91.1151,91.6035,4952600
2026-03-10,91.6035,91.6035,91.0717,91.0717,4831800
2026-03-11,91.0717,91.0717,89.5282,89.5282,974300
2026-03-12,89.5282,89.5282,88.9666,88.9666,4800700
2026-03-13,88.9666,89.2455,88.9666,89.2455,1602900
2026-03-16,89.2455,89.2455,88.8008,88.8008,2964600
2026-03-17,88.8008,88.8008,88.2011,88.2011,1999000
2026-03-18,88.2011,88.9359,88.2011,88.9359,766600
2026-03-19,88.9359,89.3279,88.9359,89.3279,4323500
2026-03-20,89.3279,89.5685,89.3279,89.5685,2508000
2026-03-23,89.5685,89.5685,88.5571,88.5571,4985200
2026-03-24,88.5571,89.8260,88.5571,89.8260,2754000
2026-03-25,89.8260,90.0137,89.8260,90.0137,4554000
2026-03-26,90.0137,90.0137,89.9936,89.9936,1151100
2026-03-27,89.9936,89.9936,89.0060,89.0060,16500
2026-03-30,89.0060,89.0060,87.3131,87.3131,3552800
2026-03-31,87.3131,87.3131,86.3798,86.3798,4954600
2026-04-01,86.3798,86.3798,84.9691,84.9691,4705300
2026-04-02,84.9691,84.9691,84.6576,84.6576,1284700
2026-04-03,84.6576,84.6576,84.3653,84.3653,2758700
2026-04-06,84.3653,84.3653,84.1370,84.1370,2858800
2026-04-07,84.1370,84.1370,84.1165,84.1165,1490900
2026-04-08,84.1165,84.1165,83.4160,83.4160,1524400
2026-04-09,83.4160,83.5310,83.4160,83.5310,875000
2026-04-10,83.5310,84.3842,83.5310,84.3842,2562500
2026-04-13,84.3842,85.4739,84.3842,85.4739,4400600
2026-04-14,85.4739,85.7254,85.4739,85.7254,3445700
2026-04-15,85.7254,89.8913,85.7254,89.8913,280900
2026-04-16,89.8913,89.8913,89.3266,89.3266,3134100
2026-04-17,89.3266,89.3266,88.3870,88.3870,2395700
2026-04-20,88.3870,88.3870,87.4244,87.4244,1997600
2026-04-21,87.4244,87.4244,86.9803,86.9803,2698300
2026-04-22,86.9803,87.0817,86.9803,87.0817,301700
2026-04-23,87.0817,87.9688,87.0817,87.9688,4992400
2026-04-24,87.9688,88.4973,87.9688,88.4973,2173400
2026-04-27,88.4973,88.4973,87.8570,87.8570,2886200
2026-04-28,87.8570,87.8570,86.3900,86.3900,2950000
2026-04-29,86.3900,86.3900,84.7062,84.7062,2354800
2026-04-30,84.7062,84.7062,84.1575,84.1575,3965000
2026-05-01,84.1575,84.6352,84.1575,84.6352,1601200
2026-05-04,84.6352,84.9994,84.6352,84.9994,4994100
2026-05-05,84.9994,84.9994,83.6469,83.6469,4420100
2026-05-06,83.6469,83.9339,83.6469,83.9339,395800
2026-05-07,83.9339,85.0285,83.9339,85.0285,4201800
2026-05-08,85.0285,85.8381,85.0285,85.8381,2574800
2026-05-11,85.8381,85.8381,85.0109,85.0109,851700
2026-05-12,85.0109,85.0109,84.3687,84.3687,3193600
