date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.1327,99.1327,3357200
2026-01-02,99.1327,100.1772,99.1327,100.1772,632800
2026-01-05,100.1772,100.1772,100.0108,100.0108,2363200
2026-01-06,100.0108,100.0108,98.8743,98.8743,3536200
2026-01-07,98.8743,99.9457,98.8743,99.9457,2747100
2026-01-08,99.9457,101.3812,99.9457,101.3812,711900
2026-01-09,101.3812,101.3812,99.5874,99.5874,1145200
2026-01-12,99.5874,99.5874,97.9693,97.9693,360900
2026-01-13,97.9693,98.3331,97.9693,98.3331,987600
2026-01-14,98.3331,100.9439,98.3331,100.9439,753800
2026-01-15,100.9439,100.9439,99.1714,99.1714,2296400
2026-01-16,99.1714,102.0656,99.1714,102.0656,60900
2026-01-19,102.0656,102.3809,102.0656,102.3809,468000
2026-01-20,102.3809,102.9530,102.3809,102.9530,347300
2026-01-21,102.9530,103.3422,102.9530,103.3422,2565200
2026-01-22,103.3422,103.3422,102.6253,102.6253,1229900
2026-01-23,102.6253,102.6253,100.8540,100.8540,3055100
2026-01-26,100.8540,100.8540,99.6605,99.6605,2814800
2026-01-27,99.6605,99.6605,99.2290,99.2290,1620700
2026-01-28,99.2290,99.9203,99.2290,99.9203,2351800
2026-01-29,99.9203,99.9203,99.7779,99.7779,3517800
2026-01-30,99.7779,99.7779,97.6322,97.6322,3422400
2026-02-02,97.6322,97.6322,96.9259,96.9259,3319800
2026-02-03,96.9259,96.9259,96.3088,96.3088,4238800
2026-02-04,96.3088,96.3088,95.8026,95.8026,4444400
2026-02-05,95.8026,96.0910,95.8026,96.0910,964800
2026-02-06,96.0910,97.7452,96.0910,97.7452,64100
2026-02-09,97.7452,99.5512,97.7452,99.5512,4030100
2026-02-10,99.5512,99.5512,99.1131,99.1131,45000
2026-02-11,99.1131,100.0412,99.1131,100.0412,596000
2026-02-12,100.0412,100.0412,99.9640,99.9640,4263400
2026-02-13,99.9640,99.9640,99.4705,99.4705,1701400
2026-02-16,99.4705,99.6694,99.4705,99.6694,1543500
2026-02-17,99.6694,99.6694,99.3978,99.3978,3782100
2026-02-18,99.3978,99.3978,98.5770,98.5770,2788500
2026-02-19,98.5770,99.4947,98.5770,99.4947,2725800
2026-02-20,99.4947,99.6812,99.4947,99.6812,3283800
2026-02-23,99.6812,99.9541,99.6812,99.9541,1699500
2026-02-24,99.9541,101.6378,99.9541,101.6378,4532900
2026-02-25,101.6378,101.6378,100.7124,100.7124,4847700
2026-02-26,100.7124,100.7124,99.3264,99.3264,1980100
2026-02-27,99.3264,99.3264,98.4121,98.4121,2493600
2026-03-02,98.4121,98.4708,98.4121,98.4708,173000
2026-03-03,98.4708,98.7386,98.4708,98.7386,4965400
2026-03-04,98.7386,99.7541,98.7386,99.7541,525200
2026-03-05,99.7541,99.7541,98.0082,98.0082,618300
2026-03-06,98.0082,98.2006,98.0082,98.2006,1770000
2026-03-09,98.2006,98.2006,97.3432,97.3432,2221300
2026-03-10,97.3432,97.6867,97.3432,97.6867,3995500
2026-03-11,97.6867,97.6867,96.7547,96.7547,2403200
2026-03-12,96.7547,96.7547,95.5978,95.5978,1554200
2026-03-13,95.5978,96.1433,95.5978,96.1433,1730800
2026-03-16,96.1433,96.1433,94.4933,94.4933,4131300
2026-03-17,94.4933,94.6918,94.4933,94.6918,2794600
2026-03-18,94.6918,96.1487,94.6918,96.1487,3189900
2026-03-19,96.1487,97.5508,96.1487,97.5508,4465500
2026-03-20,97.5508,97.5508,97.5472,97.5472,495200
2026-03-23,97.5472,97.5472,96.3077,96.3077,2032400
2026-03-24,96.3077,96.7021,96.3077,96.7021,3915200
2026-03-25,96.7021,97.8357,96.7021,97.8357,1213900
2026-03-26,97.8357,97.8357,97.2286,97.2286,4952600
2026-03-27,97.2286,97.2286,96.9776,96.9776,4412900
2026-03-30,96.9776,96.9776,95.5115,95.5115,3560600
2026-03-31,95.5115,95.5115,93.7072,93.7072,3449200
2026-04-01,93.7072,93.7072,93.5868,93.5868,4626800
2026-04-02,93.5868,93.5868,93.3805,93.3805,1403500
