date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.9355,99.9355,772600
2026-01-02,99.9355,99.9355,99.7371,99.7371,2647300
2026-01-05,99.7371,101.3365,99.7371,101.3365,1707500
2026-01-06,101.3365,101.3365,100.1367,100.1367,1161700
2026-01-07,100.1367,101.0508,100.1367,101.0508,2251100
2026-01-08,101.0508,101.3240,101.0508,101.3240,2233600
2026-01-09,101.3240,101.3240,99.3564,99.3564,3025200
2026-01-12,99.3564,99.3564,97.7701,97.7701,2410100
2026-01-13,97.7701,98.3387,97.7701,98.3387,3586400
2026-01-14,98.3387,101.1411,98.3387,101.1411,4700300
2026-01-15,101.1411,101.1411,99.7475,99.7475,2923500
2026-01-16,99.7475,100.7687,99.7475,100.7687,313400
2026-01-19,100.7687,101.8113,100.7687,101.8113,1577900
2026-01-20,101.8113,102.9499,101.8113,102.9499,4192100
2026-01-21,102.9499,103.9783,102.9499,103.9783,4875900
2026-01-22,103.9783,103.9783,103.4554,103.4554,701100
2026-01-23,103.4554,103.4554,102.5839,102.5839,4504400
2026-01-26,102.5839,102.5839,100.6942,100.6942,2417100
2026-01-27,100.6942,100.6942,99.0482,99.0482,1575900
2026-01-28,99.0482,99.2017,99.0482,99.2017,764600
2026-01-29,99.2017,99.2017,98.6140,98.6140,685600
2026-01-30,98.6140,98.6140,97.3884,97.3884,3076100
2026-02-02,97.3884,97.3884,96.2080,96.2080,3879700
2026-02-03,96.2080,96.2080,95.1305,95.1305,3717900
2026-02-04,95.1305,95.6637,95.1305,95.6637,4177300
2026-02-05,95.6637,95.6637,95.0665,95.0665,2379900
2026-02-06,95.0665,95.2120,95.0665,95.2120,856700
2026-02-09,95.2120,97.2481,95.2120,97.2481,1087800
2026-02-10,97.2481,98.0813,97.2481,98.0813,748500
2026-02-11,98.0813,99.1272,98.0813,99.1272,23600
2026-02-12,99.1272,99.1272,97.8902,97.8902,1425900
2026-02-13,97.8902,97.8902,96.8496,96.8496,85100
2026-02-16,96.8496,96.8496,96.8416,96.8416,4703500
2026-02-17,96.8416,96.8416,96.6497,96.6497,372000
2026-02-18,96.6497,96.6497,96.2048,96.2048,2744300
2026-02-19,96.2048,96.2048,96.0997,96.0997,1673400
2026-02-20,96.0997,96.7447,96.0997,96.7447,3050600
2026-02-23,96.7447,96.7447,95.8262,95.8262,203500
2026-02-24,95.8262,97.0241,95.8262,97.0241,4483600
2026-02-25,97.0241,97.0241,96.4115,96.4115,2152800
2026-02-26,96.4115,96.4115,95.3577,95.3577,2865900
2026-02-27,95.3577,95.3577,93.6524,93.6524,1600100
