date,open,high,low,close,volume
2026-01-01,100.0000,100.3593,100.0000,100.3593,4001500
2026-01-02,100.3593,100.3593,99.9976,99.9976,3624600
2026-01-05,99.9976,101.5979,99.9976,101.5979,1882000
2026-01-06,101.5979,101.5979,100.7172,100.7172,4727100
2026-01-07,100.7172,101.3888,100.7172,101.3888,4100800
2026-01-08,101.3888,102.8259,101.3888,102.8259,3572000
2026-01-09,102.8259,102.8259,101.4624,101.4624,2381700
2026-01-12,101.4624,101.4624,99.5164,99.5164,2996400
2026-01-13,99.5164,99.6895,99.5164,99.6895,529300
2026-01-14,99.6895,101.2094,99.6895,101.2094,1776700
2026-01-15,101.2094,101.2094,100.3275,100.3275,485200
2026-01-16,100.3275,101.8747,100.3275,101.8747,53100
2026-01-19,101.8747,102.1161,101.8747,102.1161,1746700
2026-01-20,102.1161,102.3587,102.1161,102.3587,687600
2026-01-21,102.3587,103.4854,102.3587,103.4854,2533500
2026-01-22,103.4854,103.4854,102.3138,102.3138,4191200
2026-01-23,102.3138,102.3138,101.2227,101.2227,4394300
2026-01-26,101.2227,101.2227,99.8213,99.8213,109600
2026-01-27,99.8213,99.8213,98.1818,98.1818,3898800
2026-01-28,98.1818,98.1818,98.1262,98.1262,3676500
2026-01-29,98.1262,98.1262,97.3492,97.3492,3818300
2026-01-30,97.3492,97.3492,95.5373,95.5373,621400
2026-02-02,95.5373,95.5373,94.1531,94.1531,4844100
2026-02-03,94.1531,94.1531,92.7763,92.7763,4961900
2026-02-04,92.7763,93.0354,92.7763,93.0354,55500
2026-02-05,93.0354,94.4923,93.0354,94.4923,2282700
2026-02-06,94.4923,94.8220,94.4923,94.8220,3930900
2026-02-09,94.8220,96.1103,94.8220,96.1103,2515700
2026-02-10,96.1103,96.1103,95.9487,95.9487,1252900
2026-02-11,95.9487,95.9487,95.7968,95.7968,4810400
2026-02-12,95.7968,95.7968,95.2717,95.2717,1125500
2026-02-13,95.2717,95.2717,93.9677,93.9677,1544100
2026-02-16,93.9677,94.9943,93.9677,94.9943,4235300
2026-02-17,94.9943,94.9943,94.3683,94.3683,1730900
2026-02-18,94.3683,94.3683,94.1982,94.1982,1731900
2026-02-19,94.1982,94.1982,93.9255,93.9255,2737300
2026-02-20,93.9255,93.9255,93.7515,93.7515,4845700
2026-02-23,93.7515,94.2408,93.7515,94.2408,2445900
2026-02-24,94.2408,95.2199,94.2408,95.2199,4884400
2026-02-25,95.2199,95.2199,94.8575,94.8575,4265500
2026-02-26,94.8575,94.8575,93.3177,93.3177,4194300
2026-02-27,93.3177,93.3177,92.4465,92.4465,4972900
2026-03-02,92.4465,92.5161,92.4465,92.5161,4715100
2026-03-03,92.5161,94.6316,92.5161,94.6316,2956800
2026-03-04,94.6316,96.2495,94.6316,96.2495,436100
2026-03-05,96.2495,96.2495,95.0913,95.0913,4222400
2026-03-06,95.0913,95.0913,94.5827,94.5827,2348500
2026-03-09,94.5827,94.5827,93.6316,93.6316,2997900
2026-03-10,93.6316,93.6316,93.3539,93.3539,4250400
2026-03-11,93.3539,93.3539,90.8954,90.8954,3768900
2026-03-12,90.8954,90.8954,90.2442,90.2442,3424800
2026-03-13,90.2442,90.8836,90.2442,90.8836,697600
2026-03-16,90.8836,90.8836,89.9678,89.9678,2567100
2026-03-17,89.9678,90.6793,89.9678,90.6793,2691500
2026-03-18,90.6793,92.1848,90.6793,92.1848,3034200
2026-03-19,92.1848,93.1160,92.1848,93.1160,2361500
2026-03-20,93.1160,93.2549,93.1160,93.2549,3575100
2026-03-23,93.2549,93.2549,92.4676,92.4676,4265500
2026-03-24,92.4676,94.0345,92.4676,94.0345,3576600
2026-03-25,94.0345,96.5050,94.0345,96.5050,2804200
2026-03-26,96.5050,96.9961,96.5050,96.9961,410800
2026-03-27,96.9961,96.9961,96.4624,96.4624,1330600
2026-03-30,96.4624,96.4624,95.2385,95.2385,597700
2026-03-31,95.2385,95.2385,94.5317,94.5317,4370900
2026-04-01,94.5317,94.5317,93.5474,93.5474,2029700
2026-04-02,93.5474,93.5474,93.1517,93.1517,2337900
2026-04-03,93.1517,93.1517,92.3748,92.3748,99800
2026-04-06,92.3748,92.8095,92.3748,92.8095,4853900
2026-04-07,92.8095,92.9711,92.8095,92.9711,3311600
2026-04-08,92.9711,92.9711,90.9286,90.9286,3349300
2026-04-09,90.9286,91.2505,90.9286,91.2505,2950900
2026-04-10,91.2505,91.8208,91.2505,91.8208,2132800
2026-04-13,91.8208,93.2896,91.8208,93.2896,1190200
2026-04-14,93.2896,93.2896,93.1101,93.1101,4705000
2026-04-15,93.1101,93.1101,92.0585,92.0585,2722700
2026-04-16,92.0585,92.0585,91.4649,91.4649,2102900
2026-04-17,91.4649,91.4649,89.8399,89.8399,938300
2026-04-20,89.8399,89.8399,88.5866,88.5866,4185700
2026-04-21,88.5866,88.7664,88.5866,88.7664,1466100
2026-04-22,88.7664,88.7664,87.9243,87.9243,3008500
2026-04-23,87.9243,87.9243,87.5634,87.5634,4833400
2026-04-24,87.5634,87.5634,86.8417,86.8417,3439500
2026-04-27,86.8417,86.8460,86.8417,86.8460,1768300
2026-04-28,86.8460,86.9425,86.8460,86.9425,1886100
2026-04-29,86.9425,86.9425,86.2160,86.2160,2839700
2026-04-30,86.2160,86.7886,86.2160,86.7886,21900
2026-05-01,86.7886,88.2490,86.7886,88.2490,644200
2026-05-04,88.2490,88.2490,82.2407,82.2407,1735500
2026-05-05,82.2407,82.2407,80.0846,80.0846,1662900
2026-05-06,80.0846,80.0846,79.6220,79.6220,2595100
2026-05-07,79.6220,80.7062,79.6220,80.7062,2306600
2026-05-08,80.7062,80.9183,80.7062,80.9183,769700
2026-05-11,80.9183,80.9183,80.8592,80.8592,1620200
2026-05-12,80.8592,80.8592,80.4373,80.4373,119800
2026-05-13,80.4373,80.4373,80.3820,80.3820,2819400
2026-05-14,80.3820,80.6848,80.3820,80.6848,3948500
2026-05-15,80.6848,81.1437,80.6848,81.1437,2183100
2026-05-18,81.1437,81.1500,81.1437,81.1500,4684700
2026-05-19,81.1500,81.1500,80.6050,80.6050,4091200
2026-05-20,80.6050,80.6050,79.9557,79.9557,3473200
2026-05-21,79.9557,79.9557,79.6147,79.6147,1803000
2026-05-22,79.6147,81.1569,79.6147,81.1569,1788600
2026-05-25,81.1569,82.0083,81.1569,82.0083,4318100
2026-05-26,82.0083,82.0083,80.9782,80.9782,3671800
2026-05-27,80.9782,80.9782,80.4472,80.4472,4246200
2026-05-28,80.4472,80.4472,79.6180,79.6180,3006300
2026-05-29,79.6180,79.6180,79.4766,79.4766,166400
2026-06-01,79.4766,80.3229,79.4766,80.3229,343700
2026-06-02,80.3229,80.3229,79.0240,79.0240,3779300
2026-06-03,79.0240,80.8972,79.0240,80.8972,853200
2026-06-04,80.8972,80.8972,80.5491,80.5491,1980400
2026-06-05,80.5491,80.5491,80.4526,80.4526,2996300
2026-06-08,80.4526,80.5901,80.4526,80.5901,1170200
2026-06-09,80.5901,80.8726,80.5901,80.8726,4864000
2026-06-10,80.8726,80.8726,80.1375,80.1375,3819700
2026-06-11,80.1375,80.2818,80.1375,80.2818,3530800
2026-06-12,80.2818,80.3992,80.2818,80.3992,1921100
2026-06-15,80.3992,80.3992,79.8689,79.8689,2700300
2026-06-16,79.8689,81.9343,79.8689,81.9343,1222700
2026-06-17,81.9343,82.3523,81.9343,82.3523,1079200
2026-06-18,82.3523,82.3523,82.1642,82.1642,2391000
2026-06-19,82.1642,82.2342,82.1642,82.2342,4720400
2026-06-22,82.2342,82.2342,81.5158,81.5158,2541000
2026-06-23,81.5158,81.5158,80.4295,80.4295,3343400
2026-06-24,80.4295,80.4295,79.4755,79.4755,2069000
2026-06-25,79.4755,79.4755,79.1178,79.1178,1169900
2026-06-26,79.1178,79.1178,78.5336,78.5336,3222100
2026-06-29,78.5336,79.7016,78.5336,79.7016,1105500
2026-06-30,79.7016,79.7016,78.8942,78.8942,181800
2026-07-01,78.8942,78.8942,78.8474,78.8474,3885400
2026-07-02,78.8474,78.8474,78.1992,78.1992,3690000
2026-07-03,78.1992,78.1992,78.1723,78.1723,2857500
2026-07-06,78.1723,78.1723,77.4676,77.4676,2729900
2026-07-07,77.4676,77.5843,77.4676,77.5843,4433700
2026-07-08,77.5843,79.1245,77.5843,79.1245,4904900
2026-07-09,79.1245,79.1245,77.7405,77.7405,1012800
2026-07-10,77.7405,77.7405,75.9198,75.9198,2777200
2026-07-13,75.9198,76.4155,75.9198,76.4155,481800
2026-07-14,76.4155,76.6045,76.4155,76.6045,1601100
2026-07-15,76.6045,77.3248,76.6045,77.3248,4621000
2026-07-16,77.3248,77.3843,77.3248,77.3843,4290600
2026-07-17,77.3843,77.3843,76.4106,76.4106,2812800
2026-07-20,76.4106,78.0475,76.4106,78.0475,2639400
2026-07-21,78.0475,80.0837,78.0475,80.0837,2012700
2026-07-22,80.0837,80.0837,79.8724,79.8724,4783900
2026-07-23,79.8724,79.8724,79.8633,79.8633,891600
2026-07-24,79.8633,79.8633,79.2592,79.2592,2300800
2026-07-27,79.2592,79.2592,76.9972,76.9972,3773200
2026-07-28,76.9972,78.1066,76.9972,78.1066,1067400
2026-07-29,78.1066,78.8935,78.1066,78.8935,1146600
2026-07-30,78.8935,80.5141,78.8935,80.5141,2034900
2026-07-31,80.5141,81.3673,80.5141,81.3673,3829200
2026-08-03,81.3673,81.3673,81.3081,81.3081,3460500
2026-08-04,81.3081,81.3081,80.5486,80.5486,395700
2026-08-05,80.5486,80.5486,80.4579,80.4579,602900
2026-08-06,80.4579,80.4579,80.1309,80.1309,2122700
2026-08-07,80.1309,80.5643,80.1309,80.5643,3280400
2026-08-10,80.5643,80.5643,80.4070,80.4070,750200
2026-08-11,80.4070,80.4070,77.8370,77.8370,2906900
2026-08-12,77.8370,77.8370,77.7078,77.7078,2218800
2026-08-13,77.7078,78.5896,77.7078,78.5896,1630700
2026-08-14,78.5896,78.5896,77.1658,77.1658,3933100
2026-08-17,77.1658,77.1658,76.4402,76.4402,2923700
2026-08-18,76.4402,76.7054,76.4402,76.7054,210900
2026-08-19,76.7054,76.7054,75.4805,75.4805,3949400
2026-08-20,75.4805,75.4805,74.8741,74.8741,3298500
2026-08-21,74.8741,76.1399,74.8741,76.1399,4759900
2026-08-24,76.1399,76.1399,75.5945,75.5945,3599700
2026-08-25,75.5945,76.3322,75.5945,76.3322,4487000
2026-08-26,76.3322,76.3322,76.2938,76.2938,3779900
2026-08-27,76.2938,76.2938,73.5418,73.5418,1086500
2026-08-28,73.5418,73.5418,73.4605,73.4605,4695400
2026-08-31,73.4605,74.6362,73.4605,74.6362,147200
2026-09-01,74.6362,74.6362,74.4185,74.4185,1581100
2026-09-02,74.4185,74.4185,74.0690,74.0690,1865800
2026-09-03,74.0690,74.0690,72.6532,72.6532,1624000
2026-09-04,72.6532,72.6532,72.3533,72.3533,4545500
2026-09-07,72.3533,72.3679,72.3533,72.3679,1674900
2026-09-08,72.3679,72.3679,70.2585,70.2585,547300
2026-09-09,70.2585,70.2585,69.8193,69.8193,4448500
