date,open,high,low,close,volume
2026-01-01,100.0000,100.1244,100.0000,100.1244,3503200
2026-01-02,100.1244,100.1244,100.0754,100.0754,2241400
2026-01-05,100.0754,100.3844,100.0754,100.3844,3484100
2026-01-06,100.3844,100.3844,99.5769,99.5769,4702500
2026-01-07,99.5769,99.5769,99.4235,99.4235,3259200
2026-01-08,99.4235,100.2967,99.4235,100.2967,2344500
2026-01-09,100.2967,100.2967,99.1871,99.1871,2166800
2026-01-12,99.1871,99.1871,97.8275,97.8275,1585500
2026-01-13,97.8275,97.9012,97.8275,97.9012,778400
2026-01-14,97.9012,100.0986,97.9012,100.0986,2074800
2026-01-15,100.0986,100.0986,99.7762,99.7762,4676200
2026-01-16,99.7762,102.1085,99.7762,102.1085,755300
2026-01-19,102.1085,103.0087,102.1085,103.0087,3447400
2026-01-20,103.0087,103.8277,103.0087,103.8277,4921800
2026-01-21,103.8277,103.9469,103.8277,103.9469,2120200
2026-01-22,103.9469,103.9469,101.7917,101.7917,4215800
2026-01-23,101.7917,101.7917,101.6897,101.6897,3900100
2026-01-26,101.6897,101.6897,99.5491,99.5491,2192900
2026-01-27,99.5491,99.5491,98.4550,98.4550,124500
2026-01-28,98.4550,98.4550,98.1418,98.1418,4432300
2026-01-29,98.1418,98.1418,97.3479,97.3479,2980500
2026-01-30,97.3479,97.3479,95.8906,95.8906,454000
2026-02-02,95.8906,95.8906,94.1335,94.1335,1634500
2026-02-03,94.1335,94.1335,92.6892,92.6892,3180900
2026-02-04,92.6892,92.8277,92.6892,92.8277,3989100
2026-02-05,92.8277,92.8277,92.8072,92.8072,1909900
2026-02-06,92.8072,93.8491,92.8072,93.8491,2868200
2026-02-09,93.8491,94.9566,93.8491,94.9566,3203000
2026-02-10,94.9566,95.5315,94.9566,95.5315,3407300
2026-02-11,95.5315,97.4774,95.5315,97.4774,2991000
2026-02-12,97.4774,97.4774,97.1864,97.1864,1027400
2026-02-13,97.1864,97.1864,96.8966,96.8966,2616500
2026-02-16,96.8966,98.0489,96.8966,98.0489,4178600
2026-02-17,98.0489,98.0489,97.4269,97.4269,4444000
2026-02-18,97.4269,97.4269,95.8847,95.8847,951700
2026-02-19,95.8847,95.8847,95.4621,95.4621,2179000
2026-02-20,95.4621,95.4621,94.6351,94.6351,4526800
2026-02-23,94.6351,94.6351,94.0570,94.0570,2269300
2026-02-24,94.0570,96.7418,94.0570,96.7418,2635200
2026-02-25,96.7418,96.7418,95.8646,95.8646,551500
2026-02-26,95.8646,95.8646,94.5977,94.5977,2694200
2026-02-27,94.5977,94.5977,92.7266,92.7266,2873300
2026-03-02,92.7266,92.7266,91.8321,91.8321,1633800
2026-03-03,91.8321,92.4860,91.8321,92.4860,4087600
2026-03-04,92.4860,93.8535,92.4860,93.8535,330100
2026-03-05,93.8535,93.8535,92.7399,92.7399,281000
2026-03-06,92.7399,92.7399,92.4672,92.4672,2648000
2026-03-09,92.4672,92.4672,92.4134,92.4134,1227400
2026-03-10,92.4134,92.4134,92.2180,92.2180,454800
2026-03-11,92.2180,92.2180,89.8165,89.8165,2720000
2026-03-12,89.8165,89.8165,88.4238,88.4238,3135500
2026-03-13,88.4238,88.8566,88.4238,88.8566,2596400
2026-03-16,88.8566,88.8566,87.4341,87.4341,2975600
2026-03-17,87.4341,87.9568,87.4341,87.9568,2600600
2026-03-18,87.9568,88.4970,87.9568,88.4970,2197800
2026-03-19,88.4970,91.2423,88.4970,91.2423,3110200
2026-03-20,91.2423,91.7341,91.2423,91.7341,4520100
2026-03-23,91.7341,91.7341,91.0948,91.0948,2944300
2026-03-24,91.0948,92.4124,91.0948,92.4124,523400
2026-03-25,92.4124,93.5478,92.4124,93.5478,3242700
2026-03-26,93.5478,93.5478,93.4015,93.4015,2196700
2026-03-27,93.4015,93.4015,93.1441,93.1441,2813000
2026-03-30,93.1441,93.1441,92.2585,92.2585,1275900
2026-03-31,92.2585,92.2585,91.5845,91.5845,1559400
2026-04-01,91.5845,91.5929,91.5845,91.5929,1041800
2026-04-02,91.5929,91.5929,91.1295,91.1295,328900
2026-04-03,91.1295,91.1295,90.7203,90.7203,401800
2026-04-06,90.7203,90.7203,89.7113,89.7113,3801000
2026-04-07,89.7113,89.8689,89.7113,89.8689,3450500
2026-04-08,89.8689,89.8689,88.5757,88.5757,2204000
2026-04-09,88.5757,89.4006,88.5757,89.4006,3734400
2026-04-10,89.4006,90.5537,89.4006,90.5537,473700
2026-04-13,90.5537,91.5866,90.5537,91.5866,951400
2026-04-14,91.5866,91.5866,91.2764,91.2764,1777500
2026-04-15,91.2764,91.2764,85.0773,85.0773,3112900
2026-04-16,85.0773,85.0773,83.6189,83.6189,208100
2026-04-17,83.6189,83.6189,81.9576,81.9576,4465300
2026-04-20,81.9576,81.9576,80.9304,80.9304,4062300
2026-04-21,80.9304,80.9304,79.2498,79.2498,4088700
2026-04-22,79.2498,79.2498,77.5262,77.5262,2758800
2026-04-23,77.5262,77.5262,76.9910,76.9910,4808400
2026-04-24,76.9910,77.6073,76.9910,77.6073,4568300
2026-04-27,77.6073,77.6073,77.3844,77.3844,2276500
2026-04-28,77.3844,77.3844,77.3080,77.3080,1046300
2026-04-29,77.3080,77.3080,76.4239,76.4239,4145900
2026-04-30,76.4239,76.6713,76.4239,76.6713,243900
2026-05-01,76.6713,77.4649,76.6713,77.4649,4717100
2026-05-04,77.4649,77.4649,77.3443,77.3443,2558900
2026-05-05,77.3443,77.3443,76.6358,76.6358,726300
2026-05-06,76.6358,77.8332,76.6358,77.8332,519900
2026-05-07,77.8332,78.9303,77.8332,78.9303,4894800
2026-05-08,78.9303,79.9888,78.9303,79.9888,827100
2026-05-11,79.9888,80.1684,79.9888,80.1684,3977200
2026-05-12,80.1684,80.1684,78.9467,78.9467,2113500
2026-05-13,78.9467,79.2354,78.9467,79.2354,3972300
2026-05-14,79.2354,79.6614,79.2354,79.6614,4717200
2026-05-15,79.6614,79.6614,79.5527,79.5527,630400
2026-05-18,79.5527,79.5527,79.4567,79.4567,1369100
2026-05-19,79.4567,79.4567,79.4356,79.4356,2002300
2026-05-20,79.4356,79.4356,79.0766,79.0766,3051800
2026-05-21,79.0766,79.0766,78.3263,78.3263,1657000
2026-05-22,78.3263,79.4421,78.3263,79.4421,1277800
2026-05-25,79.4421,79.4421,79.0673,79.0673,706700
2026-05-26,79.0673,79.5429,79.0673,79.5429,4707700
2026-05-27,79.5429,79.5429,78.5713,78.5713,834100
2026-05-28,78.5713,78.5713,77.4408,77.4408,1478300
2026-05-29,77.4408,77.6353,77.4408,77.6353,3286500
2026-06-01,77.6353,78.8613,77.6353,78.8613,4195100
2026-06-02,78.8613,78.8613,78.3906,78.3906,3560500
2026-06-03,78.3906,79.8662,78.3906,79.8662,4383600
2026-06-04,79.8662,79.8662,79.4485,79.4485,1807800
2026-06-05,79.4485,79.4485,79.3074,79.3074,2342300
2026-06-08,79.3074,79.5355,79.3074,79.5355,3515500
2026-06-09,79.5355,79.5355,79.1610,79.1610,1124800
2026-06-10,79.1610,79.1610,79.1332,79.1332,4770500
2026-06-11,79.1332,79.4771,79.1332,79.4771,4753100
2026-06-12,79.4771,79.4771,79.2266,79.2266,3839600
2026-06-15,79.2266,79.4144,79.2266,79.4144,1386500
2026-06-16,79.4144,81.4247,79.4144,81.4247,156600
2026-06-17,81.4247,82.3639,81.4247,82.3639,2269000
2026-06-18,82.3639,82.7405,82.3639,82.7405,4329700
2026-06-19,82.7405,83.3525,82.7405,83.3525,2053400
2026-06-22,83.3525,83.3525,81.5488,81.5488,4625800
2026-06-23,81.5488,81.5919,81.5488,81.5919,2462100
2026-06-24,81.5919,81.5919,80.6573,80.6573,1648900
2026-06-25,80.6573,80.6573,79.7785,79.7785,4673200
2026-06-26,79.7785,80.1519,79.7785,80.1519,2004600
2026-06-29,80.1519,81.8713,80.1519,81.8713,1077000
2026-06-30,81.8713,81.8713,81.0516,81.0516,3058500
2026-07-01,81.0516,81.0516,80.7219,80.7219,3528300
2026-07-02,80.7219,81.4569,80.7219,81.4569,2093800
2026-07-03,81.4569,82.5365,81.4569,82.5365,3319700
2026-07-06,82.5365,82.5365,82.4701,82.4701,4085000
2026-07-07,82.4701,82.5166,82.4701,82.5166,742300
2026-07-08,82.5166,82.8639,82.5166,82.8639,53300
2026-07-09,82.8639,82.8639,82.0897,82.0897,2570000
2026-07-10,82.0897,82.0897,80.4836,80.4836,4390800
