date,open,high,low,close,volume
2026-01-01,100.0000,100.7752,100.0000,100.7752,1301600
2026-01-02,100.7752,101.2723,100.7752,101.2723,4845100
2026-01-05,101.2723,101.6275,101.2723,101.6275,1740800
2026-01-06,101.6275,101.6275,101.1144,101.1144,3069900
2026-01-07,101.1144,101.5471,101.1144,101.5471,2809500
2026-01-08,101.5471,101.8047,101.5471,101.8047,2887400
2026-01-09,101.8047,101.8047,101.2168,101.2168,3069900
2026-01-12,101.2168,101.2168,99.7963,99.7963,3505800
2026-01-13,99.7963,99.9923,99.7963,99.9923,870200
2026-01-14,99.9923,102.8774,99.9923,102.8774,2267700
2026-01-15,102.8774,102.8774,101.6730,101.6730,2119700
2026-01-16,101.6730,104.6806,101.6730,104.6806,552800
2026-01-19,104.6806,104.7857,104.6806,104.7857,517400
2026-01-20,104.7857,104.7857,104.3335,104.3335,1256900
2026-01-21,104.3335,105.8485,104.3335,105.8485,2269300
2026-01-22,105.8485,105.8485,104.5662,104.5662,2351200
2026-01-23,104.5662,104.5662,103.1964,103.1964,2899700
2026-01-26,103.1964,103.1964,101.9846,101.9846,761100
2026-01-27,101.9846,101.9846,100.5680,100.5680,2451700
2026-01-28,100.5680,100.5680,100.0650,100.0650,4936200
2026-01-29,100.0650,100.0650,99.4947,99.4947,2667800
2026-01-30,99.4947,99.4947,98.0884,98.0884,1356000
2026-02-02,98.0884,98.0884,96.2675,96.2675,3993400
2026-02-03,96.2675,96.2675,95.2446,95.2446,3826500
2026-02-04,95.2446,95.2557,95.2446,95.2557,3933600
2026-02-05,95.2557,96.5271,95.2557,96.5271,1664100
2026-02-06,96.5271,96.8481,96.5271,96.8481,3387600
2026-02-09,96.8481,98.0627,96.8481,98.0627,876600
2026-02-10,98.0627,98.0627,97.4488,97.4488,3142800
2026-02-11,97.4488,98.2781,97.4488,98.2781,1524100
2026-02-12,98.2781,98.2781,97.5571,97.5571,4475300
2026-02-13,97.5571,98.2801,97.5571,98.2801,1033900
2026-02-16,98.2801,99.0884,98.2801,99.0884,4937000
2026-02-17,99.0884,99.2924,99.0884,99.2924,3525000
2026-02-18,99.2924,99.2924,98.3183,98.3183,2892000
2026-02-19,98.3183,98.4713,98.3183,98.4713,1794400
2026-02-20,98.4713,98.8051,98.4713,98.8051,4059800
2026-02-23,98.8051,98.8051,98.6373,98.6373,4058900
2026-02-24,98.6373,99.8725,98.6373,99.8725,4001100
2026-02-25,99.8725,99.8725,98.7373,98.7373,4804700
2026-02-26,98.7373,98.7373,98.6099,98.6099,2726300
2026-02-27,98.6099,98.6099,96.3862,96.3862,789100
2026-03-02,96.3862,96.3862,94.5312,94.5312,2844000
2026-03-03,94.5312,95.6136,94.5312,95.6136,2095100
2026-03-04,95.6136,96.2422,95.6136,96.2422,2135900
2026-03-05,96.2422,96.2422,94.5164,94.5164,1302300
2026-03-06,94.5164,95.3071,94.5164,95.3071,3629000
2026-03-09,95.3071,96.3744,95.3071,96.3744,1291700
2026-03-10,96.3744,96.3744,96.0757,96.0757,4600300
2026-03-11,96.0757,96.0757,94.4011,94.4011,355900
2026-03-12,94.4011,94.4011,94.3137,94.3137,4447100
2026-03-13,94.3137,94.5659,94.3137,94.5659,3515600
2026-03-16,94.5659,94.5659,93.4091,93.4091,4331200
2026-03-17,93.4091,93.6910,93.4091,93.6910,3740300
2026-03-18,93.6910,94.2750,93.6910,94.2750,1976300
2026-03-19,94.2750,95.1654,94.2750,95.1654,2220400
2026-03-20,95.1654,95.8447,95.1654,95.8447,4234100
2026-03-23,95.8447,95.8447,95.4348,95.4348,3761100
2026-03-24,95.4348,95.4648,95.4348,95.4648,4527300
2026-03-25,95.4648,96.8060,95.4648,96.8060,1333500
2026-03-26,96.8060,96.8060,95.9861,95.9861,248200
2026-03-27,95.9861,95.9861,95.1287,95.1287,1221600
2026-03-30,95.1287,95.2703,95.1287,95.2703,4546600
2026-03-31,95.2703,95.2703,94.3621,94.3621,3715000
2026-04-01,94.3621,94.3621,93.8978,93.8978,4894000
2026-04-02,93.8978,93.8978,93.8511,93.8511,3763300
2026-04-03,93.8511,93.9174,93.8511,93.9174,4355100
2026-04-06,93.9174,94.0625,93.9174,94.0625,3939400
2026-04-07,94.0625,94.0625,93.9848,93.9848,279400
2026-04-08,93.9848,93.9848,92.5815,92.5815,3404000
2026-04-09,92.5815,92.5815,92.0126,92.0126,2003600
2026-04-10,92.0126,93.0526,92.0126,93.0526,105500
2026-04-13,93.0526,93.9835,93.0526,93.9835,4284200
2026-04-14,93.9835,93.9835,93.9826,93.9826,1826200
2026-04-15,93.9826,93.9826,92.7168,92.7168,4660300
2026-04-16,92.7168,92.7168,92.2736,92.2736,2290800
2026-04-17,92.2736,92.2736,90.7545,90.7545,1109600
2026-04-20,90.7545,90.7545,89.5987,89.5987,1102900
2026-04-21,89.5987,89.5987,88.7145,88.7145,3572000
2026-04-22,88.7145,88.7145,88.2318,88.2318,3968200
2026-04-23,88.2318,88.3104,88.2318,88.3104,608900
2026-04-24,88.3104,88.5456,88.3104,88.5456,1482700
2026-04-27,88.5456,88.5456,88.5160,88.5160,2051900
2026-04-28,88.5160,88.5160,88.1146,88.1146,2791900
2026-04-29,88.1146,88.1146,86.8428,86.8428,839400
2026-04-30,86.8428,87.2423,86.8428,87.2423,1515000
2026-05-01,87.2423,88.3707,87.2423,88.3707,4889900
2026-05-04,88.3707,88.3707,87.5129,87.5129,814500
2026-05-05,87.5129,87.5129,86.3309,86.3309,413500
2026-05-06,86.3309,86.8623,86.3309,86.8623,3169200
2026-05-07,86.8623,88.5070,86.8623,88.5070,3652200
2026-05-08,88.5070,88.5070,88.4677,88.4677,2121600
2026-05-11,88.4677,88.7018,88.4677,88.7018,1992800
2026-05-12,88.7018,88.7018,88.3025,88.3025,4462900
2026-05-13,88.3025,88.3025,87.8644,87.8644,1360700
2026-05-14,87.8644,89.0256,87.8644,89.0256,1146300
2026-05-15,89.0256,89.1528,89.0256,89.1528,1598700
2026-05-18,89.1528,89.1528,88.3988,88.3988,895100
2026-05-19,88.3988,88.4321,88.3988,88.4321,1063500
2026-05-20,88.4321,88.5442,88.4321,88.5442,4660600
