date,open,high,low,close,volume
2026-01-01,100.0000,100.1136,100.0000,100.1136,2576400
2026-01-02,100.1136,101.6471,100.1136,101.6471,212700
2026-01-05,101.6471,102.3818,101.6471,102.3818,1601000
2026-01-06,102.3818,102.3818,101.9706,101.9706,1787500
2026-01-07,101.9706,102.0896,101.9706,102.0896,3513400
2026-01-08,102.0896,102.9542,102.0896,102.9542,3231700
2026-01-09,102.9542,102.9542,101.2185,101.2185,4711100
2026-01-12,101.2185,101.2185,100.0859,100.0859,4748900
2026-01-13,100.0859,101.1843,100.0859,101.1843,3975700
2026-01-14,101.1843,102.2958,101.1843,102.2958,3164100
2026-01-15,102.2958,102.2958,100.9742,100.9742,2998900
2026-01-16,100.9742,103.4516,100.9742,103.4516,1766000
2026-01-19,103.4516,103.4678,103.4516,103.4678,2041900
2026-01-20,103.4678,103.8812,103.4678,103.8812,4513800
2026-01-21,103.8812,105.3779,103.8812,105.3779,3932000
2026-01-22,105.3779,105.3779,104.3341,104.3341,185800
2026-01-23,104.3341,104.3341,103.5504,103.5504,1017500
2026-01-26,103.5504,103.5504,102.1321,102.1321,1439900
2026-01-27,102.1321,102.1321,101.0038,101.0038,4389800
2026-01-28,101.0038,101.0038,100.9309,100.9309,1100200
2026-01-29,100.9309,100.9309,99.7025,99.7025,454000
2026-01-30,99.7025,99.7025,97.6009,97.6009,722300
2026-02-02,97.6009,97.6009,95.4280,95.4280,2537000
2026-02-03,95.4280,95.4280,94.0615,94.0615,3193900
2026-02-04,94.0615,94.7035,94.0615,94.7035,1588900
2026-02-05,94.7035,95.2091,94.7035,95.2091,3680000
2026-02-06,95.2091,96.2230,95.2091,96.2230,3117300
2026-02-09,96.2230,97.3898,96.2230,97.3898,253200
2026-02-10,97.3898,97.3898,96.1999,96.1999,828400
2026-02-11,96.1999,97.7134,96.1999,97.7134,339500
2026-02-12,97.7134,97.7134,96.6546,96.6546,1780900
2026-02-13,96.6546,96.6546,95.7666,95.7666,214000
2026-02-16,95.7666,95.7666,95.7051,95.7051,4927000
2026-02-17,95.7051,95.9438,95.7051,95.9438,3796100
2026-02-18,95.9438,95.9438,95.4869,95.4869,473000
2026-02-19,95.4869,95.9799,95.4869,95.9799,1909100
2026-02-20,95.9799,95.9799,95.8541,95.8541,3199900
2026-02-23,95.8541,95.8541,94.6430,94.6430,4990000
2026-02-24,94.6430,96.3883,94.6430,96.3883,171200
2026-02-25,96.3883,96.3883,95.6221,95.6221,182100
2026-02-26,95.6221,95.6221,95.2499,95.2499,4293800
2026-02-27,95.2499,95.2499,93.5736,93.5736,1101600
2026-03-02,93.5736,93.5736,92.3591,92.3591,4508900
2026-03-03,92.3591,93.4608,92.3591,93.4608,1035900
2026-03-04,93.4608,94.6520,93.4608,94.6520,1268500
2026-03-05,94.6520,94.6520,94.2880,94.2880,1607600
2026-03-06,94.2880,94.8099,94.2880,94.8099,1656600
2026-03-09,94.8099,94.8099,94.6666,94.6666,2532600
2026-03-10,94.6666,95.1638,94.6666,95.1638,3366500
2026-03-11,95.1638,95.1638,93.8486,93.8486,2583300
2026-03-12,93.8486,93.8486,92.0723,92.0723,612800
2026-03-13,92.0723,92.6998,92.0723,92.6998,4545200
2026-03-16,92.6998,92.6998,91.7675,91.7675,1011200
2026-03-17,91.7675,91.7675,91.2518,91.2518,657100
2026-03-18,91.2518,93.2488,91.2518,93.2488,1824300
2026-03-19,93.2488,94.7520,93.2488,94.7520,3703800
2026-03-20,94.7520,95.2084,94.7520,95.2084,3676800
2026-03-23,95.2084,95.2084,94.6715,94.6715,4629900
2026-03-24,94.6715,95.3649,94.6715,95.3649,207000
2026-03-25,95.3649,96.7444,95.3649,96.7444,3162900
2026-03-26,96.7444,96.7942,96.7444,96.7942,4385000
2026-03-27,96.7942,97.2802,96.7942,97.2802,4083000
2026-03-30,97.2802,97.2802,95.9820,95.9820,2162200
2026-03-31,95.9820,95.9820,95.6544,95.6544,54900
2026-04-01,95.6544,95.6544,95.3632,95.3632,4516300
2026-04-02,95.3632,95.3632,94.4539,94.4539,1162500
2026-04-03,94.4539,94.4539,93.5477,93.5477,4155000
2026-04-06,93.5477,93.5477,93.2463,93.2463,2534400
2026-04-07,93.2463,93.9021,93.2463,93.9021,2014100
2026-04-08,93.9021,93.9021,92.6752,92.6752,2999600
2026-04-09,92.6752,92.7295,92.6752,92.7295,4613400
2026-04-10,92.7295,94.1479,92.7295,94.1479,479200
2026-04-13,94.1479,95.1663,94.1479,95.1663,4598500
2026-04-14,95.1663,95.1663,93.8537,93.8537,2893500
2026-04-15,93.8537,93.8537,93.6722,93.6722,1243400
2026-04-16,93.6722,93.9895,93.6722,93.9895,2698100
2026-04-17,93.9895,93.9895,93.2403,93.2403,2635000
2026-04-20,93.2403,93.2403,91.5901,91.5901,4097400
2026-04-21,91.5901,91.6885,91.5901,91.6885,1258300
2026-04-22,91.6885,91.6885,90.9316,90.9316,3374900
2026-04-23,90.9316,90.9316,90.8981,90.8981,2591000
2026-04-24,90.8981,90.8981,90.8903,90.8903,1229600
2026-04-27,90.8903,90.8903,90.8236,90.8236,650500
2026-04-28,90.8236,90.8236,90.3976,90.3976,3616800
2026-04-29,90.3976,90.3976,88.0947,88.0947,4802000
2026-04-30,88.0947,88.0947,87.5862,87.5862,1776400
2026-05-01,87.5862,88.4962,87.5862,88.4962,700000
2026-05-04,88.4962,88.4962,87.6944,87.6944,1820200
2026-05-05,87.6944,87.6944,85.2889,85.2889,1001600
2026-05-06,85.2889,85.2889,85.0387,85.0387,3163200
2026-05-07,85.0387,86.7213,85.0387,86.7213,1893700
2026-05-08,86.7213,86.7213,86.0508,86.0508,1226300
2026-05-11,86.0508,86.0508,85.6350,85.6350,2036400
2026-05-12,85.6350,85.6350,84.1041,84.1041,4931000
2026-05-13,84.1041,84.1041,83.1563,83.1563,3232000
2026-05-14,83.1563,84.2377,83.1563,84.2377,3209600
2026-05-15,84.2377,84.6045,84.2377,84.6045,223300
2026-05-18,84.6045,84.9381,84.6045,84.9381,4839400
2026-05-19,84.9381,84.9381,84.3128,84.3128,1846200
2026-05-20,84.3128,84.3128,83.5825,83.5825,484500
2026-05-21,83.5825,83.5825,82.8404,82.8404,107200
2026-05-22,82.8404,83.1239,82.8404,83.1239,3607800
2026-05-25,83.1239,83.8847,83.1239,83.8847,1217900
2026-05-26,83.8847,83.8847,83.8040,83.8040,1108700
2026-05-27,83.8040,83.8040,83.0055,83.0055,1458200
2026-05-28,83.0055,83.0055,82.8851,82.8851,4118500
2026-05-29,82.8851,83.6190,82.8851,83.6190,3690400
2026-06-01,83.6190,83.6190,83.5892,83.5892,2879900
2026-06-02,83.5892,83.7584,83.5892,83.7584,463300
2026-06-03,83.7584,85.2654,83.7584,85.2654,552300
2026-06-04,85.2654,85.5219,85.2654,85.5219,2228900
2026-06-05,85.5219,85.5219,85.3536,85.3536,2181000
2026-06-08,85.3536,85.4023,85.3536,85.4023,3925600
2026-06-09,85.4023,85.4023,85.1832,85.1832,1699300
2026-06-10,85.1832,85.1832,85.0634,85.0634,3622100
2026-06-11,85.0634,85.0634,83.9636,83.9636,3560400
2026-06-12,83.9636,83.9636,83.4075,83.4075,3642500
2026-06-15,83.4075,83.4075,83.1982,83.1982,1602700
2026-06-16,83.1982,84.6924,83.1982,84.6924,468700
2026-06-17,84.6924,85.1313,84.6924,85.1313,4045200
2026-06-18,85.1313,85.3264,85.1313,85.3264,3049000
2026-06-19,85.3264,85.8940,85.3264,85.8940,1261600
2026-06-22,85.8940,85.8940,84.5057,84.5057,4265900
2026-06-23,84.5057,84.5057,83.3689,83.3689,1956400
2026-06-24,83.3689,83.3689,81.3725,81.3725,1993000
2026-06-25,81.3725,81.3725,79.8353,79.8353,1071800
2026-06-26,79.8353,79.8353,79.5880,79.5880,613100
2026-06-29,79.5880,80.5175,79.5880,80.5175,746800
2026-06-30,80.5175,80.5175,79.2440,79.2440,3046800
2026-07-01,79.2440,79.2440,78.4553,78.4553,4403300
2026-07-02,78.4553,78.4978,78.4553,78.4978,2626000
2026-07-03,78.4978,78.8917,78.4978,78.8917,4782400
2026-07-06,78.8917,78.8917,77.3601,77.3601,791100
2026-07-07,77.3601,77.3601,77.0465,77.0465,325800
2026-07-08,77.0465,77.5761,77.0465,77.5761,4149800
2026-07-09,77.5761,77.5761,75.8356,75.8356,1666200
2026-07-10,75.8356,75.8356,73.2010,73.2010,2851800
2026-07-13,73.2010,74.5807,73.2010,74.5807,3784400
2026-07-14,74.5807,74.5807,74.5389,74.5389,3246200
2026-07-15,74.5389,74.5389,73.4610,73.4610,1788500
2026-07-16,73.4610,73.4610,73.0394,73.0394,3184300
2026-07-17,73.0394,73.0394,72.4244,72.4244,2245000
2026-07-20,72.4244,74.3554,72.4244,74.3554,4264900
2026-07-21,74.3554,75.6242,74.3554,75.6242,994400
2026-07-22,75.6242,76.6804,75.6242,76.6804,1753700
2026-07-23,76.6804,76.6804,76.1725,76.1725,4158300
2026-07-24,76.1725,76.1725,76.0965,76.0965,4263400
2026-07-27,76.0965,76.0965,74.3727,74.3727,4440000
2026-07-28,74.3727,74.4775,74.3727,74.4775,1012800
2026-07-29,74.4775,75.0739,74.4775,75.0739,3048300
2026-07-30,75.0739,75.5063,75.0739,75.5063,3481700
2026-07-31,75.5063,75.7980,75.5063,75.7980,1015900
2026-08-03,75.7980,75.7980,74.9817,74.9817,3389000
2026-08-04,74.9817,74.9817,74.0251,74.0251,912500
2026-08-05,74.0251,74.0251,73.9793,73.9793,78400
2026-08-06,73.9793,73.9793,73.9181,73.9181,28000
2026-08-07,73.9181,74.3446,73.9181,74.3446,1918400
2026-08-10,74.3446,74.3577,74.3446,74.3577,657900
2026-08-11,74.3577,74.3577,73.0473,73.0473,385700
2026-08-12,73.0473,73.0473,72.8533,72.8533,390600
2026-08-13,72.8533,73.3627,72.8533,73.3627,2977600
2026-08-14,73.3627,73.3627,72.7269,72.7269,585600
2026-08-17,72.7269,72.7269,72.6635,72.6635,3952500
2026-08-18,72.6635,73.2813,72.6635,73.2813,351900
2026-08-19,73.2813,73.2813,72.2426,72.2426,1741600
2026-08-20,72.2426,72.2426,71.7643,71.7643,3985800
2026-08-21,71.7643,71.7643,71.2767,71.2767,937900
2026-08-24,71.2767,71.2767,71.0954,71.0954,2322800
2026-08-25,71.0954,71.8334,71.0954,71.8334,4466400
2026-08-26,71.8334,71.9317,71.8334,71.9317,1025700
2026-08-27,71.9317,71.9317,70.7619,70.7619,4394300
2026-08-28,70.7619,71.5520,70.7619,71.5520,1900600
2026-08-31,71.5520,71.5520,71.4341,71.4341,855400
2026-09-01,71.4341,71.4341,71.1495,71.1495,455900
2026-09-02,71.1495,71.1495,70.7695,70.7695,3977500
2026-09-03,70.7695,70.7695,69.7360,69.7360,3458500
2026-09-04,69.7360,69.9353,69.7360,69.9353,1822700
2026-09-07,69.9353,70.9825,69.9353,70.9825,2049800
2026-09-08,70.9825,70.9825,69.3218,69.3218,3881600
2026-09-09,69.3218,69.3218,67.8802,67.8802,2588800
