date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4303,99.4303,3190900
2026-01-02,99.4303,99.4303,97.8163,97.8163,2644500
2026-01-05,97.8163,98.5893,97.8163,98.5893,4228800
2026-01-06,98.5893,98.5893,97.9244,97.9244,1374500
2026-01-07,97.9244,97.9470,97.9244,97.9470,4893800
2026-01-08,97.9470,98.5797,97.9470,98.5797,4541300
2026-01-09,98.5797,98.5797,95.6787,95.6787,996100
2026-01-12,95.6787,95.6864,95.6787,95.6864,375700
2026-01-13,95.6864,96.5436,95.6864,96.5436,3017200
2026-01-14,96.5436,98.3421,96.5436,98.3421,584600
2026-01-15,98.3421,98.3421,97.2649,97.2649,4261200
2026-01-16,97.2649,98.8201,97.2649,98.8201,3199800
2026-01-19,98.8201,99.5907,98.8201,99.5907,4389300
2026-01-20,99.5907,99.6587,99.5907,99.6587,1321200
2026-01-21,99.6587,99.6587,99.1787,99.1787,592900
2026-01-22,99.1787,99.1787,96.7830,96.7830,1545000
2026-01-23,96.7830,96.7830,95.4962,95.4962,2278700
2026-01-26,95.4962,95.4962,94.3071,94.3071,2023600
2026-01-27,94.3071,94.3071,92.7457,92.7457,266200
2026-01-28,92.7457,92.9688,92.7457,92.9688,1912300
2026-01-29,92.9688,92.9688,92.3942,92.3942,2638200
2026-01-30,92.3942,92.3942,91.4674,91.4674,2633500
2026-02-02,91.4674,91.4674,89.3418,89.3418,1807900
2026-02-03,89.3418,89.3418,89.1090,89.1090,4953000
2026-02-04,89.1090,89.1090,88.0851,88.0851,1311300
2026-02-05,88.0851,89.0424,88.0851,89.0424,897300
2026-02-06,89.0424,90.2116,89.0424,90.2116,1727900
2026-02-09,90.2116,91.3720,90.2116,91.3720,1159500
2026-02-10,91.3720,91.4623,91.3720,91.4623,2303800
2026-02-11,91.4623,91.7534,91.4623,91.7534,3190200
2026-02-12,91.7534,91.7534,91.2779,91.2779,1239100
2026-02-13,91.2779,91.2779,90.3925,90.3925,1251500
2026-02-16,90.3925,91.0583,90.3925,91.0583,555800
2026-02-17,91.0583,91.0583,90.5643,90.5643,2312800
2026-02-18,90.5643,90.5643,88.8968,88.8968,3202100
2026-02-19,88.8968,88.8968,88.8637,88.8637,3936700
2026-02-20,88.8637,89.6389,88.8637,89.6389,2076200
2026-02-23,89.6389,89.6951,89.6389,89.6951,1616200
2026-02-24,89.6951,91.1816,89.6951,91.1816,3866100
2026-02-25,91.1816,91.1816,90.5633,90.5633,1547700
2026-02-26,90.5633,90.5633,89.4101,89.4101,413000
2026-02-27,89.4101,89.4101,87.3484,87.3484,1727300
2026-03-02,87.3484,87.3484,86.6068,86.6068,2600000
2026-03-03,86.6068,87.5265,86.6068,87.5265,3814100
2026-03-04,87.5265,87.7545,87.5265,87.7545,3124600
2026-03-05,87.7545,88.1383,87.7545,88.1383,4954200
2026-03-06,88.1383,88.8593,88.1383,88.8593,4020200
2026-03-09,88.8593,89.0228,88.8593,89.0228,1761000
2026-03-10,89.0228,89.6659,89.0228,89.6659,1473500
2026-03-11,89.6659,89.6659,88.4491,88.4491,4485100
2026-03-12,88.4491,88.4491,87.2761,87.2761,3711900
2026-03-13,87.2761,87.6446,87.2761,87.6446,3828400
2026-03-16,87.6446,87.6446,86.3024,86.3024,3948700
2026-03-17,86.3024,86.9390,86.3024,86.9390,3117900
2026-03-18,86.9390,89.0752,86.9390,89.0752,2816500
2026-03-19,89.0752,90.0454,89.0752,90.0454,4902200
2026-03-20,90.0454,90.3155,90.0454,90.3155,1538000
