date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.6234,99.6234,549800
2026-01-02,99.6234,99.6234,98.9735,98.9735,2984100
2026-01-05,98.9735,99.8578,98.9735,99.8578,2515300
2026-01-06,99.8578,99.8578,99.7135,99.7135,1718500
2026-01-07,99.7135,99.7135,99.5182,99.5182,4161200
2026-01-08,99.5182,100.2719,99.5182,100.2719,2695800
2026-01-09,100.2719,100.2719,99.4603,99.4603,4436700
2026-01-12,99.4603,99.4603,97.8266,97.8266,3063600
2026-01-13,97.8266,99.1080,97.8266,99.1080,3707300
2026-01-14,99.1080,101.6372,99.1080,101.6372,2469200
2026-01-15,101.6372,101.6372,100.3554,100.3554,129400
2026-01-16,100.3554,102.6959,100.3554,102.6959,951200
2026-01-19,102.6959,102.7446,102.6959,102.7446,3097700
2026-01-20,102.7446,103.2357,102.7446,103.2357,160800
2026-01-21,103.2357,104.2198,103.2357,104.2198,2373500
2026-01-22,104.2198,104.2198,103.3626,103.3626,154400
2026-01-23,103.3626,103.3626,101.4152,101.4152,643200
2026-01-26,101.4152,101.4152,99.8802,99.8802,3758200
2026-01-27,99.8802,99.8802,97.9371,97.9371,71400
2026-01-28,97.9371,98.3493,97.9371,98.3493,1088600
2026-01-29,98.3493,98.3493,96.4874,96.4874,2957600
2026-01-30,96.4874,96.4874,95.2850,95.2850,1495800
2026-02-02,95.2850,95.2850,93.4686,93.4686,2662800
2026-02-03,93.4686,93.4783,93.4686,93.4783,3163000
2026-02-04,93.4783,93.4783,92.4173,92.4173,2024100
2026-02-05,92.4173,93.8651,92.4173,93.8651,2012900
2026-02-06,93.8651,95.3644,93.8651,95.3644,4944500
2026-02-09,95.3644,96.8069,95.3644,96.8069,1161500
2026-02-10,96.8069,96.8069,95.5306,95.5306,1728800
2026-02-11,95.5306,95.5306,95.4684,95.4684,1457000
2026-02-12,95.4684,95.4684,95.4401,95.4401,3352900
2026-02-13,95.4401,95.4401,94.2703,94.2703,4916000
2026-02-16,94.2703,94.4058,94.2703,94.4058,4941000
2026-02-17,94.4058,94.4058,93.6408,93.6408,4504400
2026-02-18,93.6408,93.6408,92.1820,92.1820,2804500
2026-02-19,92.1820,92.1820,92.1205,92.1205,2991800
2026-02-20,92.1205,92.1205,91.6370,91.6370,3575700
2026-02-23,91.6370,91.9816,91.6370,91.9816,3458700
2026-02-24,91.9816,92.9436,91.9816,92.9436,385500
2026-02-25,92.9436,92.9436,91.2456,91.2456,4968200
2026-02-26,91.2456,91.2456,91.2049,91.2049,469000
2026-02-27,91.2049,91.2049,89.8238,89.8238,2448700
2026-03-02,89.8238,89.8238,88.5570,88.5570,3928100
2026-03-03,88.5570,89.0753,88.5570,89.0753,3007600
2026-03-04,89.0753,90.0704,89.0753,90.0704,596900
2026-03-05,90.0704,90.0704,89.4269,89.4269,1009300
2026-03-06,89.4269,89.5901,89.4269,89.5901,4394500
2026-03-09,89.5901,89.5901,88.3074,88.3074,1491100
2026-03-10,88.3074,88.3074,88.1924,88.1924,3008200
2026-03-11,88.1924,88.1924,87.1620,87.1620,4255600
2026-03-12,87.1620,87.1620,86.5576,86.5576,1011400
2026-03-13,86.5576,86.8379,86.5576,86.8379,391600
2026-03-16,86.8379,86.8379,86.0822,86.0822,2643400
2026-03-17,86.0822,86.0822,85.6335,85.6335,1569200
2026-03-18,85.6335,87.1642,85.6335,87.1642,2117100
2026-03-19,87.1642,88.8405,87.1642,88.8405,865700
2026-03-20,88.8405,89.3965,88.8405,89.3965,1723300
2026-03-23,89.3965,89.3965,88.8226,88.8226,1400600
2026-03-24,88.8226,89.3381,88.8226,89.3381,230900
2026-03-25,89.3381,89.4523,89.3381,89.4523,312200
2026-03-26,89.4523,89.6957,89.4523,89.6957,4233500
2026-03-27,89.6957,89.8600,89.6957,89.8600,275500
2026-03-30,89.8600,89.8600,88.2918,88.2918,2314100
2026-03-31,88.2918,88.2918,87.2347,87.2347,2685500
2026-04-01,87.2347,87.2347,85.8340,85.8340,1963300
2026-04-02,85.8340,85.8340,85.1635,85.1635,101000
2026-04-03,85.1635,85.3997,85.1635,85.3997,1136600
2026-04-06,85.3997,85.3997,84.5743,84.5743,2507800
2026-04-07,84.5743,84.5743,83.9837,83.9837,872100
2026-04-08,83.9837,83.9837,83.3652,83.3652,4705500
2026-04-09,83.3652,83.3652,83.2866,83.2866,2704300
2026-04-10,83.2866,83.7470,83.2866,83.7470,4532600
2026-04-13,83.7470,84.2376,83.7470,84.2376,4567500
2026-04-14,84.2376,84.2376,84.0609,84.0609,3124000
2026-04-15,84.0609,84.0609,83.6832,83.6832,3439100
2026-04-16,83.6832,83.8876,83.6832,83.8876,4108000
2026-04-17,83.8876,83.8876,83.0761,83.0761,3156600
2026-04-20,83.0761,83.0761,81.5962,81.5962,4596200
2026-04-21,81.5962,82.1556,81.5962,82.1556,966600
2026-04-22,82.1556,82.1556,80.8721,80.8721,3806900
2026-04-23,80.8721,80.8721,80.0747,80.0747,2194300
2026-04-24,80.0747,80.0747,79.8176,79.8176,831400
2026-04-27,79.8176,79.8176,79.5641,79.5641,3825100
2026-04-28,79.5641,79.5641,78.5492,78.5492,334700
2026-04-29,78.5492,78.5492,77.4334,77.4334,3096400
2026-04-30,77.4334,77.5227,77.4334,77.5227,65900
2026-05-01,77.5227,79.2458,77.5227,79.2458,4976400
2026-05-04,79.2458,79.2458,79.0642,79.0642,897000
2026-05-05,79.0642,79.0642,77.5988,77.5988,135100
2026-05-06,77.5988,97.4749,77.5988,97.4749,4946400
2026-05-07,97.4749,98.9057,97.4749,98.9057,2682400
2026-05-08,98.9057,98.9057,98.8805,98.8805,4375400
2026-05-11,98.8805,98.8805,98.6876,98.6876,710000
2026-05-12,98.6876,98.6876,97.6047,97.6047,1432800
2026-05-13,97.6047,97.7810,97.6047,97.7810,2822900
2026-05-14,97.7810,98.5486,97.7810,98.5486,516400
2026-05-15,98.5486,99.0151,98.5486,99.0151,4099200
2026-05-18,99.0151,99.0151,98.4846,98.4846,4418700
2026-05-19,98.4846,99.3273,98.4846,99.3273,864600
2026-05-20,99.3273,99.3273,98.9742,98.9742,4367100
2026-05-21,98.9742,98.9742,98.4166,98.4166,1652100
2026-05-22,98.4166,100.5818,98.4166,100.5818,1052300
2026-05-25,100.5818,101.7497,100.5818,101.7497,3641400
2026-05-26,101.7497,102.2728,101.7497,102.2728,1634400
2026-05-27,102.2728,102.2728,100.0797,100.0797,2136400
2026-05-28,100.0797,100.0797,99.1223,99.1223,4349600
2026-05-29,99.1223,100.1257,99.1223,100.1257,1224800
2026-06-01,100.1257,101.2621,100.1257,101.2621,4092400
2026-06-02,101.2621,101.7702,101.2621,101.7702,1800800
2026-06-03,101.7702,103.3160,101.7702,103.3160,2118800
2026-06-04,103.3160,103.3160,102.8306,102.8306,597900
2026-06-05,102.8306,103.2772,102.8306,103.2772,1890900
2026-06-08,103.2772,103.2772,102.8553,102.8553,608500
2026-06-09,102.8553,102.8553,101.9022,101.9022,2151100
2026-06-10,101.9022,101.9022,101.5660,101.5660,1270400
2026-06-11,101.5660,101.5660,100.7996,100.7996,4004400
2026-06-12,100.7996,101.1539,100.7996,101.1539,108900
2026-06-15,101.1539,101.1539,100.7077,100.7077,489200
2026-06-16,100.7077,103.0258,100.7077,103.0258,1712500
2026-06-17,103.0258,104.0948,103.0258,104.0948,1587700
2026-06-18,104.0948,104.9719,104.0948,104.9719,4714000
2026-06-19,104.9719,104.9719,104.6326,104.6326,4580500
2026-06-22,104.6326,104.6326,103.5620,103.5620,1491700
2026-06-23,103.5620,103.5620,102.3619,102.3619,3173700
2026-06-24,102.3619,102.3619,101.8364,101.8364,2663300
2026-06-25,101.8364,101.8364,100.7004,100.7004,2854500
2026-06-26,100.7004,100.7004,100.5257,100.5257,1503100
2026-06-29,100.5257,101.5306,100.5257,101.5306,2329300
2026-06-30,101.5306,101.5306,100.5250,100.5250,1468800
2026-07-01,100.5250,100.5250,100.3201,100.3201,3790500
2026-07-02,100.3201,100.8938,100.3201,100.8938,2436700
2026-07-03,100.8938,100.8938,100.2201,100.2201,2428500
2026-07-06,100.2201,100.2201,99.6555,99.6555,2262800
