date,open,high,low,close,volume
2026-01-01,100.0000,100.8150,100.0000,100.8150,213300
2026-01-02,100.8150,101.0186,100.8150,101.0186,871000
2026-01-05,101.0186,101.4584,101.0186,101.4584,2627100
2026-01-06,101.4584,101.4584,100.8199,100.8199,3464900
2026-01-07,100.8199,101.6535,100.8199,101.6535,4259900
2026-01-08,101.6535,103.2081,101.6535,103.2081,234800
2026-01-09,103.2081,103.2081,99.9356,99.9356,3212700
2026-01-12,99.9356,99.9356,99.1046,99.1046,4662300
2026-01-13,99.1046,99.5157,99.1046,99.5157,153500
2026-01-14,99.5157,102.0763,99.5157,102.0763,4567400
2026-01-15,102.0763,102.0763,101.4480,101.4480,106800
2026-01-16,101.4480,103.0142,101.4480,103.0142,1397900
2026-01-19,103.0142,104.4381,103.0142,104.4381,1538100
2026-01-20,104.4381,104.7907,104.4381,104.7907,4404500
2026-01-21,104.7907,104.7907,104.0363,104.0363,1865000
2026-01-22,104.0363,104.0363,103.2886,103.2886,4183900
2026-01-23,103.2886,103.2886,102.7748,102.7748,1375400
2026-01-26,102.7748,102.7748,101.6291,101.6291,1370900
2026-01-27,101.6291,101.6291,99.9564,99.9564,4649500
2026-01-28,99.9564,99.9564,99.3662,99.3662,2718600
2026-01-29,99.3662,99.3662,98.9282,98.9282,2829300
2026-01-30,98.9282,98.9282,96.0034,96.0034,2819400
2026-02-02,96.0034,96.0034,94.6298,94.6298,4813100
2026-02-03,94.6298,94.6298,94.1541,94.1541,412900
2026-02-04,94.1541,94.1541,93.9225,93.9225,1484900
2026-02-05,93.9225,94.3291,93.9225,94.3291,4235900
2026-02-06,94.3291,95.9659,94.3291,95.9659,1324300
2026-02-09,95.9659,96.5469,95.9659,96.5469,4097600
2026-02-10,96.5469,96.5469,96.1072,96.1072,4425000
2026-02-11,96.1072,97.0685,96.1072,97.0685,2451300
2026-02-12,97.0685,97.0685,96.5512,96.5512,3703500
2026-02-13,96.5512,96.5512,96.1844,96.1844,241400
2026-02-16,96.1844,96.3198,96.1844,96.3198,1724500
2026-02-17,96.3198,96.3198,96.2382,96.2382,3568300
2026-02-18,96.2382,96.2382,94.8497,94.8497,3971000
2026-02-19,94.8497,95.3965,94.8497,95.3965,497300
2026-02-20,95.3965,95.5467,95.3965,95.5467,2800100
2026-02-23,95.5467,95.5467,94.6384,94.6384,146900
2026-02-24,94.6384,96.7134,94.6384,96.7134,1045700
2026-02-25,96.7134,96.7134,95.7179,95.7179,4237300
2026-02-26,95.7179,95.7179,94.4304,94.4304,1940200
2026-02-27,94.4304,94.4304,93.2089,93.2089,4351500
2026-03-02,93.2089,93.2089,93.0659,93.0659,2438000
2026-03-03,93.0659,94.1614,93.0659,94.1614,1505900
2026-03-04,94.1614,94.9063,94.1614,94.9063,3561100
2026-03-05,94.9063,94.9063,94.1863,94.1863,96500
2026-03-06,94.1863,94.7010,94.1863,94.7010,4726700
2026-03-09,94.7010,95.2175,94.7010,95.2175,360500
2026-03-10,95.2175,96.2403,95.2175,96.2403,3229700
2026-03-11,96.2403,96.2403,95.3863,95.3863,4850300
2026-03-12,95.3863,95.3863,94.1188,94.1188,2673900
2026-03-13,94.1188,94.1986,94.1188,94.1986,347200
2026-03-16,94.1986,94.1986,93.3895,93.3895,293200
2026-03-17,93.3895,94.2935,93.3895,94.2935,2766600
2026-03-18,94.2935,96.0692,94.2935,96.0692,2440500
2026-03-19,96.0692,98.1835,96.0692,98.1835,563300
2026-03-20,98.1835,98.1835,97.9636,97.9636,3579000
2026-03-23,97.9636,97.9636,97.4557,97.4557,2870200
2026-03-24,97.4557,97.7086,97.4557,97.7086,3287900
2026-03-25,97.7086,98.3302,97.7086,98.3302,856600
2026-03-26,98.3302,98.8270,98.3302,98.8270,1281900
2026-03-27,98.8270,99.4105,98.8270,99.4105,1709200
2026-03-30,99.4105,99.4105,98.6763,98.6763,2127700
2026-03-31,98.6763,98.6763,98.0190,98.0190,2077900
2026-04-01,98.0190,98.2669,98.0190,98.2669,4584700
2026-04-02,98.2669,98.2669,98.0622,98.0622,4845300
2026-04-03,98.0622,98.0622,97.8331,97.8331,4809000
2026-04-06,97.8331,97.8331,97.2622,97.2622,3742500
2026-04-07,97.2622,97.7426,97.2622,97.7426,181500
2026-04-08,97.7426,97.7426,96.5124,96.5124,919000
2026-04-09,96.5124,96.5214,96.5124,96.5214,1290700
2026-04-10,96.5214,96.6621,96.5214,96.6621,1387200
2026-04-13,96.6621,98.4838,96.6621,98.4838,2922700
2026-04-14,98.4838,98.4838,97.8254,97.8254,2627800
2026-04-15,97.8254,97.8254,97.7690,97.7690,3764500
2026-04-16,97.7690,97.7690,97.3472,97.3472,937400
2026-04-17,97.3472,97.3472,96.9870,96.9870,1474300
2026-04-20,96.9870,96.9870,94.9072,94.9072,414700
2026-04-21,94.9072,94.9072,94.5066,94.5066,3151100
2026-04-22,94.5066,94.5066,93.7351,93.7351,1523300
2026-04-23,93.7351,94.2469,93.7351,94.2469,4862500
2026-04-24,94.2469,94.5282,94.2469,94.5282,3624900
2026-04-27,94.5282,94.5282,93.0618,93.0618,439800
2026-04-28,93.0618,93.5755,93.0618,93.5755,2892800
2026-04-29,93.5755,93.5755,92.8066,92.8066,1279600
2026-04-30,92.8066,92.8066,92.5529,92.5529,4770500
2026-05-01,92.5529,115.9162,92.5529,115.9162,4692200
2026-05-04,115.9162,115.9162,115.2941,115.2941,4775700
2026-05-05,115.2941,115.2941,112.2897,112.2897,2890600
2026-05-06,112.2897,112.6367,112.2897,112.6367,1492800
2026-05-07,112.6367,113.7477,112.6367,113.7477,3058800
2026-05-08,113.7477,114.8491,113.7477,114.8491,3468100
2026-05-11,114.8491,114.8491,114.3497,114.3497,4997700
2026-05-12,114.3497,114.3497,112.4523,112.4523,1095600
2026-05-13,112.4523,112.4523,112.3391,112.3391,2618400
2026-05-14,112.3391,112.4969,112.3391,112.4969,3386100
2026-05-15,112.4969,113.0873,112.4969,113.0873,3059000
2026-05-18,113.0873,113.0873,112.5585,112.5585,2542000
2026-05-19,112.5585,112.5585,112.3375,112.3375,2511900
2026-05-20,112.3375,112.3375,112.0045,112.0045,4377300
2026-05-21,112.0045,112.0045,110.9233,110.9233,433300
2026-05-22,110.9233,112.4535,110.9233,112.4535,4987000
2026-05-25,112.4535,113.8734,112.4535,113.8734,3813900
2026-05-26,113.8734,113.8734,113.3180,113.3180,4030400
2026-05-27,113.3180,113.3180,112.6960,112.6960,779100
2026-05-28,112.6960,112.6960,111.5729,111.5729,3889400
2026-05-29,111.5729,112.2707,111.5729,112.2707,4499300
2026-06-01,112.2707,112.2707,111.8920,111.8920,2075000
2026-06-02,111.8920,111.8920,111.7315,111.7315,1834200
2026-06-03,111.7315,112.8089,111.7315,112.8089,3885900
2026-06-04,112.8089,112.8089,112.7242,112.7242,2724400
2026-06-05,112.7242,112.7242,112.1417,112.1417,4210700
2026-06-08,112.1417,112.1417,111.5658,111.5658,3565900
2026-06-09,111.5658,111.7716,111.5658,111.7716,3764600
2026-06-10,111.7716,111.7716,111.2661,111.2661,3100400
2026-06-11,111.2661,111.2661,110.7495,110.7495,3952900
2026-06-12,110.7495,111.8180,110.7495,111.8180,1029100
2026-06-15,111.8180,112.5200,111.8180,112.5200,4303800
2026-06-16,112.5200,114.6728,112.5200,114.6728,536700
2026-06-17,114.6728,115.4388,114.6728,115.4388,2687600
2026-06-18,115.4388,116.3921,115.4388,116.3921,1539300
2026-06-19,116.3921,116.7864,116.3921,116.7864,3653100
2026-06-22,116.7864,116.7864,114.9168,114.9168,2071100
2026-06-23,114.9168,115.2373,114.9168,115.2373,4445400
2026-06-24,115.2373,115.2373,113.7690,113.7690,4787000
2026-06-25,113.7690,113.7690,112.5658,112.5658,2853400
2026-06-26,112.5658,113.2345,112.5658,113.2345,4940300
2026-06-29,113.2345,116.1925,113.2345,116.1925,2143300
2026-06-30,116.1925,116.1925,115.0100,115.0100,4842500
2026-07-01,115.0100,115.3067,115.0100,115.3067,2323000
2026-07-02,115.3067,116.5495,115.3067,116.5495,1471500
2026-07-03,116.5495,116.5495,116.5229,116.5229,2701100
2026-07-06,116.5229,116.5229,116.3525,116.3525,3509700
2026-07-07,116.3525,116.3525,115.8235,115.8235,2484600
2026-07-08,115.8235,116.4851,115.8235,116.4851,2430100
2026-07-09,116.4851,116.4851,113.6864,113.6864,4022400
2026-07-10,113.6864,113.6864,111.4497,111.4497,257400
2026-07-13,111.4497,112.4871,111.4497,112.4871,3754400
2026-07-14,112.4871,112.4871,111.8483,111.8483,4528600
2026-07-15,111.8483,112.5885,111.8483,112.5885,3963300
2026-07-16,112.5885,112.5885,112.3176,112.3176,3463400
2026-07-17,112.3176,112.3176,112.1696,112.1696,529000
