date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.6347,99.6347,3094900
2026-01-02,99.6347,100.1003,99.6347,100.1003,2216100
2026-01-05,100.1003,100.7187,100.1003,100.7187,2075000
2026-01-06,100.7187,100.7187,99.2925,99.2925,2259200
2026-01-07,99.2925,99.9965,99.2925,99.9965,2975000
2026-01-08,99.9965,100.4981,99.9965,100.4981,3821900
2026-01-09,100.4981,100.4981,99.2582,99.2582,796100
2026-01-12,99.2582,99.2582,97.5872,97.5872,3030400
2026-01-13,97.5872,98.2717,97.5872,98.2717,1241300
2026-01-14,98.2717,99.9203,98.2717,99.9203,3717300
2026-01-15,99.9203,99.9203,97.0684,97.0684,4232900
2026-01-16,97.0684,99.6885,97.0684,99.6885,4805400
2026-01-19,99.6885,100.9976,99.6885,100.9976,593900
2026-01-20,100.9976,101.9261,100.9976,101.9261,2734300
2026-01-21,101.9261,101.9261,101.7841,101.7841,1077600
2026-01-22,101.7841,101.7841,101.1565,101.1565,4492900
2026-01-23,101.1565,101.1565,99.9298,99.9298,230800
2026-01-26,99.9298,99.9298,98.8325,98.8325,1054400
2026-01-27,98.8325,98.8325,98.2602,98.2602,4567800
2026-01-28,98.2602,98.5976,98.2602,98.5976,3424600
2026-01-29,98.5976,98.5976,97.1847,97.1847,3851300
2026-01-30,97.1847,97.1847,96.3602,96.3602,129100
2026-02-02,96.3602,96.3602,94.5913,94.5913,3617000
2026-02-03,94.5913,94.5913,94.5666,94.5666,1741900
2026-02-04,94.5666,95.1293,94.5666,95.1293,3677200
2026-02-05,95.1293,96.8722,95.1293,96.8722,764900
2026-02-06,96.8722,97.1032,96.8722,97.1032,4614200
2026-02-09,97.1032,98.7845,97.1032,98.7845,2545000
2026-02-10,98.7845,98.7845,98.7005,98.7005,2423000
2026-02-11,98.7005,99.1842,98.7005,99.1842,4936000
2026-02-12,99.1842,99.5832,99.1842,99.5832,3360500
2026-02-13,99.5832,99.9257,99.5832,99.9257,3915200
2026-02-16,99.9257,100.4599,99.9257,100.4599,4154600
2026-02-17,100.4599,100.4599,100.2701,100.2701,518700
2026-02-18,100.2701,100.2701,99.5471,99.5471,1497100
2026-02-19,99.5471,100.0436,99.5471,100.0436,1412400
2026-02-20,100.0436,100.0436,99.7357,99.7357,2566000
2026-02-23,99.7357,99.7357,99.6551,99.6551,3533800
2026-02-24,99.6551,100.5771,99.6551,100.5771,3741900
2026-02-25,100.5771,100.5771,99.3461,99.3461,3958400
2026-02-26,99.3461,99.7503,99.3461,99.7503,1526300
2026-02-27,99.7503,99.7503,97.6711,97.6711,4220100
2026-03-02,97.6711,98.0479,97.6711,98.0479,3757100
2026-03-03,98.0479,99.6043,98.0479,99.6043,3618700
2026-03-04,99.6043,100.8216,99.6043,100.8216,2947100
2026-03-05,100.8216,100.8216,100.2249,100.2249,1250000
2026-03-06,100.2249,101.1896,100.2249,101.1896,3944300
2026-03-09,101.1896,101.1896,100.7845,100.7845,1114000
2026-03-10,100.7845,100.8759,100.7845,100.8759,1151900
2026-03-11,100.8759,100.8759,99.4513,99.4513,4993600
2026-03-12,99.4513,99.7718,99.4513,99.7718,10900
2026-03-13,99.7718,100.6796,99.7718,100.6796,1301200
2026-03-16,100.6796,100.6796,99.2665,99.2665,1909000
2026-03-17,99.2665,99.7398,99.2665,99.7398,1376500
2026-03-18,99.7398,100.7859,99.7398,100.7859,2350100
2026-03-19,100.7859,102.1334,100.7859,102.1334,4375300
2026-03-20,102.1334,103.3898,102.1334,103.3898,227700
2026-03-23,103.3898,103.3898,101.1947,101.1947,2161200
2026-03-24,101.1947,102.5404,101.1947,102.5404,4498000
2026-03-25,102.5404,103.9668,102.5404,103.9668,4570200
2026-03-26,103.9668,104.4473,103.9668,104.4473,4687200
2026-03-27,104.4473,104.4473,102.9882,102.9882,3625000
2026-03-30,102.9882,102.9882,102.2917,102.2917,576300
2026-03-31,102.2917,102.2917,100.8728,100.8728,771200
