date,open,high,low,close,volume
2026-01-01,100.0000,100.2480,100.0000,100.2480,359800
2026-01-02,100.2480,100.2480,99.8298,99.8298,3398500
2026-01-05,99.8298,100.9676,99.8298,100.9676,4503400
2026-01-06,100.9676,101.6787,100.9676,101.6787,3310700
2026-01-07,101.6787,102.1032,101.6787,102.1032,452100
2026-01-08,102.1032,104.0257,102.1032,104.0257,2329300
2026-01-09,104.0257,104.0257,102.3080,102.3080,699500
2026-01-12,102.3080,102.3080,102.1278,102.1278,1293500
2026-01-13,102.1278,102.5842,102.1278,102.5842,1228900
2026-01-14,102.5842,104.0183,102.5842,104.0183,3290400
2026-01-15,104.0183,104.0183,101.9688,101.9688,1841300
2026-01-16,101.9688,103.9327,101.9688,103.9327,4188800
2026-01-19,103.9327,104.6690,103.9327,104.6690,2598200
2026-01-20,104.6690,104.7132,104.6690,104.7132,3271400
2026-01-21,104.7132,106.2382,104.7132,106.2382,4604300
2026-01-22,106.2382,106.2382,104.8388,104.8388,3053700
2026-01-23,104.8388,104.8388,103.6671,103.6671,3558400
2026-01-26,103.6671,103.6671,103.2048,103.2048,4291300
2026-01-27,103.2048,103.2048,101.9876,101.9876,638400
2026-01-28,101.9876,102.8899,101.9876,102.8899,1471100
2026-01-29,102.8899,102.8899,101.8162,101.8162,1092800
2026-01-30,101.8162,101.8162,100.6848,100.6848,3959800
2026-02-02,100.6848,100.6848,99.5722,99.5722,747100
2026-02-03,99.5722,99.5722,99.3313,99.3313,3988100
2026-02-04,99.3313,99.3313,98.9832,98.9832,2115900
2026-02-05,98.9832,100.5538,98.9832,100.5538,822700
2026-02-06,100.5538,101.8169,100.5538,101.8169,1752500
2026-02-09,101.8169,104.2257,101.8169,104.2257,1222500
2026-02-10,104.2257,104.2462,104.2257,104.2462,1065100
2026-02-11,104.2462,104.5558,104.2462,104.5558,4146700
2026-02-12,104.5558,104.9379,104.5558,104.9379,3730700
2026-02-13,104.9379,104.9379,104.7889,104.7889,2322700
2026-02-16,104.7889,104.7889,104.6544,104.6544,2607100
2026-02-17,104.6544,104.6544,104.1729,104.1729,43200
2026-02-18,104.1729,104.3510,104.1729,104.3510,138000
2026-02-19,104.3510,104.3510,102.9851,102.9851,4965800
2026-02-20,102.9851,102.9851,102.7511,102.7511,1888300
2026-02-23,102.7511,102.7511,102.2285,102.2285,800200
2026-02-24,102.2285,103.4744,102.2285,103.4744,2552500
2026-02-25,103.4744,103.4744,101.3921,101.3921,4533200
2026-02-26,101.3921,101.3921,100.7065,100.7065,1938900
2026-02-27,100.7065,100.7065,99.2312,99.2312,1939600
2026-03-02,99.2312,99.2312,99.1157,99.1157,2583700
2026-03-03,99.1157,99.4209,99.1157,99.4209,434600
2026-03-04,99.4209,99.4209,99.1350,99.1350,1446200
2026-03-05,99.1350,99.1350,97.6799,97.6799,2238900
2026-03-06,97.6799,97.6799,97.6334,97.6334,2277600
2026-03-09,97.6334,97.6334,96.9032,96.9032,4356400
2026-03-10,96.9032,96.9999,96.9032,96.9999,4108200
2026-03-11,96.9999,96.9999,95.6523,95.6523,2599300
2026-03-12,95.6523,95.8420,95.6523,95.8420,489500
2026-03-13,95.8420,96.0502,95.8420,96.0502,3125600
2026-03-16,96.0502,96.0502,94.9612,94.9612,966200
2026-03-17,94.9612,95.1097,94.9612,95.1097,3877100
2026-03-18,95.1097,96.1344,95.1097,96.1344,1715500
2026-03-19,96.1344,96.6439,96.1344,96.6439,543700
2026-03-20,96.6439,97.1534,96.6439,97.1534,2659200
2026-03-23,97.1534,97.1534,96.3917,96.3917,3736700
2026-03-24,96.3917,97.5094,96.3917,97.5094,3318800
2026-03-25,97.5094,99.0382,97.5094,99.0382,662900
2026-03-26,99.0382,99.6115,99.0382,99.6115,2272100
2026-03-27,99.6115,99.6115,99.1052,99.1052,4927700
2026-03-30,99.1052,99.1052,97.6855,97.6855,3022400
2026-03-31,97.6855,97.6855,96.8177,96.8177,2264100
2026-04-01,96.8177,96.8177,96.1655,96.1655,27400
2026-04-02,96.1655,97.7907,96.1655,97.7907,2510300
2026-04-03,97.7907,97.7907,96.2937,96.2937,4223800
2026-04-06,96.2937,96.2937,95.7441,95.7441,2715800
2026-04-07,95.7441,96.1543,95.7441,96.1543,3210300
2026-04-08,96.1543,96.1543,94.8850,94.8850,2318000
2026-04-09,94.8850,95.0850,94.8850,95.0850,3768500
2026-04-10,95.0850,96.0113,95.0850,96.0113,1054700
2026-04-13,96.0113,97.2549,96.0113,97.2549,4379200
2026-04-14,97.2549,97.2549,95.2547,95.2547,1251200
2026-04-15,95.2547,95.2547,95.0071,95.0071,101900
2026-04-16,95.0071,95.9702,95.0071,95.9702,2567400
2026-04-17,95.9702,95.9702,94.6083,94.6083,2684800
2026-04-20,94.6083,94.6083,93.4673,93.4673,1616800
2026-04-21,93.4673,93.4673,93.0738,93.0738,773600
2026-04-22,93.0738,93.0738,92.7182,92.7182,990200
2026-04-23,92.7182,92.7182,91.5930,91.5930,186000
2026-04-24,91.5930,91.5930,91.5517,91.5517,2610500
2026-04-27,91.5517,91.5517,91.2559,91.2559,2809300
2026-04-28,91.2559,91.2559,90.8993,90.8993,4327100
