date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.3744,99.3744,4169700
2026-01-02,99.3744,99.3744,99.0832,99.0832,1682200
2026-01-05,99.0832,99.7850,99.0832,99.7850,3357600
2026-01-06,99.7850,99.7850,98.3420,98.3420,4690300
2026-01-07,98.3420,99.3079,98.3420,99.3079,4648200
2026-01-08,99.3079,99.6236,99.3079,99.6236,565000
2026-01-09,99.6236,99.6236,98.2284,98.2284,4338600
2026-01-12,98.2284,98.2284,96.9218,96.9218,1666600
2026-01-13,96.9218,97.5235,96.9218,97.5235,4086800
2026-01-14,97.5235,99.1288,97.5235,99.1288,4844600
2026-01-15,99.1288,99.1288,98.3707,98.3707,2277900
2026-01-16,98.3707,100.6798,98.3707,100.6798,4622700
2026-01-19,100.6798,100.6798,100.2063,100.2063,3394100
2026-01-20,100.2063,101.1739,100.2063,101.1739,1255300
2026-01-21,101.1739,101.3473,101.1739,101.3473,239500
2026-01-22,101.3473,101.3473,100.0466,100.0466,4428100
2026-01-23,100.0466,100.0466,99.0088,99.0088,2102300
2026-01-26,99.0088,99.0088,97.3701,97.3701,3539000
2026-01-27,97.3701,97.3701,95.3759,95.3759,3819600
2026-01-28,95.3759,95.3759,95.3162,95.3162,4967700
2026-01-29,95.3162,95.3162,93.9632,93.9632,3745100
2026-01-30,93.9632,93.9632,93.2267,93.2267,1207200
2026-02-02,93.2267,93.2267,91.5134,91.5134,4019800
2026-02-03,91.5134,91.5134,90.2624,90.2624,4041900
2026-02-04,90.2624,90.2624,89.4134,89.4134,3563100
2026-02-05,89.4134,89.9031,89.4134,89.9031,2312900
2026-02-06,89.9031,91.2039,89.9031,91.2039,1729500
2026-02-09,91.2039,93.4359,91.2039,93.4359,3372700
2026-02-10,93.4359,93.4365,93.4359,93.4365,4570900
2026-02-11,93.4365,93.8781,93.4365,93.8781,3147200
2026-02-12,93.8781,93.8781,93.7488,93.7488,1384200
2026-02-13,93.7488,93.7488,93.7040,93.7040,3403100
2026-02-16,93.7040,94.3978,93.7040,94.3978,3595300
2026-02-17,94.3978,94.3978,94.0154,94.0154,874100
2026-02-18,94.0154,94.0154,93.0221,93.0221,4306800
2026-02-19,93.0221,93.0221,92.7065,92.7065,1050800
2026-02-20,92.7065,92.7065,92.6654,92.6654,4481600
2026-02-23,92.6654,92.9246,92.6654,92.9246,17200
2026-02-24,92.9246,93.8836,92.9246,93.8836,4199400
2026-02-25,93.8836,93.8836,92.5944,92.5944,4144000
2026-02-26,92.5944,92.5944,92.0848,92.0848,2820200
2026-02-27,92.0848,92.0848,90.7293,90.7293,1633800
2026-03-02,90.7293,90.7293,90.6662,90.6662,4376700
2026-03-03,90.6662,92.1139,90.6662,92.1139,4717300
2026-03-04,92.1139,92.8494,92.1139,92.8494,2469600
2026-03-05,92.8494,92.8494,92.4110,92.4110,2096100
2026-03-06,92.4110,93.6947,92.4110,93.6947,2032200
2026-03-09,93.6947,94.3285,93.6947,94.3285,4634000
2026-03-10,94.3285,94.3285,93.9025,93.9025,3955700
2026-03-11,93.9025,93.9025,92.9451,92.9451,3836700
2026-03-12,92.9451,92.9451,92.5946,92.5946,133800
2026-03-13,92.5946,92.5946,91.7925,91.7925,794400
2026-03-16,91.7925,91.7925,89.8808,89.8808,3156400
2026-03-17,89.8808,90.1096,89.8808,90.1096,2154400
2026-03-18,90.1096,91.2331,90.1096,91.2331,2043600
2026-03-19,91.2331,92.8156,91.2331,92.8156,3030500
2026-03-20,92.8156,92.8156,92.5608,92.5608,2410700
2026-03-23,92.5608,92.5608,91.6071,91.6071,30300
2026-03-24,91.6071,92.8115,91.6071,92.8115,3611400
2026-03-25,92.8115,93.9545,92.8115,93.9545,2401600
2026-03-26,93.9545,93.9869,93.9545,93.9869,2727000
2026-03-27,93.9869,93.9869,93.6046,93.6046,2772200
2026-03-30,93.6046,93.6046,92.6590,92.6590,4275100
2026-03-31,92.6590,92.6590,92.1178,92.1178,1591500
2026-04-01,92.1178,92.1178,90.2920,90.2920,1650800
2026-04-02,90.2920,90.2920,89.8115,89.8115,3192300
2026-04-03,89.8115,89.8115,89.3604,89.3604,2239000
2026-04-06,89.3604,89.7167,89.3604,89.7167,2594700
2026-04-07,89.7167,89.9343,89.7167,89.9343,2264600
2026-04-08,89.9343,89.9343,89.1933,89.1933,1386200
2026-04-09,89.1933,89.1933,88.8669,88.8669,1545800
2026-04-10,88.8669,90.1021,88.8669,90.1021,293700
2026-04-13,90.1021,91.8631,90.1021,91.8631,4323600
2026-04-14,91.8631,92.2438,91.8631,92.2438,2946800
2026-04-15,92.2438,92.2438,91.6113,91.6113,1831100
2026-04-16,91.6113,91.6113,91.2881,91.2881,3296900
