date,open,high,low,close,volume
2026-01-01,100.0000,100.1131,100.0000,100.1131,3834700
2026-01-02,100.1131,100.1131,99.9332,99.9332,1778100
2026-01-05,99.9332,100.2644,99.9332,100.2644,2858900
2026-01-06,100.2644,100.2644,98.8597,98.8597,250300
2026-01-07,98.8597,99.3183,98.8597,99.3183,4383100
2026-01-08,99.3183,99.9154,99.3183,99.9154,3628300
2026-01-09,99.9154,99.9154,98.0845,98.0845,769400
2026-01-12,98.0845,98.0845,96.6901,96.6901,4379700
2026-01-13,96.6901,96.6901,96.3727,96.3727,2242500
2026-01-14,96.3727,99.3683,96.3727,99.3683,116600
2026-01-15,99.3683,99.3683,98.2212,98.2212,1785100
2026-01-16,98.2212,99.2879,98.2212,99.2879,2262800
2026-01-19,99.2879,99.3543,99.2879,99.3543,4307500
2026-01-20,99.3543,99.7345,99.3543,99.7345,2035200
2026-01-21,99.7345,99.7345,99.2384,99.2384,2112700
2026-01-22,99.2384,99.2384,97.8788,97.8788,4975800
2026-01-23,97.8788,98.1114,97.8788,98.1114,1251700
2026-01-26,98.1114,98.1114,96.6834,96.6834,1168300
2026-01-27,96.6834,96.6834,95.2155,95.2155,901100
2026-01-28,95.2155,95.2155,94.2548,94.2548,1490300
2026-01-29,94.2548,94.2548,93.6634,93.6634,400600
2026-01-30,93.6634,93.6634,93.3856,93.3856,4892500
2026-02-02,93.3856,93.3856,91.8103,91.8103,3448800
2026-02-03,91.8103,91.8103,90.9511,90.9511,2848700
2026-02-04,90.9511,90.9511,90.4852,90.4852,2511300
2026-02-05,90.4852,90.4852,90.3122,90.3122,4980000
2026-02-06,90.3122,91.3084,90.3122,91.3084,4506000
2026-02-09,91.3084,93.7536,91.3084,93.7536,1181200
2026-02-10,93.7536,93.7536,92.7453,92.7453,952500
2026-02-11,92.7453,93.6299,92.7453,93.6299,115900
2026-02-12,93.6299,93.6299,93.2328,93.2328,915200
2026-02-13,93.2328,93.5682,93.2328,93.5682,2195700
2026-02-16,93.5682,93.6638,93.5682,93.6638,3308900
2026-02-17,93.6638,93.6638,93.4943,93.4943,1979100
2026-02-18,93.4943,93.4943,93.4843,93.4843,2805700
2026-02-19,93.4843,93.4843,93.0187,93.0187,3484400
2026-02-20,93.0187,93.0187,92.8523,92.8523,2448800
2026-02-23,92.8523,92.8523,92.0904,92.0904,4503000
2026-02-24,92.0904,93.2360,92.0904,93.2360,579600
2026-02-25,93.2360,93.2360,92.1412,92.1412,4941100
2026-02-26,92.1412,92.1412,91.0030,91.0030,305800
2026-02-27,91.0030,91.0030,89.7984,89.7984,3389900
2026-03-02,89.7984,89.7984,89.4969,89.4969,3690400
2026-03-03,89.4969,90.4648,89.4969,90.4648,3685100
