date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.6386,99.6386,3668600
2026-01-02,99.6386,99.6386,98.9811,98.9811,3915500
2026-01-05,98.9811,100.4274,98.9811,100.4274,1608500
2026-01-06,100.4274,100.4274,99.7451,99.7451,3070000
2026-01-07,99.7451,100.3814,99.7451,100.3814,4458300
2026-01-08,100.3814,102.2782,100.3814,102.2782,2349700
2026-01-09,102.2782,102.2782,100.0964,100.0964,3517900
2026-01-12,100.0964,100.0964,98.8978,98.8978,880300
2026-01-13,98.8978,99.5037,98.8978,99.5037,557600
2026-01-14,99.5037,101.7043,99.5037,101.7043,1070000
2026-01-15,101.7043,101.7043,100.9200,100.9200,4580200
2026-01-16,100.9200,103.9103,100.9200,103.9103,1166600
2026-01-19,103.9103,104.4166,103.9103,104.4166,1957100
2026-01-20,104.4166,104.9325,104.4166,104.9325,2947900
2026-01-21,104.9325,105.4673,104.9325,105.4673,386300
2026-01-22,105.4673,105.4673,103.4839,103.4839,1494500
2026-01-23,103.4839,103.4839,102.6380,102.6380,15900
2026-01-26,102.6380,102.6380,101.9473,101.9473,3133100
2026-01-27,101.9473,101.9473,101.8411,101.8411,3478600
2026-01-28,101.8411,101.8411,101.8337,101.8337,4549600
2026-01-29,101.8337,101.8337,101.5241,101.5241,4106600
2026-01-30,101.5241,101.5241,100.4920,100.4920,3185200
2026-02-02,100.4920,100.4920,99.1533,99.1533,2441600
2026-02-03,99.1533,99.1533,97.5603,97.5603,3301600
2026-02-04,97.5603,97.5603,97.1333,97.1333,4284800
2026-02-05,97.1333,98.8961,97.1333,98.8961,4933600
2026-02-06,98.8961,100.6354,98.8961,100.6354,3486300
2026-02-09,100.6354,101.7756,100.6354,101.7756,4040500
2026-02-10,101.7756,101.7756,101.2352,101.2352,4371800
2026-02-11,101.2352,101.6768,101.2352,101.6768,1611500
2026-02-12,101.6768,101.6768,101.4071,101.4071,3056800
2026-02-13,101.4071,101.4071,100.6172,100.6172,1051900
2026-02-16,100.6172,100.6172,99.8691,99.8691,4585300
2026-02-17,99.8691,99.8691,99.4501,99.4501,2851000
2026-02-18,99.4501,100.1679,99.4501,100.1679,1103800
2026-02-19,100.1679,100.1916,100.1679,100.1916,1315700
2026-02-20,100.1916,100.1916,99.6001,99.6001,4406100
2026-02-23,99.6001,99.6001,99.2370,99.2370,1697100
2026-02-24,99.2370,101.4367,99.2370,101.4367,2541300
2026-02-25,101.4367,101.4367,99.8905,99.8905,3037200
2026-02-26,99.8905,99.8905,98.9260,98.9260,4055900
2026-02-27,98.9260,98.9260,97.5353,97.5353,4341700
2026-03-02,97.5353,98.3004,97.5353,98.3004,4952100
2026-03-03,98.3004,98.9675,98.3004,98.9675,3995100
2026-03-04,98.9675,99.4529,98.9675,99.4529,921200
2026-03-05,99.4529,99.4529,98.7672,98.7672,87900
2026-03-06,98.7672,99.2055,98.7672,99.2055,2609000
2026-03-09,99.2055,99.2055,98.5801,98.5801,2076800
2026-03-10,98.5801,98.7851,98.5801,98.7851,916100
2026-03-11,98.7851,98.7851,97.9752,97.9752,4049500
2026-03-12,97.9752,97.9752,96.9460,96.9460,4436400
2026-03-13,96.9460,97.2509,96.9460,97.2509,4752400
2026-03-16,97.2509,97.2509,96.7248,96.7248,2751400
2026-03-17,96.7248,96.7248,96.6374,96.6374,3819400
2026-03-18,96.6374,97.8422,96.6374,97.8422,2101200
2026-03-19,97.8422,98.8279,97.8422,98.8279,753800
2026-03-20,98.8279,99.2862,98.8279,99.2862,496200
2026-03-23,99.2862,99.4120,99.2862,99.4120,4167200
2026-03-24,99.4120,100.1895,99.4120,100.1895,4857700
2026-03-25,100.1895,100.6027,100.1895,100.6027,3456200
2026-03-26,100.6027,100.6027,100.1015,100.1015,801100
2026-03-27,100.1015,100.1015,98.6777,98.6777,2435400
2026-03-30,98.6777,98.6777,97.8927,97.8927,567700
2026-03-31,97.8927,97.8927,95.9812,95.9812,259000
2026-04-01,95.9812,95.9812,95.7477,95.7477,689600
2026-04-02,95.7477,95.7477,95.0607,95.0607,125200
2026-04-03,95.0607,95.7233,95.0607,95.7233,1736300
2026-04-06,95.7233,95.7233,95.5661,95.5661,1124400
2026-04-07,95.5661,95.5661,94.9888,94.9888,4079800
2026-04-08,94.9888,94.9888,93.9384,93.9384,3832800
2026-04-09,93.9384,93.9384,93.8979,93.8979,3104300
2026-04-10,93.8979,94.7182,93.8979,94.7182,2206000
2026-04-13,94.7182,94.7346,94.7182,94.7346,3715700
2026-04-14,94.7346,94.7346,93.8270,93.8270,3119000
2026-04-15,93.8270,93.8270,93.4711,93.4711,4846500
2026-04-16,93.4711,93.6365,93.4711,93.6365,2721300
2026-04-17,93.6365,93.6365,92.3143,92.3143,1827200
2026-04-20,92.3143,92.3143,91.3759,91.3759,3618800
2026-04-21,91.3759,93.7979,91.3759,93.7979,835600
2026-04-22,93.7979,93.7979,93.0146,93.0146,1735000
2026-04-23,93.0146,93.8840,93.0146,93.8840,4852100
2026-04-24,93.8840,94.3098,93.8840,94.3098,3719700
2026-04-27,94.3098,94.3098,93.8432,93.8432,965500
2026-04-28,93.8432,93.8432,93.5931,93.5931,439000
2026-04-29,93.5931,93.5931,92.3684,92.3684,964500
2026-04-30,92.3684,92.5616,92.3684,92.5616,1254100
2026-05-01,92.5616,94.0962,92.5616,94.0962,193300
2026-05-04,94.0962,94.0962,93.3485,93.3485,1059800
2026-05-05,93.3485,93.3485,92.1264,92.1264,1487800
2026-05-06,92.1264,92.8169,92.1264,92.8169,3172100
2026-05-07,92.8169,93.8650,92.8169,93.8650,4944100
2026-05-08,93.8650,94.9310,93.8650,94.9310,2865400
2026-05-11,94.9310,95.9095,94.9310,95.9095,1444200
2026-05-12,95.9095,95.9095,95.8959,95.8959,4390000
2026-05-13,95.8959,96.5376,95.8959,96.5376,2572300
2026-05-14,96.5376,96.6656,96.5376,96.6656,2881400
2026-05-15,96.6656,96.6965,96.6656,96.6965,447500
2026-05-18,96.6965,96.6965,96.3106,96.3106,460600
2026-05-19,96.3106,96.7326,96.3106,96.7326,2886700
2026-05-20,96.7326,96.7326,94.6051,94.6051,4128800
2026-05-21,94.6051,94.6051,93.1809,93.1809,1640800
2026-05-22,93.1809,93.9702,93.1809,93.9702,2206800
2026-05-25,93.9702,94.1781,93.9702,94.1781,1970700
2026-05-26,94.1781,94.1781,94.1148,94.1148,2847300
2026-05-27,94.1148,94.1148,92.1774,92.1774,1999200
2026-05-28,92.1774,92.1774,90.9562,90.9562,2145700
2026-05-29,90.9562,91.4497,90.9562,91.4497,957400
2026-06-01,91.4497,91.4497,90.4949,90.4949,215000
2026-06-02,90.4949,91.3901,90.4949,91.3901,3745200
2026-06-03,91.3901,93.4536,91.3901,93.4536,1829500
2026-06-04,93.4536,93.4536,92.9082,92.9082,3108600
2026-06-05,92.9082,93.5719,92.9082,93.5719,1288800
2026-06-08,93.5719,93.6159,93.5719,93.6159,896000
2026-06-09,93.6159,94.6354,93.6159,94.6354,2234800
2026-06-10,94.6354,95.0234,94.6354,95.0234,3354800
2026-06-11,95.0234,95.0234,94.3392,94.3392,1076800
2026-06-12,94.3392,94.5132,94.3392,94.5132,1738600
2026-06-15,94.5132,94.6828,94.5132,94.6828,3535100
2026-06-16,94.6828,97.5671,94.6828,97.5671,4369600
2026-06-17,97.5671,98.3800,97.5671,98.3800,379300
2026-06-18,98.3800,98.3800,98.1378,98.1378,1460100
2026-06-19,98.1378,98.3805,98.1378,98.3805,1107000
2026-06-22,98.3805,98.3805,96.9829,96.9829,115700
2026-06-23,96.9829,96.9829,96.4984,96.4984,3574800
2026-06-24,96.4984,96.4984,95.1021,95.1021,1415600
2026-06-25,95.1021,95.1021,93.5442,93.5442,4312500
2026-06-26,93.5442,93.5442,93.0437,93.0437,1878600
2026-06-29,93.0437,94.5454,93.0437,94.5454,1085200
2026-06-30,94.5454,94.5454,93.7225,93.7225,2895800
2026-07-01,93.7225,93.7225,93.0405,93.0405,4684600
2026-07-02,93.0405,93.3562,93.0405,93.3562,4636300
2026-07-03,93.3562,93.3562,92.5450,92.5450,3842700
2026-07-06,92.5450,92.5450,91.9989,91.9989,4623100
2026-07-07,91.9989,92.7517,91.9989,92.7517,1973300
2026-07-08,92.7517,93.6544,92.7517,93.6544,1085300
2026-07-09,93.6544,93.6544,91.3352,91.3352,4104800
2026-07-10,91.3352,91.3352,89.5655,89.5655,4748800
2026-07-13,89.5655,90.9288,89.5655,90.9288,4050200
2026-07-14,90.9288,90.9288,90.1823,90.1823,1753400
2026-07-15,90.1823,90.5093,90.1823,90.5093,2502100
2026-07-16,90.5093,90.5093,90.2198,90.2198,1955900
2026-07-17,90.2198,90.2198,89.4019,89.4019,2309000
2026-07-20,89.4019,90.3255,89.4019,90.3255,3699700
2026-07-21,90.3255,92.3586,90.3255,92.3586,3645300
2026-07-22,92.3586,93.2019,92.3586,93.2019,400100
2026-07-23,93.2019,93.2019,92.5196,92.5196,1258500
2026-07-24,92.5196,92.7249,92.5196,92.7249,555300
2026-07-27,92.7249,92.7249,90.4591,90.4591,474000
2026-07-28,90.4591,91.8230,90.4591,91.8230,1312400
2026-07-29,91.8230,91.8230,91.4726,91.4726,328600
2026-07-30,91.4726,93.1564,91.4726,93.1564,639600
2026-07-31,93.1564,94.4765,93.1564,94.4765,1329700
2026-08-03,94.4765,94.4765,93.4659,93.4659,2790600
2026-08-04,93.4659,93.4659,93.0061,93.0061,697200
2026-08-05,93.0061,93.4921,93.0061,93.4921,3784100
2026-08-06,93.4921,93.9391,93.4921,93.9391,3888900
2026-08-07,93.9391,93.9391,93.8985,93.8985,3212200
2026-08-10,93.8985,94.0549,93.8985,94.0549,1328600
2026-08-11,94.0549,94.0549,91.4749,91.4749,59900
2026-08-12,91.4749,91.4749,90.1325,90.1325,239600
2026-08-13,90.1325,91.7417,90.1325,91.7417,952900
2026-08-14,91.7417,91.7417,90.6464,90.6464,2604800
2026-08-17,90.6464,90.6464,89.3970,89.3970,778100
2026-08-18,89.3970,89.3970,89.3880,89.3880,1538500
2026-08-19,89.3880,89.3880,88.6566,88.6566,4249200
2026-08-20,88.6566,88.8320,88.6566,88.8320,56500
2026-08-21,88.8320,89.1331,88.8320,89.1331,2443900
2026-08-24,89.1331,89.7962,89.1331,89.7962,4898400
2026-08-25,89.7962,89.9835,89.7962,89.9835,3913600
2026-08-26,89.9835,89.9835,89.3902,89.3902,3737900
2026-08-27,89.3902,89.3902,87.0875,87.0875,2117100
2026-08-28,87.0875,87.4688,87.0875,87.4688,519600
2026-08-31,87.4688,87.9621,87.4688,87.9621,1488200
2026-09-01,87.9621,88.0253,87.9621,88.0253,3730200
2026-09-02,88.0253,88.0253,87.2512,87.2512,3756500
2026-09-03,87.2512,87.2512,85.8056,85.8056,3805600
2026-09-04,85.8056,86.0125,85.8056,86.0125,1557200
2026-09-07,86.0125,86.2592,86.0125,86.2592,4917000
2026-09-08,86.2592,86.2592,84.5040,84.5040,1228300
2026-09-09,84.5040,84.5040,84.2385,84.2385,4448700
