date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.8100,99.8100,393000
2026-01-02,99.8100,100.3597,99.8100,100.3597,3470500
2026-01-05,100.3597,101.7552,100.3597,101.7552,685200
2026-01-06,101.7552,101.7552,100.9579,100.9579,3252400
2026-01-07,100.9579,100.9579,100.4670,100.4670,4635300
2026-01-08,100.4670,100.5002,100.4670,100.5002,2957300
2026-01-09,100.5002,100.5002,98.4188,98.4188,4033000
2026-01-12,98.4188,98.4188,96.8616,96.8616,4803500
2026-01-13,96.8616,96.8616,96.8039,96.8039,794100
2026-01-14,96.8039,99.7880,96.8039,99.7880,105200
2026-01-15,99.7880,99.7880,99.1263,99.1263,4026900
2026-01-16,99.1263,102.1586,99.1263,102.1586,400200
2026-01-19,102.1586,103.9640,102.1586,103.9640,2393200
2026-01-20,103.9640,103.9640,103.6654,103.6654,988300
2026-01-21,103.6654,103.6654,103.0983,103.0983,2405000
2026-01-22,103.0983,103.0983,100.5820,100.5820,304000
2026-01-23,100.5820,100.5820,100.0895,100.0895,3417600
2026-01-26,100.0895,100.0895,99.2225,99.2225,3265800
2026-01-27,99.2225,99.2225,99.0782,99.0782,3227700
2026-01-28,99.0782,99.7036,99.0782,99.7036,2152700
2026-01-29,99.7036,99.7036,99.3280,99.3280,2219100
2026-01-30,99.3280,99.3280,96.7945,96.7945,468300
2026-02-02,96.7945,96.7945,95.9949,95.9949,3753700
2026-02-03,95.9949,95.9949,95.2084,95.2084,739700
2026-02-04,95.2084,96.0419,95.2084,96.0419,3304100
2026-02-05,96.0419,96.1798,96.0419,96.1798,1098100
2026-02-06,96.1798,98.8563,96.1798,98.8563,1123000
2026-02-09,98.8563,99.4154,98.8563,99.4154,4644700
2026-02-10,99.4154,99.4154,99.2102,99.2102,4318000
2026-02-11,99.2102,100.4261,99.2102,100.4261,1776500
2026-02-12,100.4261,100.4261,100.1369,100.1369,4659000
2026-02-13,100.1369,100.1369,99.0451,99.0451,3489800
2026-02-16,99.0451,99.4816,99.0451,99.4816,2232100
2026-02-17,99.4816,99.4816,99.4038,99.4038,3344200
2026-02-18,99.4038,99.4038,99.0847,99.0847,2747000
2026-02-19,99.0847,99.5670,99.0847,99.5670,4580900
2026-02-20,99.5670,99.5670,98.4346,98.4346,3955200
2026-02-23,98.4346,98.4346,98.0056,98.0056,1533500
2026-02-24,98.0056,99.4130,98.0056,99.4130,4406100
2026-02-25,99.4130,99.4130,98.7020,98.7020,1837600
2026-02-26,98.7020,98.7020,97.6106,97.6106,4163900
2026-02-27,97.6106,97.6106,96.8711,96.8711,2267000
2026-03-02,96.8711,96.8711,95.9410,95.9410,4779200
2026-03-03,95.9410,95.9410,95.8846,95.8846,79600
2026-03-04,95.8846,96.9306,95.8846,96.9306,3020300
2026-03-05,96.9306,96.9306,95.7294,95.7294,1413000
2026-03-06,95.7294,95.7294,95.2737,95.2737,2437500
2026-03-09,95.2737,95.5913,95.2737,95.5913,258200
2026-03-10,95.5913,95.5913,94.5907,94.5907,4402000
2026-03-11,94.5907,94.5907,92.6005,92.6005,1674300
2026-03-12,92.6005,93.1002,92.6005,93.1002,563200
2026-03-13,93.1002,93.4959,93.1002,93.4959,448700
2026-03-16,93.4959,93.4959,91.8590,91.8590,1736500
2026-03-17,91.8590,92.3800,91.8590,92.3800,261100
2026-03-18,92.3800,94.1070,92.3800,94.1070,4953900
2026-03-19,94.1070,95.2150,94.1070,95.2150,2922700
2026-03-20,95.2150,95.2150,94.9568,94.9568,1134900
2026-03-23,94.9568,95.3521,94.9568,95.3521,3321600
2026-03-24,95.3521,96.4153,95.3521,96.4153,983600
2026-03-25,96.4153,97.5356,96.4153,97.5356,2777800
2026-03-26,97.5356,97.5356,97.0059,97.0059,506200
2026-03-27,97.0059,97.0059,96.5671,96.5671,2419600
2026-03-30,96.5671,96.5671,95.5235,95.5235,3694600
2026-03-31,95.5235,95.5235,94.4214,94.4214,4308200
2026-04-01,94.4214,94.4214,93.7915,93.7915,3598400
2026-04-02,93.7915,93.7915,92.8247,92.8247,2202900
2026-04-03,92.8247,92.8247,91.8552,91.8552,1725400
2026-04-06,91.8552,91.8552,91.5579,91.5579,3442500
2026-04-07,91.5579,91.5579,90.8325,90.8325,3830800
2026-04-08,90.8325,90.8325,90.1449,90.1449,77900
2026-04-09,90.1449,90.4045,90.1449,90.4045,2209800
2026-04-10,90.4045,91.2569,90.4045,91.2569,694900
2026-04-13,91.2569,92.7213,91.2569,92.7213,1852300
2026-04-14,92.7213,92.7213,91.5914,91.5914,839700
2026-04-15,91.5914,91.5914,90.7604,90.7604,3146300
2026-04-16,90.7604,90.7604,90.2289,90.2289,4190700
2026-04-17,90.2289,90.2289,89.8758,89.8758,2109100
2026-04-20,89.8758,89.8758,89.0102,89.0102,2847200
2026-04-21,89.0102,89.0102,81.4408,81.4408,3990300
2026-04-22,81.4408,81.4408,80.4257,80.4257,738200
2026-04-23,80.4257,80.4257,79.5630,79.5630,2930100
2026-04-24,79.5630,79.5630,79.2038,79.2038,2018100
2026-04-27,79.2038,79.2038,78.9075,78.9075,689500
2026-04-28,78.9075,78.9075,77.9823,77.9823,3638800
2026-04-29,77.9823,77.9823,77.6126,77.6126,718700
2026-04-30,77.6126,77.9304,77.6126,77.9304,3292500
2026-05-01,77.9304,79.3440,77.9304,79.3440,4409000
2026-05-04,79.3440,79.3440,79.3154,79.3154,3754900
2026-05-05,79.3154,79.3154,78.3909,78.3909,22700
2026-05-06,78.3909,79.4522,78.3909,79.4522,3451700
2026-05-07,79.4522,80.7553,79.4522,80.7553,1441700
2026-05-08,80.7553,80.9182,80.7553,80.9182,3753500
2026-05-11,80.9182,80.9594,80.9182,80.9594,4795100
2026-05-12,80.9594,80.9594,80.3193,80.3193,2587900
2026-05-13,80.3193,80.3193,79.6423,79.6423,3030700
2026-05-14,79.6423,80.0954,79.6423,80.0954,4185400
2026-05-15,80.0954,80.1365,80.0954,80.1365,1815000
2026-05-18,80.1365,80.2338,80.1365,80.2338,2969200
2026-05-19,80.2338,80.5907,80.2338,80.5907,4410400
2026-05-20,80.5907,80.8919,80.5907,80.8919,2372900
2026-05-21,80.8919,80.8919,79.9488,79.9488,115800
2026-05-22,79.9488,80.6334,79.9488,80.6334,2457600
2026-05-25,80.6334,80.6334,80.6048,80.6048,1250600
2026-05-26,80.6048,80.6188,80.6048,80.6188,1717800
2026-05-27,80.6188,80.6188,79.5607,79.5607,173100
2026-05-28,79.5607,79.5607,79.3114,79.3114,3224600
2026-05-29,79.3114,80.4835,79.3114,80.4835,1575100
2026-06-01,80.4835,80.8829,80.4835,80.8829,735700
2026-06-02,80.8829,80.8829,80.4135,80.4135,1813500
2026-06-03,80.4135,82.1025,80.4135,82.1025,1962900
2026-06-04,82.1025,82.6112,82.1025,82.6112,4382800
2026-06-05,82.6112,82.6112,82.5566,82.5566,3247000
2026-06-08,82.5566,82.5566,81.9937,81.9937,4245400
2026-06-09,81.9937,81.9937,80.6959,80.6959,2750900
2026-06-10,80.6959,81.0677,80.6959,81.0677,3352000
2026-06-11,81.0677,81.1053,81.0677,81.1053,4578800
2026-06-12,81.1053,81.6586,81.1053,81.6586,3663800
2026-06-15,81.6586,82.2094,81.6586,82.2094,3226000
2026-06-16,82.2094,84.4295,82.2094,84.4295,2461100
2026-06-17,84.4295,85.0322,84.4295,85.0322,3851900
2026-06-18,85.0322,85.5680,85.0322,85.5680,962000
2026-06-19,85.5680,86.0668,85.5680,86.0668,4431600
2026-06-22,86.0668,86.0668,84.4873,84.4873,2380200
2026-06-23,84.4873,84.5116,84.4873,84.5116,531500
2026-06-24,84.5116,84.5116,83.6582,83.6582,328200
2026-06-25,83.6582,83.8706,83.6582,83.8706,3485500
