date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.7683,99.7683,2069600
2026-01-02,99.7683,100.8135,99.7683,100.8135,4765300
2026-01-05,100.8135,101.6705,100.8135,101.6705,4188700
2026-01-06,101.6705,101.6705,100.3634,100.3634,2760600
2026-01-07,100.3634,102.0193,100.3634,102.0193,1461500
2026-01-08,102.0193,102.9829,102.0193,102.9829,4462700
2026-01-09,102.9829,102.9829,100.9631,100.9631,4510400
2026-01-12,100.9631,100.9631,98.9919,98.9919,325900
2026-01-13,98.9919,99.8745,98.9919,99.8745,4619200
2026-01-14,99.8745,101.3519,99.8745,101.3519,1406900
2026-01-15,101.3519,101.3519,99.7992,99.7992,4658900
2026-01-16,99.7992,101.7367,99.7992,101.7367,3511400
2026-01-19,101.7367,103.6277,101.7367,103.6277,439700
2026-01-20,103.6277,103.6277,103.2212,103.2212,1881400
2026-01-21,103.2212,104.4909,103.2212,104.4909,4747100
2026-01-22,104.4909,104.4909,101.9279,101.9279,3973300
2026-01-23,101.9279,101.9279,99.8807,99.8807,195900
2026-01-26,99.8807,99.8807,99.2309,99.2309,119100
2026-01-27,99.2309,99.2309,97.3023,97.3023,325600
2026-01-28,97.3023,98.8981,97.3023,98.8981,1995800
2026-01-29,98.8981,98.8981,98.4054,98.4054,1551300
2026-01-30,98.4054,98.4054,96.8648,96.8648,1561600
2026-02-02,96.8648,96.8648,95.5708,95.5708,1650100
2026-02-03,95.5708,95.9297,95.5708,95.9297,4838400
2026-02-04,95.9297,95.9297,95.8732,95.8732,4782000
2026-02-05,95.8732,96.5023,95.8732,96.5023,455800
2026-02-06,96.5023,99.1606,96.5023,99.1606,1622100
2026-02-09,99.1606,99.5159,99.1606,99.5159,446200
2026-02-10,99.5159,99.5159,99.0317,99.0317,2086500
2026-02-11,99.0317,99.5174,99.0317,99.5174,826600
2026-02-12,99.5174,99.5174,98.9666,98.9666,2030400
2026-02-13,98.9666,98.9666,96.5718,96.5718,1545300
2026-02-16,96.5718,96.6029,96.5718,96.6029,3628900
2026-02-17,96.6029,96.6029,95.8862,95.8862,1446700
2026-02-18,95.8862,95.8862,95.5164,95.5164,3288200
2026-02-19,95.5164,95.5164,95.2352,95.2352,4101400
2026-02-20,95.2352,95.2352,94.6689,94.6689,4933100
2026-02-23,94.6689,94.6689,94.0519,94.0519,4671800
2026-02-24,94.0519,96.7561,94.0519,96.7561,901600
2026-02-25,96.7561,96.7561,96.3183,96.3183,3192000
2026-02-26,96.3183,96.9010,96.3183,96.9010,4885700
2026-02-27,96.9010,96.9010,94.8999,94.8999,304500
2026-03-02,94.8999,94.8999,94.4636,94.4636,3079100
2026-03-03,94.4636,96.1307,94.4636,96.1307,97300
2026-03-04,96.1307,97.5426,96.1307,97.5426,606800
2026-03-05,97.5426,97.5426,96.7024,96.7024,4267900
2026-03-06,96.7024,96.8254,96.7024,96.8254,604500
2026-03-09,96.8254,96.8254,96.5453,96.5453,2483700
2026-03-10,96.5453,96.6583,96.5453,96.6583,2023600
2026-03-11,96.6583,96.6583,95.3015,95.3015,4613600
2026-03-12,95.3015,95.4476,95.3015,95.4476,1619300
2026-03-13,95.4476,95.4476,95.2336,95.2336,4808800
2026-03-16,95.2336,95.2336,93.7638,93.7638,2458200
2026-03-17,93.7638,94.3499,93.7638,94.3499,3294100
2026-03-18,94.3499,95.3341,94.3499,95.3341,1975700
2026-03-19,95.3341,96.9374,95.3341,96.9374,1505200
2026-03-20,96.9374,96.9374,96.8949,96.8949,3705000
2026-03-23,96.8949,96.8949,96.4625,96.4625,391000
2026-03-24,96.4625,96.4625,96.0989,96.0989,1337700
2026-03-25,96.0989,97.3850,96.0989,97.3850,3232700
2026-03-26,97.3850,97.3850,96.9214,96.9214,2748300
2026-03-27,96.9214,96.9214,95.8100,95.8100,1986200
2026-03-30,95.8100,95.8100,94.7604,94.7604,4320300
2026-03-31,94.7604,94.7604,92.8196,92.8196,2097300
2026-04-01,92.8196,92.8196,91.9519,91.9519,2176100
2026-04-02,91.9519,91.9519,91.2647,91.2647,290000
2026-04-03,91.2647,91.2647,90.6965,90.6965,3823100
2026-04-06,90.6965,90.6965,90.3229,90.3229,3115500
2026-04-07,90.3229,90.3229,90.1281,90.1281,1391600
2026-04-08,90.1281,90.1281,89.4392,89.4392,4471400
2026-04-09,89.4392,89.7011,89.4392,89.7011,4933100
2026-04-10,89.7011,90.4510,89.7011,90.4510,1229900
2026-04-13,90.4510,92.1680,90.4510,92.1680,1774000
2026-04-14,92.1680,92.1680,91.1004,91.1004,184100
2026-04-15,91.1004,91.1004,90.5755,90.5755,4317800
2026-04-16,90.5755,90.5755,90.2131,90.2131,1821500
2026-04-17,90.2131,90.2131,90.0212,90.0212,2437600
2026-04-20,90.0212,90.0212,88.8518,88.8518,208200
2026-04-21,88.8518,88.9054,88.8518,88.9054,4845900
2026-04-22,88.9054,88.9054,88.6063,88.6063,1391400
2026-04-23,88.6063,88.6063,88.0803,88.0803,4036200
2026-04-24,88.0803,88.8154,88.0803,88.8154,3774000
2026-04-27,88.8154,88.8154,87.7125,87.7125,4216900
2026-04-28,87.7125,87.7125,80.4178,80.4178,2663000
2026-04-29,80.4178,80.4178,78.3515,78.3515,1668600
