date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.1868,99.1868,1606500
2026-01-02,99.1868,99.9325,99.1868,99.9325,944200
2026-01-05,99.9325,101.5866,99.9325,101.5866,62200
2026-01-06,101.5866,101.5866,100.6431,100.6431,655800
2026-01-07,100.6431,101.4405,100.6431,101.4405,3750200
2026-01-08,101.4405,102.7977,101.4405,102.7977,1988400
2026-01-09,102.7977,102.7977,100.8737,100.8737,2174700
2026-01-12,100.8737,100.8737,99.6070,99.6070,702600
2026-01-13,99.6070,99.6070,99.0756,99.0756,4397300
2026-01-14,99.0756,101.0506,99.0756,101.0506,2219800
2026-01-15,101.0506,101.0506,100.2867,100.2867,215100
2026-01-16,100.2867,102.7443,100.2867,102.7443,853100
2026-01-19,102.7443,103.6546,102.7443,103.6546,635800
2026-01-20,103.6546,103.6546,102.9404,102.9404,2127000
2026-01-21,102.9404,102.9404,102.8752,102.8752,3797300
2026-01-22,102.8752,102.8752,100.6245,100.6245,1703400
2026-01-23,100.6245,100.6245,99.4785,99.4785,3088600
2026-01-26,99.4785,99.4785,98.5625,98.5625,3993700
2026-01-27,98.5625,98.5625,97.2033,97.2033,3121100
2026-01-28,97.2033,97.6618,97.2033,97.6618,4778200
2026-01-29,97.6618,97.6618,96.7022,96.7022,4340400
2026-01-30,96.7022,96.7022,95.5041,95.5041,158300
2026-02-02,95.5041,95.5041,94.1884,94.1884,2714600
2026-02-03,94.1884,94.1884,93.5010,93.5010,3275200
2026-02-04,93.5010,93.7004,93.5010,93.7004,2951700
2026-02-05,93.7004,94.6645,93.7004,94.6645,4697300
2026-02-06,94.6645,97.6886,94.6645,97.6886,4918600
2026-02-09,97.6886,98.4344,97.6886,98.4344,2818000
2026-02-10,98.4344,98.4344,97.8746,97.8746,3621500
2026-02-11,97.8746,99.2239,97.8746,99.2239,3247400
2026-02-12,99.2239,99.2239,98.6085,98.6085,4777200
2026-02-13,98.6085,98.6085,97.4495,97.4495,2824900
2026-02-16,97.4495,98.3064,97.4495,98.3064,3870400
2026-02-17,98.3064,98.3064,97.4117,97.4117,4884400
2026-02-18,97.4117,97.9602,97.4117,97.9602,4705900
2026-02-19,97.9602,97.9602,97.6286,97.6286,2185300
2026-02-20,97.6286,97.9335,97.6286,97.9335,1702700
2026-02-23,97.9335,97.9335,97.9249,97.9249,520000
2026-02-24,97.9249,99.9446,97.9249,99.9446,1746900
2026-02-25,99.9446,99.9446,98.8561,98.8561,3906200
2026-02-26,98.8561,98.8561,98.3758,98.3758,2866700
2026-02-27,98.3758,98.3758,97.3018,97.3018,3294800
2026-03-02,97.3018,97.3537,97.3018,97.3537,1204900
2026-03-03,97.3537,98.5008,97.3537,98.5008,1023700
2026-03-04,98.5008,98.8493,98.5008,98.8493,2439800
2026-03-05,98.8493,98.8493,97.9038,97.9038,416400
2026-03-06,97.9038,98.8243,97.9038,98.8243,1858600
2026-03-09,98.8243,98.8243,98.6230,98.6230,2519700
2026-03-10,98.6230,98.7720,98.6230,98.7720,796600
2026-03-11,98.7720,98.7720,97.2324,97.2324,4280300
2026-03-12,97.2324,97.2324,96.8158,96.8158,2196900
2026-03-13,96.8158,97.5971,96.8158,97.5971,2960100
2026-03-16,97.5971,97.5971,95.0699,95.0699,222500
2026-03-17,95.0699,95.1564,95.0699,95.1564,3816300
2026-03-18,95.1564,97.1325,95.1564,97.1325,4522600
2026-03-19,97.1325,98.5347,97.1325,98.5347,3425700
2026-03-20,98.5347,99.8632,98.5347,99.8632,76400
2026-03-23,99.8632,99.8632,99.5869,99.5869,1681800
2026-03-24,99.5869,99.9061,99.5869,99.9061,917800
2026-03-25,99.9061,101.4487,99.9061,101.4487,2930400
2026-03-26,101.4487,101.8746,101.4487,101.8746,1103700
2026-03-27,101.8746,101.8746,101.7463,101.7463,1324400
2026-03-30,101.7463,101.7463,101.3045,101.3045,2303400
2026-03-31,101.3045,101.3045,99.9790,99.9790,1171600
2026-04-01,99.9790,99.9790,97.5488,97.5488,2274400
2026-04-02,97.5488,97.5488,97.1681,97.1681,1099800
2026-04-03,97.1681,97.1681,95.7960,95.7960,316500
2026-04-06,95.7960,96.0817,95.7960,96.0817,3292700
2026-04-07,96.0817,96.0817,95.4691,95.4691,470500
2026-04-08,95.4691,95.4691,94.2361,94.2361,4124800
2026-04-09,94.2361,94.2361,94.1901,94.1901,974900
2026-04-10,94.1901,95.2569,94.1901,95.2569,784400
2026-04-13,95.2569,97.4868,95.2569,97.4868,1784800
2026-04-14,97.4868,97.4868,97.1471,97.1471,660200
2026-04-15,97.1471,97.1471,96.2911,96.2911,203500
2026-04-16,96.2911,96.2911,90.7943,90.7943,2961600
2026-04-17,90.7943,90.7943,89.1306,89.1306,2727100
2026-04-20,89.1306,89.1306,87.6949,87.6949,1365800
2026-04-21,87.6949,87.6949,87.3972,87.3972,2098100
2026-04-22,87.3972,87.3972,86.5635,86.5635,1082800
2026-04-23,86.5635,86.5635,86.1805,86.1805,757500
2026-04-24,86.1805,87.0584,86.1805,87.0584,1214700
2026-04-27,87.0584,87.1940,87.0584,87.1940,1952000
2026-04-28,87.1940,87.1940,87.0012,87.0012,4096200
2026-04-29,87.0012,87.0012,85.2655,85.2655,510700
2026-04-30,85.2655,85.9878,85.2655,85.9878,1017000
2026-05-01,85.9878,86.3259,85.9878,86.3259,2917400
2026-05-04,86.3259,86.3259,85.4603,85.4603,3547400
2026-05-05,85.4603,85.4603,84.4669,84.4669,2383900
2026-05-06,84.4669,84.4669,84.0203,84.0203,726600
2026-05-07,84.0203,85.7604,84.0203,85.7604,2293600
2026-05-08,85.7604,86.0057,85.7604,86.0057,1654200
2026-05-11,86.0057,86.0057,85.7180,85.7180,3423200
2026-05-12,85.7180,85.7180,84.5112,84.5112,3048600
2026-05-13,84.5112,84.5112,84.1053,84.1053,2450100
2026-05-14,84.1053,84.7443,84.1053,84.7443,1971700
2026-05-15,84.7443,84.9123,84.7443,84.9123,2917800
2026-05-18,84.9123,84.9123,84.7522,84.7522,221200
2026-05-19,84.7522,85.0412,84.7522,85.0412,4511400
2026-05-20,85.0412,85.0412,84.6876,84.6876,4183200
2026-05-21,84.6876,84.6876,83.0693,83.0693,3714600
2026-05-22,83.0693,84.6159,83.0693,84.6159,4181000
2026-05-25,84.6159,84.6490,84.6159,84.6490,1442200
2026-05-26,84.6490,84.6490,83.6548,83.6548,1051900
2026-05-27,83.6548,83.6548,83.1252,83.1252,3933300
2026-05-28,83.1252,83.1252,82.4508,82.4508,1237800
