date,open,high,low,close,volume
2026-01-01,100.0000,101.0067,100.0000,101.0067,4640600
2026-01-02,101.0067,101.4379,101.0067,101.4379,3917900
2026-01-05,101.4379,102.3273,101.4379,102.3273,1502500
2026-01-06,102.3273,102.3273,101.8356,101.8356,3147600
2026-01-07,101.8356,102.9821,101.8356,102.9821,790700
2026-01-08,102.9821,104.7680,102.9821,104.7680,1851900
2026-01-09,104.7680,104.7680,102.3350,102.3350,4371700
2026-01-12,102.3350,102.3350,101.5150,101.5150,3720600
2026-01-13,101.5150,103.3764,101.5150,103.3764,1784000
2026-01-14,103.3764,105.9998,103.3764,105.9998,1561100
2026-01-15,105.9998,105.9998,104.1396,104.1396,1058000
2026-01-16,104.1396,106.4116,104.1396,106.4116,1416000
2026-01-19,106.4116,106.4116,106.1732,106.1732,4000900
2026-01-20,106.1732,106.1732,105.8744,105.8744,1396900
2026-01-21,105.8744,105.8744,105.1662,105.1662,159100
2026-01-22,105.1662,105.1662,103.8647,103.8647,1443500
2026-01-23,103.8647,103.8647,102.9270,102.9270,757200
2026-01-26,102.9270,102.9270,100.8725,100.8725,3022500
2026-01-27,100.8725,100.8725,99.5873,99.5873,792000
2026-01-28,99.5873,100.3965,99.5873,100.3965,369400
2026-01-29,100.3965,100.3965,98.4450,98.4450,4156600
2026-01-30,98.4450,98.4450,97.8129,97.8129,118900
2026-02-02,97.8129,97.8129,95.6690,95.6690,3852600
2026-02-03,95.6690,95.6690,95.3754,95.3754,2796500
2026-02-04,95.3754,96.7149,95.3754,96.7149,3829200
2026-02-05,96.7149,98.0158,96.7149,98.0158,4292800
2026-02-06,98.0158,98.5286,98.0158,98.5286,165400
2026-02-09,98.5286,100.0143,98.5286,100.0143,3271100
2026-02-10,100.0143,100.0911,100.0143,100.0911,4577700
2026-02-11,100.0911,100.7722,100.0911,100.7722,2517400
2026-02-12,100.7722,100.7722,100.3940,100.3940,510500
2026-02-13,100.3940,100.3940,99.3393,99.3393,3246100
2026-02-16,99.3393,99.7327,99.3393,99.7327,2620900
2026-02-17,99.7327,99.9802,99.7327,99.9802,4916300
2026-02-18,99.9802,99.9802,99.9687,99.9687,3785400
2026-02-19,99.9687,99.9687,99.4934,99.4934,4679000
2026-02-20,99.4934,99.4934,98.6758,98.6758,4353200
2026-02-23,98.6758,98.6758,97.5264,97.5264,3798400
2026-02-24,97.5264,98.7606,97.5264,98.7606,2023600
2026-02-25,98.7606,98.7606,97.8652,97.8652,2969200
2026-02-26,97.8652,97.8652,97.0251,97.0251,1263100
2026-02-27,97.0251,97.0251,95.2785,95.2785,4793800
2026-03-02,95.2785,95.5974,95.2785,95.5974,1482100
2026-03-03,95.5974,95.6398,95.5974,95.6398,3011400
2026-03-04,95.6398,96.1252,95.6398,96.1252,1633300
2026-03-05,96.1252,96.1252,94.8099,94.8099,4610900
2026-03-06,94.8099,94.8099,94.7315,94.7315,331600
2026-03-09,94.7315,94.7315,93.9388,93.9388,4085500
2026-03-10,93.9388,94.0611,93.9388,94.0611,453800
2026-03-11,94.0611,94.0611,92.6564,92.6564,1704000
2026-03-12,92.6564,92.6564,91.5053,91.5053,4069200
2026-03-13,91.5053,92.4468,91.5053,92.4468,4325700
2026-03-16,92.4468,92.4468,92.4049,92.4049,2355000
2026-03-17,92.4049,92.4049,91.8522,91.8522,2360200
2026-03-18,91.8522,93.4958,91.8522,93.4958,3160200
2026-03-19,93.4958,95.2425,93.4958,95.2425,262800
2026-03-20,95.2425,95.7147,95.2425,95.7147,1105700
2026-03-23,95.7147,95.7147,93.4855,93.4855,190500
2026-03-24,93.4855,94.7936,93.4855,94.7936,4663900
2026-03-25,94.7936,95.7566,94.7936,95.7566,2353100
2026-03-26,95.7566,96.6042,95.7566,96.6042,2320700
2026-03-27,96.6042,96.6042,96.2806,96.2806,577100
2026-03-30,96.2806,96.2806,95.0224,95.0224,2636800
2026-03-31,95.0224,95.0224,94.1065,94.1065,3580100
2026-04-01,94.1065,94.1065,92.9640,92.9640,443900
2026-04-02,92.9640,92.9640,92.6335,92.6335,165400
2026-04-03,92.6335,92.6335,91.8072,91.8072,2303700
2026-04-06,91.8072,91.8072,91.5071,91.5071,3542400
2026-04-07,91.5071,91.5645,91.5071,91.5645,4228700
2026-04-08,91.5645,91.5645,90.8082,90.8082,2448400
2026-04-09,90.8082,91.2557,90.8082,91.2557,1563100
2026-04-10,91.2557,92.3721,91.2557,92.3721,618700
2026-04-13,92.3721,94.0903,92.3721,94.0903,3928800
2026-04-14,94.0903,94.0903,93.5817,93.5817,711700
2026-04-15,93.5817,93.5817,92.8970,92.8970,3795000
2026-04-16,92.8970,92.8970,92.6957,92.6957,2540100
2026-04-17,92.6957,92.6957,91.0579,91.0579,2817600
2026-04-20,91.0579,91.0579,89.8137,89.8137,1429500
2026-04-21,89.8137,89.8137,89.4858,89.4858,1533700
2026-04-22,89.4858,89.4858,88.3299,88.3299,3959100
