date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.7640,99.7640,1560300
2026-01-02,99.7640,99.7640,99.5668,99.5668,4327700
2026-01-05,99.5668,99.5668,99.2639,99.2639,528400
2026-01-06,99.2639,99.2639,98.5502,98.5502,4112700
2026-01-07,98.5502,98.5502,98.2751,98.2751,483700
2026-01-08,98.2751,99.0873,98.2751,99.0873,4089100
2026-01-09,99.0873,99.0873,97.8102,97.8102,2297100
2026-01-12,97.8102,97.8102,96.4548,96.4548,1426600
2026-01-13,96.4548,97.7602,96.4548,97.7602,4769600
2026-01-14,97.7602,99.1287,97.7602,99.1287,4635200
2026-01-15,99.1287,99.1287,97.2302,97.2302,2562500
2026-01-16,97.2302,98.7921,97.2302,98.7921,875500
2026-01-19,98.7921,99.3492,98.7921,99.3492,4166500
2026-01-20,99.3492,100.1638,99.3492,100.1638,1985000
2026-01-21,100.1638,101.2234,100.1638,101.2234,2517100
2026-01-22,101.2234,101.2234,100.2558,100.2558,4351000
2026-01-23,100.2558,100.2558,99.9773,99.9773,1956300
2026-01-26,99.9773,99.9773,99.2097,99.2097,1954500
2026-01-27,99.2097,99.2097,97.4054,97.4054,2214600
2026-01-28,97.4054,97.4054,97.2811,97.2811,4528600
2026-01-29,97.2811,97.5552,97.2811,97.5552,3843900
2026-01-30,97.5552,97.5552,95.5356,95.5356,3654700
2026-02-02,95.5356,95.5356,94.5237,94.5237,4182500
2026-02-03,94.5237,94.5237,93.9566,93.9566,4624000
2026-02-04,93.9566,93.9566,93.8804,93.8804,1234100
2026-02-05,93.8804,95.3025,93.8804,95.3025,3740300
2026-02-06,95.3025,97.0269,95.3025,97.0269,2150900
2026-02-09,97.0269,98.3013,97.0269,98.3013,4527700
2026-02-10,98.3013,98.3013,97.2764,97.2764,844500
2026-02-11,97.2764,97.4908,97.2764,97.4908,4638500
2026-02-12,97.4908,97.9453,97.4908,97.9453,2262300
2026-02-13,97.9453,97.9453,97.2640,97.2640,4046500
2026-02-16,97.2640,97.6874,97.2640,97.6874,3021500
2026-02-17,97.6874,97.7126,97.6874,97.7126,3223200
2026-02-18,97.7126,97.7126,97.4095,97.4095,3421100
2026-02-19,97.4095,98.2303,97.4095,98.2303,4116100
2026-02-20,98.2303,98.2303,97.9767,97.9767,1254300
2026-02-23,97.9767,97.9767,97.2359,97.2359,2963000
2026-02-24,97.2359,98.4908,97.2359,98.4908,1463600
2026-02-25,98.4908,98.4908,98.1811,98.1811,3855600
2026-02-26,98.1811,98.1811,97.0940,97.0940,2458200
2026-02-27,97.0940,97.0940,95.7500,95.7500,4114600
2026-03-02,95.7500,95.9232,95.7500,95.9232,2174200
2026-03-03,95.9232,96.0393,95.9232,96.0393,2858100
