date,open,high,low,close,volume
2026-01-01,40.0000,42.8194,40.0000,42.8194,1859000
2026-01-02,42.8194,42.8194,42.7933,42.7933,3080200
2026-01-03,42.7933,42.7933,41.3502,41.3502,4640200
2026-01-04,41.3502,41.5552,41.3502,41.5552,4875900
2026-01-05,41.5552,42.0334,41.5552,42.0334,1475200
2026-01-06,42.0334,42.0334,40.0494,40.0494,4086500
2026-01-07,40.0494,40.0836,40.0494,40.0836,4233400
2026-01-08,40.0836,40.1476,40.0836,40.1476,625500
2026-01-09,40.1476,40.1476,40.1380,40.1380,658900
2026-01-10,40.1380,41.2622,40.1380,41.2622,1009700
2026-01-11,41.2622,41.2622,39.6467,39.6467,2360200
2026-01-12,39.6467,39.6467,39.2809,39.2809,83600
2026-01-13,39.2809,42.4476,39.2809,42.4476,2516800
2026-01-14,42.4476,43.1412,42.4476,43.1412,4566200
2026-01-15,43.1412,43.6743,43.1412,43.6743,538300
2026-01-16,43.6743,43.6743,42.5218,42.5218,107600
2026-01-17,42.5218,43.7388,42.5218,43.7388,1233700
2026-01-18,43.7388,44.4060,43.7388,44.4060,2509400
2026-01-19,44.4060,44.4060,43.8000,43.8000,1315900
2026-01-20,43.8000,44.6667,43.8000,44.6667,2820900
2026-01-21,44.6667,44.6667,43.5553,43.5553,4816600
2026-01-22,43.5553,43.5553,42.1816,42.1816,421000
2026-01-23,42.1816,42.1816,40.1416,40.1416,991200
2026-01-24,40.1416,40.3959,40.1416,40.3959,2868400
2026-01-25,40.3959,40.5815,40.3959,40.5815,4020000
2026-01-26,40.5815,40.5815,40.3940,40.3940,3462600
2026-01-27,40.3940,40.3940,39.6843,39.6843,4894700
2026-01-28,39.6843,39.6843,38.7346,38.7346,2854700
2026-01-29,38.7346,39.4156,38.7346,39.4156,1754900
2026-01-30,39.4156,39.4156,39.2138,39.2138,222000
2026-01-31,39.2138,40.0930,39.2138,40.0930,2233000
2026-02-01,40.0930,41.2235,40.0930,41.2235,3296600
2026-02-02,41.2235,41.6806,41.2235,41.6806,993100
2026-02-03,41.6806,41.6806,41.2690,41.2690,2260300
2026-02-04,41.2690,41.7748,41.2690,41.7748,686100
2026-02-05,41.7748,41.7748,40.8825,40.8825,3490800
2026-02-06,40.8825,43.0425,40.8825,43.0425,2237000
2026-02-07,43.0425,43.0425,40.4999,40.4999,4905900
2026-02-08,40.4999,41.9736,40.4999,41.9736,430000
2026-02-09,41.9736,43.0201,41.9736,43.0201,1920800
2026-02-10,43.0201,44.8956,43.0201,44.8956,2686300
2026-02-11,44.8956,46.0671,44.8956,46.0671,204000
2026-02-12,46.0671,46.2600,46.0671,46.2600,1206100
2026-02-13,46.2600,46.2600,44.8801,44.8801,278500
2026-02-14,44.8801,44.8801,42.9864,42.9864,3783400
2026-02-15,42.9864,42.9864,42.5959,42.5959,3782200
2026-02-16,42.5959,42.5959,40.4426,40.4426,1751100
2026-02-17,40.4426,43.3811,40.4426,43.3811,4256500
2026-02-18,43.3811,43.9327,43.3811,43.9327,3754400
2026-02-19,43.9327,46.7146,43.9327,46.7146,3314500
2026-02-20,46.7146,47.2966,46.7146,47.2966,2449100
2026-02-21,47.2966,48.3099,47.2966,48.3099,3175100
2026-02-22,48.3099,50.7107,48.3099,50.7107,4688100
2026-02-23,50.7107,50.7107,49.4079,49.4079,1284900
2026-02-24,49.4079,49.4079,46.3591,46.3591,1977700
2026-02-25,46.3591,46.7621,46.3591,46.7621,2139000
2026-02-26,46.7621,46.7621,44.6961,44.6961,2907400
2026-02-27,44.6961,48.1764,44.6961,48.1764,2573200
2026-02-28,48.1764,48.1764,46.1914,46.1914,2636600
2026-03-01,46.1914,49.0606,46.1914,49.0606,3539300
2026-03-02,49.0606,49.9874,49.0606,49.9874,1832900
2026-03-03,49.9874,51.1663,49.9874,51.1663,4987100
2026-03-04,51.1663,51.1663,50.5696,50.5696,2248800
2026-03-05,50.5696,50.5696,49.9485,49.9485,2197300
2026-03-06,49.9485,49.9485,48.1977,48.1977,2472700
2026-03-07,48.1977,52.6431,48.1977,52.6431,988600
2026-03-08,52.6431,52.6431,52.1382,52.1382,2934800
2026-03-09,52.1382,52.1382,49.9221,49.9221,3372600
2026-03-10,49.9221,49.9221,48.8310,48.8310,4968200
2026-03-11,48.8310,48.8310,48.4442,48.4442,3559800
2026-03-12,48.4442,48.4442,46.9953,46.9953,1510100
2026-03-13,46.9953,47.6472,46.9953,47.6472,1856700
2026-03-14,47.6472,48.7896,47.6472,48.7896,3430100
2026-03-15,48.7896,48.7896,48.2864,48.2864,1186500
2026-03-16,48.2864,48.2864,46.9725,46.9725,3938400
2026-03-17,46.9725,46.9725,46.5515,46.5515,4194300
2026-03-18,46.5515,46.5515,44.5417,44.5417,3794400
2026-03-19,44.5417,44.5417,42.3789,42.3789,3478400
2026-03-20,42.3789,42.3789,40.5844,40.5844,1827100
2026-03-21,40.5844,40.7045,40.5844,40.7045,3689500
2026-03-22,40.7045,41.5868,40.7045,41.5868,3767800
2026-03-23,41.5868,43.1784,41.5868,43.1784,1331600
2026-03-24,43.1784,43.1842,43.1784,43.1842,4476900
2026-03-25,43.1842,43.1842,42.3987,42.3987,3581100
2026-03-26,42.3987,44.2479,42.3987,44.2479,2641000
2026-03-27,44.2479,44.2479,43.8540,43.8540,1885200
2026-03-28,43.8540,45.3920,43.8540,45.3920,3033800
2026-03-29,45.3920,45.3920,45.3184,45.3184,2935500
2026-03-30,45.3184,45.3184,44.9973,44.9973,2032400
2026-03-31,44.9973,44.9973,43.8354,43.8354,4462200
2026-04-01,43.8354,45.4208,43.8354,45.4208,3610700
2026-04-02,45.4208,45.6248,45.4208,45.6248,4951600
2026-04-03,45.6248,45.6248,45.2921,45.2921,3501600
2026-04-04,45.2921,47.0231,45.2921,47.0231,383500
2026-04-05,47.0231,47.0231,45.5124,45.5124,232900
2026-04-06,45.5124,45.5124,44.7553,44.7553,1005200
2026-04-07,44.7553,44.9043,44.7553,44.9043,1645100
2026-04-08,44.9043,45.5984,44.9043,45.5984,2282700
2026-04-09,45.5984,45.6018,45.5984,45.6018,2092200
2026-04-10,45.6018,45.6018,45.2066,45.2066,1201900
2026-04-11,45.2066,47.2983,45.2066,47.2983,3531000
2026-04-12,47.2983,47.4848,47.2983,47.4848,4202300
2026-04-13,47.4848,48.1328,47.4848,48.1328,1784300
2026-04-14,48.1328,53.3890,48.1328,53.3890,3935500
2026-04-15,53.3890,53.3890,51.9883,51.9883,2334800
2026-04-16,51.9883,51.9883,49.6701,49.6701,4597100
2026-04-17,49.6701,50.5912,49.6701,50.5912,2149100
2026-04-18,50.5912,50.5912,50.5523,50.5523,2762300
2026-04-19,50.5523,51.9220,50.5523,51.9220,2479000
2026-04-20,51.9220,51.9220,51.5789,51.5789,1445900
2026-04-21,51.5789,51.5789,49.6658,49.6658,4416600
2026-04-22,49.6658,49.6658,49.4128,49.4128,1595000
2026-04-23,49.4128,49.4128,47.1264,47.1264,4151100
2026-04-24,47.1264,47.1264,43.4598,43.4598,990500
2026-04-25,43.4598,43.4598,42.8919,42.8919,2133100
2026-04-26,42.8919,42.8919,42.8506,42.8506,246700
2026-04-27,42.8506,43.3914,42.8506,43.3914,2273800
2026-04-28,43.3914,43.3914,43.2965,43.2965,1464900
2026-04-29,43.2965,43.2965,43.2684,43.2684,1274100
2026-04-30,43.2684,44.4676,43.2684,44.4676,4929400
2026-05-01,44.4676,45.2452,44.4676,45.2452,4918600
2026-05-02,45.2452,46.4332,45.2452,46.4332,1289000
2026-05-03,46.4332,46.6088,46.4332,46.6088,4873000
2026-05-04,46.6088,46.7854,46.6088,46.7854,3294000
2026-05-05,46.7854,48.4782,46.7854,48.4782,757900
2026-05-06,48.4782,48.9264,48.4782,48.9264,3407800
2026-05-07,48.9264,52.4999,48.9264,52.4999,530100
2026-05-08,52.4999,52.4999,50.4763,50.4763,2198000
2026-05-09,50.4763,50.4763,48.6337,48.6337,4226000
2026-05-10,48.6337,50.2381,48.6337,50.2381,1581000
2026-05-11,50.2381,50.4087,50.2381,50.4087,1240000
2026-05-12,50.4087,50.4087,49.0714,49.0714,1423400
2026-05-13,49.0714,50.3011,49.0714,50.3011,4752800
2026-05-14,50.3011,51.2195,50.3011,51.2195,2402000
2026-05-15,51.2195,52.2459,51.2195,52.2459,3812000
2026-05-16,52.2459,52.2459,50.1715,50.1715,42700
2026-05-17,50.1715,51.1418,50.1715,51.1418,2651600
2026-05-18,51.1418,51.1418,49.2214,49.2214,4701100
2026-05-19,49.2214,49.2214,49.0125,49.0125,1099900
2026-05-20,49.0125,49.0125,48.5498,48.5498,2756000
2026-05-21,48.5498,48.5498,48.0254,48.0254,2702800
2026-05-22,48.0254,51.5299,48.0254,51.5299,3704500
2026-05-23,51.5299,51.5299,50.9916,50.9916,866100
2026-05-24,50.9916,50.9916,49.9025,49.9025,712600
