date,open,high,low,close,volume
2026-01-01,40.0000,40.7738,40.0000,40.7738,3237500
2026-01-02,40.7738,41.3984,40.7738,41.3984,979800
2026-01-03,41.3984,41.3984,40.4315,40.4315,3394400
2026-01-04,40.4315,41.6148,40.4315,41.6148,2523500
2026-01-05,41.6148,41.6148,40.2381,40.2381,227000
2026-01-06,40.2381,40.2381,38.6927,38.6927,3370500
2026-01-07,38.6927,38.6927,38.2975,38.2975,227100
2026-01-08,38.2975,38.2975,38.0481,38.0481,1662000
2026-01-09,38.0481,38.5313,38.0481,38.5313,154500
2026-01-10,38.5313,38.8256,38.5313,38.8256,2314400
2026-01-11,38.8256,38.8256,37.6379,37.6379,2199200
2026-01-12,37.6379,37.6379,37.2548,37.2548,393500
2026-01-13,37.2548,38.6956,37.2548,38.6956,2967800
2026-01-14,38.6956,38.6956,37.7573,37.7573,4122300
2026-01-15,37.7573,38.1141,37.7573,38.1141,418100
2026-01-16,38.1141,38.1141,37.8185,37.8185,661600
2026-01-17,37.8185,39.4408,37.8185,39.4408,3920300
2026-01-18,39.4408,39.8436,39.4408,39.8436,3992300
2026-01-19,39.8436,40.8183,39.8436,40.8183,3273300
2026-01-20,40.8183,41.0569,40.8183,41.0569,1085100
2026-01-21,41.0569,41.0569,40.4926,40.4926,2703400
2026-01-22,40.4926,40.4926,39.5582,39.5582,2447800
2026-01-23,39.5582,39.5582,38.1759,38.1759,2929800
2026-01-24,38.1759,38.9622,38.1759,38.9622,1918200
2026-01-25,38.9622,38.9622,38.7706,38.7706,90400
2026-01-26,38.7706,39.3039,38.7706,39.3039,2217800
2026-01-27,39.3039,39.3039,37.6061,37.6061,2323400
2026-01-28,37.6061,37.6061,37.3791,37.3791,929900
2026-01-29,37.3791,37.3791,37.3520,37.3520,2974800
2026-01-30,37.3520,37.3991,37.3520,37.3991,3091800
2026-01-31,37.3991,38.9819,37.3991,38.9819,4980900
2026-02-01,38.9819,38.9819,38.8155,38.8155,1325700
2026-02-02,38.8155,38.8155,36.8775,36.8775,254300
2026-02-03,36.8775,37.1653,36.8775,37.1653,2956200
2026-02-04,37.1653,38.6808,37.1653,38.6808,2663500
2026-02-05,38.6808,38.6808,37.7185,37.7185,845300
2026-02-06,37.7185,38.8661,37.7185,38.8661,314900
2026-02-07,38.8661,38.8661,35.2310,35.2310,1796600
2026-02-08,35.2310,36.9435,35.2310,36.9435,2494300
2026-02-09,36.9435,38.4108,36.9435,38.4108,3724600
2026-02-10,38.4108,39.7243,38.4108,39.7243,3320700
2026-02-11,39.7243,41.4823,39.7243,41.4823,1452400
2026-02-12,41.4823,41.5339,41.4823,41.5339,2501200
2026-02-13,41.5339,41.5339,40.8394,40.8394,2943100
2026-02-14,40.8394,40.8394,39.7172,39.7172,2073200
2026-02-15,39.7172,39.7172,38.7330,38.7330,773100
2026-02-16,38.7330,38.7330,37.2954,37.2954,4614800
2026-02-17,37.2954,39.9068,37.2954,39.9068,4067500
2026-02-18,39.9068,39.9068,39.1980,39.1980,2913500
2026-02-19,39.1980,42.0979,39.1980,42.0979,1506500
2026-02-20,42.0979,42.8515,42.0979,42.8515,1583000
2026-02-21,42.8515,43.9285,42.8515,43.9285,4220900
2026-02-22,43.9285,44.1813,43.9285,44.1813,2685200
2026-02-23,44.1813,44.1813,43.3869,43.3869,3726100
2026-02-24,43.3869,43.3869,42.1176,42.1176,1945200
2026-02-25,42.1176,42.9743,42.1176,42.9743,2475300
2026-02-26,42.9743,42.9743,41.2678,41.2678,1743900
2026-02-27,41.2678,44.9474,41.2678,44.9474,1459700
2026-02-28,44.9474,44.9474,42.5572,42.5572,1870100
2026-03-01,42.5572,44.7797,42.5572,44.7797,3987500
2026-03-02,44.7797,44.7797,44.7443,44.7443,1781900
2026-03-03,44.7443,44.7443,44.5154,44.5154,4381400
2026-03-04,44.5154,44.5154,42.4914,42.4914,707400
2026-03-05,42.4914,42.4914,41.8335,41.8335,983300
2026-03-06,41.8335,41.8335,40.3596,40.3596,260800
2026-03-07,40.3596,43.9069,40.3596,43.9069,119600
2026-03-08,43.9069,43.9069,43.3028,43.3028,3195700
2026-03-09,43.3028,43.3028,42.1146,42.1146,4863900
2026-03-10,42.1146,42.1146,41.1184,41.1184,4144800
2026-03-11,41.1184,42.3894,41.1184,42.3894,478400
2026-03-12,42.3894,42.3894,40.6885,40.6885,2256900
2026-03-13,40.6885,41.8021,40.6885,41.8021,359800
2026-03-14,41.8021,43.3350,41.8021,43.3350,3494300
2026-03-15,43.3350,43.3350,41.4248,41.4248,2963300
2026-03-16,41.4248,41.4248,40.4830,40.4830,2348100
2026-03-17,40.4830,40.4830,39.3488,39.3488,1679400
2026-03-18,39.3488,40.4590,39.3488,40.4590,2328000
2026-03-19,40.4590,40.4590,38.8142,38.8142,953500
2026-03-20,38.8142,38.8142,37.0954,37.0954,875100
2026-03-21,37.0954,37.0954,36.5765,36.5765,2326800
2026-03-22,36.5765,38.9576,36.5765,38.9576,3701200
2026-03-23,38.9576,41.3036,38.9576,41.3036,3823300
2026-03-24,41.3036,41.3036,40.1520,40.1520,4325800
2026-03-25,40.1520,40.2307,40.1520,40.2307,4601300
2026-03-26,40.2307,41.3083,40.2307,41.3083,4788600
2026-03-27,41.3083,41.3083,41.2028,41.2028,1262800
2026-03-28,41.2028,43.8982,41.2028,43.8982,1718200
2026-03-29,43.8982,43.8982,42.8132,42.8132,2505800
2026-03-30,42.8132,42.8132,42.6898,42.6898,2589800
2026-03-31,42.6898,42.6898,41.6067,41.6067,3243000
2026-04-01,41.6067,43.0380,41.6067,43.0380,758300
2026-04-02,43.0380,43.0380,40.7497,40.7497,3005300
2026-04-03,40.7497,41.2503,40.7497,41.2503,1528600
2026-04-04,41.2503,42.8506,41.2503,42.8506,3427800
2026-04-05,42.8506,42.8506,42.2107,42.2107,2449000
2026-04-06,42.2107,42.2107,42.1270,42.1270,865600
2026-04-07,42.1270,43.6578,42.1270,43.6578,1073700
2026-04-08,43.6578,43.6578,42.8462,42.8462,4900700
2026-04-09,42.8462,42.8462,42.6020,42.6020,4302300
2026-04-10,42.6020,42.6020,42.1579,42.1579,4237600
2026-04-11,42.1579,43.7728,42.1579,43.7728,208900
2026-04-12,43.7728,45.1556,43.7728,45.1556,1803700
2026-04-13,45.1556,47.0215,45.1556,47.0215,4309700
