date,open,high,low,close,volume
2026-01-01,40.0000,42.2125,40.0000,42.2125,67700
2026-01-02,42.2125,44.2963,42.2125,44.2963,1756700
2026-01-03,44.2963,44.2963,43.6309,43.6309,3384000
2026-01-04,43.6309,43.9850,43.6309,43.9850,1390600
2026-01-05,43.9850,43.9850,43.5935,43.5935,4722800
2026-01-06,43.5935,43.5935,41.6312,41.6312,1082500
2026-01-07,41.6312,42.0534,41.6312,42.0534,2848700
2026-01-08,42.0534,42.0534,40.2593,40.2593,1127700
2026-01-09,40.2593,40.9385,40.2593,40.9385,1424100
2026-01-10,40.9385,40.9385,40.8702,40.8702,1556300
2026-01-11,40.8702,40.8702,40.1060,40.1060,4699400
2026-01-12,40.1060,40.1756,40.1060,40.1756,615000
2026-01-13,40.1756,42.0620,40.1756,42.0620,1586900
2026-01-14,42.0620,42.7231,42.0620,42.7231,222400
2026-01-15,42.7231,44.4435,42.7231,44.4435,2256800
2026-01-16,44.4435,44.4435,43.0306,43.0306,2621800
2026-01-17,43.0306,44.7844,43.0306,44.7844,3420700
2026-01-18,44.7844,45.7088,44.7844,45.7088,2249200
2026-01-19,45.7088,45.9810,45.7088,45.9810,1238700
2026-01-20,45.9810,46.2618,45.9810,46.2618,2681300
2026-01-21,46.2618,46.2618,44.8932,44.8932,1450200
2026-01-22,44.8932,44.8932,43.5303,43.5303,2807800
2026-01-23,43.5303,43.5303,41.4473,41.4473,4585100
2026-01-24,41.4473,41.4473,41.2313,41.2313,977300
2026-01-25,41.2313,41.6754,41.2313,41.6754,2884900
2026-01-26,41.6754,41.6754,40.4748,40.4748,3002200
2026-01-27,40.4748,40.4748,38.7782,38.7782,1984500
2026-01-28,38.7782,38.7782,37.2090,37.2090,413800
2026-01-29,37.2090,37.2090,37.1520,37.1520,2829100
2026-01-30,37.1520,37.1520,36.3378,36.3378,3813100
2026-01-31,36.3378,37.7558,36.3378,37.7558,206200
2026-02-01,37.7558,37.7558,36.6374,36.6374,418000
2026-02-02,36.6374,36.6374,34.3743,34.3743,947700
2026-02-03,34.3743,34.3743,33.5588,33.5588,4278700
2026-02-04,33.5588,34.2347,33.5588,34.2347,3038800
2026-02-05,34.2347,35.2014,34.2347,35.2014,4465400
2026-02-06,35.2014,37.3873,35.2014,37.3873,1075500
2026-02-07,37.3873,37.3873,34.0905,34.0905,3725600
2026-02-08,34.0905,36.6906,34.0905,36.6906,4052300
2026-02-09,36.6906,37.4003,36.6906,37.4003,1655800
2026-02-10,37.4003,38.6473,37.4003,38.6473,2755400
2026-02-11,38.6473,38.8513,38.6473,38.8513,2723400
2026-02-12,38.8513,38.8513,37.7981,37.7981,3412700
2026-02-13,37.7981,37.7981,36.6718,36.6718,68200
2026-02-14,36.6718,36.6718,35.9931,35.9931,1010100
2026-02-15,35.9931,35.9931,34.8951,34.8951,1770400
2026-02-16,34.8951,34.8951,32.4333,32.4333,992200
2026-02-17,32.4333,34.2246,32.4333,34.2246,4667500
2026-02-18,34.2246,34.2338,34.2246,34.2338,2813500
2026-02-19,34.2338,35.8004,34.2338,35.8004,2043100
2026-02-20,35.8004,35.8004,35.5722,35.5722,962400
2026-02-21,35.5722,35.6969,35.5722,35.6969,2759300
2026-02-22,35.6969,37.3449,35.6969,37.3449,653600
2026-02-23,37.3449,37.3449,36.4730,36.4730,4705900
2026-02-24,36.4730,36.4730,35.4976,35.4976,1902800
2026-02-25,35.4976,35.6799,35.4976,35.6799,428200
2026-02-26,35.6799,35.6799,35.0321,35.0321,651300
2026-02-27,35.0321,38.1533,35.0321,38.1533,2442800
2026-02-28,38.1533,38.1533,36.9599,36.9599,144200
2026-03-01,36.9599,38.9950,36.9599,38.9950,1102100
2026-03-02,38.9950,39.0612,38.9950,39.0612,2303300
2026-03-03,39.0612,39.0612,38.0114,38.0114,4809900
2026-03-04,38.0114,38.0114,37.2647,37.2647,2296900
2026-03-05,37.2647,37.2647,36.8185,36.8185,2995100
2026-03-06,36.8185,36.8185,35.7269,35.7269,632300
2026-03-07,35.7269,38.1696,35.7269,38.1696,537700
2026-03-08,38.1696,38.1696,37.5868,37.5868,4876000
2026-03-09,37.5868,37.5868,36.0151,36.0151,4442200
2026-03-10,36.0151,36.0151,36.0091,36.0091,1666900
2026-03-11,36.0091,36.8774,36.0091,36.8774,4100100
2026-03-12,36.8774,36.8774,35.9872,35.9872,1900200
2026-03-13,35.9872,36.1363,35.9872,36.1363,2343400
2026-03-14,36.1363,37.1543,36.1363,37.1543,4641200
2026-03-15,37.1543,37.1543,36.7770,36.7770,3143300
2026-03-16,36.7770,36.7770,35.1437,35.1437,3365900
2026-03-17,35.1437,35.1437,34.9839,34.9839,2910000
2026-03-18,34.9839,34.9839,34.5452,34.5452,1869800
2026-03-19,34.5452,34.5452,32.4571,32.4571,1583400
2026-03-20,32.4571,32.4571,30.6545,30.6545,3192400
2026-03-21,30.6545,31.1042,30.6545,31.1042,2817000
2026-03-22,31.1042,32.7589,31.1042,32.7589,4094500
2026-03-23,32.7589,33.8581,32.7589,33.8581,3497900
2026-03-24,33.8581,33.8581,33.3329,33.3329,4328400
2026-03-25,33.3329,34.1771,33.3329,34.1771,4500700
2026-03-26,34.1771,35.2957,34.1771,35.2957,353300
2026-03-27,35.2957,35.2957,35.0360,35.0360,337400
2026-03-28,35.0360,36.9393,35.0360,36.9393,4683300
2026-03-29,36.9393,36.9393,36.3624,36.3624,4693600
2026-03-30,36.3624,36.8242,36.3624,36.8242,3029700
2026-03-31,36.8242,36.8242,36.2740,36.2740,1853100
2026-04-01,36.2740,36.6242,36.2740,36.6242,3214300
2026-04-02,36.6242,36.6242,35.1134,35.1134,1313400
2026-04-03,35.1134,35.9434,35.1134,35.9434,1429100
2026-04-04,35.9434,38.0782,35.9434,38.0782,4871900
2026-04-05,38.0782,38.7094,38.0782,38.7094,2620100
2026-04-06,38.7094,38.7094,37.7386,37.7386,3085400
2026-04-07,37.7386,38.2380,37.7386,38.2380,21900
2026-04-08,38.2380,38.7115,38.2380,38.7115,1867300
2026-04-09,38.7115,38.8617,38.7115,38.8617,3385500
2026-04-10,38.8617,38.8617,38.5727,38.5727,3924000
2026-04-11,38.5727,40.0916,38.5727,40.0916,4445300
2026-04-12,40.0916,46.8436,40.0916,46.8436,3419300
2026-04-13,46.8436,48.3700,46.8436,48.3700,3565800
2026-04-14,48.3700,52.9159,48.3700,52.9159,95900
2026-04-15,52.9159,53.3283,52.9159,53.3283,4258900
2026-04-16,53.3283,53.3283,51.6766,51.6766,1663600
2026-04-17,51.6766,55.6642,51.6766,55.6642,1387000
2026-04-18,55.6642,55.6642,54.8277,54.8277,1990800
