date,open,high,low,close,volume
2026-01-01,100.0000,100.3137,100.0000,100.3137,4518600
2026-01-02,100.3137,102.7530,100.3137,102.7530,4024700
2026-01-05,102.7530,102.7530,101.7227,101.7227,3154200
2026-01-06,101.7227,102.6408,101.7227,102.6408,1362700
2026-01-07,102.6408,102.6408,102.5823,102.5823,1997400
2026-01-08,102.5823,102.9688,102.5823,102.9688,2525100
2026-01-09,102.9688,102.9688,100.8366,100.8366,1530500
2026-01-12,100.8366,102.2866,100.8366,102.2866,421800
2026-01-13,102.2866,102.6356,102.2866,102.6356,4918700
2026-01-14,102.6356,102.6356,101.2900,101.2900,1762400
2026-01-15,101.2900,101.2900,101.0957,101.0957,1825900
2026-01-16,101.0957,102.0050,101.0957,102.0050,3495800
2026-01-19,102.0050,102.6701,102.0050,102.6701,3726500
2026-01-20,102.6701,102.6701,102.6264,102.6264,977600
2026-01-21,102.6264,103.0138,102.6264,103.0138,3144100
2026-01-22,103.0138,103.0138,102.4295,102.4295,4242600
2026-01-23,102.4295,102.4295,101.6306,101.6306,1168000
2026-01-26,101.6306,102.8475,101.6306,102.8475,1312900
2026-01-27,102.8475,102.8475,100.9863,100.9863,607800
2026-01-28,100.9863,101.1366,100.9863,101.1366,4775100
2026-01-29,101.1366,101.1366,100.8646,100.8646,4469600
2026-01-30,100.8646,100.8646,99.2247,99.2247,1093100
2026-02-02,99.2247,99.2247,98.9203,98.9203,1436100
2026-02-03,98.9203,98.9203,98.0474,98.0474,2374400
2026-02-04,98.0474,99.3401,98.0474,99.3401,771400
2026-02-05,99.3401,100.2852,99.3401,100.2852,1652600
2026-02-06,100.2852,100.7520,100.2852,100.7520,2762900
2026-02-09,100.7520,101.3872,100.7520,101.3872,2541400
2026-02-10,101.3872,101.3872,99.5464,99.5464,468100
2026-02-11,99.5464,100.0883,99.5464,100.0883,3306600
2026-02-12,100.0883,100.7783,100.0883,100.7783,4068200
2026-02-13,100.7783,100.8534,100.7783,100.8534,2510800
2026-02-16,100.8534,100.9459,100.8534,100.9459,1209400
2026-02-17,100.9459,101.6169,100.9459,101.6169,3679800
2026-02-18,101.6169,101.6169,100.5584,100.5584,3755100
2026-02-19,100.5584,100.5584,100.4725,100.4725,3939600
2026-02-20,100.4725,102.1914,100.4725,102.1914,2445100
2026-02-23,102.1914,103.8844,102.1914,103.8844,1151200
2026-02-24,103.8844,103.8876,103.8844,103.8876,3950900
2026-02-25,103.8876,103.8888,103.8876,103.8888,2492800
2026-02-26,103.8888,103.8888,103.0427,103.0427,2449900
2026-02-27,103.0427,103.4388,103.0427,103.4388,2944700
2026-03-02,103.4388,104.7612,103.4388,104.7612,4115700
2026-03-03,104.7612,106.0427,104.7612,106.0427,3020300
2026-03-04,106.0427,106.0427,105.3458,105.3458,2411300
2026-03-05,105.3458,105.3458,105.1288,105.1288,874400
2026-03-06,105.1288,105.1288,104.7367,104.7367,1936500
2026-03-09,104.7367,104.8463,104.7367,104.8463,1485900
2026-03-10,104.8463,104.8463,104.0806,104.0806,813900
2026-03-11,104.0806,104.0806,103.3445,103.3445,2727500
2026-03-12,103.3445,103.4433,103.3445,103.4433,517300
2026-03-13,103.4433,103.6971,103.4433,103.6971,4782400
2026-03-16,103.6971,103.6971,103.4924,103.4924,56200
2026-03-17,103.4924,104.8412,103.4924,104.8412,3338200
2026-03-18,104.8412,104.8412,103.9745,103.9745,2714400
2026-03-19,103.9745,103.9745,102.0328,102.0328,96300
2026-03-20,102.0328,102.0328,99.4886,99.4886,2439000
2026-03-23,99.4886,99.4886,98.9950,98.9950,3832500
2026-03-24,98.9950,101.6990,98.9950,101.6990,4169600
2026-03-25,101.6990,102.0960,101.6990,102.0960,3647600
2026-03-26,102.0960,103.5846,102.0960,103.5846,4006000
2026-03-27,103.5846,104.1878,103.5846,104.1878,3352700
2026-03-30,104.1878,106.2232,104.1878,106.2232,3292400
2026-03-31,106.2232,106.2232,105.4623,105.4623,918500
2026-04-01,105.4623,106.2591,105.4623,106.2591,379300
2026-04-02,106.2591,106.2591,105.6914,105.6914,3553600
2026-04-03,105.6914,105.6914,104.2436,104.2436,2903600
2026-04-06,104.2436,105.5736,104.2436,105.5736,3163200
2026-04-07,105.5736,106.3717,105.5736,106.3717,4691400
2026-04-08,106.3717,106.9320,106.3717,106.9320,3110200
2026-04-09,106.9320,107.8318,106.9320,107.8318,3780100
2026-04-10,107.8318,107.8318,106.6156,106.6156,926300
2026-04-13,106.6156,106.6156,105.7135,105.7135,2073600
2026-04-14,105.7135,106.2428,105.7135,106.2428,3404700
2026-04-15,106.2428,106.3948,106.2428,106.3948,3227200
2026-04-16,106.3948,106.6238,106.3948,106.6238,3046400
2026-04-17,106.6238,110.5787,106.6238,110.5787,453100
2026-04-20,110.5787,110.8954,110.5787,110.8954,3970400
2026-04-21,110.8954,110.8954,110.6980,110.6980,70300
2026-04-22,110.6980,111.5874,110.6980,111.5874,207700
2026-04-23,111.5874,112.3798,111.5874,112.3798,2244900
2026-04-24,112.3798,112.6115,112.3798,112.6115,631900
2026-04-27,112.6115,112.6115,109.8888,109.8888,4628400
2026-04-28,109.8888,109.8888,107.4777,107.4777,3114800
2026-04-29,107.4777,108.6445,107.4777,108.6445,2070000
2026-04-30,108.6445,108.6445,108.1924,108.1924,3140200
2026-05-01,108.1924,108.1924,107.9813,107.9813,4432800
2026-05-04,107.9813,109.0380,107.9813,109.0380,2349200
2026-05-05,109.0380,109.0380,107.4811,107.4811,3193300
2026-05-06,107.4811,107.6248,107.4811,107.6248,1043800
2026-05-07,107.6248,107.6248,106.4768,106.4768,2579300
2026-05-08,106.4768,107.4546,106.4768,107.4546,426800
2026-05-11,107.4546,107.4546,107.0558,107.0558,1264100
2026-05-12,107.0558,107.0558,106.8552,106.8552,2162500
2026-05-13,106.8552,107.7053,106.8552,107.7053,778500
2026-05-14,107.7053,108.2643,107.7053,108.2643,1142900
2026-05-15,108.2643,108.2776,108.2643,108.2776,3933400
2026-05-18,108.2776,108.2776,107.6533,107.6533,1832500
2026-05-19,107.6533,107.6533,106.7231,106.7231,1783800
2026-05-20,106.7231,106.7231,104.2282,104.2282,2219600
2026-05-21,104.2282,105.1658,104.2282,105.1658,3633500
2026-05-22,105.1658,106.1905,105.1658,106.1905,3463100
2026-05-25,106.1905,107.7789,106.1905,107.7789,3271500
2026-05-26,107.7789,107.7789,106.6789,106.6789,3155700
2026-05-27,106.6789,106.6789,105.3668,105.3668,4721500
2026-05-28,105.3668,105.4518,105.3668,105.4518,387000
2026-05-29,105.4518,106.2303,105.4518,106.2303,4409600
2026-06-01,106.2303,106.4303,106.2303,106.4303,2416100
2026-06-02,106.4303,106.4303,104.9019,104.9019,1503200
2026-06-03,104.9019,104.9019,103.2693,103.2693,4821800
2026-06-04,103.2693,106.2160,103.2693,106.2160,2995500
2026-06-05,106.2160,107.3301,106.2160,107.3301,4402300
2026-06-08,107.3301,107.3301,106.6376,106.6376,1122600
2026-06-09,106.6376,107.4399,106.6376,107.4399,4277600
2026-06-10,107.4399,107.4399,104.9227,104.9227,2095300
2026-06-11,104.9227,105.2886,104.9227,105.2886,4546500
2026-06-12,105.2886,105.2886,103.8735,103.8735,4717200
2026-06-15,103.8735,105.4478,103.8735,105.4478,1423300
2026-06-16,105.4478,105.9994,105.4478,105.9994,3196100
2026-06-17,105.9994,105.9994,105.8122,105.8122,4761400
2026-06-18,105.8122,105.9100,105.8122,105.9100,4377400
2026-06-19,105.9100,105.9100,104.8513,104.8513,1962200
2026-06-22,104.8513,104.9907,104.8513,104.9907,780400
2026-06-23,104.9907,104.9907,103.8246,103.8246,1225800
2026-06-24,103.8246,106.7640,103.8246,106.7640,1336700
2026-06-25,106.7640,106.7640,106.6285,106.6285,4249600
2026-06-26,106.6285,106.6285,103.9900,103.9900,2048500
2026-06-29,103.9900,105.4866,103.9900,105.4866,4011900
2026-06-30,105.4866,106.8271,105.4866,106.8271,169100
2026-07-01,106.8271,108.7668,106.8271,108.7668,4604300
2026-07-02,108.7668,110.5980,108.7668,110.5980,4878900
2026-07-03,110.5980,113.0627,110.5980,113.0627,4768600
2026-07-06,113.0627,113.0627,111.1608,111.1608,565600
2026-07-07,111.1608,111.1608,110.6228,110.6228,4281100
2026-07-08,110.6228,111.8320,110.6228,111.8320,1368500
2026-07-09,111.8320,111.8320,110.7003,110.7003,2739200
2026-07-10,110.7003,111.1053,110.7003,111.1053,2169200
2026-07-13,111.1053,111.3240,111.1053,111.3240,4202300
2026-07-14,111.3240,111.3240,109.1521,109.1521,4535000
2026-07-15,109.1521,109.1521,107.7788,107.7788,4986300
2026-07-16,107.7788,108.4359,107.7788,108.4359,1653700
2026-07-17,108.4359,108.4359,107.6149,107.6149,2642000
2026-07-20,107.6149,107.6149,107.2630,107.2630,1992700
2026-07-21,107.2630,108.0533,107.2630,108.0533,2027300
2026-07-22,108.0533,108.0533,107.5284,107.5284,535700
2026-07-23,107.5284,107.5284,107.1612,107.1612,1961100
2026-07-24,107.1612,107.1612,105.1127,105.1127,4880000
2026-07-27,105.1127,105.1127,104.8432,104.8432,2304100
2026-07-28,104.8432,104.8432,103.4138,103.4138,4307600
2026-07-29,103.4138,104.9627,103.4138,104.9627,1360100
2026-07-30,104.9627,105.1427,104.9627,105.1427,404300
2026-07-31,105.1427,107.7249,105.1427,107.7249,1996100
