date,open,high,low,close,volume
2026-01-01,100.0000,100.6323,100.0000,100.6323,1704600
2026-01-02,100.6323,103.0919,100.6323,103.0919,3142500
2026-01-05,103.0919,103.5441,103.0919,103.5441,77500
2026-01-06,103.5441,103.7350,103.5441,103.7350,3483600
2026-01-07,103.7350,103.7350,102.1809,102.1809,1099700
2026-01-08,102.1809,102.9661,102.1809,102.9661,4707100
2026-01-09,102.9661,102.9661,100.8042,100.8042,44600
2026-01-12,100.8042,102.0806,100.8042,102.0806,520000
2026-01-13,102.0806,102.6239,102.0806,102.6239,2992400
2026-01-14,102.6239,102.6239,100.2611,100.2611,3879100
2026-01-15,100.2611,100.2611,98.7379,98.7379,3779800
2026-01-16,98.7379,101.1263,98.7379,101.1263,2243400
2026-01-19,101.1263,101.1263,100.9848,100.9848,3582200
2026-01-20,100.9848,100.9848,99.9535,99.9535,4606200
2026-01-21,99.9535,100.9669,99.9535,100.9669,186100
2026-01-22,100.9669,100.9669,100.6240,100.6240,839300
2026-01-23,100.6240,102.0127,100.6240,102.0127,3450000
2026-01-26,102.0127,102.0127,101.8955,101.8955,2429000
2026-01-27,101.8955,101.8955,99.4235,99.4235,2313400
2026-01-28,99.4235,99.8874,99.4235,99.8874,1804300
2026-01-29,99.8874,100.2862,99.8874,100.2862,4884000
2026-01-30,100.2862,100.2862,99.3696,99.3696,919000
2026-02-02,99.3696,99.5604,99.3696,99.5604,317300
2026-02-03,99.5604,99.8957,99.5604,99.8957,3851400
2026-02-04,99.8957,100.3178,99.8957,100.3178,3564000
2026-02-05,100.3178,100.3178,100.0693,100.0693,178600
2026-02-06,100.0693,100.4677,100.0693,100.4677,2275100
2026-02-09,100.4677,101.0224,100.4677,101.0224,4836900
2026-02-10,101.0224,101.0224,100.6033,100.6033,448400
2026-02-11,100.6033,100.8384,100.6033,100.8384,3981100
2026-02-12,100.8384,100.8384,100.3521,100.3521,4150500
2026-02-13,100.3521,100.3521,99.9011,99.9011,472100
2026-02-16,99.9011,100.0115,99.9011,100.0115,1301600
2026-02-17,100.0115,100.2130,100.0115,100.2130,780700
2026-02-18,100.2130,100.2130,98.4997,98.4997,4868400
2026-02-19,98.4997,98.7832,98.4997,98.7832,3618600
2026-02-20,98.7832,100.4506,98.7832,100.4506,927600
2026-02-23,100.4506,100.7090,100.4506,100.7090,3806300
2026-02-24,100.7090,100.7090,100.4141,100.4141,1754800
2026-02-25,100.4141,100.4141,99.8615,99.8615,953500
2026-02-26,99.8615,99.8615,99.2126,99.2126,1426200
2026-02-27,99.2126,99.2126,98.9023,98.9023,4882400
2026-03-02,98.9023,100.0576,98.9023,100.0576,2611200
2026-03-03,100.0576,100.0576,99.9707,99.9707,4307700
