date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.8010,99.8010,3583300
2026-01-02,99.8010,101.7277,99.8010,101.7277,1526900
2026-01-05,101.7277,101.8528,101.7277,101.8528,2460700
2026-01-06,101.8528,103.5383,101.8528,103.5383,3397500
2026-01-07,103.5383,103.9717,103.5383,103.9717,2508700
2026-01-08,103.9717,104.2054,103.9717,104.2054,591100
2026-01-09,104.2054,104.2054,102.0361,102.0361,2481800
2026-01-12,102.0361,103.2260,102.0361,103.2260,1990300
2026-01-13,103.2260,103.2701,103.2260,103.2701,142600
2026-01-14,103.2701,103.2701,100.9630,100.9630,4502600
2026-01-15,100.9630,100.9630,99.7893,99.7893,4948700
2026-01-16,99.7893,101.5790,99.7893,101.5790,1023600
2026-01-19,101.5790,103.2218,101.5790,103.2218,2757500
2026-01-20,103.2218,103.3189,103.2218,103.3189,2233900
2026-01-21,103.3189,103.7373,103.3189,103.7373,4243900
2026-01-22,103.7373,103.7373,102.2958,102.2958,2396800
2026-01-23,102.2958,102.2958,101.4413,101.4413,4747000
2026-01-26,101.4413,101.6784,101.4413,101.6784,1389600
2026-01-27,101.6784,101.6784,99.2149,99.2149,511800
2026-01-28,99.2149,99.7077,99.2149,99.7077,1517900
2026-01-29,99.7077,99.7077,98.1941,98.1941,91800
2026-01-30,98.1941,98.1941,95.8338,95.8338,2613800
2026-02-02,95.8338,96.9877,95.8338,96.9877,4369100
2026-02-03,96.9877,96.9877,96.6846,96.6846,526700
2026-02-04,96.6846,97.7712,96.6846,97.7712,2021300
2026-02-05,97.7712,97.8993,97.7712,97.8993,2456500
2026-02-06,97.8993,97.8993,97.7131,97.7131,111100
2026-02-09,97.7131,98.5682,97.7131,98.5682,2494000
2026-02-10,98.5682,98.5682,97.5607,97.5607,1492100
2026-02-11,97.5607,98.4371,97.5607,98.4371,1781800
2026-02-12,98.4371,98.4371,97.8747,97.8747,4985400
2026-02-13,97.8747,97.8747,96.8605,96.8605,4069600
2026-02-16,96.8605,96.8605,96.5575,96.5575,2157300
2026-02-17,96.5575,98.0898,96.5575,98.0898,647100
2026-02-18,98.0898,98.0898,96.8260,96.8260,2962200
2026-02-19,96.8260,96.8260,96.7119,96.7119,3780400
2026-02-20,96.7119,98.0364,96.7119,98.0364,4641400
2026-02-23,98.0364,98.2922,98.0364,98.2922,4671600
2026-02-24,98.2922,99.0272,98.2922,99.0272,2963400
2026-02-25,99.0272,99.0272,98.6440,98.6440,4453500
2026-02-26,98.6440,98.6440,98.6153,98.6153,4424100
2026-02-27,98.6153,98.6153,98.0832,98.0832,3580700
2026-03-02,98.0832,98.7226,98.0832,98.7226,2108800
2026-03-03,98.7226,99.5960,98.7226,99.5960,1927200
2026-03-04,99.5960,99.5960,99.4837,99.4837,2791500
2026-03-05,99.4837,99.4837,99.4548,99.4548,2396900
2026-03-06,99.4548,99.4548,98.5196,98.5196,2178100
2026-03-09,98.5196,99.0646,98.5196,99.0646,281500
2026-03-10,99.0646,99.0646,98.5675,98.5675,2681900
2026-03-11,98.5675,98.5675,98.1927,98.1927,624600
2026-03-12,98.1927,98.1927,97.9314,97.9314,811000
2026-03-13,97.9314,97.9314,97.1912,97.1912,1275600
2026-03-16,97.1912,97.6563,97.1912,97.6563,708100
2026-03-17,97.6563,99.3908,97.6563,99.3908,2801300
2026-03-18,99.3908,99.3908,99.2252,99.2252,205500
2026-03-19,99.2252,99.8031,99.2252,99.8031,3456200
2026-03-20,99.8031,99.8031,97.6173,97.6173,3071500
2026-03-23,97.6173,98.1876,97.6173,98.1876,3233000
2026-03-24,98.1876,99.9418,98.1876,99.9418,3037100
2026-03-25,99.9418,100.4260,99.9418,100.4260,2355000
2026-03-26,100.4260,101.7323,100.4260,101.7323,2140900
2026-03-27,101.7323,101.7323,101.1335,101.1335,3773000
2026-03-30,101.1335,102.0226,101.1335,102.0226,1395200
2026-03-31,102.0226,102.0226,101.0683,101.0683,860100
2026-04-01,101.0683,101.5018,101.0683,101.5018,45800
2026-04-02,101.5018,102.7332,101.5018,102.7332,536200
2026-04-03,102.7332,102.7332,101.8592,101.8592,1985300
2026-04-06,101.8592,102.6118,101.8592,102.6118,4858900
2026-04-07,102.6118,104.4224,102.6118,104.4224,1987300
2026-04-08,104.4224,104.4224,102.5647,102.5647,4010600
2026-04-09,102.5647,103.3606,102.5647,103.3606,1665200
2026-04-10,103.3606,103.3606,102.8759,102.8759,3028200
2026-04-13,102.8759,102.8759,101.4535,101.4535,2024900
2026-04-14,101.4535,102.6187,101.4535,102.6187,4299500
2026-04-15,102.6187,103.1660,102.6187,103.1660,2669800
2026-04-16,103.1660,103.1660,101.6168,101.6168,2966600
2026-04-17,101.6168,101.6168,100.1450,100.1450,4663000
2026-04-20,100.1450,100.2554,100.1450,100.2554,4308900
2026-04-21,100.2554,100.2554,100.1934,100.1934,3343700
2026-04-22,100.1934,100.5836,100.1934,100.5836,829000
2026-04-23,100.5836,101.8417,100.5836,101.8417,3628500
2026-04-24,101.8417,101.8417,101.4835,101.4835,4460700
2026-04-27,101.4835,103.6843,101.4835,103.6843,951100
2026-04-28,103.6843,103.6843,102.1583,102.1583,4988300
2026-04-29,102.1583,102.7568,102.1583,102.7568,1896300
2026-04-30,102.7568,103.0455,102.7568,103.0455,44900
2026-05-01,103.0455,103.4320,103.0455,103.4320,2261300
2026-05-04,103.4320,104.1816,103.4320,104.1816,4296900
2026-05-05,104.1816,104.1816,102.1930,102.1930,1583300
2026-05-06,102.1930,102.1930,101.8183,101.8183,2679500
2026-05-07,101.8183,101.8183,101.1746,101.1746,3022200
2026-05-08,101.1746,101.6055,101.1746,101.6055,2707800
2026-05-11,101.6055,102.7071,101.6055,102.7071,1551300
2026-05-12,102.7071,102.7071,102.4201,102.4201,1369000
2026-05-13,102.4201,104.3838,102.4201,104.3838,2923100
2026-05-14,104.3838,104.9099,104.3838,104.9099,3306200
2026-05-15,104.9099,104.9099,104.4352,104.4352,694100
2026-05-18,104.4352,104.5083,104.4352,104.5083,2248800
2026-05-19,104.5083,104.5083,104.3401,104.3401,2003800
2026-05-20,104.3401,104.3401,103.4166,103.4166,4072700
2026-05-21,103.4166,103.9848,103.4166,103.9848,2226000
2026-05-22,103.9848,104.6078,103.9848,104.6078,868000
2026-05-25,104.6078,105.4437,104.6078,105.4437,3771200
2026-05-26,105.4437,105.4437,104.0146,104.0146,2399300
2026-05-27,104.0146,104.0146,103.1914,103.1914,1886700
2026-05-28,103.1914,103.7638,103.1914,103.7638,3847900
2026-05-29,103.7638,104.7771,103.7638,104.7771,4394500
2026-06-01,104.7771,105.5197,104.7771,105.5197,4620300
2026-06-02,105.5197,105.5197,104.5736,104.5736,3923300
2026-06-03,104.5736,104.5736,103.0281,103.0281,2507800
2026-06-04,103.0281,105.0026,103.0281,105.0026,4731100
2026-06-05,105.0026,106.6593,105.0026,106.6593,3929500
2026-06-08,106.6593,107.3306,106.6593,107.3306,3177600
2026-06-09,107.3306,107.9215,107.3306,107.9215,3647500
2026-06-10,107.9215,107.9215,105.9904,105.9904,2388600
2026-06-11,105.9904,106.5383,105.9904,106.5383,2041600
2026-06-12,106.5383,106.5383,105.6787,105.6787,1404000
2026-06-15,105.6787,107.7936,105.6787,107.7936,4402000
2026-06-16,107.7936,108.6999,107.7936,108.6999,4470800
2026-06-17,108.6999,108.6999,107.6275,107.6275,3619000
2026-06-18,107.6275,107.6275,107.5794,107.5794,4016300
2026-06-19,107.5794,107.5794,107.2579,107.2579,926000
2026-06-22,107.2579,109.0874,107.2579,109.0874,1375400
2026-06-23,109.0874,109.0874,108.9197,108.9197,4985700
2026-06-24,108.9197,111.6037,108.9197,111.6037,4377000
2026-06-25,111.6037,111.9958,111.6037,111.9958,2411100
2026-06-26,111.9958,111.9958,110.2948,110.2948,3854000
2026-06-29,110.2948,110.8324,110.2948,110.8324,2514800
2026-06-30,110.8324,111.0461,110.8324,111.0461,2239400
2026-07-01,111.0461,112.8379,111.0461,112.8379,2210900
2026-07-02,112.8379,114.4507,112.8379,114.4507,1870500
2026-07-03,114.4507,115.1857,114.4507,115.1857,2894500
2026-07-06,115.1857,115.1857,112.5290,112.5290,3402800
2026-07-07,112.5290,113.0008,112.5290,113.0008,2234500
2026-07-08,113.0008,115.7740,113.0008,115.7740,3461700
2026-07-09,115.7740,115.7740,114.2007,114.2007,708000
2026-07-10,114.2007,114.8383,114.2007,114.8383,2699100
2026-07-13,114.8383,116.0346,114.8383,116.0346,4740400
2026-07-14,116.0346,116.0346,114.7083,114.7083,3594900
2026-07-15,114.7083,114.7083,113.7225,113.7225,3812200
2026-07-16,113.7225,114.8753,113.7225,114.8753,1711400
2026-07-17,114.8753,114.8753,114.5684,114.5684,4329300
2026-07-20,114.5684,115.1970,114.5684,115.1970,3837600
2026-07-21,115.1970,117.4335,115.1970,117.4335,3861100
2026-07-22,117.4335,117.4335,115.9403,115.9403,2182000
2026-07-23,115.9403,115.9403,115.3927,115.3927,1821400
2026-07-24,115.3927,115.3927,113.5880,113.5880,3314600
2026-07-27,113.5880,114.2857,113.5880,114.2857,2160100
2026-07-28,114.2857,114.2857,113.4147,113.4147,3725200
2026-07-29,113.4147,113.4998,113.4147,113.4998,1160900
2026-07-30,113.4998,114.4380,113.4998,114.4380,4783800
2026-07-31,114.4380,116.4111,114.4380,116.4111,3563600
2026-08-03,116.4111,117.7560,116.4111,117.7560,1723900
2026-08-04,117.7560,117.7560,117.3773,117.3773,4785600
2026-08-05,117.3773,117.3773,115.7234,115.7234,306400
2026-08-06,115.7234,115.7234,114.7601,114.7601,1963600
2026-08-07,114.7601,114.7601,113.5206,113.5206,1292900
