date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4972,99.4972,1338500
2026-01-02,99.4972,100.3956,99.4972,100.3956,2346000
2026-01-05,100.3956,100.3956,100.3448,100.3448,2083700
2026-01-06,100.3448,100.4059,100.3448,100.4059,1449300
2026-01-07,100.4059,100.8484,100.4059,100.8484,3157300
2026-01-08,100.8484,101.9882,100.8484,101.9882,4021800
2026-01-09,101.9882,101.9882,100.2115,100.2115,800600
2026-01-12,100.2115,101.3375,100.2115,101.3375,3565300
2026-01-13,101.3375,101.3375,101.0914,101.0914,1070000
2026-01-14,101.0914,101.0914,99.7596,99.7596,1868500
2026-01-15,99.7596,99.7596,97.4502,97.4502,3866100
2026-01-16,97.4502,99.2940,97.4502,99.2940,91600
2026-01-19,99.2940,101.7705,99.2940,101.7705,2994500
2026-01-20,101.7705,102.2244,101.7705,102.2244,3147800
2026-01-21,102.2244,102.8856,102.2244,102.8856,4987400
2026-01-22,102.8856,102.8856,101.8309,101.8309,867000
2026-01-23,101.8309,102.2523,101.8309,102.2523,811300
2026-01-26,102.2523,102.8153,102.2523,102.8153,2168300
2026-01-27,102.8153,102.8153,101.3879,101.3879,2813700
2026-01-28,101.3879,101.9735,101.3879,101.9735,3256800
2026-01-29,101.9735,101.9735,101.9169,101.9169,3324800
2026-01-30,101.9169,101.9169,101.2588,101.2588,627700
2026-02-02,101.2588,101.9416,101.2588,101.9416,2949800
2026-02-03,101.9416,101.9416,101.8451,101.8451,4746700
2026-02-04,101.8451,102.7040,101.8451,102.7040,4842500
2026-02-05,102.7040,102.7040,102.6616,102.6616,947300
2026-02-06,102.6616,102.9752,102.6616,102.9752,3039100
2026-02-09,102.9752,103.9981,102.9752,103.9981,2027200
2026-02-10,103.9981,103.9981,102.1985,102.1985,3029900
2026-02-11,102.1985,102.5338,102.1985,102.5338,4678200
2026-02-12,102.5338,102.6654,102.5338,102.6654,3155600
2026-02-13,102.6654,102.6654,102.1190,102.1190,3877800
2026-02-16,102.1190,102.1190,102.0835,102.0835,4582600
2026-02-17,102.0835,102.5577,102.0835,102.5577,4904300
2026-02-18,102.5577,102.5577,102.5564,102.5564,4960800
2026-02-19,102.5564,103.8433,102.5564,103.8433,1444600
2026-02-20,103.8433,105.9378,103.8433,105.9378,2253700
2026-02-23,105.9378,106.3975,105.9378,106.3975,805300
2026-02-24,106.3975,106.5727,106.3975,106.5727,1612500
2026-02-25,106.5727,106.5727,106.4874,106.4874,4068700
2026-02-26,106.4874,106.4874,105.5237,105.5237,1846500
2026-02-27,105.5237,106.2843,105.5237,106.2843,2562800
2026-03-02,106.2843,106.6416,106.2843,106.6416,1724100
2026-03-03,106.6416,107.2085,106.6416,107.2085,2677200
2026-03-04,107.2085,107.2085,106.5554,106.5554,839300
2026-03-05,106.5554,106.5554,105.9699,105.9699,2044300
2026-03-06,105.9699,105.9699,104.2745,104.2745,3810200
2026-03-09,104.2745,105.2707,104.2745,105.2707,3462500
2026-03-10,105.2707,105.2707,105.0784,105.0784,3825100
2026-03-11,105.0784,105.0784,104.3741,104.3741,854700
2026-03-12,104.3741,104.3741,104.1937,104.1937,2500100
2026-03-13,104.1937,104.1937,103.1765,103.1765,2671600
2026-03-16,103.1765,105.3696,103.1765,105.3696,2320300
2026-03-17,105.3696,106.9607,105.3696,106.9607,1641100
2026-03-18,106.9607,106.9607,106.8136,106.8136,396200
2026-03-19,106.8136,106.8136,106.6265,106.6265,1703000
2026-03-20,106.6265,106.6265,104.1520,104.1520,4476700
2026-03-23,104.1520,104.2363,104.1520,104.2363,2326300
2026-03-24,104.2363,106.2075,104.2363,106.2075,4399700
2026-03-25,106.2075,106.3784,106.2075,106.3784,794900
2026-03-26,106.3784,106.5753,106.3784,106.5753,4929700
2026-03-27,106.5753,106.5753,106.2745,106.2745,172700
2026-03-30,106.2745,106.6417,106.2745,106.6417,3153300
2026-03-31,106.6417,106.6417,106.3419,106.3419,4485100
2026-04-01,106.3419,107.1340,106.3419,107.1340,4538900
2026-04-02,107.1340,108.6251,107.1340,108.6251,3136100
2026-04-03,108.6251,108.6251,108.4838,108.4838,1186900
2026-04-06,108.4838,108.8444,108.4838,108.8444,939500
2026-04-07,108.8444,110.8209,108.8444,110.8209,2519400
2026-04-08,110.8209,110.8209,110.1279,110.1279,3031200
2026-04-09,110.1279,111.1211,110.1279,111.1211,291900
2026-04-10,111.1211,111.1211,110.0887,110.0887,2095300
2026-04-13,110.0887,110.0887,107.9543,107.9543,4187500
2026-04-14,107.9543,108.8420,107.9543,108.8420,68000
2026-04-15,108.8420,109.1102,108.8420,109.1102,3962700
2026-04-16,109.1102,109.1102,108.2725,108.2725,3749600
2026-04-17,108.2725,108.2725,106.9879,106.9879,3965900
2026-04-20,106.9879,106.9879,106.3550,106.3550,1460300
2026-04-21,106.3550,106.3550,105.4437,105.4437,3157300
2026-04-22,105.4437,105.4437,99.6892,99.6892,914600
2026-04-23,99.6892,102.3362,99.6892,102.3362,2661000
2026-04-24,102.3362,102.3362,101.7475,101.7475,2011500
2026-04-27,101.7475,101.7475,99.0233,99.0233,808400
2026-04-28,99.0233,99.0233,97.4309,97.4309,4470600
2026-04-29,97.4309,97.9624,97.4309,97.9624,2318400
2026-04-30,97.9624,99.2545,97.9624,99.2545,3407300
2026-05-01,99.2545,99.6398,99.2545,99.6398,3861300
2026-05-04,99.6398,100.6714,99.6398,100.6714,2074200
2026-05-05,100.6714,100.6714,98.4196,98.4196,344800
2026-05-06,98.4196,98.7968,98.4196,98.7968,3712900
2026-05-07,98.7968,98.7968,96.8461,96.8461,209000
2026-05-08,96.8461,97.0577,96.8461,97.0577,3891900
2026-05-11,97.0577,97.0577,96.5407,96.5407,1546100
2026-05-12,96.5407,96.5407,94.4489,94.4489,4456600
2026-05-13,94.4489,96.0630,94.4489,96.0630,952100
2026-05-14,96.0630,96.7298,96.0630,96.7298,3423100
2026-05-15,96.7298,96.7298,96.6784,96.6784,868200
2026-05-18,96.6784,96.6784,95.8572,95.8572,643600
2026-05-19,95.8572,95.8572,94.8445,94.8445,3193700
2026-05-20,94.8445,94.9343,94.8445,94.9343,4638500
2026-05-21,94.9343,96.0156,94.9343,96.0156,912300
2026-05-22,96.0156,96.6730,96.0156,96.6730,435700
2026-05-25,96.6730,97.8363,96.6730,97.8363,2069200
2026-05-26,97.8363,97.8363,97.6333,97.6333,2726600
2026-05-27,97.6333,97.6333,97.1151,97.1151,2562700
2026-05-28,97.1151,98.3421,97.1151,98.3421,4635800
2026-05-29,98.3421,98.4020,98.3421,98.4020,4215600
2026-06-01,98.4020,98.8277,98.4020,98.8277,1358100
2026-06-02,98.8277,98.8277,96.4985,96.4985,1311200
2026-06-03,96.4985,96.4985,95.2755,95.2755,2216600
2026-06-04,95.2755,97.8174,95.2755,97.8174,476500
2026-06-05,97.8174,99.3956,97.8174,99.3956,2125600
2026-06-08,99.3956,100.5108,99.3956,100.5108,3626800
2026-06-09,100.5108,101.0354,100.5108,101.0354,1908600
2026-06-10,101.0354,101.0354,97.4543,97.4543,2615600
2026-06-11,97.4543,97.4543,97.3078,97.3078,139300
2026-06-12,97.3078,97.7346,97.3078,97.7346,1764900
2026-06-15,97.7346,99.5870,97.7346,99.5870,434500
2026-06-16,99.5870,99.8735,99.5870,99.8735,630900
2026-06-17,99.8735,99.8735,98.6203,98.6203,2499200
2026-06-18,98.6203,98.6203,97.6445,97.6445,1261300
2026-06-19,97.6445,97.6445,97.4248,97.4248,3554600
2026-06-22,97.4248,98.9155,97.4248,98.9155,1715200
2026-06-23,98.9155,98.9155,97.9465,97.9465,1125500
2026-06-24,97.9465,99.6329,97.9465,99.6329,3298100
2026-06-25,99.6329,100.4282,99.6329,100.4282,3498800
2026-06-26,100.4282,100.4282,98.8587,98.8587,384900
2026-06-29,98.8587,98.8587,98.2069,98.2069,2167600
2026-06-30,98.2069,99.0297,98.2069,99.0297,1428800
2026-07-01,99.0297,100.3313,99.0297,100.3313,4490100
2026-07-02,100.3313,102.2266,100.3313,102.2266,2915100
2026-07-03,102.2266,103.2313,102.2266,103.2313,43800
2026-07-06,103.2313,103.2313,101.9689,101.9689,4076100
2026-07-07,101.9689,101.9689,100.3658,100.3658,4354000
2026-07-08,100.3658,101.9772,100.3658,101.9772,4121500
2026-07-09,101.9772,101.9772,100.4332,100.4332,2717400
2026-07-10,100.4332,102.2785,100.4332,102.2785,651700
2026-07-13,102.2785,102.2785,101.4267,101.4267,976700
2026-07-14,101.4267,101.4267,99.8523,99.8523,1132400
2026-07-15,99.8523,99.8523,98.5432,98.5432,3524400
2026-07-16,98.5432,99.2013,98.5432,99.2013,662000
2026-07-17,99.2013,99.2013,98.3383,98.3383,2002500
2026-07-20,98.3383,98.5411,98.3383,98.5411,3000100
2026-07-21,98.5411,100.8108,98.5411,100.8108,1310100
2026-07-22,100.8108,100.8108,99.2418,99.2418,2602300
2026-07-23,99.2418,99.2418,99.1319,99.1319,76200
2026-07-24,99.1319,99.1319,98.7419,98.7419,2776800
2026-07-27,98.7419,99.8748,98.7419,99.8748,4607700
2026-07-28,99.8748,99.8748,99.0338,99.0338,910100
2026-07-29,99.0338,100.4336,99.0338,100.4336,1150800
2026-07-30,100.4336,100.7219,100.4336,100.7219,1241900
2026-07-31,100.7219,103.1129,100.7219,103.1129,978400
2026-08-03,103.1129,104.0520,103.1129,104.0520,3275000
2026-08-04,104.0520,104.4728,104.0520,104.4728,2071800
2026-08-05,104.4728,104.4728,102.9979,102.9979,84500
2026-08-06,102.9979,103.6651,102.9979,103.6651,491200
2026-08-07,103.6651,103.6651,102.9409,102.9409,475100
2026-08-10,102.9409,103.2953,102.9409,103.2953,2566900
2026-08-11,103.2953,104.1734,103.2953,104.1734,2079100
2026-08-12,104.1734,104.5983,104.1734,104.5983,4977400
2026-08-13,104.5983,104.5983,102.1606,102.1606,2305500
2026-08-14,102.1606,102.1606,101.9904,101.9904,4076100
2026-08-17,101.9904,101.9904,101.3948,101.3948,4870000
2026-08-18,101.3948,101.3948,101.0646,101.0646,2558300
2026-08-19,101.0646,101.0646,100.9608,100.9608,3188200
2026-08-20,100.9608,101.8469,100.9608,101.8469,4108600
2026-08-21,101.8469,101.8469,100.9565,100.9565,2391600
2026-08-24,100.9565,101.6452,100.9565,101.6452,2205400
2026-08-25,101.6452,101.6452,100.8965,100.8965,2299200
2026-08-26,100.8965,101.4954,100.8965,101.4954,932000
2026-08-27,101.4954,102.5773,101.4954,102.5773,3830500
2026-08-28,102.5773,104.0693,102.5773,104.0693,3356700
2026-08-31,104.0693,104.5868,104.0693,104.5868,1700800
2026-09-01,104.5868,104.5868,103.0903,103.0903,3725100
2026-09-02,103.0903,103.0903,102.7570,102.7570,2481000
2026-09-03,102.7570,102.7570,102.4864,102.4864,1351600
2026-09-04,102.4864,102.6244,102.4864,102.6244,1277700
2026-09-07,102.6244,102.6244,102.2206,102.2206,896800
2026-09-08,102.2206,103.4285,102.2206,103.4285,3195900
2026-09-09,103.4285,103.9409,103.4285,103.9409,2021500
