date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4565,99.4565,92900
2026-01-02,99.4565,101.1553,99.4565,101.1553,1026800
2026-01-05,101.1553,101.1553,101.0908,101.0908,817500
2026-01-06,101.0908,101.6195,101.0908,101.6195,2739900
2026-01-07,101.6195,101.6195,100.4386,100.4386,1697200
2026-01-08,100.4386,100.4386,100.4332,100.4332,2141000
2026-01-09,100.4332,100.4332,98.6343,98.6343,4269400
2026-01-12,98.6343,99.5751,98.6343,99.5751,4894000
2026-01-13,99.5751,99.5751,99.4808,99.4808,3262300
2026-01-14,99.4808,99.4808,96.8418,96.8418,4337900
2026-01-15,96.8418,96.8418,95.9169,95.9169,157300
2026-01-16,95.9169,97.2936,95.9169,97.2936,2950300
2026-01-19,97.2936,98.3722,97.2936,98.3722,3011900
2026-01-20,98.3722,99.0063,98.3722,99.0063,1418800
2026-01-21,99.0063,99.0063,98.3162,98.3162,1792100
2026-01-22,98.3162,99.4456,98.3162,99.4456,3020200
2026-01-23,99.4456,99.4456,99.2968,99.2968,588800
2026-01-26,99.2968,99.5185,99.2968,99.5185,131900
2026-01-27,99.5185,99.5185,97.6944,97.6944,1555800
2026-01-28,97.6944,97.6944,97.6026,97.6026,3620200
2026-01-29,97.6026,97.6026,97.5379,97.5379,3274400
2026-01-30,97.5379,97.5379,95.2493,95.2493,3463900
2026-02-02,95.2493,96.1503,95.2493,96.1503,3266500
2026-02-03,96.1503,96.1503,95.1079,95.1079,1796400
2026-02-04,95.1079,96.8227,95.1079,96.8227,3927000
2026-02-05,96.8227,96.8227,96.1340,96.1340,1637900
2026-02-06,96.1340,96.6096,96.1340,96.6096,1368400
2026-02-09,96.6096,96.6598,96.6096,96.6598,3135600
2026-02-10,96.6598,96.6598,95.4451,95.4451,1727500
2026-02-11,95.4451,95.4451,95.3408,95.3408,299100
2026-02-12,95.3408,96.1335,95.3408,96.1335,3370700
2026-02-13,96.1335,96.1335,95.2130,95.2130,4421000
2026-02-16,95.2130,95.2197,95.2130,95.2197,4830700
2026-02-17,95.2197,95.2197,95.1684,95.1684,3855600
2026-02-18,95.1684,95.1684,94.3668,94.3668,2939900
2026-02-19,94.3668,94.3668,94.2554,94.2554,729200
2026-02-20,94.2554,95.4405,94.2554,95.4405,3944100
2026-02-23,95.4405,95.5768,95.4405,95.5768,3501000
2026-02-24,95.5768,95.5768,95.4597,95.4597,3131400
2026-02-25,95.4597,95.4597,94.9167,94.9167,4874500
2026-02-26,94.9167,94.9916,94.9167,94.9916,2184900
2026-02-27,94.9916,96.0994,94.9916,96.0994,1280400
2026-03-02,96.0994,96.4318,96.0994,96.4318,3701800
2026-03-03,96.4318,97.6455,96.4318,97.6455,1695900
2026-03-04,97.6455,97.6455,97.1483,97.1483,2939700
2026-03-05,97.1483,97.6157,97.1483,97.6157,3977800
2026-03-06,97.6157,97.6157,96.1606,96.1606,863000
2026-03-09,96.1606,96.3739,96.1606,96.3739,2070600
2026-03-10,96.3739,96.3739,95.4949,95.4949,543900
2026-03-11,95.4949,96.0441,95.4949,96.0441,3394500
2026-03-12,96.0441,96.0441,95.2168,95.2168,2577300
2026-03-13,95.2168,95.2168,95.0910,95.0910,1277000
