date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.0013,99.0013,2598500
2026-01-02,99.0013,101.5364,99.0013,101.5364,4870600
2026-01-05,101.5364,102.1438,101.5364,102.1438,454900
2026-01-06,102.1438,102.4379,102.1438,102.4379,1914000
2026-01-07,102.4379,103.2216,102.4379,103.2216,3405800
2026-01-08,103.2216,103.8709,103.2216,103.8709,84700
2026-01-09,103.8709,103.8709,100.9367,100.9367,1865100
2026-01-12,100.9367,101.8982,100.9367,101.8982,4916600
2026-01-13,101.8982,103.2961,101.8982,103.2961,1915400
2026-01-14,103.2961,103.2961,101.2652,101.2652,4805400
2026-01-15,101.2652,101.2652,99.6631,99.6631,1074500
2026-01-16,99.6631,101.2958,99.6631,101.2958,96800
2026-01-19,101.2958,101.9651,101.2958,101.9651,1630700
2026-01-20,101.9651,102.6234,101.9651,102.6234,787600
2026-01-21,102.6234,102.6234,101.3427,101.3427,2488000
2026-01-22,101.3427,101.3427,100.9140,100.9140,3398400
2026-01-23,100.9140,101.6116,100.9140,101.6116,4485400
2026-01-26,101.6116,102.2155,101.6116,102.2155,382900
2026-01-27,102.2155,102.2155,101.1601,101.1601,2134600
2026-01-28,101.1601,101.3194,101.1601,101.3194,2486400
2026-01-29,101.3194,101.3194,100.5786,100.5786,1541900
2026-01-30,100.5786,100.5786,99.5128,99.5128,2882000
2026-02-02,99.5128,99.5128,99.4181,99.4181,2581200
2026-02-03,99.4181,99.4181,99.0504,99.0504,2973200
2026-02-04,99.0504,100.4860,99.0504,100.4860,3272500
2026-02-05,100.4860,100.4860,99.7626,99.7626,2141900
2026-02-06,99.7626,99.7626,99.5898,99.5898,50000
2026-02-09,99.5898,100.1949,99.5898,100.1949,4471900
2026-02-10,100.1949,100.1949,99.3048,99.3048,1791200
2026-02-11,99.3048,99.5566,99.3048,99.5566,2212400
2026-02-12,99.5566,99.9138,99.5566,99.9138,1848000
2026-02-13,99.9138,99.9138,99.5044,99.5044,202800
2026-02-16,99.5044,100.5532,99.5044,100.5532,424500
2026-02-17,100.5532,101.8818,100.5532,101.8818,481700
2026-02-18,101.8818,101.8818,101.4105,101.4105,1324700
2026-02-19,101.4105,101.4105,100.8672,100.8672,3181000
2026-02-20,100.8672,102.1386,100.8672,102.1386,1269500
2026-02-23,102.1386,102.1386,101.6474,101.6474,4638700
2026-02-24,101.6474,102.0534,101.6474,102.0534,1582800
2026-02-25,102.0534,102.0534,101.2808,101.2808,4421400
2026-02-26,101.2808,101.4154,101.2808,101.4154,2989800
2026-02-27,101.4154,101.4154,100.8590,100.8590,4643900
2026-03-02,100.8590,101.6901,100.8590,101.6901,2527100
2026-03-03,101.6901,102.7437,101.6901,102.7437,856700
2026-03-04,102.7437,102.7437,101.3779,101.3779,1022100
2026-03-05,101.3779,101.9338,101.3779,101.9338,4605000
2026-03-06,101.9338,101.9338,101.4385,101.4385,3452600
2026-03-09,101.4385,101.8177,101.4385,101.8177,1018200
2026-03-10,101.8177,101.8177,101.4248,101.4248,1488700
2026-03-11,101.4248,101.4248,100.6323,100.6323,2540100
2026-03-12,100.6323,100.6323,100.3612,100.3612,2818000
2026-03-13,100.3612,100.8778,100.3612,100.8778,3408300
2026-03-16,100.8778,100.8778,99.9221,99.9221,3475100
2026-03-17,99.9221,101.1209,99.9221,101.1209,3780600
2026-03-18,101.1209,101.3230,101.1209,101.3230,1888600
2026-03-19,101.3230,101.3230,101.1673,101.1673,3042700
2026-03-20,101.1673,101.1673,98.5957,98.5957,3432800
2026-03-23,98.5957,98.6704,98.5957,98.6704,2562900
2026-03-24,98.6704,101.1163,98.6704,101.1163,3085800
2026-03-25,101.1163,102.1086,101.1163,102.1086,1574800
2026-03-26,102.1086,102.7860,102.1086,102.7860,747700
2026-03-27,102.7860,102.7860,102.1515,102.1515,2913100
2026-03-30,102.1515,102.7443,102.1515,102.7443,1738500
2026-03-31,102.7443,102.7443,102.6589,102.6589,3653000
2026-04-01,102.6589,102.7066,102.6589,102.7066,3034700
2026-04-02,102.7066,103.3850,102.7066,103.3850,2866400
2026-04-03,103.3850,104.3429,103.3850,104.3429,4683100
2026-04-06,104.3429,107.0346,104.3429,107.0346,388500
2026-04-07,107.0346,108.1935,107.0346,108.1935,2389500
2026-04-08,108.1935,108.1935,107.1303,107.1303,3367900
2026-04-09,107.1303,107.7059,107.1303,107.7059,3641600
2026-04-10,107.7059,107.7059,106.7295,106.7295,2721000
2026-04-13,106.7295,106.7295,104.6910,104.6910,683800
2026-04-14,104.6910,105.3855,104.6910,105.3855,4819700
2026-04-15,105.3855,105.7661,105.3855,105.7661,888900
2026-04-16,105.7661,105.7661,105.4448,105.4448,1449200
2026-04-17,105.4448,105.4448,104.9561,104.9561,726300
2026-04-20,104.9561,104.9561,104.4082,104.4082,2989100
2026-04-21,104.4082,104.4082,103.4234,103.4234,2083900
2026-04-22,103.4234,103.9826,103.4234,103.9826,3822400
2026-04-23,103.9826,105.7116,103.9826,105.7116,4850300
2026-04-24,105.7116,106.7235,105.7116,106.7235,1578700
