date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.3995,99.3995,2106900
2026-01-02,99.3995,101.0245,99.3995,101.0245,3965300
2026-01-05,101.0245,101.0245,100.7816,100.7816,4511800
2026-01-06,100.7816,101.6027,100.7816,101.6027,2670700
2026-01-07,101.6027,101.6027,101.0271,101.0271,278200
2026-01-08,101.0271,101.2521,101.0271,101.2521,3853100
2026-01-09,101.2521,101.2521,99.1998,99.1998,3910000
2026-01-12,99.1998,100.2679,99.1998,100.2679,3330400
2026-01-13,100.2679,100.3492,100.2679,100.3492,397500
2026-01-14,100.3492,100.3492,99.0489,99.0489,4518100
2026-01-15,99.0489,99.0489,96.5552,96.5552,1882700
2026-01-16,96.5552,97.2548,96.5552,97.2548,4708000
2026-01-19,97.2548,97.7696,97.2548,97.7696,951500
2026-01-20,97.7696,98.0521,97.7696,98.0521,3462400
2026-01-21,98.0521,98.4604,98.0521,98.4604,3520400
2026-01-22,98.4604,98.4604,97.7969,97.7969,2782000
2026-01-23,97.7969,99.2163,97.7969,99.2163,1751800
2026-01-26,99.2163,100.0746,99.2163,100.0746,4352800
2026-01-27,100.0746,100.0746,98.2508,98.2508,4343900
2026-01-28,98.2508,98.2895,98.2508,98.2895,1430000
2026-01-29,98.2895,98.5960,98.2895,98.5960,4701900
2026-01-30,98.5960,98.5960,97.4471,97.4471,1944600
2026-02-02,97.4471,98.0491,97.4471,98.0491,4109700
2026-02-03,98.0491,98.0491,96.4128,96.4128,530200
2026-02-04,96.4128,98.0447,96.4128,98.0447,1609600
2026-02-05,98.0447,98.4082,98.0447,98.4082,623400
2026-02-06,98.4082,98.7739,98.4082,98.7739,2636600
2026-02-09,98.7739,99.9955,98.7739,99.9955,4012500
2026-02-10,99.9955,99.9955,98.9751,98.9751,1986200
2026-02-11,98.9751,100.8971,98.9751,100.8971,1264600
2026-02-12,100.8971,101.9473,100.8971,101.9473,2694300
2026-02-13,101.9473,101.9473,101.4033,101.4033,4914900
2026-02-16,101.4033,102.4588,101.4033,102.4588,4378900
2026-02-17,102.4588,102.7686,102.4588,102.7686,2607800
2026-02-18,102.7686,102.7686,102.2772,102.2772,2722600
2026-02-19,102.2772,102.6558,102.2772,102.6558,1199100
2026-02-20,102.6558,104.3926,102.6558,104.3926,4608600
2026-02-23,104.3926,104.8847,104.3926,104.8847,884400
2026-02-24,104.8847,105.5697,104.8847,105.5697,274100
2026-02-25,105.5697,106.0064,105.5697,106.0064,4674600
2026-02-26,106.0064,106.0064,105.5143,105.5143,128900
2026-02-27,105.5143,107.0039,105.5143,107.0039,1953800
2026-03-02,107.0039,107.4639,107.0039,107.4639,1092700
2026-03-03,107.4639,107.9641,107.4639,107.9641,3973900
2026-03-04,107.9641,107.9641,107.0320,107.0320,2817200
2026-03-05,107.0320,107.0320,106.5111,106.5111,1989800
2026-03-06,106.5111,106.5111,104.7159,104.7159,2154700
2026-03-09,104.7159,106.2090,104.7159,106.2090,3625100
2026-03-10,106.2090,106.2090,105.4600,105.4600,407300
2026-03-11,105.4600,105.9444,105.4600,105.9444,1900500
2026-03-12,105.9444,105.9444,104.8077,104.8077,1180800
2026-03-13,104.8077,104.8077,103.3688,103.3688,4074800
2026-03-16,103.3688,103.7762,103.3688,103.7762,15500
2026-03-17,103.7762,104.9672,103.7762,104.9672,4398800
2026-03-18,104.9672,104.9930,104.9672,104.9930,1401200
2026-03-19,104.9930,105.0899,104.9930,105.0899,4025200
2026-03-20,105.0899,105.0899,101.9065,101.9065,4572900
2026-03-23,101.9065,101.9065,101.6834,101.6834,3220500
2026-03-24,101.6834,103.4846,101.6834,103.4846,3052200
2026-03-25,103.4846,103.4846,102.9520,102.9520,4750900
2026-03-26,102.9520,103.3625,102.9520,103.3625,3924400
2026-03-27,103.3625,103.3625,103.2688,103.2688,2274300
2026-03-30,103.2688,104.1306,103.2688,104.1306,1064600
2026-03-31,104.1306,104.1306,103.9103,103.9103,1181600
2026-04-01,103.9103,104.2267,103.9103,104.2267,4879700
2026-04-02,104.2267,104.9231,104.2267,104.9231,2716100
2026-04-03,104.9231,106.1573,104.9231,106.1573,3608900
2026-04-06,106.1573,106.7111,106.1573,106.7111,2564700
2026-04-07,106.7111,108.6042,106.7111,108.6042,4548300
2026-04-08,108.6042,108.6042,107.9553,107.9553,3461400
2026-04-09,107.9553,108.5680,107.9553,108.5680,3703800
2026-04-10,108.5680,108.5680,107.4367,107.4367,297600
2026-04-13,107.4367,107.4367,105.1217,105.1217,1575800
2026-04-14,105.1217,105.7874,105.1217,105.7874,1820800
2026-04-15,105.7874,105.9471,105.7874,105.9471,4518400
2026-04-16,105.9471,105.9471,103.4067,103.4067,2070800
2026-04-17,103.4067,103.4067,102.4424,102.4424,4644800
2026-04-20,102.4424,102.4424,101.2353,101.2353,478400
2026-04-21,101.2353,101.9042,101.2353,101.9042,3361700
2026-04-22,101.9042,101.9042,101.3653,101.3653,3417500
2026-04-23,101.3653,102.6130,101.3653,102.6130,1165500
2026-04-24,102.6130,127.9036,102.6130,127.9036,4142100
2026-04-27,127.9036,127.9036,126.2299,126.2299,1977100
2026-04-28,126.2299,126.2299,123.7008,123.7008,2002600
2026-04-29,123.7008,124.8419,123.7008,124.8419,529500
2026-04-30,124.8419,126.2833,124.8419,126.2833,2201300
2026-05-01,126.2833,126.2833,125.1533,125.1533,86000
2026-05-04,125.1533,126.8296,125.1533,126.8296,928000
2026-05-05,126.8296,126.8296,126.1263,126.1263,4852900
2026-05-06,126.1263,126.2734,126.1263,126.2734,829100
2026-05-07,126.2734,126.2734,123.9371,123.9371,3678100
2026-05-08,123.9371,124.0622,123.9371,124.0622,2409100
2026-05-11,124.0622,125.5508,124.0622,125.5508,3808600
2026-05-12,125.5508,125.5508,124.7357,124.7357,3589300
2026-05-13,124.7357,125.7141,124.7357,125.7141,1919300
2026-05-14,125.7141,127.0652,125.7141,127.0652,4567100
2026-05-15,127.0652,127.0652,126.8003,126.8003,2837600
2026-05-18,126.8003,128.4197,126.8003,128.4197,3654000
2026-05-19,128.4197,128.4197,128.3680,128.3680,3896900
2026-05-20,128.3680,128.3680,126.9692,126.9692,1176000
2026-05-21,126.9692,129.4982,126.9692,129.4982,1588100
2026-05-22,129.4982,130.6612,129.4982,130.6612,1779400
2026-05-25,130.6612,132.1707,130.6612,132.1707,1121200
2026-05-26,132.1707,132.1707,129.3679,129.3679,460900
2026-05-27,129.3679,129.3679,127.9452,127.9452,3961700
2026-05-28,127.9452,128.9083,127.9452,128.9083,4291100
2026-05-29,128.9083,130.1128,128.9083,130.1128,1765700
2026-06-01,130.1128,130.8480,130.1128,130.8480,4872500
2026-06-02,130.8480,130.8480,128.7999,128.7999,2637300
2026-06-03,128.7999,128.7999,127.8367,127.8367,1550600
2026-06-04,127.8367,129.8419,127.8367,129.8419,2445300
2026-06-05,129.8419,130.8076,129.8419,130.8076,4515100
2026-06-08,130.8076,130.8076,130.7296,130.7296,757500
2026-06-09,130.7296,131.0147,130.7296,131.0147,3278200
2026-06-10,131.0147,131.0147,128.5247,128.5247,4602200
2026-06-11,128.5247,128.9021,128.5247,128.9021,3313300
2026-06-12,128.9021,128.9021,128.4176,128.4176,3471700
2026-06-15,128.4176,130.4431,128.4176,130.4431,3506300
2026-06-16,130.4431,131.7804,130.4431,131.7804,1118700
2026-06-17,131.7804,131.7804,130.6961,130.6961,4698300
2026-06-18,130.6961,130.6961,129.8302,129.8302,1986300
2026-06-19,129.8302,129.8302,129.7915,129.7915,3657500
2026-06-22,129.7915,131.5123,129.7915,131.5123,4211300
2026-06-23,131.5123,131.5123,130.9335,130.9335,1335200
2026-06-24,130.9335,133.9107,130.9335,133.9107,2815300
2026-06-25,133.9107,133.9107,133.8716,133.8716,3763100
2026-06-26,133.8716,133.8716,133.4302,133.4302,2940700
2026-06-29,133.4302,134.0033,133.4302,134.0033,556300
2026-06-30,134.0033,134.6891,134.0033,134.6891,2944700
2026-07-01,134.6891,137.4311,134.6891,137.4311,4204500
2026-07-02,137.4311,139.4985,137.4311,139.4985,1261700
2026-07-03,139.4985,141.4300,139.4985,141.4300,466900
2026-07-06,141.4300,141.4300,138.8370,138.8370,2176200
2026-07-07,138.8370,138.8370,137.5181,137.5181,1983100
2026-07-08,137.5181,138.8969,137.5181,138.8969,2800100
2026-07-09,138.8969,138.8969,138.3872,138.3872,4344300
2026-07-10,138.3872,138.8008,138.3872,138.8008,4630100
2026-07-13,138.8008,139.2670,138.8008,139.2670,4155700
2026-07-14,139.2670,139.2670,138.8172,138.8172,3307900
2026-07-15,138.8172,138.8172,135.2832,135.2832,4203700
2026-07-16,135.2832,135.3659,135.2832,135.3659,3054700
2026-07-17,135.3659,135.3659,135.3326,135.3326,884300
2026-07-20,135.3326,136.4587,135.3326,136.4587,1168000
2026-07-21,136.4587,138.1693,136.4587,138.1693,792600
2026-07-22,138.1693,138.1693,136.5544,136.5544,1727400
2026-07-23,136.5544,137.2743,136.5544,137.2743,3536700
2026-07-24,137.2743,137.2743,134.6453,134.6453,3851700
2026-07-27,134.6453,134.6453,134.5027,134.5027,3056700
2026-07-28,134.5027,134.5027,132.0974,132.0974,967900
2026-07-29,132.0974,133.4988,132.0974,133.4988,3706200
2026-07-30,133.4988,133.7112,133.4988,133.7112,1361400
