date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.3729,99.3729,2301200
2026-01-02,99.3729,101.7554,99.3729,101.7554,4985700
2026-01-05,101.7554,101.7554,101.1215,101.1215,1771300
2026-01-06,101.1215,102.9350,101.1215,102.9350,3827300
2026-01-07,102.9350,102.9350,102.6068,102.6068,1118800
2026-01-08,102.6068,104.3771,102.6068,104.3771,2729100
2026-01-09,104.3771,104.3771,102.4802,102.4802,2388700
2026-01-12,102.4802,103.7784,102.4802,103.7784,1157200
2026-01-13,103.7784,103.7784,103.2221,103.2221,2596900
2026-01-14,103.2221,103.2221,101.6712,101.6712,2311300
2026-01-15,101.6712,101.6712,100.3166,100.3166,1549700
2026-01-16,100.3166,101.6412,100.3166,101.6412,129200
2026-01-19,101.6412,103.1908,101.6412,103.1908,4591100
2026-01-20,103.1908,104.1261,103.1908,104.1261,1938200
2026-01-21,104.1261,104.1261,103.1234,103.1234,4117600
2026-01-22,103.1234,103.1234,101.7740,101.7740,330900
2026-01-23,101.7740,103.2612,101.7740,103.2612,1759200
2026-01-26,103.2612,103.8711,103.2612,103.8711,4552500
2026-01-27,103.8711,103.8711,102.7229,102.7229,69500
2026-01-28,102.7229,103.6713,102.7229,103.6713,1833000
2026-01-29,103.6713,105.1560,103.6713,105.1560,3261000
2026-01-30,105.1560,105.1560,103.8956,103.8956,4437000
2026-02-02,103.8956,105.3101,103.8956,105.3101,1171100
2026-02-03,105.3101,105.3101,104.5815,104.5815,3556700
2026-02-04,104.5815,106.2634,104.5815,106.2634,3594000
2026-02-05,106.2634,106.9905,106.2634,106.9905,3488800
2026-02-06,106.9905,107.4192,106.9905,107.4192,1634300
2026-02-09,107.4192,107.6899,107.4192,107.6899,2668300
2026-02-10,107.6899,107.6899,106.1836,106.1836,3937500
2026-02-11,106.1836,107.6588,106.1836,107.6588,2997800
2026-02-12,107.6588,107.6588,106.8219,106.8219,928400
2026-02-13,106.8219,106.8219,106.1199,106.1199,1315800
