date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4798,99.4798,711700
2026-01-02,99.4798,102.1927,99.4798,102.1927,3217000
2026-01-05,102.1927,102.4739,102.1927,102.4739,4751600
2026-01-06,102.4739,103.3909,102.4739,103.3909,4343600
2026-01-07,103.3909,103.3909,102.3785,102.3785,4410600
2026-01-08,102.3785,102.7291,102.3785,102.7291,2374400
2026-01-09,102.7291,102.7291,102.2562,102.2562,939800
2026-01-12,102.2562,103.6312,102.2562,103.6312,3247800
2026-01-13,103.6312,103.7940,103.6312,103.7940,2007700
2026-01-14,103.7940,103.7940,100.9026,100.9026,1138700
2026-01-15,100.9026,100.9026,99.0322,99.0322,2972000
2026-01-16,99.0322,100.2447,99.0322,100.2447,3759100
2026-01-19,100.2447,102.3721,100.2447,102.3721,2776100
2026-01-20,102.3721,102.4879,102.3721,102.4879,3772000
2026-01-21,102.4879,102.9242,102.4879,102.9242,4896400
2026-01-22,102.9242,103.0833,102.9242,103.0833,4225200
2026-01-23,103.0833,103.3252,103.0833,103.3252,2802500
2026-01-26,103.3252,103.3252,103.1876,103.1876,4922700
2026-01-27,103.1876,103.1876,100.9518,100.9518,2958200
2026-01-28,100.9518,101.4485,100.9518,101.4485,484300
2026-01-29,101.4485,101.6062,101.4485,101.6062,911500
2026-01-30,101.6062,101.6062,100.2854,100.2854,1165600
2026-02-02,100.2854,101.4993,100.2854,101.4993,2879900
2026-02-03,101.4993,101.4993,101.1035,101.1035,2545400
2026-02-04,101.1035,102.8190,101.1035,102.8190,1193900
2026-02-05,102.8190,102.8829,102.8190,102.8829,3176800
2026-02-06,102.8829,103.3310,102.8829,103.3310,2328100
2026-02-09,103.3310,105.6344,103.3310,105.6344,4309800
2026-02-10,105.6344,105.6344,105.2413,105.2413,841500
2026-02-11,105.2413,105.8644,105.2413,105.8644,3489900
2026-02-12,105.8644,105.9287,105.8644,105.9287,2326500
2026-02-13,105.9287,106.2790,105.9287,106.2790,644200
2026-02-16,106.2790,106.2813,106.2790,106.2813,3553400
2026-02-17,106.2813,106.2813,106.2201,106.2201,753300
2026-02-18,106.2201,106.2201,104.7910,104.7910,4490700
2026-02-19,104.7910,105.8932,104.7910,105.8932,3097000
2026-02-20,105.8932,107.3045,105.8932,107.3045,1555500
2026-02-23,107.3045,107.3045,106.7543,106.7543,4775800
2026-02-24,106.7543,106.7543,106.3712,106.3712,1570700
2026-02-25,106.3712,106.3712,106.0504,106.0504,4968800
2026-02-26,106.0504,106.0504,105.1699,105.1699,1886600
2026-02-27,105.1699,105.3756,105.1699,105.3756,3208800
2026-03-02,105.3756,106.2202,105.3756,106.2202,605100
2026-03-03,106.2202,106.2202,105.7109,105.7109,3966900
2026-03-04,105.7109,105.7109,105.6937,105.6937,3052300
2026-03-05,105.6937,105.9488,105.6937,105.9488,4152900
2026-03-06,105.9488,105.9488,105.3139,105.3139,3565000
2026-03-09,105.3139,106.1964,105.3139,106.1964,2954400
2026-03-10,106.1964,106.1964,106.1604,106.1604,3498100
2026-03-11,106.1604,106.1604,105.7121,105.7121,2245100
2026-03-12,105.7121,105.7121,105.6665,105.6665,1900200
2026-03-13,105.6665,105.6665,104.9664,104.9664,3318100
2026-03-16,104.9664,104.9664,104.3675,104.3675,2353400
2026-03-17,104.3675,105.8259,104.3675,105.8259,573600
2026-03-18,105.8259,105.8259,105.5210,105.5210,905200
2026-03-19,105.5210,105.5210,103.7573,103.7573,2832700
2026-03-20,103.7573,103.7573,102.0309,102.0309,174100
2026-03-23,102.0309,102.0309,100.9594,100.9594,4569100
2026-03-24,100.9594,101.7408,100.9594,101.7408,1440300
2026-03-25,101.7408,102.3020,101.7408,102.3020,165800
2026-03-26,102.3020,103.0750,102.3020,103.0750,908900
2026-03-27,103.0750,103.0750,102.5435,102.5435,4331900
2026-03-30,102.5435,103.6339,102.5435,103.6339,4702200
2026-03-31,103.6339,103.6339,102.1339,102.1339,4301500
2026-04-01,102.1339,103.0273,102.1339,103.0273,3441700
2026-04-02,103.0273,103.0273,102.2002,102.2002,3304700
2026-04-03,102.2002,102.2002,102.1974,102.1974,4517200
2026-04-06,102.1974,104.2106,102.1974,104.2106,183700
2026-04-07,104.2106,105.9505,104.2106,105.9505,3107300
2026-04-08,105.9505,105.9505,104.5188,104.5188,1222900
2026-04-09,104.5188,104.9508,104.5188,104.9508,3209700
2026-04-10,104.9508,104.9508,103.6090,103.6090,3960500
2026-04-13,103.6090,103.6090,100.9768,100.9768,3437200
2026-04-14,100.9768,101.7824,100.9768,101.7824,234500
2026-04-15,101.7824,101.8267,101.7824,101.8267,4452600
2026-04-16,101.8267,101.8267,100.1755,100.1755,4483700
2026-04-17,100.1755,100.1755,99.1508,99.1508,2090000
2026-04-20,99.1508,99.1508,98.9824,98.9824,240000
2026-04-21,98.9824,98.9824,98.8424,98.8424,4080400
2026-04-22,98.8424,99.6773,98.8424,99.6773,2156100
2026-04-23,99.6773,100.9564,99.6773,100.9564,92100
2026-04-24,100.9564,100.9564,100.0950,100.0950,2320600
2026-04-27,100.0950,100.0950,98.2862,98.2862,3995400
2026-04-28,98.2862,98.2862,96.6243,96.6243,3635300
2026-04-29,96.6243,97.0979,96.6243,97.0979,1436000
2026-04-30,97.0979,98.6798,97.0979,98.6798,2999800
2026-05-01,98.6798,98.6798,97.2244,97.2244,4557400
2026-05-04,97.2244,97.2767,97.2244,97.2767,3380200
2026-05-05,97.2767,97.2767,95.9129,95.9129,2519700
2026-05-06,95.9129,95.9129,95.8556,95.8556,1025500
2026-05-07,95.8556,95.8556,94.4416,94.4416,3823000
2026-05-08,94.4416,95.3381,94.4416,95.3381,1408200
2026-05-11,95.3381,95.3381,94.6026,94.6026,515500
2026-05-12,94.6026,94.6026,94.1465,94.1465,4262500
2026-05-13,94.1465,94.7838,94.1465,94.7838,1399200
2026-05-14,94.7838,96.3019,94.7838,96.3019,4192400
2026-05-15,96.3019,96.3019,95.4979,95.4979,1011400
2026-05-18,95.4979,95.4979,95.2463,95.2463,4037400
2026-05-19,95.2463,95.2463,93.0367,93.0367,3077200
2026-05-20,93.0367,93.0367,91.6393,91.6393,4292500
2026-05-21,91.6393,92.0670,91.6393,92.0670,157900
2026-05-22,92.0670,92.1713,92.0670,92.1713,1409600
2026-05-25,92.1713,94.3429,92.1713,94.3429,1566900
2026-05-26,94.3429,94.3429,92.9243,92.9243,1564700
2026-05-27,92.9243,92.9243,92.5845,92.5845,2351200
2026-05-28,92.5845,93.5982,92.5845,93.5982,3780100
2026-05-29,93.5982,95.0677,93.5982,95.0677,320500
2026-06-01,95.0677,95.0677,94.2363,94.2363,174700
2026-06-02,94.2363,94.2363,92.2407,92.2407,4106700
2026-06-03,92.2407,92.2407,91.7644,91.7644,291900
2026-06-04,91.7644,92.9816,91.7644,92.9816,4638000
2026-06-05,92.9816,94.4267,92.9816,94.4267,16000
2026-06-08,94.4267,94.4267,94.1774,94.1774,3276200
2026-06-09,94.1774,94.7909,94.1774,94.7909,1624200
2026-06-10,94.7909,94.7909,93.3880,93.3880,3256500
2026-06-11,93.3880,93.3880,93.0244,93.0244,1527100
2026-06-12,93.0244,93.0244,91.7936,91.7936,795800
2026-06-15,91.7936,93.7705,91.7936,93.7705,4380000
2026-06-16,93.7705,95.0183,93.7705,95.0183,10300
2026-06-17,95.0183,95.0183,94.5996,94.5996,1332200
2026-06-18,94.5996,94.5996,93.2179,93.2179,236100
2026-06-19,93.2179,93.2480,93.2179,93.2480,3924900
2026-06-22,93.2480,93.2513,93.2480,93.2513,1123800
2026-06-23,93.2513,93.2513,93.0775,93.0775,3010800
2026-06-24,93.0775,95.8571,93.0775,95.8571,3619800
2026-06-25,95.8571,96.2946,95.8571,96.2946,1543600
2026-06-26,96.2946,96.2946,94.6669,94.6669,3758400
2026-06-29,94.6669,94.6669,94.5560,94.5560,3770600
2026-06-30,94.5560,95.3379,94.5560,95.3379,2518200
2026-07-01,95.3379,97.5318,95.3379,97.5318,4161200
2026-07-02,97.5318,98.7976,97.5318,98.7976,1839600
2026-07-03,98.7976,99.5352,98.7976,99.5352,1665700
2026-07-06,99.5352,99.5352,97.9436,97.9436,3973000
2026-07-07,97.9436,98.7149,97.9436,98.7149,1990500
2026-07-08,98.7149,99.7985,98.7149,99.7985,3367300
2026-07-09,99.7985,99.7985,97.4535,97.4535,2098700
2026-07-10,97.4535,98.5390,97.4535,98.5390,2996700
2026-07-13,98.5390,100.0645,98.5390,100.0645,4604500
2026-07-14,100.0645,100.0645,99.6509,99.6509,4465300
2026-07-15,99.6509,99.6509,97.5275,97.5275,2949500
2026-07-16,97.5275,97.5275,97.4972,97.4972,372800
2026-07-17,97.4972,97.4972,97.1171,97.1171,2116400
2026-07-20,97.1171,97.1171,96.1171,96.1171,2724800
2026-07-21,96.1171,96.9215,96.1171,96.9215,3886200
2026-07-22,96.9215,96.9215,96.5285,96.5285,2645100
2026-07-23,96.5285,97.0326,96.5285,97.0326,2126900
2026-07-24,97.0326,97.0326,95.8305,95.8305,2009900
2026-07-27,95.8305,95.9254,95.8305,95.9254,1682600
2026-07-28,95.9254,95.9254,94.7091,94.7091,581600
2026-07-29,94.7091,95.0356,94.7091,95.0356,3003200
2026-07-30,95.0356,96.1395,95.0356,96.1395,2132000
2026-07-31,96.1395,97.9894,96.1395,97.9894,2692700
2026-08-03,97.9894,99.5138,97.9894,99.5138,999600
2026-08-04,99.5138,99.5138,98.8935,98.8935,813500
2026-08-05,98.8935,98.8935,98.0216,98.0216,4736400
2026-08-06,98.0216,98.0216,97.3023,97.3023,1579700
2026-08-07,97.3023,97.3023,96.5180,96.5180,3831500
2026-08-10,96.5180,97.1280,96.5180,97.1280,3912000
2026-08-11,97.1280,98.2411,97.1280,98.2411,1057100
2026-08-12,98.2411,99.5456,98.2411,99.5456,4330500
2026-08-13,99.5456,99.5456,98.7348,98.7348,1533600
2026-08-14,98.7348,99.7206,98.7348,99.7206,2085300
2026-08-17,99.7206,99.7206,99.0635,99.0635,3334600
2026-08-18,99.0635,99.0635,98.8140,98.8140,4704900
2026-08-19,98.8140,99.9919,98.8140,99.9919,3488300
2026-08-20,99.9919,101.2965,99.9919,101.2965,673000
2026-08-21,101.2965,101.2965,100.7354,100.7354,2491000
2026-08-24,100.7354,101.3551,100.7354,101.3551,2455200
2026-08-25,101.3551,101.3551,100.7604,100.7604,3936100
2026-08-26,100.7604,101.9194,100.7604,101.9194,89800
2026-08-27,101.9194,103.0463,101.9194,103.0463,2582000
2026-08-28,103.0463,105.1533,103.0463,105.1533,1869200
2026-08-31,105.1533,105.1533,104.8129,104.8129,4251900
2026-09-01,104.8129,104.8129,104.2660,104.2660,91900
2026-09-02,104.2660,104.2660,103.8689,103.8689,3251600
2026-09-03,103.8689,103.8689,102.5279,102.5279,362600
2026-09-04,102.5279,102.5279,102.4483,102.4483,353300
2026-09-07,102.4483,102.4483,101.7558,101.7558,3884100
2026-09-08,101.7558,102.2530,101.7558,102.2530,2164800
2026-09-09,102.2530,102.3966,102.2530,102.3966,4697400
