date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.0161,99.0161,2778500
2026-01-02,99.0161,99.8977,99.0161,99.8977,2994600
2026-01-05,99.8977,99.8977,98.9328,98.9328,2167900
2026-01-06,98.9328,99.7497,98.9328,99.7497,3771600
2026-01-07,99.7497,99.7497,99.4147,99.4147,3945000
2026-01-08,99.4147,99.8892,99.4147,99.8892,2694500
2026-01-09,99.8892,99.8892,98.0454,98.0454,1199300
2026-01-12,98.0454,100.1937,98.0454,100.1937,2701000
2026-01-13,100.1937,101.8987,100.1937,101.8987,1497100
2026-01-14,101.8987,101.8987,100.1278,100.1278,1489100
2026-01-15,100.1278,100.1278,98.9220,98.9220,881400
2026-01-16,98.9220,100.5297,98.9220,100.5297,2022600
2026-01-19,100.5297,101.8833,100.5297,101.8833,2138300
2026-01-20,101.8833,101.8833,101.7910,101.7910,3132800
2026-01-21,101.7910,102.3188,101.7910,102.3188,2680200
2026-01-22,102.3188,102.3188,101.5276,101.5276,3010500
2026-01-23,101.5276,102.4523,101.5276,102.4523,3309400
2026-01-26,102.4523,102.7629,102.4523,102.7629,4507800
2026-01-27,102.7629,102.7629,101.6407,101.6407,2896100
2026-01-28,101.6407,102.6589,101.6407,102.6589,499500
2026-01-29,102.6589,102.6589,102.3579,102.3579,2267000
2026-01-30,102.3579,102.3579,101.4998,101.4998,2953800
2026-02-02,101.4998,102.9601,101.4998,102.9601,4983900
2026-02-03,102.9601,102.9601,102.8152,102.8152,4582100
2026-02-04,102.8152,103.2257,102.8152,103.2257,2942300
2026-02-05,103.2257,103.2257,103.1289,103.1289,22700
2026-02-06,103.1289,103.7282,103.1289,103.7282,160500
2026-02-09,103.7282,104.5732,103.7282,104.5732,4159600
2026-02-10,104.5732,104.5732,103.7632,103.7632,2796900
2026-02-11,103.7632,104.7455,103.7632,104.7455,2846800
2026-02-12,104.7455,105.1968,104.7455,105.1968,1321900
2026-02-13,105.1968,105.1968,104.7028,104.7028,52300
2026-02-16,104.7028,104.7424,104.7028,104.7424,2005400
2026-02-17,104.7424,104.9584,104.7424,104.9584,2627600
2026-02-18,104.9584,104.9584,104.1271,104.1271,1489200
2026-02-19,104.1271,104.6252,104.1271,104.6252,3184400
2026-02-20,104.6252,106.6342,104.6252,106.6342,827200
2026-02-23,106.6342,107.1426,106.6342,107.1426,3580000
2026-02-24,107.1426,107.1426,106.7688,106.7688,4473000
2026-02-25,106.7688,106.7688,106.3580,106.3580,2719500
2026-02-26,106.3580,106.3580,106.0091,106.0091,2230300
2026-02-27,106.0091,106.6191,106.0091,106.6191,1021500
2026-03-02,106.6191,107.0571,106.6191,107.0571,4824400
2026-03-03,107.0571,107.1327,107.0571,107.1327,1380700
2026-03-04,107.1327,107.1327,106.5699,106.5699,3100200
