date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,99.4578,99.4578,3146400
2026-01-02,99.4578,101.5646,99.4578,101.5646,1348700
2026-01-05,101.5646,101.5646,100.8764,100.8764,43500
2026-01-06,100.8764,100.8764,100.5300,100.5300,2711700
2026-01-07,100.5300,100.5300,100.1368,100.1368,684000
2026-01-08,100.1368,100.5949,100.1368,100.5949,611500
2026-01-09,100.5949,100.5949,99.6117,99.6117,2888700
2026-01-12,99.6117,100.1035,99.6117,100.1035,293100
2026-01-13,100.1035,100.1035,99.7937,99.7937,742200
2026-01-14,99.7937,99.7937,97.5301,97.5301,1069900
2026-01-15,97.5301,97.5301,96.3009,96.3009,1084100
2026-01-16,96.3009,98.0921,96.3009,98.0921,2228400
2026-01-19,98.0921,98.9063,98.0921,98.9063,177300
2026-01-20,98.9063,99.1420,98.9063,99.1420,41500
2026-01-21,99.1420,99.3912,99.1420,99.3912,1523400
2026-01-22,99.3912,99.3912,98.7099,98.7099,278000
2026-01-23,98.7099,98.7099,98.1882,98.1882,4445600
2026-01-26,98.1882,98.5661,98.1882,98.5661,1090800
2026-01-27,98.5661,98.5661,98.3340,98.3340,276600
2026-01-28,98.3340,99.4225,98.3340,99.4225,3007400
2026-01-29,99.4225,99.5333,99.4225,99.5333,2374300
2026-01-30,99.5333,99.5333,98.8896,98.8896,2814300
2026-02-02,98.8896,100.4857,98.8896,100.4857,988800
2026-02-03,100.4857,100.4857,100.0314,100.0314,1979200
2026-02-04,100.0314,101.2582,100.0314,101.2582,1565800
2026-02-05,101.2582,101.2582,100.8479,100.8479,2273500
2026-02-06,100.8479,100.8479,100.5039,100.5039,560400
2026-02-09,100.5039,102.0109,100.5039,102.0109,4318700
2026-02-10,102.0109,102.0109,101.3741,101.3741,927600
2026-02-11,101.3741,102.7459,101.3741,102.7459,4392200
2026-02-12,102.7459,102.7459,102.1530,102.1530,2374900
2026-02-13,102.1530,102.1530,102.0256,102.0256,4667500
2026-02-16,102.0256,102.7448,102.0256,102.7448,577700
2026-02-17,102.7448,103.4089,102.7448,103.4089,3207400
2026-02-18,103.4089,103.4089,101.7743,101.7743,4531500
2026-02-19,101.7743,101.7743,101.6582,101.6582,3892500
2026-02-20,101.6582,102.9320,101.6582,102.9320,3005800
2026-02-23,102.9320,104.2440,102.9320,104.2440,4709000
2026-02-24,104.2440,104.2440,103.9916,103.9916,2410300
2026-02-25,103.9916,103.9916,103.4927,103.4927,542000
2026-02-26,103.4927,104.2759,103.4927,104.2759,481300
2026-02-27,104.2759,104.8656,104.2759,104.8656,4772500
2026-03-02,104.8656,104.9898,104.8656,104.9898,4612800
2026-03-03,104.9898,105.1690,104.9898,105.1690,4616000
2026-03-04,105.1690,105.1690,104.3205,104.3205,734800
2026-03-05,104.3205,104.3205,103.7485,103.7485,23500
2026-03-06,103.7485,103.7485,102.3481,102.3481,3635700
2026-03-09,102.3481,102.3481,102.2379,102.2379,4902700
2026-03-10,102.2379,102.2379,101.0713,101.0713,3299800
2026-03-11,101.0713,101.0713,100.4706,100.4706,1097900
2026-03-12,100.4706,100.4706,99.2279,99.2279,167000
2026-03-13,99.2279,99.2279,97.5833,97.5833,4405200
2026-03-16,97.5833,98.5098,97.5833,98.5098,1238300
2026-03-17,98.5098,100.1046,98.5098,100.1046,2798600
2026-03-18,100.1046,100.1046,99.0563,99.0563,1979500
2026-03-19,99.0563,99.0563,98.5532,98.5532,1056900
2026-03-20,98.5532,98.5532,96.5673,96.5673,915900
2026-03-23,96.5673,96.5673,95.6584,95.6584,588600
2026-03-24,95.6584,97.0614,95.6584,97.0614,740400
2026-03-25,97.0614,97.7307,97.0614,97.7307,2686800
2026-03-26,97.7307,98.0250,97.7307,98.0250,2041700
2026-03-27,98.0250,98.0399,98.0250,98.0399,859500
2026-03-30,98.0399,100.0246,98.0399,100.0246,1653400
2026-03-31,100.0246,100.0246,98.9252,98.9252,633700
2026-04-01,98.9252,99.0277,98.9252,99.0277,1563700
2026-04-02,99.0277,99.1125,99.0277,99.1125,535100
2026-04-03,99.1125,99.8634,99.1125,99.8634,4602700
2026-04-06,99.8634,101.2305,99.8634,101.2305,2013000
2026-04-07,101.2305,102.3751,101.2305,102.3751,4794600
2026-04-08,102.3751,102.3751,101.0892,101.0892,686600
2026-04-09,101.0892,101.7337,101.0892,101.7337,4142100
2026-04-10,101.7337,101.7337,100.5107,100.5107,3291000
2026-04-13,100.5107,100.5107,99.9583,99.9583,4100600
2026-04-14,99.9583,100.6392,99.9583,100.6392,4724300
2026-04-15,100.6392,100.6392,100.3769,100.3769,2500500
2026-04-16,100.3769,100.3769,99.7552,99.7552,1012500
2026-04-17,99.7552,99.7552,98.3511,98.3511,585400
2026-04-20,98.3511,98.3511,98.1942,98.1942,1931800
2026-04-21,98.1942,98.1942,98.1145,98.1145,1318800
2026-04-22,98.1145,98.6719,98.1145,98.6719,305000
2026-04-23,98.6719,100.4761,98.6719,100.4761,3877600
2026-04-24,100.4761,101.1365,100.4761,101.1365,3903800
2026-04-27,101.1365,101.1365,98.8929,98.8929,3541300
2026-04-28,98.8929,98.8929,98.3645,98.3645,3391000
2026-04-29,98.3645,99.4139,98.3645,99.4139,3255800
2026-04-30,99.4139,99.9388,99.4139,99.9388,4348500
2026-05-01,99.9388,99.9388,99.8776,99.8776,2708700
2026-05-04,99.8776,100.8059,99.8776,100.8059,461300
2026-05-05,100.8059,100.8059,99.5736,99.5736,4509100
2026-05-06,99.5736,99.9041,99.5736,99.9041,3401000
2026-05-07,99.9041,99.9041,98.0016,98.0016,4046100
2026-05-08,98.0016,98.9186,98.0016,98.9186,3250800
2026-05-11,98.9186,99.0761,98.9186,99.0761,1954100
2026-05-12,99.0761,99.0761,98.4216,98.4216,482000
2026-05-13,98.4216,99.5653,98.4216,99.5653,3781200
2026-05-14,99.5653,100.5108,99.5653,100.5108,1750800
2026-05-15,100.5108,100.5108,100.4428,100.4428,3356400
2026-05-18,100.4428,100.4428,99.5262,99.5262,2082300
2026-05-19,99.5262,99.5262,98.3028,98.3028,2565800
2026-05-20,98.3028,98.3028,97.1831,97.1831,1683300
2026-05-21,97.1831,98.6056,97.1831,98.6056,4377900
2026-05-22,98.6056,98.8854,98.6056,98.8854,74100
2026-05-25,98.8854,99.5724,98.8854,99.5724,3279300
2026-05-26,99.5724,99.5724,97.9421,97.9421,2358800
2026-05-27,97.9421,97.9421,96.8955,96.8955,4563500
2026-05-28,96.8955,97.3881,96.8955,97.3881,1602000
2026-05-29,97.3881,99.0968,97.3881,99.0968,275800
2026-06-01,99.0968,99.6923,99.0968,99.6923,1464400
2026-06-02,99.6923,99.6923,98.8125,98.8125,2543500
2026-06-03,98.8125,98.8125,98.1465,98.1465,2312200
2026-06-04,98.1465,99.9431,98.1465,99.9431,1615000
2026-06-05,99.9431,102.0908,99.9431,102.0908,1452200
2026-06-08,102.0908,102.0908,101.8037,101.8037,3599700
2026-06-09,101.8037,103.0892,101.8037,103.0892,4525000
2026-06-10,103.0892,103.0892,101.1409,101.1409,3616300
2026-06-11,101.1409,101.5125,101.1409,101.5125,795400
2026-06-12,101.5125,101.5805,101.5125,101.5805,3041100
2026-06-15,101.5805,102.6368,101.5805,102.6368,506700
2026-06-16,102.6368,102.8488,102.6368,102.8488,2281000
2026-06-17,102.8488,102.8488,101.8206,101.8206,1191300
2026-06-18,101.8206,101.8206,101.3644,101.3644,2617900
2026-06-19,101.3644,101.3644,100.7310,100.7310,3906600
2026-06-22,100.7310,103.7252,100.7310,103.7252,174100
2026-06-23,103.7252,103.7252,103.5881,103.5881,826200
2026-06-24,103.5881,105.7082,103.5881,105.7082,3435800
2026-06-25,105.7082,105.9546,105.7082,105.9546,3713100
2026-06-26,105.9546,106.4325,105.9546,106.4325,3441500
2026-06-29,106.4325,106.4325,106.2385,106.2385,2644000
2026-06-30,106.2385,107.4706,106.2385,107.4706,2981700
2026-07-01,107.4706,110.0799,107.4706,110.0799,2673500
2026-07-02,110.0799,111.9876,110.0799,111.9876,4638900
2026-07-03,111.9876,113.0026,111.9876,113.0026,4224600
2026-07-06,113.0026,113.0026,111.5850,111.5850,1102100
2026-07-07,111.5850,111.5850,110.6303,110.6303,3486100
2026-07-08,110.6303,112.4230,110.6303,112.4230,678900
2026-07-09,112.4230,112.4230,111.1516,111.1516,3388200
2026-07-10,111.1516,112.2437,111.1516,112.2437,3411100
2026-07-13,112.2437,112.3522,112.2437,112.3522,1284900
2026-07-14,112.3522,112.7342,112.3522,112.7342,732100
2026-07-15,112.7342,112.7342,111.3961,111.3961,1838100
2026-07-16,111.3961,111.3961,110.5010,110.5010,1473900
2026-07-17,110.5010,110.5010,109.4098,109.4098,4109000
2026-07-20,109.4098,109.4098,109.3807,109.3807,4927700
2026-07-21,109.3807,111.9460,109.3807,111.9460,1214600
2026-07-22,111.9460,111.9460,111.6359,111.6359,4191100
2026-07-23,111.6359,111.6359,111.3290,111.3290,4360000
2026-07-24,111.3290,111.3290,109.5412,109.5412,3134100
2026-07-27,109.5412,110.5970,109.5412,110.5970,4445000
2026-07-28,110.5970,110.5970,109.8566,109.8566,1633900
2026-07-29,109.8566,110.0534,109.8566,110.0534,2274400
2026-07-30,110.0534,110.0534,110.0376,110.0376,1555600
2026-07-31,110.0376,111.8707,110.0376,111.8707,700700
2026-08-03,111.8707,113.3632,111.8707,113.3632,2225300
2026-08-04,113.3632,113.3632,112.3773,112.3773,3446300
2026-08-05,112.3773,112.3773,111.6323,111.6323,3125800
2026-08-06,111.6323,111.6323,110.8236,110.8236,1873400
2026-08-07,110.8236,110.8236,109.4182,109.4182,706900
2026-08-10,109.4182,109.5239,109.4182,109.5239,3644000
2026-08-11,109.5239,110.5924,109.5239,110.5924,3743000
2026-08-12,110.5924,110.5924,110.1614,110.1614,1069800
2026-08-13,110.1614,110.1614,108.3159,108.3159,944900
2026-08-14,108.3159,108.5781,108.3159,108.5781,2023300
2026-08-17,108.5781,108.5781,107.8746,107.8746,2521300
2026-08-18,107.8746,108.2742,107.8746,108.2742,438700
2026-08-19,108.2742,108.5226,108.2742,108.5226,3568100
2026-08-20,108.5226,110.5110,108.5226,110.5110,393200
2026-08-21,110.5110,110.5110,109.2241,109.2241,468500
2026-08-24,109.2241,109.5434,109.2241,109.5434,2904700
2026-08-25,109.5434,109.5434,108.0420,108.0420,368700
2026-08-26,108.0420,109.6981,108.0420,109.6981,612600
2026-08-27,109.6981,112.2426,109.6981,112.2426,4022400
2026-08-28,112.2426,114.5689,112.2426,114.5689,272100
2026-08-31,114.5689,114.9683,114.5689,114.9683,4257500
2026-09-01,114.9683,114.9683,114.6461,114.6461,2730100
2026-09-02,114.6461,114.6461,113.9169,113.9169,4350500
2026-09-03,113.9169,113.9169,113.3116,113.3116,2430600
2026-09-04,113.3116,113.3116,112.7507,112.7507,3504600
2026-09-07,112.7507,112.7507,112.7407,112.7407,2379700
2026-09-08,112.7407,113.2114,112.7407,113.2114,316600
2026-09-09,113.2114,114.4203,113.2114,114.4203,3955100
