date,open,high,low,close,volume
2026-01-01,40.0000,41.4172,40.0000,41.4172,1241000
2026-01-02,41.4172,41.4172,40.4528,40.4528,275500
2026-01-03,40.4528,41.8591,40.4528,41.8591,2250500
2026-01-04,41.8591,41.8591,40.8353,40.8353,1459200
2026-01-05,40.8353,44.1511,40.8353,44.1511,1925700
2026-01-06,44.1511,48.1076,44.1511,48.1076,628700
2026-01-07,48.1076,48.1076,47.8262,47.8262,959600
2026-01-08,47.8262,48.6198,47.8262,48.6198,4898200
2026-01-09,48.6198,49.0508,48.6198,49.0508,3122700
2026-01-10,49.0508,50.9740,49.0508,50.9740,78700
2026-01-11,50.9740,51.4406,50.9740,51.4406,3485300
2026-01-12,51.4406,52.4887,51.4406,52.4887,1350900
2026-01-13,52.4887,52.4887,51.0361,51.0361,4431000
2026-01-14,51.0361,51.0361,50.1692,50.1692,3042800
2026-01-15,50.1692,50.3353,50.1692,50.3353,1276300
2026-01-16,50.3353,50.3353,47.3740,47.3740,2485700
2026-01-17,47.3740,49.7483,47.3740,49.7483,116500
2026-01-18,49.7483,50.1182,49.7483,50.1182,2978800
2026-01-19,50.1182,52.7109,50.1182,52.7109,1806400
2026-01-20,52.7109,56.4362,52.7109,56.4362,3418800
2026-01-21,56.4362,56.4362,54.8839,54.8839,1773800
2026-01-22,54.8839,55.4656,54.8839,55.4656,1745800
2026-01-23,55.4656,56.6674,55.4656,56.6674,821600
2026-01-24,56.6674,56.6674,53.5918,53.5918,915700
2026-01-25,53.5918,53.5918,52.1051,52.1051,398200
2026-01-26,52.1051,56.2262,52.1051,56.2262,4051000
2026-01-27,56.2262,56.3301,56.2262,56.3301,415300
2026-01-28,56.3301,56.3301,53.1317,53.1317,2637100
2026-01-29,53.1317,53.1317,51.0330,51.0330,1794400
2026-01-30,51.0330,51.0330,50.1045,50.1045,344800
2026-01-31,50.1045,53.4222,50.1045,53.4222,831100
2026-02-01,53.4222,53.4222,52.5392,52.5392,2364600
2026-02-02,52.5392,52.5392,51.6579,51.6579,3455000
2026-02-03,51.6579,51.6579,47.9054,47.9054,1278700
2026-02-04,47.9054,49.3819,47.9054,49.3819,1429000
2026-02-05,49.3819,49.7795,49.3819,49.7795,541400
2026-02-06,49.7795,49.7795,47.4598,47.4598,1822700
2026-02-07,47.4598,47.5335,47.4598,47.5335,1370500
2026-02-08,47.5335,47.5335,47.0396,47.0396,4020500
2026-02-09,47.0396,47.2272,47.0396,47.2272,1131300
2026-02-10,47.2272,47.4509,47.2272,47.4509,1685100
2026-02-11,47.4509,47.4509,45.7476,45.7476,2253100
2026-02-12,45.7476,46.2466,45.7476,46.2466,2280700
2026-02-13,46.2466,46.2466,42.3750,42.3750,1250400
2026-02-14,42.3750,43.7727,42.3750,43.7727,506400
2026-02-15,43.7727,43.7727,43.2170,43.2170,4881800
2026-02-16,43.2170,45.2737,43.2170,45.2737,278000
2026-02-17,45.2737,46.0561,45.2737,46.0561,1275700
2026-02-18,46.0561,47.3411,46.0561,47.3411,4165300
2026-02-19,47.3411,47.3411,45.9492,45.9492,125000
2026-02-20,45.9492,48.9420,45.9492,48.9420,4690500
2026-02-21,48.9420,50.1088,48.9420,50.1088,2905000
2026-02-22,50.1088,50.1088,50.0667,50.0667,1052700
2026-02-23,50.0667,50.0667,49.3372,49.3372,666300
2026-02-24,49.3372,49.3372,47.1886,47.1886,322800
2026-02-25,47.1886,47.5437,47.1886,47.5437,4949400
2026-02-26,47.5437,48.2166,47.5437,48.2166,874300
2026-02-27,48.2166,51.2454,48.2166,51.2454,131300
2026-02-28,51.2454,52.7131,51.2454,52.7131,4810600
2026-03-01,52.7131,52.7131,52.2140,52.2140,2824300
2026-03-02,52.2140,52.7521,52.2140,52.7521,4785800
2026-03-03,52.7521,53.0080,52.7521,53.0080,782200
2026-03-04,53.0080,54.1368,53.0080,54.1368,3979700
2026-03-05,54.1368,54.1368,53.4377,53.4377,709900
2026-03-06,53.4377,54.6814,53.4377,54.6814,2621400
2026-03-07,54.6814,59.2497,54.6814,59.2497,2244400
2026-03-08,59.2497,59.2741,59.2497,59.2741,4008500
2026-03-09,59.2741,59.4620,59.2741,59.4620,1350700
2026-03-10,59.4620,60.7483,59.4620,60.7483,571500
2026-03-11,60.7483,60.7483,59.2822,59.2822,1844700
2026-03-12,59.2822,61.9536,59.2822,61.9536,4930500
2026-03-13,61.9536,65.6310,61.9536,65.6310,1392000
2026-03-14,65.6310,65.6602,65.6310,65.6602,88400
2026-03-15,65.6602,65.6602,61.5083,61.5083,1777000
2026-03-16,61.5083,61.5083,57.8270,57.8270,940000
2026-03-17,57.8270,62.0446,57.8270,62.0446,3554300
2026-03-18,62.0446,62.6898,62.0446,62.6898,4402100
2026-03-19,62.6898,62.6898,61.4682,61.4682,371100
2026-03-20,61.4682,61.4682,60.5852,60.5852,2716100
2026-03-21,60.5852,60.5852,60.3355,60.3355,183300
2026-03-22,60.3355,61.6867,60.3355,61.6867,2537200
2026-03-23,61.6867,65.2847,61.6867,65.2847,2458900
2026-03-24,65.2847,65.2847,63.5846,63.5846,731900
2026-03-25,63.5846,64.7846,63.5846,64.7846,1779300
2026-03-26,64.7846,66.4542,64.7846,66.4542,4200200
2026-03-27,66.4542,66.4542,65.4993,65.4993,4963700
2026-03-28,65.4993,65.4993,65.3274,65.3274,3988200
2026-03-29,65.3274,65.3274,60.7624,60.7624,1652100
2026-03-30,60.7624,60.7624,59.7207,59.7207,4004200
2026-03-31,59.7207,60.3012,59.7207,60.3012,2622500
2026-04-01,60.3012,60.8092,60.3012,60.8092,2280100
2026-04-02,60.8092,62.2648,60.8092,62.2648,178300
2026-04-03,62.2648,62.2648,58.8695,58.8695,3253200
2026-04-04,58.8695,60.8379,58.8695,60.8379,278300
2026-04-05,60.8379,60.8379,60.6196,60.6196,488600
2026-04-06,60.6196,60.6196,60.4981,60.4981,3703500
2026-04-07,60.4981,60.4981,60.3881,60.3881,2704200
2026-04-08,60.3881,60.3881,58.2998,58.2998,3209900
2026-04-09,58.2998,58.2998,53.7790,53.7790,4141800
