date,open,high,low,close,volume
2026-01-01,40.0000,41.3947,40.0000,41.3947,1826200
2026-01-02,41.3947,41.3947,40.6828,40.6828,1921200
2026-01-03,40.6828,40.6828,40.2739,40.2739,2243900
2026-01-04,40.2739,40.2739,37.9915,37.9915,2737600
2026-01-05,37.9915,40.0536,37.9915,40.0536,3967100
2026-01-06,40.0536,42.6144,40.0536,42.6144,4040300
2026-01-07,42.6144,42.6144,41.6824,41.6824,3195800
2026-01-08,41.6824,41.6824,39.4207,39.4207,1839600
2026-01-09,39.4207,39.4207,38.7273,38.7273,815900
2026-01-10,38.7273,41.4570,38.7273,41.4570,2419800
2026-01-11,41.4570,41.4570,41.1231,41.1231,2772900
2026-01-12,41.1231,41.1861,41.1231,41.1861,826800
2026-01-13,41.1861,41.1861,40.8179,40.8179,4670100
2026-01-14,40.8179,40.8179,39.2423,39.2423,3333000
2026-01-15,39.2423,39.9179,39.2423,39.9179,657300
2026-01-16,39.9179,39.9179,37.4491,37.4491,1489000
2026-01-17,37.4491,39.0865,37.4491,39.0865,1720500
2026-01-18,39.0865,40.0714,39.0865,40.0714,3435900
2026-01-19,40.0714,43.4069,40.0714,43.4069,121200
2026-01-20,43.4069,46.1584,43.4069,46.1584,511700
2026-01-21,46.1584,46.1584,45.6446,45.6446,617600
2026-01-22,45.6446,45.6446,45.2895,45.2895,3352300
2026-01-23,45.2895,47.9129,45.2895,47.9129,1087500
2026-01-24,47.9129,47.9129,45.6337,45.6337,4713000
2026-01-25,45.6337,45.6337,45.5322,45.5322,4966800
2026-01-26,45.5322,48.5427,45.5322,48.5427,2869700
2026-01-27,48.5427,49.2101,48.5427,49.2101,2752500
2026-01-28,49.2101,49.2101,44.7666,44.7666,4109800
2026-01-29,44.7666,45.3055,44.7666,45.3055,1252700
2026-01-30,45.3055,45.8655,45.3055,45.8655,1166800
2026-01-31,45.8655,49.3385,45.8655,49.3385,877000
2026-02-01,49.3385,50.3418,49.3385,50.3418,2660700
2026-02-02,50.3418,50.3418,48.6617,48.6617,1995100
2026-02-03,48.6617,48.6617,48.2416,48.2416,274300
2026-02-04,48.2416,48.8031,48.2416,48.8031,2410400
2026-02-05,48.8031,50.1374,48.8031,50.1374,1498900
2026-02-06,50.1374,50.1374,48.1429,48.1429,2317100
2026-02-07,48.1429,48.9602,48.1429,48.9602,146200
2026-02-08,48.9602,48.9602,48.0725,48.0725,2008100
2026-02-09,48.0725,49.0973,48.0725,49.0973,233600
2026-02-10,49.0973,49.5769,49.0973,49.5769,3103800
2026-02-11,49.5769,49.5769,48.7297,48.7297,808400
2026-02-12,48.7297,50.5107,48.7297,50.5107,3868300
2026-02-13,50.5107,50.5107,47.1467,47.1467,3874500
2026-02-14,47.1467,47.3576,47.1467,47.3576,1387400
2026-02-15,47.3576,48.2182,47.3576,48.2182,4438200
2026-02-16,48.2182,49.4217,48.2182,49.4217,4080300
2026-02-17,49.4217,50.9564,49.4217,50.9564,737200
2026-02-18,50.9564,50.9564,50.9362,50.9362,3375100
2026-02-19,50.9362,50.9362,48.9238,48.9238,1188600
2026-02-20,48.9238,48.9238,48.8426,48.8426,4251900
2026-02-21,48.8426,49.4041,48.8426,49.4041,754900
2026-02-22,49.4041,49.4041,48.9812,48.9812,1920800
2026-02-23,48.9812,50.5878,48.9812,50.5878,2032000
2026-02-24,50.5878,50.5878,50.2800,50.2800,4730900
2026-02-25,50.2800,51.7099,50.2800,51.7099,1525000
2026-02-26,51.7099,52.3869,51.7099,52.3869,1998500
2026-02-27,52.3869,55.5330,52.3869,55.5330,4402400
2026-02-28,55.5330,58.3709,55.5330,58.3709,848300
2026-03-01,58.3709,59.4384,58.3709,59.4384,4681000
2026-03-02,59.4384,59.6580,59.4384,59.6580,2061800
2026-03-03,59.6580,59.6580,59.3464,59.3464,3310900
2026-03-04,59.3464,59.7487,59.3464,59.7487,3280400
2026-03-05,59.7487,59.7487,56.7672,56.7672,3496300
2026-03-06,56.7672,56.9530,56.7672,56.9530,4812600
2026-03-07,56.9530,59.7035,56.9530,59.7035,3461500
2026-03-08,59.7035,61.0067,59.7035,61.0067,4687500
2026-03-09,61.0067,61.0067,60.2464,60.2464,4600900
2026-03-10,60.2464,61.3595,60.2464,61.3595,4449200
2026-03-11,61.3595,61.3595,58.8879,58.8879,3337000
2026-03-12,58.8879,59.0105,58.8879,59.0105,994100
2026-03-13,59.0105,62.2069,59.0105,62.2069,2228000
2026-03-14,62.2069,62.5739,62.2069,62.5739,3562800
2026-03-15,62.5739,62.5739,60.0953,60.0953,4585800
2026-03-16,60.0953,60.0953,59.9961,59.9961,1728300
2026-03-17,59.9961,63.1948,59.9961,63.1948,3936500
2026-03-18,63.1948,63.6382,63.1948,63.6382,149600
2026-03-19,63.6382,64.3669,63.6382,64.3669,4735300
2026-03-20,64.3669,64.3669,64.3378,64.3378,249900
2026-03-21,64.3378,64.9244,64.3378,64.9244,384400
2026-03-22,64.9244,67.1011,64.9244,67.1011,2224700
2026-03-23,67.1011,67.3200,67.1011,67.3200,2566900
2026-03-24,67.3200,67.3200,65.9886,65.9886,1960600
2026-03-25,65.9886,67.8333,65.9886,67.8333,1782700
2026-03-26,67.8333,68.7316,67.8333,68.7316,4922200
2026-03-27,68.7316,68.7316,68.6874,68.6874,3621200
2026-03-28,68.6874,73.2189,68.6874,73.2189,788200
2026-03-29,73.2189,73.2189,68.5844,68.5844,1807000
2026-03-30,68.5844,68.5844,66.0721,66.0721,3288900
2026-03-31,66.0721,67.2983,66.0721,67.2983,811400
2026-04-01,67.2983,69.1690,67.2983,69.1690,1689900
2026-04-02,69.1690,70.2601,69.1690,70.2601,2197900
2026-04-03,70.2601,70.2601,68.4250,68.4250,2528900
2026-04-04,68.4250,73.6369,68.4250,73.6369,1601500
2026-04-05,73.6369,73.9552,73.6369,73.9552,4756900
2026-04-06,73.9552,73.9552,72.9269,72.9269,1693900
2026-04-07,72.9269,72.9269,70.4917,70.4917,304800
2026-04-08,70.4917,70.4917,70.3170,70.3170,958400
2026-04-09,70.3170,70.3170,65.7823,65.7823,415900
2026-04-10,65.7823,67.7884,65.7823,67.7884,2474800
2026-04-11,67.7884,68.9015,67.7884,68.9015,2002300
2026-04-12,68.9015,68.9015,61.4117,61.4117,1383700
2026-04-13,61.4117,61.4117,59.0114,59.0114,2611400
2026-04-14,59.0114,60.9924,59.0114,60.9924,3346100
2026-04-15,60.9924,61.7060,60.9924,61.7060,2873600
2026-04-16,61.7060,61.7060,61.3915,61.3915,3199800
2026-04-17,61.3915,61.3915,57.2497,57.2497,990800
2026-04-18,57.2497,58.2826,57.2497,58.2826,4247600
2026-04-19,58.2826,58.2826,55.5589,55.5589,4658100
2026-04-20,55.5589,55.5589,52.4706,52.4706,1808700
2026-04-21,52.4706,52.4706,51.0519,51.0519,4270700
2026-04-22,51.0519,51.8922,51.0519,51.8922,2203300
2026-04-23,51.8922,51.8922,50.9892,50.9892,2308200
2026-04-24,50.9892,52.1708,50.9892,52.1708,257200
2026-04-25,52.1708,52.1708,51.8259,51.8259,3069500
2026-04-26,51.8259,51.8259,50.0396,50.0396,652300
2026-04-27,50.0396,50.0396,47.9548,47.9548,802200
2026-04-28,47.9548,47.9548,45.8480,45.8480,3621200
2026-04-29,45.8480,48.9159,45.8480,48.9159,1082000
2026-04-30,48.9159,48.9159,47.8288,47.8288,4803300
2026-05-01,47.8288,47.8288,47.4606,47.4606,2158200
2026-05-02,47.4606,47.4606,46.5462,46.5462,3149700
2026-05-03,46.5462,48.6767,46.5462,48.6767,857100
2026-05-04,48.6767,48.6767,47.5806,47.5806,2076100
2026-05-05,47.5806,49.6487,47.5806,49.6487,3582000
2026-05-06,49.6487,49.8507,49.6487,49.8507,4545900
2026-05-07,49.8507,50.7405,49.8507,50.7405,917200
2026-05-08,50.7405,51.8646,50.7405,51.8646,535900
2026-05-09,51.8646,52.3500,51.8646,52.3500,4827500
2026-05-10,52.3500,52.3500,51.7574,51.7574,4337400
2026-05-11,51.7574,51.7574,50.9406,50.9406,3570900
2026-05-12,50.9406,53.2408,50.9406,53.2408,4093700
2026-05-13,53.2408,53.2408,51.2599,51.2599,1682100
2026-05-14,51.2599,53.1884,51.2599,53.1884,4556700
2026-05-15,53.1884,53.1884,51.2301,51.2301,2531800
2026-05-16,51.2301,53.9408,51.2301,53.9408,4076900
2026-05-17,53.9408,54.9127,53.9408,54.9127,4353500
2026-05-18,54.9127,54.9127,53.1446,53.1446,2624200
2026-05-19,53.1446,53.1446,52.2607,52.2607,1912500
2026-05-20,52.2607,52.2607,51.6434,51.6434,4467900
2026-05-21,51.6434,55.8694,51.6434,55.8694,2270800
2026-05-22,55.8694,55.8694,52.7894,52.7894,1063400
2026-05-23,52.7894,52.7894,50.0311,50.0311,4048400
2026-05-24,50.0311,50.0311,48.7330,48.7330,2761000
2026-05-25,48.7330,49.1850,48.7330,49.1850,3928600
2026-05-26,49.1850,49.1850,48.1804,48.1804,2404000
2026-05-27,48.1804,48.1804,47.7608,47.7608,4079900
2026-05-28,47.7608,47.7608,47.4259,47.4259,588900
2026-05-29,47.4259,50.7082,47.4259,50.7082,4397400
2026-05-30,50.7082,52.0880,50.7082,52.0880,335600
