date,open,high,low,close,volume
2026-01-01,40.0000,41.1329,40.0000,41.1329,964500
2026-01-02,41.1329,41.1329,40.3931,40.3931,11400
2026-01-03,40.3931,41.1648,40.3931,41.1648,2907700
2026-01-04,41.1648,41.1648,39.6180,39.6180,4813700
2026-01-05,39.6180,41.9776,39.6180,41.9776,2255200
2026-01-06,41.9776,44.2359,41.9776,44.2359,4145800
2026-01-07,44.2359,44.7599,44.2359,44.7599,3000700
2026-01-08,44.7599,44.7599,43.1556,43.1556,226100
2026-01-09,43.1556,43.1556,42.0082,42.0082,3554400
2026-01-10,42.0082,43.3257,42.0082,43.3257,4319800
2026-01-11,43.3257,44.1017,43.3257,44.1017,3492900
2026-01-12,44.1017,45.6526,44.1017,45.6526,1729600
2026-01-13,45.6526,45.6526,43.7603,43.7603,1335200
2026-01-14,43.7603,43.7603,41.6022,41.6022,3829200
2026-01-15,41.6022,41.6022,41.1204,41.1204,1880600
2026-01-16,41.1204,41.1204,39.7743,39.7743,4910000
2026-01-17,39.7743,41.8016,39.7743,41.8016,4221100
2026-01-18,41.8016,42.0866,41.8016,42.0866,3383800
2026-01-19,42.0866,46.4990,42.0866,46.4990,4661200
2026-01-20,46.4990,49.1830,46.4990,49.1830,2005900
2026-01-21,49.1830,49.1830,47.9792,47.9792,1223800
2026-01-22,47.9792,47.9792,46.4647,46.4647,1272400
2026-01-23,46.4647,47.2400,46.4647,47.2400,2955800
2026-01-24,47.2400,47.2400,45.4551,45.4551,542000
2026-01-25,45.4551,45.8342,45.4551,45.8342,3772700
2026-01-26,45.8342,49.0536,45.8342,49.0536,2255500
2026-01-27,49.0536,50.4075,49.0536,50.4075,189800
2026-01-28,50.4075,50.4075,47.1428,47.1428,3979400
2026-01-29,47.1428,47.1428,45.7970,45.7970,4873600
2026-01-30,45.7970,45.7970,45.3710,45.3710,4630000
2026-01-31,45.3710,48.6866,45.3710,48.6866,819800
2026-02-01,48.6866,49.4255,48.6866,49.4255,4739600
2026-02-02,49.4255,49.4255,46.4448,46.4448,2130000
2026-02-03,46.4448,46.4448,45.1058,45.1058,3202100
2026-02-04,45.1058,46.2752,45.1058,46.2752,2952200
2026-02-05,46.2752,46.5134,46.2752,46.5134,4944100
2026-02-06,46.5134,46.5134,43.8676,43.8676,4166300
2026-02-07,43.8676,45.2451,43.8676,45.2451,4041800
2026-02-08,45.2451,45.2451,44.2037,44.2037,2454500
2026-02-09,44.2037,45.5116,44.2037,45.5116,2392200
2026-02-10,45.5116,45.7563,45.5116,45.7563,3062800
2026-02-11,45.7563,45.7563,43.5207,43.5207,810500
2026-02-12,43.5207,44.4659,43.5207,44.4659,2594200
2026-02-13,44.4659,44.4659,41.1143,41.1143,4488600
2026-02-14,41.1143,41.1143,40.7918,40.7918,2067500
2026-02-15,40.7918,40.7999,40.7918,40.7999,669900
2026-02-16,40.7999,40.7999,40.6103,40.6103,2100100
2026-02-17,40.6103,42.4994,40.6103,42.4994,4811000
2026-02-18,42.4994,42.4994,42.4229,42.4229,4093700
2026-02-19,42.4229,42.4229,41.3926,41.3926,4306800
2026-02-20,41.3926,42.3493,41.3926,42.3493,2356800
2026-02-21,42.3493,43.2064,42.3493,43.2064,167300
2026-02-22,43.2064,43.2064,42.9098,42.9098,2379800
2026-02-23,42.9098,43.3598,42.9098,43.3598,3339900
