date,open,high,low,close,volume
2026-01-01,40.0000,40.7030,40.0000,40.7030,2705500
2026-01-02,40.7030,40.7030,39.1272,39.1272,3295400
2026-01-03,39.1272,39.7915,39.1272,39.7915,895200
2026-01-04,39.7915,39.7915,38.2736,38.2736,3373200
2026-01-05,38.2736,40.2185,38.2736,40.2185,2112300
2026-01-06,40.2185,43.7563,40.2185,43.7563,4162500
2026-01-07,43.7563,43.8847,43.7563,43.8847,1041900
2026-01-08,43.8847,43.8847,42.1718,42.1718,3307800
2026-01-09,42.1718,42.1718,41.3192,41.3192,3431400
2026-01-10,41.3192,42.7402,41.3192,42.7402,1159900
2026-01-11,42.7402,43.8800,42.7402,43.8800,3104100
2026-01-12,43.8800,46.4139,43.8800,46.4139,4443900
2026-01-13,46.4139,46.4139,45.8285,45.8285,2755300
2026-01-14,45.8285,45.8285,44.6714,44.6714,2935700
2026-01-15,44.6714,45.8009,44.6714,45.8009,2829300
2026-01-16,45.8009,45.8009,44.8210,44.8210,658500
2026-01-17,44.8210,46.5501,44.8210,46.5501,4270200
2026-01-18,46.5501,46.5501,46.0592,46.0592,186800
2026-01-19,46.0592,49.5722,46.0592,49.5722,4360000
2026-01-20,49.5722,52.1258,49.5722,52.1258,2168300
2026-01-21,52.1258,52.1258,51.1178,51.1178,458200
2026-01-22,51.1178,51.1178,50.8447,50.8447,2652200
2026-01-23,50.8447,50.8447,50.2477,50.2477,3532000
2026-01-24,50.2477,50.2477,47.7961,47.7961,4322800
2026-01-25,47.7961,49.1100,47.7961,49.1100,1044600
2026-01-26,49.1100,52.5351,49.1100,52.5351,4617800
2026-01-27,52.5351,52.6906,52.5351,52.6906,131600
2026-01-28,52.6906,52.6906,47.5966,47.5966,1766800
2026-01-29,47.5966,47.5966,46.3097,46.3097,4259300
2026-01-30,46.3097,46.3748,46.3097,46.3748,289300
2026-01-31,46.3748,50.2990,46.3748,50.2990,4750300
2026-02-01,50.2990,52.0220,50.2990,52.0220,1599000
2026-02-02,52.0220,52.0220,51.4596,51.4596,1071800
2026-02-03,51.4596,51.7282,51.4596,51.7282,301900
2026-02-04,51.7282,52.0159,51.7282,52.0159,1646500
2026-02-05,52.0159,53.4135,52.0159,53.4135,4525100
2026-02-06,53.4135,53.4135,50.2610,50.2610,2912400
2026-02-07,50.2610,51.3136,50.2610,51.3136,132100
2026-02-08,51.3136,52.6825,51.3136,52.6825,4753900
