date,open,high,low,close,volume
2026-01-01,40.0000,40.0000,39.7643,39.7643,166700
2026-01-02,39.7643,39.7643,39.7203,39.7203,3054700
2026-01-03,39.7203,40.7989,39.7203,40.7989,3492900
2026-01-04,40.7989,40.7989,39.4491,39.4491,3411500
2026-01-05,39.4491,41.5318,39.4491,41.5318,1454800
2026-01-06,41.5318,44.1310,41.5318,44.1310,859400
2026-01-07,44.1310,44.1310,43.1348,43.1348,2510100
2026-01-08,43.1348,43.1348,42.4320,42.4320,3637300
2026-01-09,42.4320,42.8500,42.4320,42.8500,1220600
2026-01-10,42.8500,45.9853,42.8500,45.9853,4180200
2026-01-11,45.9853,45.9853,45.8821,45.8821,1962800
2026-01-12,45.8821,47.6551,45.8821,47.6551,137400
2026-01-13,47.6551,47.6551,45.2083,45.2083,3994700
2026-01-14,45.2083,45.2083,44.2098,44.2098,3798000
2026-01-15,44.2098,45.9694,44.2098,45.9694,1572600
2026-01-16,45.9694,45.9694,43.0330,43.0330,688000
2026-01-17,43.0330,44.4338,43.0330,44.4338,3214800
2026-01-18,44.4338,44.6165,44.4338,44.6165,4289100
2026-01-19,44.6165,47.5309,44.6165,47.5309,433400
2026-01-20,47.5309,49.3191,47.5309,49.3191,4656600
2026-01-21,49.3191,49.3191,47.5987,47.5987,3440700
2026-01-22,47.5987,47.6253,47.5987,47.6253,3712800
2026-01-23,47.6253,48.4505,47.6253,48.4505,3038200
2026-01-24,48.4505,48.4505,46.2840,46.2840,3202800
2026-01-25,46.2840,46.2840,46.0142,46.0142,995900
2026-01-26,46.0142,48.9063,46.0142,48.9063,4568900
2026-01-27,48.9063,48.9063,48.4840,48.4840,453700
2026-01-28,48.4840,48.4840,44.5622,44.5622,2537600
2026-01-29,44.5622,44.5622,44.0539,44.0539,1256400
2026-01-30,44.0539,44.0539,43.6834,43.6834,2018500
2026-01-31,43.6834,45.0733,43.6834,45.0733,4840700
2026-02-01,45.0733,45.7724,45.0733,45.7724,3379600
2026-02-02,45.7724,45.7724,44.0072,44.0072,423800
2026-02-03,44.0072,44.0072,42.5922,42.5922,170100
2026-02-04,42.5922,42.5922,42.5590,42.5590,1347400
2026-02-05,42.5590,42.5590,41.9780,41.9780,4871000
2026-02-06,41.9780,41.9780,39.1962,39.1962,4408700
2026-02-07,39.1962,40.4815,39.1962,40.4815,2461900
2026-02-08,40.4815,40.4815,39.6905,39.6905,2323100
2026-02-09,39.6905,39.6905,39.6399,39.6399,2390900
2026-02-10,39.6399,39.6399,38.7956,38.7956,119200
2026-02-11,38.7956,38.7956,38.1286,38.1286,3828500
2026-02-12,38.1286,38.1286,37.9685,37.9685,2437200
2026-02-13,37.9685,37.9685,34.9014,34.9014,552900
2026-02-14,34.9014,35.7966,34.9014,35.7966,3599100
2026-02-15,35.7966,36.4461,35.7966,36.4461,2757500
2026-02-16,36.4461,37.6990,36.4461,37.6990,2564500
2026-02-17,37.6990,39.6307,37.6990,39.6307,535900
2026-02-18,39.6307,41.4287,39.6307,41.4287,905600
2026-02-19,41.4287,41.6750,41.4287,41.6750,4855800
2026-02-20,41.6750,43.0090,41.6750,43.0090,4213700
2026-02-21,43.0090,43.0090,42.9684,42.9684,4575700
2026-02-22,42.9684,42.9684,42.6241,42.6241,3379300
2026-02-23,42.6241,42.6241,41.3100,41.3100,1586600
2026-02-24,41.3100,41.3100,40.8079,40.8079,2069700
2026-02-25,40.8079,41.3949,40.8079,41.3949,2381700
2026-02-26,41.3949,43.5714,41.3949,43.5714,38600
2026-02-27,43.5714,45.6257,43.5714,45.6257,2510500
2026-02-28,45.6257,48.7501,45.6257,48.7501,246500
2026-03-01,48.7501,48.7501,48.5747,48.5747,4341500
2026-03-02,48.5747,48.5747,48.3645,48.3645,4102200
2026-03-03,48.3645,48.3645,47.6057,47.6057,3515700
2026-03-04,47.6057,48.5183,47.6057,48.5183,4428100
2026-03-05,48.5183,48.5183,46.2424,46.2424,3906100
2026-03-06,46.2424,48.0677,46.2424,48.0677,3400700
2026-03-07,48.0677,51.3827,48.0677,51.3827,4893900
2026-03-08,51.3827,51.3827,50.7985,50.7985,513700
2026-03-09,50.7985,51.1012,50.7985,51.1012,1926000
2026-03-10,51.1012,51.5417,51.1012,51.5417,3327700
2026-03-11,51.5417,51.5417,48.5274,48.5274,3631400
2026-03-12,48.5274,49.2638,48.5274,49.2638,3111600
2026-03-13,49.2638,50.1731,49.2638,50.1731,4408000
2026-03-14,50.1731,50.3427,50.1731,50.3427,524200
