date,open,high,low,close,volume
2026-01-01,40.0000,41.0123,40.0000,41.0123,359200
2026-01-02,41.0123,41.0123,39.8092,39.8092,248800
2026-01-03,39.8092,40.3294,39.8092,40.3294,4578000
2026-01-04,40.3294,40.3294,38.4106,38.4106,727000
2026-01-05,38.4106,41.3480,38.4106,41.3480,283700
2026-01-06,41.3480,45.2954,41.3480,45.2954,4739000
2026-01-07,45.2954,45.2954,44.1598,44.1598,296200
2026-01-08,44.1598,44.1598,43.3345,43.3345,4506700
2026-01-09,43.3345,43.3345,42.0302,42.0302,1876400
2026-01-10,42.0302,43.1920,42.0302,43.1920,4056100
2026-01-11,43.1920,43.6874,43.1920,43.6874,3632100
2026-01-12,43.6874,45.0401,43.6874,45.0401,1125600
2026-01-13,45.0401,45.0401,44.2062,44.2062,4827000
2026-01-14,44.2062,44.2062,43.6453,43.6453,3334500
2026-01-15,43.6453,44.2268,43.6453,44.2268,2234700
2026-01-16,44.2268,44.2268,41.4423,41.4423,4090400
2026-01-17,41.4423,41.4423,40.9886,40.9886,3294200
2026-01-18,40.9886,41.7921,40.9886,41.7921,3361200
2026-01-19,41.7921,44.5832,41.7921,44.5832,2262100
2026-01-20,44.5832,46.5655,44.5832,46.5655,2113900
2026-01-21,46.5655,46.5655,46.4412,46.4412,212800
2026-01-22,46.4412,46.4412,45.0833,45.0833,4525100
2026-01-23,45.0833,45.5830,45.0833,45.5830,2615900
2026-01-24,45.5830,45.5830,44.7478,44.7478,4965900
2026-01-25,44.7478,45.6653,44.7478,45.6653,3091800
2026-01-26,45.6653,48.4821,45.6653,48.4821,1596100
2026-01-27,48.4821,48.4821,47.8942,47.8942,2886500
2026-01-28,47.8942,47.8942,45.4381,45.4381,1806800
2026-01-29,45.4381,45.4381,43.4333,43.4333,3466200
2026-01-30,43.4333,43.4333,42.8733,42.8733,3256400
2026-01-31,42.8733,46.2546,42.8733,46.2546,4243500
2026-02-01,46.2546,47.2469,46.2546,47.2469,4702300
2026-02-02,47.2469,47.2469,45.4852,45.4852,3431400
2026-02-03,45.4852,45.4852,43.9294,43.9294,2527100
2026-02-04,43.9294,44.6458,43.9294,44.6458,4528700
