date,open,high,low,close,volume
2026-01-01,40.0000,40.6120,40.0000,40.6120,4533500
2026-01-02,40.6120,40.6120,38.8378,38.8378,4149000
2026-01-03,38.8378,39.2746,38.8378,39.2746,3662100
2026-01-04,39.2746,39.2746,36.8425,36.8425,1247800
2026-01-05,36.8425,38.6266,36.8425,38.6266,1138200
2026-01-06,38.6266,40.6112,38.6266,40.6112,3174900
2026-01-07,40.6112,40.6112,39.7314,39.7314,1869100
2026-01-08,39.7314,39.7314,38.6473,38.6473,2992100
2026-01-09,38.6473,38.6473,37.9068,37.9068,3955200
2026-01-10,37.9068,38.6494,37.9068,38.6494,4147400
2026-01-11,38.6494,38.6494,38.6023,38.6023,4621800
2026-01-12,38.6023,39.2815,38.6023,39.2815,2953500
2026-01-13,39.2815,39.2815,38.4862,38.4862,1534900
2026-01-14,38.4862,38.4862,37.9634,37.9634,3111900
2026-01-15,37.9634,40.7687,37.9634,40.7687,510100
2026-01-16,40.7687,40.7687,38.6934,38.6934,2082800
2026-01-17,38.6934,40.5905,38.6934,40.5905,2631800
2026-01-18,40.5905,40.5905,40.4456,40.4456,4990400
2026-01-19,40.4456,41.9717,40.4456,41.9717,440100
2026-01-20,41.9717,44.3935,41.9717,44.3935,931600
2026-01-21,44.3935,44.3935,42.9508,42.9508,3969300
2026-01-22,42.9508,42.9508,41.4427,41.4427,4717400
2026-01-23,41.4427,42.0761,41.4427,42.0761,4276700
2026-01-24,42.0761,42.0761,40.2313,40.2313,3752700
2026-01-25,40.2313,40.2313,40.1424,40.1424,1778200
2026-01-26,40.1424,42.2931,40.1424,42.2931,4968200
2026-01-27,42.2931,42.2931,41.8097,41.8097,1928600
2026-01-28,41.8097,41.8097,38.3645,38.3645,1370700
2026-01-29,38.3645,38.3645,37.6884,37.6884,1179300
2026-01-30,37.6884,37.6884,37.1524,37.1524,3190700
2026-01-31,37.1524,39.4464,37.1524,39.4464,3032500
2026-02-01,39.4464,39.4464,39.1736,39.1736,3813400
2026-02-02,39.1736,39.1736,38.1361,38.1361,2326000
2026-02-03,38.1361,38.1361,38.0671,38.0671,4549800
2026-02-04,38.0671,38.3603,38.0671,38.3603,609100
2026-02-05,38.3603,38.8218,38.3603,38.8218,4860000
2026-02-06,38.8218,38.8218,37.5917,37.5917,2129400
2026-02-07,37.5917,37.9209,37.5917,37.9209,2894100
2026-02-08,37.9209,37.9209,37.1118,37.1118,388000
2026-02-09,37.1118,37.5540,37.1118,37.5540,2802700
2026-02-10,37.5540,37.5540,37.1492,37.1492,3623300
2026-02-11,37.1492,37.1492,36.4373,36.4373,1030400
2026-02-12,36.4373,37.2738,36.4373,37.2738,4950700
2026-02-13,37.2738,37.2738,34.9640,34.9640,2382900
2026-02-14,34.9640,35.4204,34.9640,35.4204,4721100
2026-02-15,35.4204,36.0355,35.4204,36.0355,473300
2026-02-16,36.0355,37.5000,36.0355,37.5000,4887000
2026-02-17,37.5000,39.2855,37.5000,39.2855,4068600
2026-02-18,39.2855,39.2933,39.2855,39.2933,1181500
2026-02-19,39.2933,40.1576,39.2933,40.1576,4519100
2026-02-20,40.1576,42.0653,40.1576,42.0653,4954600
2026-02-21,42.0653,43.5402,42.0653,43.5402,1547000
2026-02-22,43.5402,43.5402,43.3211,43.3211,1198500
2026-02-23,43.3211,45.7003,43.3211,45.7003,4016000
2026-02-24,45.7003,45.7003,44.3507,44.3507,467500
2026-02-25,44.3507,46.0523,44.3507,46.0523,2225300
2026-02-26,46.0523,46.1109,46.0523,46.1109,362000
2026-02-27,46.1109,49.0236,46.1109,49.0236,941300
2026-02-28,49.0236,51.3163,49.0236,51.3163,127900
2026-03-01,51.3163,51.6904,51.3163,51.6904,3152700
2026-03-02,51.6904,52.0594,51.6904,52.0594,3466400
2026-03-03,52.0594,52.4813,52.0594,52.4813,3743400
2026-03-04,52.4813,54.6427,52.4813,54.6427,1201500
2026-03-05,54.6427,54.6427,52.9137,52.9137,2613400
2026-03-06,52.9137,55.4707,52.9137,55.4707,1396700
2026-03-07,55.4707,59.1034,55.4707,59.1034,2145500
2026-03-08,59.1034,59.9742,59.1034,59.9742,3497800
2026-03-09,59.9742,61.3117,59.9742,61.3117,3958100
2026-03-10,61.3117,63.7719,61.3117,63.7719,714000
2026-03-11,63.7719,63.7719,61.1150,61.1150,4185200
2026-03-12,61.1150,61.4387,61.1150,61.4387,3638000
2026-03-13,61.4387,66.0567,61.4387,66.0567,3079300
2026-03-14,66.0567,66.0567,65.8386,65.8386,750900
2026-03-15,65.8386,65.8386,62.3020,62.3020,93800
2026-03-16,62.3020,62.3020,59.3008,59.3008,125000
2026-03-17,59.3008,60.4999,59.3008,60.4999,2430500
2026-03-18,60.4999,60.4999,60.3332,60.3332,4157500
2026-03-19,60.3332,61.4378,60.3332,61.4378,4910500
2026-03-20,61.4378,61.4378,61.3033,61.3033,2678100
2026-03-21,61.3033,61.3033,61.1189,61.1189,839300
2026-03-22,61.1189,61.6499,61.1189,61.6499,474900
2026-03-23,61.6499,63.8599,61.6499,63.8599,915700
2026-03-24,63.8599,63.8599,61.8566,61.8566,3879300
2026-03-25,61.8566,64.4163,61.8566,64.4163,2849600
2026-03-26,64.4163,64.4163,63.6207,63.6207,4971500
2026-03-27,63.6207,63.6207,61.8551,61.8551,1914800
2026-03-28,61.8551,64.4244,61.8551,64.4244,3141200
2026-03-29,64.4244,64.4244,60.8365,60.8365,498800
2026-03-30,60.8365,60.8365,59.0531,59.0531,1123200
2026-03-31,59.0531,62.1362,59.0531,62.1362,3575500
2026-04-01,62.1362,64.0993,62.1362,64.0993,953900
2026-04-02,64.0993,65.3369,64.0993,65.3369,1055100
2026-04-03,65.3369,65.3369,65.0636,65.0636,3478400
2026-04-04,65.0636,68.8616,65.0636,68.8616,4470300
2026-04-05,68.8616,69.0988,68.8616,69.0988,4936500
2026-04-06,69.0988,70.3170,69.0988,70.3170,1679600
2026-04-07,70.3170,70.3170,68.8389,68.8389,3738100
2026-04-08,68.8389,68.8389,66.8713,66.8713,1172500
2026-04-09,66.8713,66.8713,60.3792,60.3792,262900
2026-04-10,60.3792,60.9630,60.3792,60.9630,1167300
2026-04-11,60.9630,63.4484,60.9630,63.4484,2619100
2026-04-12,63.4484,63.4484,62.0897,62.0897,3841700
2026-04-13,62.0897,62.6512,62.0897,62.6512,4455400
2026-04-14,62.6512,62.6512,62.2703,62.2703,515000
2026-04-15,62.2703,64.9377,62.2703,64.9377,3792800
2026-04-16,64.9377,64.9377,62.9954,62.9954,4576900
2026-04-17,62.9954,62.9954,59.1645,59.1645,3889300
2026-04-18,59.1645,62.0662,59.1645,62.0662,3178700
2026-04-19,62.0662,62.0662,58.1661,58.1661,1016400
2026-04-20,58.1661,58.1661,56.4735,56.4735,3056300
2026-04-21,56.4735,56.4735,54.8031,54.8031,4368800
2026-04-22,54.8031,54.8031,54.5646,54.5646,3304200
2026-04-23,54.5646,54.5646,54.3192,54.3192,4035000
2026-04-24,54.3192,54.3192,51.0379,51.0379,4353800
2026-04-25,51.0379,51.6646,51.0379,51.6646,2338700
2026-04-26,51.6646,51.6646,51.1087,51.1087,4822400
2026-04-27,51.1087,51.1087,48.6819,48.6819,4642000
2026-04-28,48.6819,48.6819,47.7163,47.7163,1071200
2026-04-29,47.7163,50.6691,47.7163,50.6691,4532600
2026-04-30,50.6691,50.6691,50.5690,50.5690,2612900
2026-05-01,50.5690,50.5690,49.5035,49.5035,573100
2026-05-02,49.5035,49.5035,47.7625,47.7625,1270200
2026-05-03,47.7625,49.5459,47.7625,49.5459,2384100
2026-05-04,49.5459,49.5459,48.2188,48.2188,956800
2026-05-05,48.2188,51.3589,48.2188,51.3589,907600
2026-05-06,51.3589,51.3589,50.7047,50.7047,2510200
2026-05-07,50.7047,51.1337,50.7047,51.1337,2663900
2026-05-08,51.1337,51.6437,51.1337,51.6437,2031800
2026-05-09,51.6437,51.7633,51.6437,51.7633,2328900
2026-05-10,51.7633,51.8591,51.7633,51.8591,4431300
2026-05-11,51.8591,52.2595,51.8591,52.2595,4717800
2026-05-12,52.2595,53.2285,52.2595,53.2285,4317400
2026-05-13,53.2285,53.2285,50.5378,50.5378,4817500
2026-05-14,50.5378,53.5990,50.5378,53.5990,2970000
2026-05-15,53.5990,53.5990,50.9562,50.9562,4661800
2026-05-16,50.9562,54.8546,50.9562,54.8546,2198500
2026-05-17,54.8546,57.7639,54.8546,57.7639,2386400
2026-05-18,57.7639,57.7639,57.0718,57.0718,2870700
2026-05-19,57.0718,58.0385,57.0718,58.0385,2923100
2026-05-20,58.0385,58.0385,57.7726,57.7726,2832400
2026-05-21,57.7726,62.9134,57.7726,62.9134,1064100
2026-05-22,62.9134,62.9134,59.6309,59.6309,4347800
2026-05-23,59.6309,59.6309,56.4919,56.4919,2042300
2026-05-24,56.4919,56.4919,54.5463,54.5463,2920900
2026-05-25,54.5463,55.4974,54.5463,55.4974,2490200
2026-05-26,55.4974,55.4974,53.8632,53.8632,458200
2026-05-27,53.8632,53.8632,51.9400,51.9400,3815000
2026-05-28,51.9400,51.9400,51.8595,51.8595,1796800
2026-05-29,51.8595,54.7338,51.8595,54.7338,1672900
2026-05-30,54.7338,55.9130,54.7338,55.9130,4942900
2026-05-31,55.9130,55.9130,55.7019,55.7019,2559700
2026-06-01,55.7019,55.7019,54.2423,54.2423,1490400
2026-06-02,54.2423,54.6958,54.2423,54.6958,1265500
2026-06-03,54.6958,54.6958,53.8685,53.8685,1070000
2026-06-04,53.8685,54.0972,53.8685,54.0972,1336300
2026-06-05,54.0972,56.5694,54.0972,56.5694,1648100
2026-06-06,56.5694,56.5694,56.3348,56.3348,4670600
2026-06-07,56.3348,56.3348,53.3280,53.3280,935600
2026-06-08,53.3280,54.4497,53.3280,54.4497,842900
2026-06-09,54.4497,56.3001,54.4497,56.3001,1949300
2026-06-10,56.3001,56.3001,52.1667,52.1667,4907300
2026-06-11,52.1667,54.1955,52.1667,54.1955,1812700
2026-06-12,54.1955,56.9237,54.1955,56.9237,2105800
2026-06-13,56.9237,56.9237,56.6606,56.6606,157800
2026-06-14,56.6606,56.6606,56.4688,56.4688,1663800
2026-06-15,56.4688,56.4688,54.9285,54.9285,635800
2026-06-16,54.9285,58.2999,54.9285,58.2999,1837600
2026-06-17,58.2999,58.2999,55.6731,55.6731,4282500
2026-06-18,55.6731,56.2049,55.6731,56.2049,4132500
2026-06-19,56.2049,56.2049,55.1727,55.1727,4868100
2026-06-20,55.1727,55.1727,54.5681,54.5681,4677100
2026-06-21,54.5681,54.5681,52.8338,52.8338,4064300
2026-06-22,52.8338,54.4689,52.8338,54.4689,3915200
2026-06-23,54.4689,54.4689,54.3574,54.3574,4551200
2026-06-24,54.3574,55.3654,54.3574,55.3654,4586700
2026-06-25,55.3654,55.3654,53.7035,53.7035,421200
2026-06-26,53.7035,53.7035,52.4234,52.4234,751800
2026-06-27,52.4234,53.5274,52.4234,53.5274,1209200
2026-06-28,53.5274,53.5274,52.4703,52.4703,3258900
2026-06-29,52.4703,55.3469,52.4703,55.3469,1158600
2026-06-30,55.3469,55.3469,54.0061,54.0061,4355700
2026-07-01,54.0061,55.9915,54.0061,55.9915,4613400
2026-07-02,55.9915,57.5606,55.9915,57.5606,4543700
2026-07-03,57.5606,57.5606,56.6222,56.6222,3145200
2026-07-04,56.6222,57.3791,56.6222,57.3791,3220300
2026-07-05,57.3791,57.5216,57.3791,57.5216,4992900
2026-07-06,57.5216,60.8237,57.5216,60.8237,2043700
2026-07-07,60.8237,60.9512,60.8237,60.9512,1836300
2026-07-08,60.9512,61.6326,60.9512,61.6326,4421300
2026-07-09,61.6326,62.8382,61.6326,62.8382,4634800
2026-07-10,62.8382,63.0683,62.8382,63.0683,3877900
2026-07-11,63.0683,63.0683,61.1073,61.1073,2320900
2026-07-12,61.1073,61.1073,60.8497,60.8497,2474300
2026-07-13,60.8497,63.1157,60.8497,63.1157,4059300
2026-07-14,63.1157,64.3092,63.1157,64.3092,1414200
2026-07-15,64.3092,64.6095,64.3092,64.6095,476200
2026-07-16,64.6095,64.6095,63.2055,63.2055,1672300
2026-07-17,63.2055,66.7318,63.2055,66.7318,2793300
2026-07-18,66.7318,68.3664,66.7318,68.3664,4372500
2026-07-19,68.3664,69.6153,68.3664,69.6153,4442200
2026-07-20,69.6153,74.1692,69.6153,74.1692,2712700
2026-07-21,74.1692,79.8001,74.1692,79.8001,4304200
2026-07-22,79.8001,79.8001,75.6118,75.6118,28000
2026-07-23,75.6118,75.9741,75.6118,75.9741,4162100
2026-07-24,75.9741,76.2493,75.9741,76.2493,4560400
2026-07-25,76.2493,76.2493,73.9347,73.9347,745400
2026-07-26,73.9347,73.9347,72.5192,72.5192,2536300
2026-07-27,72.5192,72.5192,68.6979,68.6979,396200
2026-07-28,68.6979,71.5760,68.6979,71.5760,199800
2026-07-29,71.5760,73.5927,71.5760,73.5927,2481900
2026-07-30,73.5927,73.5927,69.6621,69.6621,4395600
2026-07-31,69.6621,69.6621,68.9718,68.9718,3310400
2026-08-01,68.9718,68.9718,67.0940,67.0940,304200
2026-08-02,67.0940,67.0940,66.5914,66.5914,4335200
2026-08-03,66.5914,66.5914,66.4868,66.4868,375300
2026-08-04,66.4868,68.6496,66.4868,68.6496,627300
2026-08-05,68.6496,68.6593,68.6496,68.6593,1254500
2026-08-06,68.6593,71.4110,68.6593,71.4110,922900
2026-08-07,71.4110,71.4110,69.2546,69.2546,3216600
2026-08-08,69.2546,70.5747,69.2546,70.5747,3137000
2026-08-09,70.5747,70.5747,68.5617,68.5617,488000
2026-08-10,68.5617,68.5617,68.1328,68.1328,2526600
2026-08-11,68.1328,71.1112,68.1328,71.1112,1712600
2026-08-12,71.1112,71.1112,69.5769,69.5769,2385900
2026-08-13,69.5769,74.7785,69.5769,74.7785,4076800
2026-08-14,74.7785,74.7785,72.9324,72.9324,3274300
2026-08-15,72.9324,73.3388,72.9324,73.3388,4624400
2026-08-16,73.3388,73.3388,72.4272,72.4272,2494600
2026-08-17,72.4272,72.4272,68.5326,68.5326,2406000
2026-08-18,68.5326,68.5326,62.2813,62.2813,4242900
