date,open,high,low,close,volume
2026-01-01,40.0000,41.6754,40.0000,41.6754,1362500
2026-01-02,41.6754,41.6754,40.5242,40.5242,2167900
2026-01-03,40.5242,40.6896,40.5242,40.6896,1366300
2026-01-04,40.6896,40.6896,39.5807,39.5807,4232900
2026-01-05,39.5807,42.3843,39.5807,42.3843,1990200
2026-01-06,42.3843,45.6618,42.3843,45.6618,997600
2026-01-07,45.6618,45.7293,45.6618,45.7293,3306700
2026-01-08,45.7293,45.7293,44.6441,44.6441,1238500
2026-01-09,44.6441,44.6441,43.2075,43.2075,2123600
2026-01-10,43.2075,45.3998,43.2075,45.3998,3236800
2026-01-11,45.3998,45.6894,45.3998,45.6894,1863000
2026-01-12,45.6894,47.3610,45.6894,47.3610,3918100
2026-01-13,47.3610,47.3610,47.1412,47.1412,1260000
2026-01-14,47.1412,47.1412,45.5674,45.5674,1743100
2026-01-15,45.5674,45.7458,45.5674,45.7458,4966500
2026-01-16,45.7458,45.7458,43.2528,43.2528,995200
2026-01-17,43.2528,44.4397,43.2528,44.4397,2458600
2026-01-18,44.4397,45.4351,44.4397,45.4351,4554300
2026-01-19,45.4351,49.1199,45.4351,49.1199,2811000
2026-01-20,49.1199,53.3185,49.1199,53.3185,379500
2026-01-21,53.3185,53.3185,52.8107,52.8107,2310100
2026-01-22,52.8107,52.8107,51.7881,51.7881,1777500
2026-01-23,51.7881,52.1635,51.7881,52.1635,1790400
2026-01-24,52.1635,52.1635,48.8434,48.8434,1293700
2026-01-25,48.8434,49.7538,48.8434,49.7538,1206600
2026-01-26,49.7538,51.8646,49.7538,51.8646,67300
2026-01-27,51.8646,51.8646,51.5730,51.5730,379700
2026-01-28,51.5730,51.5730,47.6586,47.6586,1651200
2026-01-29,47.6586,48.1322,47.6586,48.1322,2030600
2026-01-30,48.1322,48.1322,45.9572,45.9572,3111700
2026-01-31,45.9572,48.9502,45.9572,48.9502,3409500
2026-02-01,48.9502,48.9502,47.1249,47.1249,4183600
2026-02-02,47.1249,47.1249,45.7179,45.7179,2159600
