date,open,high,low,close,volume
2026-01-01,40.0000,41.0847,40.0000,41.0847,2772900
2026-01-02,41.0847,41.0847,39.7474,39.7474,3699600
2026-01-03,39.7474,39.7474,39.6397,39.6397,472600
2026-01-04,39.6397,39.6397,37.1090,37.1090,48000
2026-01-05,37.1090,39.8133,37.1090,39.8133,2849000
2026-01-06,39.8133,43.1032,39.8133,43.1032,3922800
2026-01-07,43.1032,43.1032,43.0690,43.0690,2282000
2026-01-08,43.0690,43.0690,41.3473,41.3473,768800
2026-01-09,41.3473,41.9980,41.3473,41.9980,2732600
2026-01-10,41.9980,44.2146,41.9980,44.2146,1183900
2026-01-11,44.2146,44.2146,44.1069,44.1069,744100
2026-01-12,44.1069,44.5344,44.1069,44.5344,2752600
2026-01-13,44.5344,44.5344,43.3935,43.3935,4782100
2026-01-14,43.3935,43.3935,41.8420,41.8420,4829100
2026-01-15,41.8420,43.0509,41.8420,43.0509,4512500
2026-01-16,43.0509,43.0509,40.6912,40.6912,3220600
2026-01-17,40.6912,41.9330,40.6912,41.9330,1315000
2026-01-18,41.9330,42.0284,41.9330,42.0284,3500300
2026-01-19,42.0284,44.8653,42.0284,44.8653,3104500
2026-01-20,44.8653,46.9650,44.8653,46.9650,3356000
2026-01-21,46.9650,46.9650,45.2460,45.2460,795000
2026-01-22,45.2460,45.2460,44.4556,44.4556,2480700
2026-01-23,44.4556,46.0348,44.4556,46.0348,172400
2026-01-24,46.0348,46.0348,44.5578,44.5578,110300
2026-01-25,44.5578,44.5578,44.1741,44.1741,2329300
2026-01-26,44.1741,46.1219,44.1741,46.1219,2304300
2026-01-27,46.1219,46.4011,46.1219,46.4011,2895900
2026-01-28,46.4011,46.4011,43.1696,43.1696,3520100
2026-01-29,43.1696,43.1696,41.1802,41.1802,1814300
2026-01-30,41.1802,41.1802,40.3599,40.3599,1718000
2026-01-31,40.3599,43.1664,40.3599,43.1664,3164800
2026-02-01,43.1664,43.1664,42.9168,42.9168,4430500
2026-02-02,42.9168,43.3526,42.9168,43.3526,1578500
2026-02-03,43.3526,43.3526,42.4483,42.4483,3529600
2026-02-04,42.4483,43.4124,42.4483,43.4124,2614700
2026-02-05,43.4124,43.4559,43.4124,43.4559,3314900
2026-02-06,43.4559,43.4559,41.3205,41.3205,3907400
2026-02-07,41.3205,41.5255,41.3205,41.5255,1073400
2026-02-08,41.5255,41.5255,40.7161,40.7161,1213100
2026-02-09,40.7161,41.9059,40.7161,41.9059,4189400
2026-02-10,41.9059,42.2087,41.9059,42.2087,2900900
2026-02-11,42.2087,42.2087,41.1758,41.1758,1818400
2026-02-12,41.1758,42.4765,41.1758,42.4765,3660900
2026-02-13,42.4765,42.4765,40.7009,40.7009,2598600
2026-02-14,40.7009,42.0064,40.7009,42.0064,4629000
2026-02-15,42.0064,42.7924,42.0064,42.7924,2818200
2026-02-16,42.7924,44.4247,42.7924,44.4247,2562500
2026-02-17,44.4247,47.3052,44.4247,47.3052,3416900
2026-02-18,47.3052,47.3052,46.9945,46.9945,4195700
2026-02-19,46.9945,47.0809,46.9945,47.0809,479700
2026-02-20,47.0809,49.6597,47.0809,49.6597,4808300
2026-02-21,49.6597,49.9213,49.6597,49.9213,1693900
2026-02-22,49.9213,51.0679,49.9213,51.0679,1550400
2026-02-23,51.0679,51.0679,50.7457,50.7457,3365000
2026-02-24,50.7457,51.0271,50.7457,51.0271,3918300
2026-02-25,51.0271,51.3241,51.0271,51.3241,2497600
