date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.5722,98.5722,1621000
2026-01-02,98.5722,98.5722,97.6096,97.6096,1346700
2026-01-05,97.6096,98.8607,97.6096,98.8607,3441400
2026-01-06,98.8607,98.8607,98.2484,98.2484,1061200
2026-01-07,98.2484,98.9242,98.2484,98.9242,3690700
2026-01-08,98.9242,101.1285,98.9242,101.1285,515200
2026-01-09,101.1285,101.1285,99.5443,99.5443,1840600
2026-01-12,99.5443,99.7617,99.5443,99.7617,1606500
2026-01-13,99.7617,99.9338,99.7617,99.9338,2951700
2026-01-14,99.9338,99.9338,99.2228,99.2228,3079700
2026-01-15,99.2228,99.2228,98.8472,98.8472,2682600
2026-01-16,98.8472,99.1702,98.8472,99.1702,3209000
2026-01-19,99.1702,99.5220,99.1702,99.5220,585900
2026-01-20,99.5220,102.1126,99.5220,102.1126,2859200
2026-01-21,102.1126,102.4006,102.1126,102.4006,2533000
2026-01-22,102.4006,102.4006,101.2998,101.2998,940000
2026-01-23,101.2998,101.2998,100.4901,100.4901,4302500
2026-01-26,100.4901,100.6867,100.4901,100.6867,2608400
2026-01-27,100.6867,101.6563,100.6867,101.6563,3215400
2026-01-28,101.6563,101.6563,100.4666,100.4666,2533000
2026-01-29,100.4666,101.1284,100.4666,101.1284,19600
2026-01-30,101.1284,101.1284,99.2702,99.2702,1545000
2026-02-02,99.2702,100.6421,99.2702,100.6421,144000
2026-02-03,100.6421,100.6421,99.9952,99.9952,2734200
2026-02-04,99.9952,101.8289,99.9952,101.8289,3580000
2026-02-05,101.8289,102.6667,101.8289,102.6667,4978600
2026-02-06,102.6667,102.6667,101.5592,101.5592,3914200
2026-02-09,101.5592,102.7879,101.5592,102.7879,561700
2026-02-10,102.7879,102.7879,101.9919,101.9919,339400
2026-02-11,101.9919,102.4856,101.9919,102.4856,1886000
2026-02-12,102.4856,102.4856,101.8012,101.8012,4211800
2026-02-13,101.8012,101.8012,101.2464,101.2464,4929300
2026-02-16,101.2464,101.2464,100.9924,100.9924,1763100
2026-02-17,100.9924,100.9924,99.4385,99.4385,4386100
2026-02-18,99.4385,101.6175,99.4385,101.6175,487900
2026-02-19,101.6175,101.7903,101.6175,101.7903,4445000
