date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.3022,98.3022,1884900
2026-01-02,98.3022,98.3412,98.3022,98.3412,3660800
2026-01-05,98.3412,98.3412,98.1075,98.1075,2818300
2026-01-06,98.1075,98.1075,95.9532,95.9532,2563900
2026-01-07,95.9532,95.9532,95.9165,95.9165,1246800
2026-01-08,95.9165,96.9016,95.9165,96.9016,2855700
2026-01-09,96.9016,96.9016,96.2520,96.2520,3969100
2026-01-12,96.2520,96.8466,96.2520,96.8466,3200500
2026-01-13,96.8466,97.2627,96.8466,97.2627,2195000
2026-01-14,97.2627,97.2627,96.2268,96.2268,2355300
2026-01-15,96.2268,96.2268,95.6010,95.6010,4567900
2026-01-16,95.6010,97.8723,95.6010,97.8723,2179700
2026-01-19,97.8723,98.6692,97.8723,98.6692,3301400
2026-01-20,98.6692,99.5617,98.6692,99.5617,1233200
2026-01-21,99.5617,99.7415,99.5617,99.7415,3648000
2026-01-22,99.7415,99.7415,98.7297,98.7297,1370100
2026-01-23,98.7297,98.7297,97.9461,97.9461,1261600
2026-01-26,97.9461,97.9461,97.8459,97.8459,4313500
2026-01-27,97.8459,98.5940,97.8459,98.5940,4074700
2026-01-28,98.5940,98.5940,97.4824,97.4824,4344300
2026-01-29,97.4824,97.7192,97.4824,97.7192,1156500
2026-01-30,97.7192,97.7192,96.3306,96.3306,2691300
2026-02-02,96.3306,97.3651,96.3306,97.3651,4409100
2026-02-03,97.3651,97.3651,97.1943,97.1943,2365800
2026-02-04,97.1943,97.4169,97.1943,97.4169,3114300
2026-02-05,97.4169,99.0892,97.4169,99.0892,878300
2026-02-06,99.0892,99.5251,99.0892,99.5251,628600
2026-02-09,99.5251,100.6422,99.5251,100.6422,709100
2026-02-10,100.6422,100.6422,98.0263,98.0263,4593600
2026-02-11,98.0263,98.0263,96.9743,96.9743,1597500
2026-02-12,96.9743,96.9743,95.3374,95.3374,2586300
2026-02-13,95.3374,95.3374,95.1215,95.1215,3449600
2026-02-16,95.1215,95.1215,94.9243,94.9243,2748800
2026-02-17,94.9243,94.9243,94.1064,94.1064,4137900
2026-02-18,94.1064,95.8708,94.1064,95.8708,1473100
2026-02-19,95.8708,95.8708,95.8254,95.8254,4705600
2026-02-20,95.8254,97.2567,95.8254,97.2567,3871000
2026-02-23,97.2567,97.2567,97.1234,97.1234,479100
2026-02-24,97.1234,97.1234,96.5896,96.5896,2982900
2026-02-25,96.5896,96.5896,96.5522,96.5522,4779900
2026-02-26,96.5522,96.6800,96.5522,96.6800,2438000
2026-02-27,96.6800,99.1242,96.6800,99.1242,237600
2026-03-02,99.1242,99.2492,99.1242,99.2492,2695600
2026-03-03,99.2492,99.2492,98.6495,98.6495,1042400
2026-03-04,98.6495,98.6495,96.5751,96.5751,2798100
2026-03-05,96.5751,98.7041,96.5751,98.7041,1072900
2026-03-06,98.7041,101.6392,98.7041,101.6392,2922500
2026-03-09,101.6392,102.7168,101.6392,102.7168,3894200
2026-03-10,102.7168,102.7168,102.0969,102.0969,1618200
2026-03-11,102.0969,103.3371,102.0969,103.3371,2469300
2026-03-12,103.3371,103.3371,102.6654,102.6654,1314700
2026-03-13,102.6654,102.6654,102.2340,102.2340,435500
2026-03-16,102.2340,105.1144,102.2340,105.1144,3101600
2026-03-17,105.1144,105.1144,104.7791,104.7791,1660900
2026-03-18,104.7791,104.7791,102.7852,102.7852,801700
2026-03-19,102.7852,102.7852,101.7877,101.7877,2516000
2026-03-20,101.7877,101.7877,101.4654,101.4654,393100
2026-03-23,101.4654,101.9305,101.4654,101.9305,663100
2026-03-24,101.9305,101.9305,101.8613,101.8613,1686300
2026-03-25,101.8613,101.8613,100.3093,100.3093,1237700
2026-03-26,100.3093,100.3093,99.4089,99.4089,3221800
2026-03-27,99.4089,99.4089,99.1064,99.1064,4079300
2026-03-30,99.1064,100.6857,99.1064,100.6857,2686800
2026-03-31,100.6857,100.6857,99.4378,99.4378,1843200
2026-04-01,99.4378,99.4378,98.6563,98.6563,790000
2026-04-02,98.6563,99.0206,98.6563,99.0206,3400600
2026-04-03,99.0206,99.5194,99.0206,99.5194,2109400
2026-04-06,99.5194,99.5194,99.3140,99.3140,4739000
2026-04-07,99.3140,99.9543,99.3140,99.9543,3561600
2026-04-08,99.9543,100.2459,99.9543,100.2459,4060800
2026-04-09,100.2459,100.2459,100.1770,100.1770,4193400
2026-04-10,100.1770,100.1770,99.0274,99.0274,3134200
2026-04-13,99.0274,101.8369,99.0274,101.8369,4614800
2026-04-14,101.8369,103.1246,101.8369,103.1246,4322200
2026-04-15,103.1246,103.1246,101.3061,101.3061,4586000
2026-04-16,101.3061,101.3061,98.2616,98.2616,3085300
2026-04-17,98.2616,99.1823,98.2616,99.1823,2468100
2026-04-20,99.1823,99.1823,98.9650,98.9650,4004300
2026-04-21,98.9650,98.9650,96.1613,96.1613,2341000
2026-04-22,96.1613,96.3843,96.1613,96.3843,3568900
2026-04-23,96.3843,96.3843,95.2426,95.2426,3950300
2026-04-24,95.2426,95.9312,95.2426,95.9312,1915000
2026-04-27,95.9312,95.9312,94.8138,94.8138,3996900
2026-04-28,94.8138,94.8138,94.1815,94.1815,4078200
2026-04-29,94.1815,94.1815,94.1799,94.1799,2405200
2026-04-30,94.1799,94.1799,92.7414,92.7414,1900400
2026-05-01,92.7414,93.3138,92.7414,93.3138,4036600
2026-05-04,93.3138,93.3138,91.5742,91.5742,4295600
