date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,97.7618,97.7618,2803600
2026-01-02,97.7618,97.7618,97.6748,97.6748,1921300
2026-01-05,97.6748,100.2332,97.6748,100.2332,1371300
2026-01-06,100.2332,100.2332,98.9733,98.9733,640700
2026-01-07,98.9733,99.3006,98.9733,99.3006,3616000
2026-01-08,99.3006,101.2124,99.3006,101.2124,2652500
2026-01-09,101.2124,101.2124,101.0669,101.0669,4913300
2026-01-12,101.0669,101.5915,101.0669,101.5915,1194200
2026-01-13,101.5915,101.5915,100.2202,100.2202,276300
2026-01-14,100.2202,100.2202,99.3387,99.3387,1900900
2026-01-15,99.3387,99.7120,99.3387,99.7120,3553600
2026-01-16,99.7120,100.1212,99.7120,100.1212,4361200
2026-01-19,100.1212,100.4746,100.1212,100.4746,4795500
2026-01-20,100.4746,102.2292,100.4746,102.2292,1287600
2026-01-21,102.2292,102.2292,102.1490,102.1490,1010000
2026-01-22,102.1490,102.1490,100.5065,100.5065,1046300
2026-01-23,100.5065,100.5065,99.1084,99.1084,674700
2026-01-26,99.1084,99.1084,98.9455,98.9455,2666900
2026-01-27,98.9455,99.7928,98.9455,99.7928,2385400
2026-01-28,99.7928,99.7928,98.5130,98.5130,1071700
2026-01-29,98.5130,98.5130,97.3432,97.3432,2732100
2026-01-30,97.3432,97.3432,96.4229,96.4229,3425300
2026-02-02,96.4229,98.2950,96.4229,98.2950,1088900
2026-02-03,98.2950,98.2950,97.6693,97.6693,3294900
2026-02-04,97.6693,98.8925,97.6693,98.8925,4804900
2026-02-05,98.8925,99.1741,98.8925,99.1741,4724500
2026-02-06,99.1741,99.5098,99.1741,99.5098,2474800
2026-02-09,99.5098,100.2007,99.5098,100.2007,3299600
2026-02-10,100.2007,100.2007,99.9830,99.9830,4256900
2026-02-11,99.9830,100.7622,99.9830,100.7622,3644700
2026-02-12,100.7622,100.7622,100.4696,100.4696,1274300
2026-02-13,100.4696,100.4696,99.4254,99.4254,660400
2026-02-16,99.4254,99.6755,99.4254,99.6755,3667200
2026-02-17,99.6755,99.6755,97.5833,97.5833,2706600
2026-02-18,97.5833,99.9312,97.5833,99.9312,4650500
2026-02-19,99.9312,102.2539,99.9312,102.2539,3579700
2026-02-20,102.2539,104.5116,102.2539,104.5116,2780000
2026-02-23,104.5116,104.5116,104.4917,104.4917,2142300
2026-02-24,104.4917,104.7374,104.4917,104.7374,976800
2026-02-25,104.7374,105.0984,104.7374,105.0984,4450600
2026-02-26,105.0984,105.7329,105.0984,105.7329,3993100
2026-02-27,105.7329,108.3530,105.7329,108.3530,3798800
2026-03-02,108.3530,108.6008,108.3530,108.6008,1777500
2026-03-03,108.6008,108.6008,108.3944,108.3944,4929000
2026-03-04,108.3944,108.3944,107.1227,107.1227,4718300
2026-03-05,107.1227,109.9036,107.1227,109.9036,2247000
2026-03-06,109.9036,113.1152,109.9036,113.1152,3343300
2026-03-09,113.1152,114.9098,113.1152,114.9098,4451500
2026-03-10,114.9098,115.3154,114.9098,115.3154,4945700
2026-03-11,115.3154,115.3154,115.0519,115.0519,3627200
