date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.2965,98.2965,414800
2026-01-02,98.2965,98.2965,97.3265,97.3265,363500
2026-01-05,97.3265,98.2111,97.3265,98.2111,1845400
2026-01-06,98.2111,98.2111,96.3996,96.3996,3948200
2026-01-07,96.3996,96.7297,96.3996,96.7297,3329500
2026-01-08,96.7297,97.7462,96.7297,97.7462,94800
2026-01-09,97.7462,97.7462,97.0488,97.0488,215400
2026-01-12,97.0488,98.2210,97.0488,98.2210,2566800
2026-01-13,98.2210,98.2210,98.0019,98.0019,540800
2026-01-14,98.0019,98.0019,96.3030,96.3030,4313500
2026-01-15,96.3030,96.3030,95.7006,95.7006,4180300
2026-01-16,95.7006,96.9521,95.7006,96.9521,4185400
2026-01-19,96.9521,96.9521,96.6744,96.6744,580500
2026-01-20,96.6744,97.0534,96.6744,97.0534,4360800
2026-01-21,97.0534,97.5968,97.0534,97.5968,2610600
2026-01-22,97.5968,97.5968,96.9353,96.9353,2802900
2026-01-23,96.9353,96.9353,95.6121,95.6121,3746700
2026-01-26,95.6121,95.6121,94.6105,94.6105,3564900
2026-01-27,94.6105,95.2931,94.6105,95.2931,3452600
2026-01-28,95.2931,95.2931,93.8174,93.8174,4625600
2026-01-29,93.8174,95.0353,93.8174,95.0353,383500
2026-01-30,95.0353,95.0353,93.1479,93.1479,1303400
2026-02-02,93.1479,94.0417,93.1479,94.0417,4216200
2026-02-03,94.0417,94.0417,93.9109,93.9109,3539200
2026-02-04,93.9109,93.9109,93.3765,93.3765,3479100
2026-02-05,93.3765,93.9061,93.3765,93.9061,2704500
2026-02-06,93.9061,93.9061,93.1934,93.1934,3072500
2026-02-09,93.1934,95.0607,93.1934,95.0607,2520700
2026-02-10,95.0607,95.0607,94.5270,94.5270,2547400
2026-02-11,94.5270,95.2324,94.5270,95.2324,13500
2026-02-12,95.2324,95.2324,94.3715,94.3715,4781100
2026-02-13,94.3715,94.5356,94.3715,94.5356,286200
2026-02-16,94.5356,95.1426,94.5356,95.1426,1746300
2026-02-17,95.1426,95.1426,93.0384,93.0384,4429900
2026-02-18,93.0384,95.7295,93.0384,95.7295,58600
2026-02-19,95.7295,96.7282,95.7295,96.7282,786900
2026-02-20,96.7282,98.6299,96.7282,98.6299,4698600
