date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,97.2401,97.2401,3082600
2026-01-02,97.2401,97.2401,95.9584,95.9584,2082200
2026-01-05,95.9584,97.2945,95.9584,97.2945,4678700
2026-01-06,97.2945,97.2945,96.7270,96.7270,1508700
2026-01-07,96.7270,96.7270,96.2415,96.2415,220900
2026-01-08,96.2415,97.0057,96.2415,97.0057,228900
2026-01-09,97.0057,97.0057,95.4035,95.4035,653600
2026-01-12,95.4035,95.7419,95.4035,95.7419,3293200
2026-01-13,95.7419,95.9591,95.7419,95.9591,2117600
2026-01-14,95.9591,96.3488,95.9591,96.3488,4106400
2026-01-15,96.3488,96.3488,96.2711,96.2711,3379900
2026-01-16,96.2711,97.7292,96.2711,97.7292,4344800
2026-01-19,97.7292,98.7329,97.7292,98.7329,3151000
2026-01-20,98.7329,98.7329,98.5853,98.5853,1159200
2026-01-21,98.5853,98.9805,98.5853,98.9805,4826700
2026-01-22,98.9805,98.9805,97.8722,97.8722,3085800
2026-01-23,97.8722,97.8722,96.3116,96.3116,1916000
2026-01-26,96.3116,96.3116,96.0694,96.0694,1296500
2026-01-27,96.0694,96.2634,96.0694,96.2634,2923800
2026-01-28,96.2634,96.2634,95.4459,95.4459,944300
2026-01-29,95.4459,95.6229,95.4459,95.6229,1178300
2026-01-30,95.6229,95.6229,94.6315,94.6315,1545900
2026-02-02,94.6315,95.2328,94.6315,95.2328,3443500
2026-02-03,95.2328,95.5302,95.2328,95.5302,31100
2026-02-04,95.5302,95.5302,95.3860,95.3860,892700
2026-02-05,95.3860,95.3860,95.2302,95.2302,1871000
2026-02-06,95.2302,95.2302,94.9661,94.9661,2757900
2026-02-09,94.9661,96.3623,94.9661,96.3623,4659400
2026-02-10,96.3623,96.3623,94.3635,94.3635,4259900
2026-02-11,94.3635,94.6745,94.3635,94.6745,2832000
2026-02-12,94.6745,94.6745,94.1361,94.1361,1482000
2026-02-13,94.1361,94.1361,93.7087,93.7087,2981400
2026-02-16,93.7087,94.4783,93.7087,94.4783,1398000
2026-02-17,94.4783,94.4783,94.1140,94.1140,2329800
2026-02-18,94.1140,95.3257,94.1140,95.3257,3585000
2026-02-19,95.3257,96.5055,95.3257,96.5055,3965100
2026-02-20,96.5055,97.9346,96.5055,97.9346,2487800
2026-02-23,97.9346,97.9346,97.5141,97.5141,459300
2026-02-24,97.5141,97.5141,96.9044,96.9044,178100
2026-02-25,96.9044,96.9044,95.8458,95.8458,3911200
2026-02-26,95.8458,96.7588,95.8458,96.7588,3327700
2026-02-27,96.7588,98.8258,96.7588,98.8258,3389000
2026-03-02,98.8258,100.0160,98.8258,100.0160,4494600
2026-03-03,100.0160,100.5066,100.0160,100.5066,2298000
2026-03-04,100.5066,100.6722,100.5066,100.6722,3660500
2026-03-05,100.6722,102.4759,100.6722,102.4759,2779600
2026-03-06,102.4759,107.0208,102.4759,107.0208,3106600
2026-03-09,107.0208,108.3679,107.0208,108.3679,102600
2026-03-10,108.3679,108.3679,107.2272,107.2272,4282200
2026-03-11,107.2272,107.2272,105.5274,105.5274,2837800
2026-03-12,105.5274,105.5274,104.7345,104.7345,3736900
2026-03-13,104.7345,104.7345,103.7340,103.7340,118200
2026-03-16,103.7340,105.3047,103.7340,105.3047,4523500
2026-03-17,105.3047,105.4632,105.3047,105.4632,3689900
2026-03-18,105.4632,105.4632,104.9494,104.9494,628600
2026-03-19,104.9494,104.9494,104.0919,104.0919,4223100
2026-03-20,104.0919,104.2126,104.0919,104.2126,4834000
2026-03-23,104.2126,104.3444,104.2126,104.3444,3577400
2026-03-24,104.3444,104.6553,104.3444,104.6553,389400
2026-03-25,104.6553,104.6553,104.3863,104.3863,1759400
2026-03-26,104.3863,104.3863,102.8416,102.8416,4200800
2026-03-27,102.8416,103.2246,102.8416,103.2246,2137900
2026-03-30,103.2246,104.2967,103.2246,104.2967,3826700
2026-03-31,104.2967,104.2967,104.1694,104.1694,4355700
2026-04-01,104.1694,104.1694,102.9635,102.9635,4311100
2026-04-02,102.9635,103.8491,102.9635,103.8491,1644900
2026-04-03,103.8491,104.9979,103.8491,104.9979,524600
2026-04-06,104.9979,104.9979,104.1576,104.1576,369100
2026-04-07,104.1576,104.2620,104.1576,104.2620,4840900
2026-04-08,104.2620,104.4621,104.2620,104.4621,742100
2026-04-09,104.4621,104.4621,104.4256,104.4256,4403500
2026-04-10,104.4256,104.4256,102.4012,102.4012,3068700
2026-04-13,102.4012,104.0375,102.4012,104.0375,1880500
2026-04-14,104.0375,105.1484,104.0375,105.1484,2464600
2026-04-15,105.1484,105.1484,104.7200,104.7200,3519200
2026-04-16,104.7200,104.7200,103.2088,103.2088,972300
2026-04-17,103.2088,130.9530,103.2088,130.9530,3393600
2026-04-20,130.9530,130.9530,130.0131,130.0131,1021800
2026-04-21,130.0131,130.0131,129.1778,129.1778,1960800
2026-04-22,129.1778,129.1778,128.2533,128.2533,1716500
2026-04-23,128.2533,128.2533,127.7681,127.7681,2716600
2026-04-24,127.7681,127.7681,127.2511,127.2511,3933600
2026-04-27,127.2511,127.2511,126.3249,126.3249,1200000
2026-04-28,126.3249,126.3249,124.6241,124.6241,4974300
2026-04-29,124.6241,125.0606,124.6241,125.0606,3178300
2026-04-30,125.0606,125.0606,124.0104,124.0104,2110000
2026-05-01,124.0104,124.4460,124.0104,124.4460,3666100
2026-05-04,124.4460,124.4460,124.0885,124.0885,4223100
2026-05-05,124.0885,125.3514,124.0885,125.3514,3965200
2026-05-06,125.3514,125.3514,123.7839,123.7839,3271000
2026-05-07,123.7839,123.7839,119.7810,119.7810,175600
2026-05-08,119.7810,119.7810,119.7136,119.7136,416600
2026-05-11,119.7136,119.7136,117.6346,117.6346,3961000
2026-05-12,117.6346,119.5316,117.6346,119.5316,4143000
2026-05-13,119.5316,119.5316,118.1690,118.1690,4344900
2026-05-14,118.1690,118.7650,118.1690,118.7650,2764800
2026-05-15,118.7650,118.7650,117.2096,117.2096,4137200
2026-05-18,117.2096,118.3013,117.2096,118.3013,979000
2026-05-19,118.3013,118.3013,117.7022,117.7022,1608600
2026-05-20,117.7022,117.7022,115.1053,115.1053,1209300
2026-05-21,115.1053,115.6133,115.1053,115.6133,3272200
2026-05-22,115.6133,116.7530,115.6133,116.7530,778500
2026-05-25,116.7530,116.7530,116.3338,116.3338,4074700
2026-05-26,116.3338,116.3338,116.2680,116.2680,3239800
2026-05-27,116.2680,118.1577,116.2680,118.1577,2219300
2026-05-28,118.1577,118.6491,118.1577,118.6491,196100
2026-05-29,118.6491,118.6491,117.7465,117.7465,2275100
2026-06-01,117.7465,118.9175,117.7465,118.9175,1863000
2026-06-02,118.9175,120.7130,118.9175,120.7130,4099900
2026-06-03,120.7130,120.7130,120.3298,120.3298,1465300
2026-06-04,120.3298,120.3298,120.0916,120.0916,4951400
2026-06-05,120.0916,120.6459,120.0916,120.6459,450200
2026-06-08,120.6459,120.6459,119.5275,119.5275,4916000
2026-06-09,119.5275,120.5904,119.5275,120.5904,4942900
2026-06-10,120.5904,120.8808,120.5904,120.8808,3765700
2026-06-11,120.8808,120.8808,119.0323,119.0323,1491200
2026-06-12,119.0323,119.3449,119.0323,119.3449,1462800
2026-06-15,119.3449,120.3579,119.3449,120.3579,1298000
2026-06-16,120.3579,120.3579,119.5343,119.5343,4147100
2026-06-17,119.5343,120.9904,119.5343,120.9904,1548800
2026-06-18,120.9904,120.9904,119.6317,119.6317,3649000
2026-06-19,119.6317,119.6317,118.9524,118.9524,3775000
2026-06-22,118.9524,119.1641,118.9524,119.1641,204300
2026-06-23,119.1641,119.1641,117.4131,117.4131,2950600
2026-06-24,117.4131,118.6226,117.4131,118.6226,2314100
2026-06-25,118.6226,120.5646,118.6226,120.5646,786900
2026-06-26,120.5646,121.7605,120.5646,121.7605,828300
2026-06-29,121.7605,124.2145,121.7605,124.2145,4305100
2026-06-30,124.2145,124.2145,122.8872,122.8872,3378800
2026-07-01,122.8872,124.6861,122.8872,124.6861,1351900
2026-07-02,124.6861,125.3859,124.6861,125.3859,1561800
2026-07-03,125.3859,125.7221,125.3859,125.7221,717600
2026-07-06,125.7221,127.2222,125.7221,127.2222,2381900
2026-07-07,127.2222,127.2222,126.4003,126.4003,1013800
2026-07-08,126.4003,126.4003,124.6911,124.6911,2311600
2026-07-09,124.6911,124.6911,121.9518,121.9518,2493700
2026-07-10,121.9518,123.1116,121.9518,123.1116,3992000
2026-07-13,123.1116,123.9101,123.1116,123.9101,4372900
2026-07-14,123.9101,123.9101,122.7963,122.7963,203600
2026-07-15,122.7963,122.9399,122.7963,122.9399,1499400
2026-07-16,122.9399,124.2432,122.9399,124.2432,3669000
2026-07-17,124.2432,124.5907,124.2432,124.5907,402400
2026-07-20,124.5907,124.5907,123.7440,123.7440,4850000
2026-07-21,123.7440,124.5388,123.7440,124.5388,1048100
2026-07-22,124.5388,124.5388,123.5806,123.5806,4345600
2026-07-23,123.5806,123.9804,123.5806,123.9804,3040400
2026-07-24,123.9804,124.4293,123.9804,124.4293,2306400
2026-07-27,124.4293,124.4293,124.1071,124.1071,1392900
2026-07-28,124.1071,124.9766,124.1071,124.9766,3038200
2026-07-29,124.9766,124.9766,124.1210,124.1210,4795500
2026-07-30,124.1210,124.7292,124.1210,124.7292,1809000
2026-07-31,124.7292,124.7292,123.8211,123.8211,2293400
2026-08-03,123.8211,123.8211,123.4875,123.4875,3586100
2026-08-04,123.4875,123.4875,121.8875,121.8875,4133200
2026-08-05,121.8875,122.5324,121.8875,122.5324,250000
2026-08-06,122.5324,122.5324,122.2945,122.2945,1499500
2026-08-07,122.2945,122.2945,121.7506,121.7506,4059300
2026-08-10,121.7506,123.2663,121.7506,123.2663,3395100
2026-08-11,123.2663,124.4454,123.2663,124.4454,3382400
2026-08-12,124.4454,124.4489,124.4454,124.4489,3540900
2026-08-13,124.4489,125.1879,124.4489,125.1879,3959400
2026-08-14,125.1879,125.1879,124.4367,124.4367,4849800
2026-08-17,124.4367,124.4367,124.2181,124.2181,2666400
2026-08-18,124.2181,124.2181,124.1437,124.1437,4760500
2026-08-19,124.1437,125.0622,124.1437,125.0622,2091500
2026-08-20,125.0622,126.4406,125.0622,126.4406,2880200
2026-08-21,126.4406,126.4406,126.2002,126.2002,3060200
2026-08-24,126.2002,126.2002,125.0812,125.0812,448000
2026-08-25,125.0812,125.0812,124.4771,124.4771,303900
2026-08-26,124.4771,124.4771,123.0454,123.0454,1177200
2026-08-27,123.0454,124.7735,123.0454,124.7735,2306900
2026-08-28,124.7735,126.3074,124.7735,126.3074,1675700
2026-08-31,126.3074,126.3917,126.3074,126.3917,242400
2026-09-01,126.3917,126.3917,123.0220,123.0220,2619700
2026-09-02,123.0220,123.3137,123.0220,123.3137,3556900
2026-09-03,123.3137,125.3993,123.3137,125.3993,1677500
2026-09-04,125.3993,125.3993,125.1468,125.1468,437200
2026-09-07,125.1468,125.1468,124.2741,124.2741,2442700
2026-09-08,124.2741,124.2741,122.7279,122.7279,4789600
2026-09-09,122.7279,122.9811,122.7279,122.9811,1263200
