date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.3550,98.3550,866400
2026-01-02,98.3550,98.3550,97.5649,97.5649,877500
2026-01-05,97.5649,98.3908,97.5649,98.3908,2796100
2026-01-06,98.3908,98.3908,97.6715,97.6715,3764400
2026-01-07,97.6715,97.9493,97.6715,97.9493,3623300
2026-01-08,97.9493,98.4699,97.9493,98.4699,4060500
2026-01-09,98.4699,98.4699,97.1976,97.1976,4865400
2026-01-12,97.1976,98.7852,97.1976,98.7852,1904100
2026-01-13,98.7852,98.7852,98.1401,98.1401,2603600
2026-01-14,98.1401,98.1401,95.8774,95.8774,154800
2026-01-15,95.8774,95.8774,95.8749,95.8749,4308800
2026-01-16,95.8749,97.4701,95.8749,97.4701,3508200
2026-01-19,97.4701,97.4701,97.2287,97.2287,824500
2026-01-20,97.2287,98.4705,97.2287,98.4705,757500
2026-01-21,98.4705,99.4449,98.4705,99.4449,4432700
2026-01-22,99.4449,99.4449,98.8314,98.8314,1000800
2026-01-23,98.8314,98.8314,97.1251,97.1251,1781900
2026-01-26,97.1251,97.5524,97.1251,97.5524,937200
2026-01-27,97.5524,98.0586,97.5524,98.0586,614300
2026-01-28,98.0586,98.0586,97.1492,97.1492,654100
2026-01-29,97.1492,97.1492,96.8603,96.8603,3667600
2026-01-30,96.8603,96.8603,95.4463,95.4463,1467700
2026-02-02,95.4463,96.2224,95.4463,96.2224,3092100
2026-02-03,96.2224,96.2224,96.0242,96.0242,4357000
2026-02-04,96.0242,96.3235,96.0242,96.3235,175500
2026-02-05,96.3235,96.9086,96.3235,96.9086,130600
2026-02-06,96.9086,97.3609,96.9086,97.3609,3372100
2026-02-09,97.3609,98.5313,97.3609,98.5313,1147600
2026-02-10,98.5313,98.8995,98.5313,98.8995,2744200
2026-02-11,98.8995,98.8995,98.6876,98.6876,4399600
2026-02-12,98.6876,98.6876,98.6523,98.6523,1832800
2026-02-13,98.6523,98.6588,98.6523,98.6588,769500
