date,open,high,low,close,volume
2026-01-01,100.0000,100.0000,98.9026,98.9026,4312500
2026-01-02,98.9026,98.9922,98.9026,98.9922,1642400
2026-01-05,98.9922,100.3390,98.9922,100.3390,4779500
2026-01-06,100.3390,100.3390,100.1819,100.1819,4180400
2026-01-07,100.1819,101.0984,100.1819,101.0984,3690400
2026-01-08,101.0984,102.5497,101.0984,102.5497,4774500
2026-01-09,102.5497,102.5497,101.6497,101.6497,3571900
2026-01-12,101.6497,102.2605,101.6497,102.2605,2296600
2026-01-13,102.2605,102.4894,102.2605,102.4894,4290300
2026-01-14,102.4894,102.4894,100.9425,100.9425,703800
2026-01-15,100.9425,100.9425,99.8126,99.8126,2723400
2026-01-16,99.8126,101.6016,99.8126,101.6016,2682700
2026-01-19,101.6016,101.6016,101.3981,101.3981,4977800
2026-01-20,101.3981,102.4941,101.3981,102.4941,4813300
2026-01-21,102.4941,102.4941,101.5150,101.5150,686500
2026-01-22,101.5150,101.5150,99.7217,99.7217,3021100
2026-01-23,99.7217,99.7217,97.2434,97.2434,4319000
2026-01-26,97.2434,97.9106,97.2434,97.9106,4223600
2026-01-27,97.9106,99.0834,97.9106,99.0834,4652200
2026-01-28,99.0834,99.0834,98.5573,98.5573,1979500
2026-01-29,98.5573,98.9913,98.5573,98.9913,2638500
2026-01-30,98.9913,98.9913,98.2346,98.2346,4769200
2026-02-02,98.2346,98.3940,98.2346,98.3940,3131100
2026-02-03,98.3940,98.3940,96.9954,96.9954,1731000
2026-02-04,96.9954,96.9954,96.8588,96.8588,842100
2026-02-05,96.8588,97.5154,96.8588,97.5154,4025900
2026-02-06,97.5154,97.5154,96.2599,96.2599,482000
2026-02-09,96.2599,97.7379,96.2599,97.7379,1557000
2026-02-10,97.7379,97.7379,97.1063,97.1063,3910100
2026-02-11,97.1063,97.7375,97.1063,97.7375,4742600
2026-02-12,97.7375,97.7375,96.9359,96.9359,3184700
2026-02-13,96.9359,96.9359,96.4292,96.4292,4847600
2026-02-16,96.4292,96.4292,96.3991,96.3991,4107000
2026-02-17,96.3991,96.3991,95.4692,95.4692,4905200
2026-02-18,95.4692,96.9432,95.4692,96.9432,1186100
2026-02-19,96.9432,98.0733,96.9432,98.0733,562100
2026-02-20,98.0733,100.9322,98.0733,100.9322,2026900
2026-02-23,100.9322,100.9322,100.1276,100.1276,4368600
2026-02-24,100.1276,101.1266,100.1276,101.1266,1196800
2026-02-25,101.1266,101.1266,100.1489,100.1489,2764200
2026-02-26,100.1489,102.2254,100.1489,102.2254,4669600
2026-02-27,102.2254,105.5812,102.2254,105.5812,2413300
2026-03-02,105.5812,105.8948,105.5812,105.8948,1213900
2026-03-03,105.8948,106.4807,105.8948,106.4807,300000
2026-03-04,106.4807,106.6574,106.4807,106.6574,3985700
2026-03-05,106.6574,109.1755,106.6574,109.1755,1189500
2026-03-06,109.1755,112.0581,109.1755,112.0581,175500
2026-03-09,112.0581,112.8134,112.0581,112.8134,4333600
2026-03-10,112.8134,112.8134,112.8001,112.8001,454200
2026-03-11,112.8001,112.8001,112.3124,112.3124,4359300
2026-03-12,112.3124,112.3953,112.3124,112.3953,468800
2026-03-13,112.3953,112.3953,111.6502,111.6502,3965100
2026-03-16,111.6502,113.2286,111.6502,113.2286,147500
2026-03-17,113.2286,113.7620,113.2286,113.7620,2233600
2026-03-18,113.7620,113.7620,113.1243,113.1243,4293500
2026-03-19,113.1243,113.1243,112.4146,112.4146,2246100
2026-03-20,112.4146,113.1175,112.4146,113.1175,3664600
2026-03-23,113.1175,114.2663,113.1175,114.2663,2219700
2026-03-24,114.2663,114.4813,114.2663,114.4813,1688200
2026-03-25,114.4813,114.4813,112.6861,112.6861,1174500
2026-03-26,112.6861,112.6861,112.3138,112.3138,1047400
2026-03-27,112.3138,112.3138,111.2727,111.2727,3012400
2026-03-30,111.2727,112.7757,111.2727,112.7757,2235900
2026-03-31,112.7757,113.0619,112.7757,113.0619,2612100
2026-04-01,113.0619,113.1068,113.0619,113.1068,1060700
2026-04-02,113.1068,113.1164,113.1068,113.1164,1163300
2026-04-03,113.1164,113.4173,113.1164,113.4173,4167600
2026-04-06,113.4173,113.5320,113.4173,113.5320,744200
2026-04-07,113.5320,113.5320,112.6234,112.6234,624100
2026-04-08,112.6234,113.4972,112.6234,113.4972,668800
2026-04-09,113.4972,113.5172,113.4972,113.5172,4883200
2026-04-10,113.5172,113.5172,112.0200,112.0200,632300
2026-04-13,112.0200,113.3312,112.0200,113.3312,2937700
2026-04-14,113.3312,114.0635,113.3312,114.0635,4153800
2026-04-15,114.0635,114.0635,111.6172,111.6172,3485600
2026-04-16,111.6172,111.6172,109.3529,109.3529,4096200
2026-04-17,109.3529,109.4424,109.3529,109.4424,2763900
2026-04-20,109.4424,109.4424,109.2001,109.2001,3217400
